"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.15529633333333 6.19175223684211 38.6567445502176 2.76942165806326e-52 4.03809371962204e-48 65.8404052707486
"UTY" 3.49852777777778 5.74143513157895 33.0811958607434 2.3503969984118e-47 1.71355693169212e-43 62.3927695188438
"EIF1AY" 3.43754988888889 5.43116289473684 27.8480749233571 5.05112542670106e-42 2.45501532822427e-38 57.8222632045267
"TTTY10" 0.9214415 4.31056671052632 8.30333159990694 2.59729248038054e-12 9.46778041410717e-09 15.3931145646693
"TXLNGY" 1.01199558333333 4.49642342105263 8.08102136642222 6.97682703857922e-12 2.03458230099047e-08 14.6025323945442
"TMSB4Y" 0.679467555555555 4.55407394736842 7.50390074438345 8.9906138147292e-11 2.18486900054277e-07 12.542242575814
"ACTR5" -0.376366333333334 6.25825078947368 -4.0182888163204 0.000135114611199391 0.281443735128331 0.811699714867098
"H2BC12" 0.693368888888889 6.89063210526316 3.77321491523851 0.000314262718206842 0.572783086771746 0.114434285571574
"SNAPC2" 0.34858675 6.28798921052632 3.66680055875937 0.000449034371750441 0.727485574943687 -0.17953712036747
"JPX" -0.654489333333333 5.8263302631579 -3.63224935340444 0.000503542603056532 0.734215469516729 -0.27378935326889
"PUDP" -0.474861166666666 8.26883473684211 -3.09554720940369 0.00273676063656119 0.999964450250571 -1.65688798490871
"EGFR" -0.72317125 7.59666105263158 -3.08424795489835 0.00283085722553691 0.999964450250571 -1.68427293251953
"RELN" 0.753963861111111 8.07322697368421 2.95721034230368 0.00411719824235076 0.999964450250571 -1.98692129377719
"SBSN" -0.18137775 4.87534052631579 -2.91078460434939 0.0047092485510942 0.999964450250571 -2.09508248356163
"OLFML3" 0.579282527777778 5.47721776315789 2.90726077564691 0.00475725162721701 0.999964450250571 -2.10323800102779
"CRYBB1" -0.258429833333334 5.25774763157895 -2.8961044482792 0.00491222079700602 0.999964450250571 -2.12900742216471
"MEGF10" 0.396098416666666 7.80633118421053 2.89492090924481 0.00492893124821122 0.999964450250571 -2.13173669179265
"VCPKMT" -0.268421805555556 6.01157092105263 -2.84739486340019 0.00564487486441143 0.999964450250571 -2.24061188655915
"COX11" -0.375005361111111 7.57560486842105 -2.83765072781913 0.00580299844878254 0.999964450250571 -2.26275960493308
"DHRS7" -0.273222111111111 6.99994 -2.82228478780469 0.00606063940138468 0.999964450250571 -2.29756377906962
"BCL2L1" 0.228708861111111 9.31701197368421 2.82155021395411 0.00607321520077641 0.999964450250571 -2.29922387181688
"ACAP2" -0.257983861111111 7.92230763157895 -2.81649771671289 0.00616036448647816 0.999964450250571 -2.31063296852921
"FGGY" 0.317504472222222 5.53925289473684 2.81027853740059 0.00626921341063394 0.999964450250571 -2.32465437937589
"C9orf78" 0.339699638888889 6.81001539473684 2.78145599128165 0.00679708255560821 0.999964450250571 -2.38931540488717
"UVRAG" 0.237832027777778 8.72079697368421 2.78135762459214 0.00679895181901956 0.999964450250571 -2.38953517669785
"ZNF544" -0.258762 4.99377197368421 -2.770301920662 0.00701206934343589 0.999964450250571 -2.41419654488356
"SCRN1" 0.208658055555555 10.9348144736842 2.76877474771326 0.00704198424818761 0.999964450250571 -2.41759698315365
"MIPOL1" -0.404918055555556 6.01826328947368 -2.75626471414398 0.00729146921676463 0.999964450250571 -2.44539584189053
"CCDC40" -0.223516472222222 5.47886947368421 -2.75588914384859 0.00729908263582031 0.999964450250571 -2.44622885355402
"CBX2" -0.231742972222222 5.18424723684211 -2.71764603943769 0.00811349435459029 0.999964450250571 -2.53057598579062
"IL23A" -0.224696472222223 5.03244342105263 -2.71585317449581 0.00815363584201059 0.999964450250571 -2.53450704494656
"PPIF" 0.33461025 8.13468315789474 2.70051810480021 0.0085044562755998 0.999964450250571 -2.56804566224726
"CCDC82" -0.355731055555556 7.67785118421053 -2.69930937017205 0.0085326852807735 0.999964450250571 -2.57068272912735
"C10orf95" -0.275121138888889 4.98926578947368 -2.68846238500381 0.00878985572796982 0.999964450250571 -2.59430473189292
"ANKRD49" -0.386414833333334 7.57978960526316 -2.6873755081306 0.00881600976996652 0.999964450250571 -2.59666744625312
"ZNF697" -0.264650611111111 6.51419381578947 -2.67786836533144 0.00904782404450725 0.999964450250571 -2.61730170984558
"MS4A15" -0.272265888888889 5.25447355263158 -2.66463057404025 0.00937984779861421 0.999964450250571 -2.6459344193994
"LINC00303" -0.170335666666667 4.19913131578947 -2.66028707678681 0.00949118015342073 0.999964450250571 -2.65530415169477
"MSTN" -0.326228944444444 4.32685 -2.63354013034762 0.0102036369994351 0.999964450250571 -2.7127286292133
"STYXL1" 0.326160722222222 6.91858131578947 2.59005827964208 0.0114659841739801 0.999964450250571 -2.80507144396767
"MGAT1" -0.216389944444445 6.7663425 -2.58419971432707 0.0116464650984456 0.999964450250571 -2.8174170986559
"MYADM" 0.349554055555554 8.24092026315789 2.57075169794675 0.0120705042308894 0.999964450250571 -2.84566902414549
"PROK2" -0.33308825 6.41974789473684 -2.57041758211919 0.0120812148602399 0.999964450250571 -2.84636940031394
"TPM3P9" -0.423006277777778 5.33687289473684 -2.56164498676805 0.012365525190813 0.999964450250571 -2.86473177369265
"G0S2" -0.3209115 6.46145921052632 -2.54613358435715 0.0128830538053665 0.999964450250571 -2.89707285796281
"TFE3" 0.3537775 7.45956118421053 2.53428513088592 0.0132914448861415 0.999964450250571 -2.92166746199942
"DIPK2B" -0.373231277777778 6.00753276315789 -2.53401265720133 0.0133009722055322 0.999964450250571 -2.92223193773115
"TAC4" -0.254104 4.81175355263158 -2.5267173106728 0.0135583604709941 0.999964450250571 -2.93732681700307
"MRPL18" 0.21522175 7.81982710526316 2.51769734250633 0.0138827928696932 0.999964450250571 -2.95594028711697
"VEGFA" 0.434807833333334 8.09982289473684 2.51665688704868 0.0139206622280788 0.999964450250571 -2.95808380559463
"HGFAC" -0.154080138888889 5.20433907894737 -2.49763551136553 0.014629562698203 0.999964450250571 -2.99714144942497
"SYNC" -0.335771583333333 4.80410644736842 -2.48352975013858 0.0151760395289832 0.999964450250571 -3.02594639049729
"BAX" 0.306289611111111 6.21727144736842 2.48299316924062 0.0151971846133866 0.999964450250571 -3.02703944253784
"ZNF552" -0.233185666666667 4.39795486842105 -2.48142718552234 0.0152590467579205 0.999964450250571 -3.03022833280404
"NUAK1" 0.460570833333333 7.92134736842105 2.47486687471044 0.0155206671795096 0.999964450250571 -3.04356917894748
"MAB21L4" -0.159863916666667 4.64597526315789 -2.47258988187643 0.0156124084179175 0.999964450250571 -3.04819271157128
"KRT18" -0.239095361111111 5.08436644736842 -2.4603695366557 0.0161131322219582 0.999964450250571 -3.07294589972259
"PEAK3" -0.213410777777778 4.76599131578947 -2.4594163887863 0.0161527856057315 0.999964450250571 -3.07487225870873
"NTRK3" 0.24323125 9.91222144736842 2.45758661800782 0.016229153861687 0.999964450250571 -3.0785685659489
"ZNF100" -0.30553525 5.49992197368421 -2.45472663701753 0.0163491675405088 0.999964450250571 -3.08434138231183
"FAM124A" 0.342675944444445 6.41011631578947 2.44502203843549 0.0167623496166676 0.999964450250571 -3.10388796178808
"ATOH8" -0.259202138888889 5.31525921052632 -2.4328134941065 0.0172953995973983 0.999964450250571 -3.12838564375916
"TRABD" -0.171167277777778 6.26991223684211 -2.42452284488789 0.0176659763651444 0.999964450250571 -3.1449629516008
"ADCK5" -0.125712611111112 5.87138657894737 -2.42202282108433 0.017779106702988 0.999964450250571 -3.14995245980036
"RRS1" -0.236936666666667 5.92565565789474 -2.42008782599869 0.017867112369882 0.999964450250571 -3.15381131996975
"EYA1" -0.362937083333333 6.76567631578947 -2.41566433080445 0.0180697606969272 0.999964450250571 -3.16262311780585
"VPREB3" -0.345886777777778 4.71796960526316 -2.40581670221375 0.0185282845741555 0.999964450250571 -3.18219126296343
"FAM118A" -0.334181361111112 6.17551118421053 -2.39484876147614 0.0190511660536227 0.999964450250571 -3.20390621005199
"SLC16A4" -0.25896275 4.99844881578947 -2.38887857243148 0.0193412802408595 0.999964450250571 -3.2156911088345
"SUMO3" 0.245505833333333 8.7556477631579 2.38869858578713 0.0193500872660074 0.999964450250571 -3.21604600882911
"NDUFA2" 0.298689138888888 9.11111342105263 2.36419649629392 0.020582872438591 0.999964450250571 -3.26414822768294
"CS" 0.327982611111112 9.94505381578947 2.36377080992538 0.0206048937394026 0.999964450250571 -3.26498021591606
"RIMKLB" -0.551920333333333 8.20475644736842 -2.35079362027819 0.0212863491150313 0.999964450250571 -3.29028261155953
"FAM131B" 0.270284583333334 8.60241421052632 2.34551922693645 0.0215689881835414 0.999964450250571 -3.300532581317
"NTN4" -0.377056388888889 7.15067565789474 -2.34509196499655 0.021592029061231 0.999964450250571 -3.3013620418516
"NBR2" -0.254546055555556 6.64887144736842 -2.34470712260461 0.0216128010829566 0.999964450250571 -3.30210904162816
"C4orf3" 0.246708583333333 6.66951453947368 2.34058581235191 0.0218363647433264 0.999964450250571 -3.31010218731844
"FRS3" 0.179178138888889 7.64647289473684 2.33647348680199 0.0220614834191145 0.999964450250571 -3.3180659782425
"ASCC1" 0.255985638888889 7.18696789473684 2.33092331813267 0.0223685754636038 0.999964450250571 -3.32879533570736
"COL4A5" -0.312290388888889 5.96550802631579 -2.32272946470842 0.0228288691799781 0.999964450250571 -3.3445955935816
"HOXC9" -0.280066388888889 5.14419052631579 -2.32111667561521 0.022920450245454 0.999964450250571 -3.34769995463342
"LOC339803" 0.298407472222222 5.98720434210526 2.31756300839761 0.0231233917408674 0.999964450250571 -3.35453370063126
"PIWIL2" 0.169052444444445 4.30605802631579 2.31192154446506 0.0234488302942104 0.999964450250571 -3.36536394111489
"COPS7B" 0.197124944444445 7.62572802631579 2.31127337967153 0.0234864792697092 0.999964450250571 -3.36660681589004
"GALNT2" 0.172436916666666 8.40052710526316 2.30966914421608 0.0235798921776598 0.999964450250571 -3.36968170313041
"IGDCC4" -0.256697583333334 6.04904684210526 -2.30768507877775 0.0236958766862404 0.999964450250571 -3.37348209798951
"ZDHHC21" -0.244992694444445 9.38545092105263 -2.30260473134789 0.0239951669020418 0.999964450250571 -3.38320056042053
"SLC35F5" -0.213596972222222 8.49002526315789 -2.29941001857455 0.0241850788871816 0.999964450250571 -3.38930250887543
"NUP50" -0.150244444444445 5.37413592105263 -2.26376091592581 0.0263960742983908 0.999964450250571 -3.45689980027793
"VAX2" -0.19983775 5.33557223684211 -2.25705509428985 0.0268313238806827 0.999964450250571 -3.46951384932593
"CENPBD1" -0.198141944444445 5.50734921052632 -2.24071948854649 0.0279181441828057 0.999964450250571 -3.50010715834113
"IFNGR1" -0.340902583333333 7.70823092105263 -2.24071921726905 0.0279181625477702 0.999964450250571 -3.50010766479821
"WASF3" 0.295020138888888 10.1216598684211 2.23954472110811 0.0279977732956946 0.999964450250571 -3.50229987566445
"FAM151B" -0.40745325 7.39027342105263 -2.23754893691813 0.0281335109047168 0.999964450250571 -3.50602275551374
"MKS1" 0.173676111111111 5.98841986842105 2.22598035933111 0.0289317606689517 0.999964450250571 -3.52754598539987
"OTULIN" -0.175335027777778 5.87097368421053 -2.22517854114628 0.0289878168582429 0.999964450250571 -3.52903418783029
"ATG14" -0.180356 6.50747578947368 -2.2244315543222 0.0290401254455127 0.999964450250571 -3.53042020426437
"FCER1A" -0.276541138888889 4.84885342105263 -2.21895207320335 0.0294263706834363 0.999964450250571 -3.54057494693328
"TRIM40" -0.143249222222223 4.55299289473684 -2.21885722851637 0.0294330957057737 0.999964450250571 -3.54075052525664
