"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -3.58974447575223 5.96013412908064 -48.0829656140516 2.43102576925261e-51 2.87979312625664e-47 75.1946738062522
"RPS4Y1" 3.37461856298396 9.58702544325806 23.698615064431 4.54822208850662e-33 2.69391194302247e-29 54.8003368533743
"KDM5D" 1.31394417399109 7.57488654998387 16.3969177826663 2.11238010200269e-24 8.34108489610794e-21 40.48918637746
"DDX3Y" 0.915035847078431 6.41098608843548 9.02266570436758 5.96333403716001e-13 1.76604137510494e-09 18.3335919313982
"TTTY15" 0.547617640404635 5.97250674585484 8.50175005300611 4.77969834728208e-12 1.13240613243807e-08 16.478551717594
"USP9Y" 0.707647723461676 5.50066277654839 8.27961464092481 1.16575433960532e-11 2.30158765116078e-08 15.6806841486026
"EIF1AY" 0.607436614975045 5.21052955382258 7.30715954680927 5.84234606754279e-10 9.88691878801598e-07 12.1578887395131
"NLGN4Y" 0.398580429670232 5.75629990753226 5.33720097923042 1.37285121042369e-06 0.00203284942983488 5.11103179897604
"KDM6A" -0.223392986306595 5.49889649529032 -5.23358734355395 2.03111103172769e-06 0.00267339347576069 4.75488128558193
"UTY" 0.148025313228164 5.40109319156452 5.18807579481507 2.41048368373931e-06 0.00285545897175759 4.59920806179677
"SLC39A8" -0.323850286650624 5.71105237372581 -4.6220619511912 1.93547918631966e-05 0.0208433513101297 2.70825017833846
"SYN2" 0.731814710431373 8.10557860764516 4.48763278103549 3.12917078525623e-05 0.0308901309351211 2.27324395372614
"IFI27" -0.690236274167558 8.60929473264516 -4.31404199319018 5.76530741863427e-05 0.0525352551393397 1.72078860571627
"KIF3C" 0.422999145319074 9.73864264967742 4.27152894185361 6.68483987102443e-05 0.0541277434859319 1.58717482906637
"GSTZ1" -0.286571569087344 7.58097480545161 -4.26433348358247 6.85392666122723e-05 0.0541277434859319 1.56462817631305
"CLEC3B" -0.667699051525847 7.05861689396774 -4.21211902624046 8.21117710280611e-05 0.0607935024749007 1.40161421035484
"TAC1" 1.42532618094831 7.65284928158064 4.18294572451773 9.07919129583987e-05 0.0615074302498734 1.31099853796195
"FAM234B" 0.306974583705883 8.7963427921129 4.17451759380376 9.3460555841442e-05 0.0615074302498734 1.28488248977727
"LAMP5" 0.766285975327985 9.21567603414516 4.11603634824386 0.000114180296987484 0.0679246148928009 1.10445328307068
"ITIH5" -0.522801046686275 6.15888824772581 -4.08521572270309 0.000126818577429837 0.0679246148928009 1.00992419465182
"ABCG2" -0.917361224074866 8.243641243 -4.08237969677265 0.000128047086777833 0.0679246148928009 1.00124558484604
"PRAF2" 0.232655767778966 8.98556172474194 4.07592978231466 0.0001308839570553 0.0679246148928009 0.98152042801774
"ENG" -0.27860856126738 6.83903425601613 -4.06606104242134 0.000135342211160741 0.0679246148928009 0.951373301338557
"TBC1D9" 0.366023269853833 7.87096875109677 4.06114942978896 0.000137615292708697 0.0679246148928009 0.936384402602992
"JUP" -0.247262056855615 6.94611236983871 -4.04180054924862 0.000146933322346548 0.0696228854606884 0.877435315953281
"PROM1" -0.541750902427808 6.03550140370968 -4.01836632113613 0.000159034603499199 0.0709388079580498 0.806251238884001
"ABCB1" -0.496699715545454 6.53103540808064 -4.0134595395161 0.000161687304986269 0.0709388079580498 0.791375889324055
"GAP43" 0.702693033812834 10.4977738114677 3.9731250987281 0.000185167865225227 0.0783392332663584 0.669489833144738
"APEX1" 0.257575421497327 8.72590904948387 3.90855432347321 0.000229729012296302 0.0872045114627445 0.47583957273994
"ITM2A" -0.748927822841355 9.70650578558065 -3.90600953690488 0.000231681150262743 0.0872045114627445 0.46824540434212
"MIF" 0.577941143713013 11.0947531649516 3.89177190032833 0.000242900441504249 0.0872045114627445 0.425810746886111
"TNFSF10" -0.410412513839572 5.82731239812903 -3.88971325291083 0.000244565222495483 0.0872045114627445 0.419682552663749
"ATP6V1G2" 0.658879573174688 10.3539926101129 3.88439362494976 0.000248917975549566 0.0872045114627445 0.403855869270062
"PNMA2" 0.491444633465241 9.37325129883871 3.87234857789951 0.000259050337968634 0.0872045114627445 0.36806717589578
"DOCK3" 0.61572359000713 7.959715032 3.86706678930175 0.00026361721598668 0.0872045114627445 0.352394404120454
"NSG2" 0.607444327632798 10.1898550327419 3.86440804213318 0.000265945231013992 0.0872045114627445 0.344509825361248
"NEFL" 0.983920793659536 9.91901922814516 3.85091663925847 0.000278065681319673 0.0872045114627445 0.304550243039585
"MECOM" -0.312573034030303 5.42655321937097 -3.84557367267817 0.000283010732526648 0.0872045114627445 0.28874807523937
"PLD3" 0.718867100843137 9.85341289759677 3.84122351906721 0.000287099100713071 0.0872045114627445 0.275891851610973
"CERS6" 0.551096726900178 8.5406959568871 3.81088158618902 0.000317231359669415 0.0909244514102206 0.186462658773626
"YWHAH" 0.999395750249555 11.1058309741935 3.80806182409773 0.000320180682085532 0.0909244514102206 0.178173337254571
"BSCL2" 0.717368485242424 10.1101416725 3.80598218000777 0.00032237269620372 0.0909244514102206 0.172062121330443
"TUBA1B" 0.585055811836007 12.7435258880645 3.79762282132227 0.000331329670201399 0.0912774714699016 0.147517689317463
"PUDP" -0.25422929882353 7.35790466435484 -3.78304734922696 0.000347520262797419 0.0935619325704143 0.104799659781652
"ANKS1B" -0.17423129545098 5.20588814158064 -3.75542661101617 0.000380302756395379 0.100112587827992 0.0241218062401298
"TULP3" -0.227376573292335 6.91514820991936 -3.74317792571145 0.000395769336055288 0.101919207715455 -0.011540187118908
"STMN2" 0.92327890513369 10.4902688299032 3.70093687161818 0.000453854102826631 0.109871178178811 -0.133975234395489
"ATP1A1" 0.62003951690196 8.92680035183871 3.70050505855877 0.000454487964752514 0.109871178178811 -0.135222407194623
"ARPP21" 0.825606725836007 9.66302562909677 3.69659422646479 0.000460267349855816 0.109871178178811 -0.146513658114424
"SYBU" 0.566549274144386 10.0129516555323 3.68887671791285 0.000471878800048431 0.109871178178811 -0.168773705425625
"ATP6V1E1" 0.527621688673797 10.6102299571613 3.68812609377287 0.000473022968691485 0.109871178178811 -0.170937230995859
"CCND1" -0.283299753545455 6.2649401405 -3.67056501977398 0.000500559549935332 0.113252580356189 -0.221475276861026
"NID1" -0.178106918055258 5.86927323798387 -3.65846279009374 0.00052041989589581 0.113252580356189 -0.256215898357326
"RIMBP2" 0.539340349483066 8.66179142454839 3.65342333709195 0.000528909690263377 0.113252580356189 -0.270660936633138
"ATP6V1B2" 0.823137143233512 10.0519589850645 3.65032937926693 0.000534187263189214 0.113252580356189 -0.279523235695804
"FZD6" -0.206807019365419 4.97788379567742 -3.64487397761287 0.000543615506818649 0.113252580356189 -0.295138134683593
"SERPINF1" 0.359228649525847 7.97771280374194 3.64411300602008 0.000544943194352757 0.113252580356189 -0.29731508298844
"MPC2" 0.516858216889483 9.07600746959677 3.63822346353048 0.000555323931439975 0.113420125721344 -0.314153904147441
"IDS" 0.408509912408199 9.47418477175806 3.62579783115447 0.000577846908865917 0.116019906481791 -0.349623726830449
"NSF" 0.865734155939394 10.4738065802581 3.6108344538152 0.000606126133045201 0.119669502867558 -0.392235791555413
"SNAP25" 0.787171693424242 12.1112538803387 3.60106049231495 0.000625304652335733 0.119897009765085 -0.42000925334208
