"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -8.37900705252003 -0.743716566640905 -37.2023963541889 5.91859953013197e-79 1.18167529891599e-75 167.397663711369
"SAGE1" -1.53887216444946 -4.39601429701723 -3.72819288199576 0.000270265138938921 0.100602762396213 -0.0241524070762704
"PNMA6B" -1.25388469885192 -3.64078001119489 -2.87273155401304 0.00464270534975037 0.614235511392877 -2.69080770813916
"TSPEAR-AS1" -1.15402897892798 -2.49498791195343 -5.35651724005644 3.02821098351041e-07 0.000175014656894357 6.23361783016706
"RP11-575H3.1" -1.14290958960946 -1.88510750883709 -5.46276444332312 1.83945406898933e-07 0.000109184027738226 6.64994265894496
"CCL19" -1.12214496272236 -0.406291982968403 -3.55247559213103 0.000506489053995643 0.171130963136189 -1.10921661063412
"BMS1P10" -0.993158713222196 -2.02566520137054 -3.87127155771683 0.000159458610779212 0.0636732729078738 0.210435200346382
"RP13-33H18.1" -0.951535658539535 -3.14114315700037 -5.18085632921993 6.81128308759604e-07 0.000364852193097035 5.53016353572053
"CT45A10" -0.938377821261093 -3.87557622305904 -2.52563434187607 0.0125576977255505 0.720083962006632 -3.53979823557856
"TLX2" -0.916860835639562 -1.87558637311326 -3.40701915097225 0.000837608161325807 0.261461366571744 -1.35562032139701
"TSPEAR" -0.895542500545469 -3.39467548139903 -3.73352632036676 0.000265070168620108 0.1003701904006 -0.0884525986509512
"TSPEAR-AS2" -0.895289967021554 -2.7525598895274 -4.63002943830138 7.70772567778484e-06 0.00345463410888797 3.17286492042257
"SMIM24" -0.892555608290577 -0.679253524501739 -4.80793089759653 3.59099875558505e-06 0.00164303155562831 3.64555172745305
"C1orf168" -0.842868363841223 -2.96176542589032 -3.24619421252611 0.00143457934480366 0.368703304868847 -1.7009451482983
"PRSS30P" -0.819103045435552 -1.83574783198111 -4.94761153470902 1.94508650584383e-06 0.000928651953072656 4.38414409968735
"RP11-1094M14.5" -0.81393737773388 -3.69631312243767 -2.88193777283144 0.00451600732627628 0.612373944252671 -2.64938293860185
"CYP4F2" -0.803805477706938 -3.78947736966394 -2.54319105137773 0.0119684368701737 0.715609129726267 -3.49705384331976
"SULT1C2" -0.800772480631025 -2.70330687628955 -2.41750952894682 0.0167926902957012 0.739080289126634 -3.94843031367177
"RGPD2" -0.794104124190411 -2.59809817062004 -3.30400977117438 0.00118488608133805 0.321265038498102 -1.57005342985186
"RP11-706O15.3" -0.786926323375857 -3.39189366447938 -1.81174904922431 0.0719691684994824 0.786778123812654 -5.08424646187451
"RPL31P54" -0.77201320164745 -3.50636831418009 -2.70656839921147 0.0075639707420263 0.68751628908482 -3.12779304667122
"NPIPB2" -0.762435128091899 -0.742354586158531 -2.02266757248252 0.0448342214948118 0.783242667753761 -5.08451387909431
"RP11-326C3.16" -0.748028602073928 -3.04492511811261 -3.10226088430807 0.00228426927556083 0.477658151970127 -2.11378064250706
"CETP" -0.741898086792844 -1.61902487863986 -3.69694445012758 0.000302691445412937 0.110795158735982 -0.438657613511062
"SFTPA1" -0.741616390070952 -3.19609956518031 -1.81244293349623 0.0718614260058384 0.786778123812654 -5.10468838577082
"RP11-315D16.4" -0.720925677124376 -3.40860431128825 -3.11716238378171 0.00217844524154996 0.477658151970127 -2.02022365529617
"CRP" -0.718744834030953 -4.18017605465898 -1.76632369332313 0.0793186151422781 0.800748479359638 -5.05496162777727
"LINC01783" -0.716875279093349 -3.60444146312558 -2.68258792125736 0.00810160188255312 0.695605443537623 -3.17715161211689
"LEFTY2" -0.707198476867728 -2.69202884112519 -3.57386395646497 0.000469766454374695 0.161203294859017 -0.696622480874808
"RP11-351I21.11" -0.701562315324558 -2.77495900040587 -2.34435003332014 0.0203343182412918 0.764438493316311 -4.09846589329157
"RP11-195E2.1" -0.696490740160149 -3.17919418699553 -1.63238079280001 0.104638004555719 0.808418580515197 -5.41101073792749
"TCF23" -0.695663787651693 -2.86691534033301 -2.75492931938907 0.00657683307784086 0.683879729722671 -3.08844678815571
"OR7E115P" -0.693838458947555 -3.72118182295542 -2.84737637039218 0.0050086318015087 0.639532393167058 -2.73294963839128
"TPO" -0.685688973530412 -1.6235391781614 -2.59407770237319 0.0103978424778805 0.708904716529463 -3.67977279700571
"TCF24" -0.680455613903884 -3.35672523320813 -2.45265064633976 0.0152947653734997 0.731816202903704 -3.76882499076712
"ESPNL" -0.678941965636633 -1.587296742256 -2.82136946501762 0.00541114882920541 0.653490682205884 -3.09957080847549
"RP11-301L8.2" -0.677825929894891 -2.80866085103879 -3.77037153670778 0.000231681036523056 0.0908603379307029 -0.0237448310954793
"RP11-350J20.5" -0.677007110374482 -3.10509535832083 -2.80009198301043 0.0057621637703296 0.673131067680738 -2.94004208934786
"FGG" -0.671701547283577 -4.58469366168962 -1.67109899556377 0.096728708777618 0.808418580515197 -5.15891978694196
"SLFN12L" -0.668107841389643 -2.80324897258481 -2.89816737781263 0.00430032861129933 0.606376607574752 -2.71562558627951
"RP5-971N18.3" -0.666139354452376 -3.4841536370572 -3.48203741997149 0.000647445282460812 0.209105783726535 -0.895487217751684
"ZNF366" -0.666058208007877 0.0565524382762773 -2.83732461098067 0.00516084897390495 0.645741680556328 -3.2978497577376
"SERPINB9P1" -0.663920374477422 -0.97587843101819 -3.3117664746059 0.00115465542702371 0.320994208712591 -1.77066171514438
"RP11-486B10.4" -0.656107529429029 -3.76680595775826 -2.67611105495447 0.00825261749091046 0.699783727163612 -3.17234003749755
"FAP" -0.653761457561733 -1.00110940194467 -4.24264249685598 3.79582928197293e-05 0.0166728005381379 1.44505775058904
"FOXB1" -0.652426124768791 -3.3740976531663 -1.9136733227304 0.0575130612062506 0.78404832415374 -4.89932022617927
"HERC2P4" -0.652364166756836 -2.66697496820383 -2.4247901771955 0.0164720741699748 0.735508625861627 -3.92866882844389
"KRT4" -0.649503692871903 -2.22356633920784 -1.19040181228764 0.235716352056053 0.846257258526579 -6.16829666803997
"HCAR2" -0.649235192057839 -3.40948080949354 -2.2743042700462 0.0243257028521926 0.764438493316311 -4.16277247475386
"RP11-902B17.1" -0.648299449923715 -2.44168433380055 -2.48927774496866 0.013861068008018 0.729105054388971 -3.81075745180898
"GLI1" -0.644983563283682 -0.530257643803486 -2.51926153006716 0.0127779235485107 0.720448743136394 -4.02009024748271
"PADI4" -0.644632115484593 -1.40180791062049 -2.32245614632988 0.0215149885691678 0.764438493316311 -4.34646411842491
"SLCO4A1-AS1" -0.641397596975024 -2.37904846874995 -2.16136992463446 0.0322085201283688 0.775991024096342 -4.55274105639853
"TPSD1" -0.639028308929814 -2.23933469806951 -2.10872508508654 0.0365830410600336 0.782981225677351 -4.6765910639009
"CA5A" -0.638590757537178 -1.72314948476616 -3.10096495670248 0.0022936936218676 0.477658151970127 -2.2931733779012
"CTB-96E2.6" -0.638416121501225 -3.14472938687132 -2.58098430470401 0.0107832030316056 0.708904716529463 -3.48670781737595
"ZFX" -0.638137509175067 3.91778409328804 -10.6273315379229 3.85894455391883e-20 3.85227910423479e-17 34.7657183153134
"RP11-153M7.3" -0.63439440560556 -2.5557163319033 -1.68801924078004 0.0934273288569941 0.808418580515197 -5.41419794061587
"GOLGA6L4" -0.633689173058026 -2.72183200117431 -2.37610364702525 0.0187233997069932 0.764438493316311 -4.03020204433709
"HIST1H3H" -0.629946418694489 -3.785269467069 -2.07502977046746 0.0396435823616307 0.783242667753761 -4.52886992300785
"TTLL7-IT1" -0.629577825670405 -3.68914055432011 -2.14535302145033 0.033488871258443 0.781064800162893 -4.39551003060225
"TTR" -0.625437741349481 1.37892948466941 -1.07475687545842 0.284161021144193 0.855225401375529 -6.85911992569115
"RHOXF1-AS1" -0.623940141006406 -3.22345405169472 -2.01232820708751 0.0459248676285388 0.783242667753761 -4.72540063273284
"RPL7AP10" -0.618953900711519 -3.67273087860102 -2.59185933991839 0.0104622492196159 0.708904716529463 -3.39290997766166
"SULT1B1" -0.608992587053051 0.121711515898028 -2.44189499865598 0.0157401034928704 0.732381679894957 -4.30270835813986
"GPX8" -0.605250946159252 -1.12733404189232 -2.8920387807081 0.00438063969728803 0.606376607574752 -2.97048711596086
"CNTFR-AS1" -0.604424960914893 -3.17344577142422 -2.57593869799606 0.0109350932248017 0.708904716529463 -3.49304932626098
"WDR87" -0.603281099628544 -2.81657838317488 -2.89674824718128 0.00431880448786623 0.606376607574752 -2.7147182124614
"TMPRSS4-AS1" -0.602927159241218 -2.95395163810056 -1.98865964429555 0.0485067541957045 0.783242667753761 -4.80949435817129
"SMPD4P1" -0.602617878275375 -3.38669387176149 -2.84788577622435 0.00500102794283723 0.639532393167058 -2.76905862273953
"RP5-998N21.4" -0.602458065576287 -2.86213760591103 -2.17085312743114 0.0314705960931858 0.775991024096342 -4.46296571953872
"TMEM30B" -0.596828090861028 -0.999880929453472 -3.34695946705919 0.00102632155788447 0.300534320723451 -1.65141562260259
"CYP51A1P2" -0.595008434688683 -3.19434234864916 -2.00308418085604 0.0469189986746219 0.783242667753761 -4.75041054546891
"FCGR3B" -0.592048354449333 -0.388048034503571 -2.13896492117564 0.0340116528308684 0.781064800162893 -4.89477278347619
"TSHR" -0.591853789642743 -2.1602239750485 -3.05474211432066 0.00265430770384789 0.498737550716842 -2.36026297875067
"CES1" -0.590109301413993 -0.959725832852339 -2.57000192089826 0.0111162670894508 0.708904716529463 -3.8324718817136
"APOB" -0.588687471458096 -2.42335873300634 -2.84842153832357 0.00499304203925936 0.639532393167058 -2.89853476198436
"LINC00840" -0.586829785883077 -2.23785379055405 -2.18803789682675 0.0301706483270003 0.774534037940194 -4.51464397451449
"RP11-386I23.1" -0.583990301851216 -3.01282910581817 -2.5674241721644 0.0111957676574708 0.708904716529463 -3.53428188805995
"NLRP2" -0.577948134946789 -0.209729651020589 -2.10354571319774 0.0370398365588515 0.782981225677351 -4.99229734375092
"RP11-1023L17.2" -0.574318841475495 -2.95947088734427 -2.29170944376315 0.0232746632179874 0.764438493316311 -4.18451950462219
"RP11-1I2.1" -0.573938898026263 -3.29313130958513 -1.9305199104721 0.0553759063939946 0.783242667753761 -4.87259846708577
"MALL" -0.572707751671278 -2.71564247467791 -2.35820447878393 0.0196170182605417 0.764438493316311 -4.0730815439667
"SLC52A3" -0.571455043208463 1.91685074890935 -2.12662776758585 0.035041247939425 0.781064800162893 -5.28566361692863
"ACOT6" -0.567326105700352 -2.98559702628897 -2.20692725000102 0.0287957552618092 0.774534037940194 -4.35788718779671
"TMEM92" -0.567164141868739 -3.19662825248539 -1.86740220984633 0.0637419417780963 0.786778123812654 -5.00415793906175
"MUC7" -0.567107141232187 -4.51565785390459 -0.955633096852715 0.340752143403265 0.870084707990059 -6.07548881049293
"KDM6A" -0.566481991461435 3.3674803098394 -7.70273043807241 1.50186488639207e-12 1.22162802351639e-09 17.4675989179763
"RP11-52L5.6" -0.562062023454312 -3.68292820158964 -2.14547671188601 0.0334788177107236 0.781064800162893 -4.39406621078228
"JPX" -0.560881505112866 0.630201443851547 -7.73974500884709 1.21803333095865e-12 1.02886338517361e-09 18.0329527455051
"LINC02202" -0.559483067116083 -3.17337354343404 -2.02501983234716 0.0445891971020311 0.783242667753761 -4.7065479166198
"SPRR3" -0.558804774192831 -3.05371180767327 -1.08603737559668 0.279155883540048 0.855225401375529 -6.15212882400938
"FOXL2NB" -0.558447431766292 -1.20776909035922 -2.24136203152056 0.0264291143099517 0.764438493316311 -4.55448276746473
"LTA" -0.55827431050594 -2.54811499474265 -2.30326934495553 0.0225987967018583 0.764438493316311 -4.21617694884666
"NT5CP2" -0.555829935288158 -3.97451519662028 -1.82978620018 0.0692115110270027 0.786778123812654 -4.95758600206539
"LINC00649" -0.55334573379413 -1.26665672491024 -3.62079500292883 0.000397790695615092 0.138671099319026 -0.733406809821235
"ACE2" -0.552914074400921 -2.6419920592566 -2.46154374610519 0.0149350426667812 0.729105054388971 -3.83799849399473
"EIF2S3L" -0.550998121809479 -3.47412598010929 -1.94604241615607 0.0534662685412631 0.783242667753761 -4.81494362419526
"POM121L9P" -0.550202092757374 -1.10399010442263 -2.16619878041887 0.0318309184682557 0.775991024096342 -4.73062748197916
"RP11-930P14.1" -0.547679362177535 -3.4884141324197 -2.64858843783924 0.00892310353120279 0.708904716529463 -3.27158672859945
"DQX1" -0.546406831035445 -2.32225149264109 -3.03023970225538 0.00286603430670887 0.526384246640777 -2.40551952278548
"CLEC10A" -0.544832784938423 -3.81121019964041 -2.1278191154092 0.0349406657291899 0.781064800162893 -4.41415140293134
