"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.14178975961538 6.23392 26.2203301232099 2.75126623657327e-22 4.75473831004593e-18 22.2886811735528
"NLGN4Y" 3.38069706730769 6.50268448275862 24.4780070739245 1.9921254455557e-21 1.72139559750468e-17 21.816494072115
"PCDH11Y" 6.09642451923077 6.90345379310345 22.7474425755279 1.62223682725775e-20 7.4072934151589e-17 21.2625262165051
"UTY" 3.45165144230769 5.82824172413793 22.7033460436159 1.71445282146948e-20 7.4072934151589e-17 21.2471393751976
"RPS4Y1" 5.60148192307692 7.03885586206897 21.7169403561163 6.0589240222247e-20 2.09420649904174e-16 20.8844741703081
"USP9Y" 3.76762990384615 5.93931620689655 19.8557947071178 7.57646391452692e-19 2.1822741561809e-15 20.0912777702758
"EIF1AY" 3.63880903846154 5.75260724137931 17.4547494829168 2.7132822974301e-17 6.69870638059814e-14 18.8041614071918
"ZFY" 1.554131875 4.62442206896552 10.0959627707787 3.53053531216948e-11 7.62683890811411e-08 11.7125459037776
"TMSB4Y" 0.615307788461539 4.68959862068966 4.87175134005297 3.3200744715532e-05 0.0637528077970915 1.90995712953656
"TTTY14" 0.569018509615385 6.26942586206897 4.62077015406224 6.73784867706078e-05 0.116443500836964 1.35159417448123
"PRKY" 0.708124615384615 5.10566482758621 4.1114317959819 0.000279513956143628 0.439141835461288 0.221043612344083
"TTTY10" 0.656958365384615 4.19624517241379 3.76270786720991 0.000727027736514908 0.998185000809963 -0.542534355767979
"C8orf47" -0.642161730769231 4.97864310344828 -3.75055129246955 0.0007513885611118 0.998185000809963 -0.568889187625538
"RAD9A" 0.480468990384616 6.25164172413793 3.5987928340644 0.00113108562448615 0.998185000809963 -0.895991474984459
"BATF" -0.36932548076923 4.59146344827586 -3.57872897367395 0.00119350869116266 0.998185000809963 -0.938952483576237
"NXT1" 0.315582067307692 5.29480655172414 3.51535562836563 0.00141339229134386 0.998185000809963 -1.07416869724986
"RARRES2" -0.344933894230769 5.1740024137931 -3.39826652051215 0.00192698604696608 0.998185000809963 -1.32192890001993
"MTHFR" 0.328845432692308 6.44840965517241 3.39388494220191 0.00194934093614554 0.998185000809963 -1.33114472579316
"DBNDD1" 0.417895432692308 7.86290068965517 3.31756177750846 0.00238122754503723 0.998185000809963 -1.49098825270399
"TMEM163" 0.856037259615385 6.90536103448276 3.30637280105371 0.00245180846071653 0.998185000809963 -1.51430861404861
"VIPR2" -0.332549663461538 5.10742586206897 -3.30595672239507 0.00245447149364095 0.998185000809963 -1.51517524454323
"SCRN1" 0.425083653846154 10.9191827586207 3.26050206109092 0.00276273326965369 0.998185000809963 -1.60959924554625
