"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y2" 8.37529294054842 7.90462621446587 145.001150439249 0 0 851.884559028933
"DDX3Y" 5.66266008376878 7.40180279786954 138.123756879794 0 0 832.259592544398
"XIST" -7.46026648906735 3.99799316670183 -126.143520809935 0 0 795.26145801045
"TTTY15" 5.60289528491204 5.91993205239682 94.1791489835911 2.10055479654044e-302 1.08898012039648e-298 674.260517990212
"RPS4Y1" 5.0556593913444 9.12868151720429 85.2768713861737 1.12959802962149e-283 4.68489486805217e-280 632.992162461346
"NLGN4Y" 3.38674861342483 6.42338117172291 84.0783076464963 5.08156153514398e-281 1.75627235923801e-277 627.119600592993
"USP9Y" 3.84360626679231 4.38477942888394 67.4292714667466 2.50632111126657e-240 7.42479726919071e-237 536.347671268138
"KDM5D" 2.7685218667462 6.88578902513679 60.8503251851487 6.49272087817384e-222 1.68299441063364e-218 494.918840365226
"TTTY14" 4.48533842983047 6.50742217849058 58.3928194972609 1.24193524857142e-214 2.86155680551394e-211 478.486627251263
"TMSB4Y" 3.05589132696629 3.56422735606561 54.0599895463651 3.30396719760247e-201 6.85143677766824e-198 448.127300377565
"CYorf15B" 3.10493575899531 4.95117604392592 49.6704692648332 8.77982774458775e-187 1.65515716308651e-183 415.425562089137
"UTY" 3.20584553557384 3.9203736852324 41.7993764488093 1.30110669953704e-158 2.24842080235831e-155 351.356811472162
"C12orf28" -2.62000216799846 3.16442332466357 -40.0984520766896 4.17597717788842e-152 6.66132605675939e-149 336.527350821398
"EIF1AY" 2.1129038481278 6.83666748383399 39.2605106601653 7.6405554145187e-149 1.13172998307767e-145 329.087885556789
"CD24" 3.27239334807911 4.87851639322644 36.3450354586999 3.39433857011969e-137 4.69255992857147e-134 302.507265570845
"ANKRD65" 1.86227188686311 7.39564647378026 34.3415296188078 6.35198543062469e-129 8.23257011717902e-126 283.612893791204
"HSFY1" 2.47612223163811 3.04519156355985 32.0840857031506 2.40578317125994e-119 2.93463091896573e-116 261.719780486659
