"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y1" 3.13704949847189 8.2251175727537 15.0870435093671 1.25729102727446e-11 1.05549581739691e-07 4.62344399482485
"KDM5D" 0.934476243814123 7.90803721046463 8.87865867694845 5.59572123214368e-08 0.000234880398719231 2.73763552622126
"XIST" -1.73147825900519 6.09825768474913 -8.28952498511361 1.52271706297161e-07 0.000426106991454888 2.41384256035304
"USP9Y" 0.799486678439499 5.63448673066069 7.03596599185775 1.48855808613923e-06 0.0031241112832847 1.58376386297
"DDX3Y" 2.91903068711464 6.58010604483799 6.01814992096227 1.10728960047026e-05 0.0185913923918957 0.742730918971985
"UTY" 0.93788976166039 5.82456957765344 5.6851185713734 2.19938648282677e-05 0.0307730825388845 0.431113934059776
"CD24" 0.472694691492874 5.18482689968478 4.47447013776555 0.000296097190847906 0.355105131024025 -0.857366225721612
"MPPED2" 0.396696766519292 6.37797308938075 4.0607423617423 0.00073963205122622 0.776151383755514 -1.3493046787123
"ASMTL" 0.494755982820322 7.43879340069867 3.66766543676354 0.00177222717976191 0.999933121785745 -1.83534626350427
"EIF1AY" 0.324501042832154 5.07457011631883 3.18808362200606 0.00511661731901229 0.999933121785745 -2.44362708915341
"ADIPOR2" -0.482065995447177 10.0541135313986 -3.10802449927566 0.00609675560387747 0.999933121785745 -2.5458114748772
"MTHFD2" -0.37048855823011 6.26685382278403 -3.09418327882795 0.00628386621752342 0.999933121785745 -2.56347565010347
"TXLNGY" 0.30846397177937 5.36347679186084 3.07022324205489 0.0066210867875614 0.999933121785745 -2.594048611842
"DGCR9" 0.370483498628652 8.02163178479842 3.01986969372577 0.00738820256016693 0.999933121785745 -2.65826909983269
"CRYM" 0.809613788729557 10.4898630013197 2.96150264301859 0.00838575013935076 0.999933121785745 -2.73263072911279
"CPSF4" 0.254895738768322 8.19718019490089 2.90466494764424 0.00948197834851874 0.999933121785745 -2.80492581125963
"CCND2" 0.310019239121031 7.56963945242366 2.80358901339871 0.0117824021695459 0.999933121785745 -2.93308159458498
"USH1C" -0.255833996838116 7.9764708608222 -2.75012053424867 0.0132076001682519 0.999933121785745 -3.00060025654291
"SLC25A46" 0.302670831996916 8.69580381265348 2.73038615802524 0.0137742583181331 0.999933121785745 -3.02546283829957
"WDR45" -0.229897033761968 7.02752305546531 -2.7114596994437 0.0143395277003637 0.999933121785745 -3.04927583835377
"UCHL3" 0.208604009152696 5.93713880242938 2.64784416916219 0.0164064260154886 0.999933121785745 -3.12906728400052
