"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -1.9149231977261 -0.8935922155 -49.9674374624789 8.10126555967892e-126 1.58161007521612e-121 269.664940070441
"RPS4Y1" 1.70035235069929 -0.449028157782609 48.2032566475974 1.58503581997586e-122 1.54723271566944e-118 262.703220149773
"DDX3Y" 1.63235361925646 -0.413201271947826 46.7142855031906 1.13732603709219e-119 7.40133874071692e-116 256.632396641423
"USP9Y" 1.06275208124475 -0.219544624032609 44.4597818656765 3.3357657098421e-115 1.62810384883118e-111 247.082454785746
"CYorf15B" 1.22511575151599 -0.2741522717 40.3926073917966 1.13178745984949e-106 4.41917731572831e-103 228.680633711585
"JARID1D" 1.44563514605943 -0.30592294 38.9276458402927 1.93563854789852e-103 6.29824522843714e-100 221.65475870935
"PRKY" 0.858775115119509 -0.147200507652174 36.6134541293625 3.80876023118006e-98 1.06226322847612e-94 210.094983468821
"UTY" 0.385351124527375 -0.0441135237733565 35.415821896158 2.59759184776366e-95 6.33909820548625e-92 203.880880432413
"CYorf15A" 0.592441192879038 -0.0589889850043478 34.0300597187779 5.98668572374376e-92 1.29864517094055e-88 196.484982445208
"EIF1AY" 0.589337014048773 -0.0527997720434783 29.7501509824148 5.78527932401524e-81 1.1294600824275e-77 172.173431167894
"HSFY2" 0.338401427990179 -0.000503816033239131 25.0653824548077 7.85217164372203e-68 1.3936177000035e-64 142.856875829882
"TMSB4Y" 0.745865445607558 -0.167986398417391 23.6382356817916 1.35777573878967e-63 2.20898797903256e-60 133.348716555695
"CD24" 0.448420324350065 -0.0890812401991304 22.5447968769914 2.83925949290907e-60 4.26391254462029e-57 125.885122747693
"ZFY" 0.289867143151486 -0.0166876512695652 20.8578353556054 4.95973741884089e-55 6.91635383057362e-52 114.079225933622
"HSFY1" 0.260301777196027 0.01215581052 19.2523968390496 6.42726085941321e-50 8.36529425055494e-47 102.542267058122
"DDX3X" -0.161300279683463 -0.0254522525652174 -17.7724169083304 4.08856787822127e-45 4.98881941790712e-42 91.6849921051151
"ZBED1" 0.132604461443798 0.019569753326087 16.0583793297887 1.79162303921489e-39 2.05752097615249e-36 78.915666847838
"XKRY" 0.188811651163466 0.0537966525141739 14.7331155145468 4.39878885152267e-35 4.77097526379317e-32 68.9692623066382
"NLGN4Y" 0.136339697497804 0.020178843733913 14.1665030990818 3.30782242511218e-33 3.39887458976132e-30 64.7165806979417
"RBMY1E" 0.18680218797949 -0.030829778726087 13.1057831617393 1.04007856814342e-29 1.0152726942932e-26 56.7872690402844
"RPA4" -0.14185209248968 0.0210132703578261 -12.787521783591 1.14833245449385e-28 1.06756640519445e-25 54.4224724239954
"TTTY19" 0.085029364864761 -0.00370198422521739 12.0965193557364 2.03907983230368e-26 1.80949798027567e-23 49.3226649309821
"XKRY2" 0.191144758639212 0.0569302296217391 11.9688468653776 5.27609117316654e-26 4.4784838249448e-23 48.3866505292732
"TTTY3" 0.143260369945736 -0.0161640992695652 11.6572086201634 5.32018016104141e-25 4.32774488683381e-22 46.1115634668662
"TTTY20" 0.117506047810546 -0.0511871452813044 11.0385727555276 4.98887617737367e-23 3.89591318443464e-20 41.6419864877804
"UTX" -0.147359615725291 -0.0167657296608696 -10.8131668546882 2.56379876354361e-22 1.925117048487e-19 40.0312278590634
"LOC100101115///TTTY21" 0.101955699692209 0.0445686510281304 10.3978318450562 5.08696730548122e-21 3.67825417425592e-18 37.0918415286286
"hCG_1811337" -0.0919862082167313 0.0562577261695652 -10.2325521949391 1.6519689869749e-20 1.15183537616825e-17 35.9333578712887
"RBMY1J" 0.0773995670182494 0.0227008159086957 10.0935111496153 4.42646255347002e-20 2.97992511832397e-17 34.9641036442815
"GPR23" -0.177544679462403 0.0477814632678261 -10.01439879978 7.73837533675936e-20 5.03587672331843e-17 34.4148625028867
"RBMY1D" 0.064950362204522 0.0331234321208696 9.8435547035119 2.57074551821313e-19 1.6189891855508e-16 33.2345469517191
"NYX" -0.114217725323552 0.0579467198935043 -9.60959872116113 1.31326302108924e-18 8.01213561272664e-16 31.6316080861701
"C12orf42" 0.106347790999564 0.037394302643913 9.50707967604158 2.67018197244729e-18 1.57969583782086e-15 30.9343117796692
"NR0B1" -0.120342470780798 0.0274523698808696 -9.25458567561721 1.51220915950845e-17 8.68319394737749e-15 29.2309172121358
"HDHD1A" -0.0917512099298773 -0.0297282474286957 -9.20767661478878 2.08234463264291e-17 1.16153183608821e-14 28.9167215653478
"AR" -0.15370720307332 -0.0342272291304348 -9.04000396935842 6.49548470704709e-17 3.52253744265779e-14 27.7996894196884
"RBMY1A1" 0.064092066976728 0.0324137555773913 9.02836108350807 7.02693697488829e-17 3.70775379893903e-14 27.722481440742
"LOC391777" -0.0762310779986273 0.0119340043369565 -8.84332694822967 2.43689486083974e-16 1.25198679916248e-13 26.5018598895044
"SNORD45B" -0.133339861909044 0.0290111626278261 -8.82797665672817 2.70026383519062e-16 1.35172438088273e-13 26.401148486837
"SSX4" -0.0445804846842679 0.0400472814121348 -8.65869117887961 8.32671606227444e-16 4.0640619420946e-13 25.2962445439597
"EFHC2" -0.127314935745187 -0.01836419828 -8.49111939014644 2.51214409671808e-15 1.19620949268847e-12 24.2132096946996
"AKAP4" -0.0702448511611515 0.023048338083913 -8.2881019705199 9.43520040479068e-15 4.38579565482687e-12 22.9159171159266
"DHRSX" 0.0509684882652778 -0.0435345658034783 8.26049063492233 1.12814449388683e-14 5.12203836143083e-12 22.7407717758631
"RP6-166C19.11" -0.12035510496405 -0.027197705383913 -8.25046461797289 1.20368840684912e-14 5.34082017429894e-12 22.6772522847231
"MAGEB4" -0.124087419500808 0.0731587278565217 -8.07548087834391 3.70613055361135e-14 1.6078841510701e-11 21.5754385531228
"PLCXD1" 0.15373472900436 -0.00606210284782609 8.06722504557209 3.90685663685488e-14 1.65812091568082e-11 21.5237760187531
"DUSP21" -0.0701489603728521 -0.00777356786695652 -8.06165756157827 4.04825690032822e-14 1.68157700989591e-11 21.4889529505686
"CXorf21" -0.154626028657138 -0.0116731283891304 -8.03932991472838 4.66802727296265e-14 1.89862284270937e-11 21.3494342547398
"CLONE795723" 0.0734188746499354 0.0513845093947826 8.02485597969265 5.11904226624488e-14 2.03957269722242e-11 21.2591064283362
"DDX43" 0.203524845788792 -0.0734122938026087 7.77853468931395 2.42572153908188e-13 9.4714723214991e-11 19.7360773523544
"PLAC1" -0.118494827859464 0.042096950106087 -7.74972514143886 2.90474084347695e-13 1.11194618602354e-10 19.559731429036
"ASMTL" 0.061711446143637 0.0220613431730435 7.73998442068881 3.08697632552177e-13 1.15898151544542e-10 19.5001938380978
"LOC441528///LOC389906" -0.0976278982313308 0.00785977529217391 -7.58321824172308 8.17063087057208e-13 3.0097212544562e-10 18.5480771159356
"KLK7" 0.170171957514454 -0.0134256904065217 7.50607572562362 1.31360358667606e-12 4.74916348568088e-10 18.083821093136
"GAGE1" -0.0555837170006298 0.00905872437695652 -7.43660156844542 2.00971692279705e-12 7.13376426977579e-10 17.668171626309
"VDR" -0.0880098832794358 -0.0101021018581159 -7.41160917522536 2.34058268864937e-12 8.15985639830388e-10 17.5192231614395
"ZFX" -0.0685163678410627 0.024519723476 -7.38986483387232 2.67180898536002e-12 9.15118014406731e-10 17.3898819926891
"MAGEB6" -0.0737054008407623 0.0629110755130435 -7.23476361899383 6.82229239340954e-12 2.29640714476783e-09 16.4741249410317
"MTNR1A" 0.175092006778101 -0.0478847934347826 7.06464066097165 1.88164771091963e-11 6.22634038309897e-09 15.483747760278
"SRPK3" -0.141029744355782 -0.011155423073913 -6.97458593601094 3.20031567437453e-11 1.0413293818469e-08 14.9656036882235
"LOC441019" -0.280200722791505 -0.0485001072826087 -6.91554632341623 4.5229425548541e-11 1.44756405735109e-08 14.6282510570601
"MT1X" -0.210390258696276 -0.0721697534233913 -6.90134533820366 4.91403320014566e-11 1.54736564784586e-08 14.547385879783
"ASMT" -0.0849344066127019 -0.0107417446215217 -6.87784686363148 5.63552990773643e-11 1.74638810140855e-08 14.4138169479494
"MGST1" -0.162481539041811 -0.0327598095468261 -6.86682437628453 6.00896300760891e-11 1.8330153874617e-08 14.3512665081266
"LOC645652" -0.132969225486273 0.000465103339130434 -6.8640248751371 6.10762295904343e-11 1.83444804660623e-08 14.3353903959907
