"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -5.77223352337324 4.91610182570596 -33.6067048323356 1.0192620389067e-66 3.44316909363073e-62 121.625394584836
"TTTY15" 3.07178571830839 5.30608305867566 30.460384622804 1.05115608670435e-61 1.77545518824798e-57 113.53426987481
"NLGN4Y" 2.21988261678903 5.80013382575892 28.8283554392971 6.00512953465148e-59 6.76197602700205e-55 108.908028479714
"KDM5D" 2.1494016505779 5.14789850665394 28.1645502758574 8.56206350693527e-58 5.99363560335735e-54 106.935826969152
"UTY" 1.79125360639402 5.28190223171079 28.15576207314 8.87131168905206e-58 5.99363560335735e-54 106.909354334251
"NCRNA00185" 2.35046886579569 5.33817143560822 27.7972746912031 3.79764572164839e-57 2.13813783538341e-53 105.821300275364
"RPS4Y1" 1.44393636061599 4.06833373799996 26.9787861501166 1.10480106070005e-55 5.33161209021549e-52 103.276243519537
"DDX3Y" 1.55622652779903 4.70921069549422 26.9105581472928 1.46790130817473e-55 6.19839676143134e-52 103.060207548216
"TTTY14" 1.7485582532456 6.02416818076131 25.5904799217453 3.96147476666317e-53 1.48691754547387e-49 98.759318707189
"TXLNGY" 1.2860854166762 3.81196466590868 23.3708575326553 7.57021341642536e-49 2.55729379420265e-45 90.9857638291318
"LOC102723889" 3.18774978990821 7.08927637877663 23.0152120937753 3.87729762383004e-48 1.19071810027821e-44 89.6742581473836
"RPS4Y2" 0.595278801104519 3.57016680947508 22.4912564473836 4.42393919595979e-47 1.24537574982265e-43 87.70784607244
"AGKP1" 1.61031551879261 4.77741099707771 22.426104569025 6.00198503624849e-47 1.559638896227e-43 87.4604551120585
"USP9Y" 1.57778476375113 3.83509907237212 21.9279263714606 6.29259769928042e-46 1.51835887770994e-42 85.5475856067047
"EIF1AY" 1.14217566649027 3.08499847151256 20.7960589631127 1.46985736909601e-43 3.31021678569548e-40 81.0602642457099
"CD24" 1.25430485339139 4.60724793479995 19.6311686361956 4.76305880457155e-41 1.0056305592327e-37 76.2337317203231
"RNU1-48P" 1.72023984401678 3.56400402378376 18.2200721140666 6.5890939327685e-38 1.30933048319325e-34 70.1006832714585
"TTTY10" 0.78683094805935 4.30983282984809 17.1623310577881 1.75339540793536e-35 3.29063612641469e-32 65.2983651966812
"HSFY1" 0.488502659813785 2.89958454424062 17.0331164062159 3.50089007289469e-35 6.2243982922345e-32 64.699830630369
"KALP" 0.588692189278423 4.1899654605913 13.669741454893 4.36711166089109e-27 7.3762699508281e-24 48.2755613653918
"TSIX" -0.31197472520321 2.93545296817167 -13.6380699150111 5.23163855770608e-27 8.41571343418424e-24 48.1139468644242
"PRKY" 0.69354197487518 4.05499373500249 13.3429459323786 2.82561398984471e-26 4.33873028140655e-23 46.6027892946089
"ZFY" 0.597005614983998 4.42993058168587 13.0328574464987 1.67290644238903e-25 2.45706315349321e-22 45.0053943159202
"TTTY3B" 1.16255431500208 4.87645156096071 12.496027575624 3.68327545976917e-24 5.18436367943593e-21 42.2189904410496
"KDM5C" -0.30058817431075 5.27661475510998 -9.88931170098871 1.30576208163462e-17 1.76439795518796e-14 28.4797330192264
"TMSB4Y" 0.311267486846869 5.34184606547122 8.63475263481592 1.62640096560979e-14 2.11313273151017e-11 21.9188696405529
"JPX" -0.395301849911039 4.68847648947586 -7.99951687494528 5.48737795574499e-13 6.86552276751932e-10 18.669252214192
"RNU6-255P" 0.914879249826187 2.84757355852996 7.93170402065719 7.95058443241421e-13 9.59209616826373e-10 18.3265219837439
"DDX3YP1" 0.345107186632689 3.64574733626591 7.54093239344632 6.59497738239603e-12 7.68223899843863e-09 16.370255300291
"TPTE2P4" 0.270576531435185 3.20068175536415 7.42980867993778 1.19518783479941e-11 1.34582134157863e-08 15.8202928220917
"LINC00278" 0.24112648566057 3.06243549824277 7.09792713611877 6.91389114622899e-11 7.53413409066973e-08 14.1965546096756
"HDHD1" -0.245452124511659 4.66807684939353 -7.078605938065 7.65008885000913e-11 8.07586410756745e-08 14.1029462411752
"GYG2P1" 0.218914556896624 6.31631896159849 6.45461190429177 1.88055111010942e-09 1.925057486382e-06 11.1413204781361
"RBMY1A3P" 0.359026018114851 3.1550863099801 6.4400213448052 2.02344357306804e-09 2.01041021593563e-06 11.073612231386
"RBMY2FP" 0.189331398399606 3.0250839647427 6.01909333499327 1.61502362159502e-08 1.55877465603147e-05 9.15433269920984
"FAM197Y5" 0.23720927894171 4.36425221917494 5.68349684521056 8.0234645005985e-08 7.52890706374217e-05 7.67518139735476
"DDX3X" -0.256905857138769 5.78811660015304 -5.67738013537471 8.25749362343513e-08 7.53909167819627e-05 7.64867417596971
"STS" -0.246783983586303 4.66090657236662 -5.62989250173558 1.03164906546524e-07 9.17108870538983e-05 7.44345411520401
"GLRA1" -0.496902014566843 3.88840502747102 -5.55862614597164 1.43804526533715e-07 0.000124560531047062 7.13739390031636
"RBMY1F" 0.491711644913546 2.38704662724406 5.1213968687226 1.04518699099084e-06 0.000882686543566543 5.31269405810815
"RBMY1D" 0.35937727496476 3.41718219423542 5.08856703337484 1.2082955395671e-06 0.000995547112734541 5.17953942601188
"LOC102724689" -0.802665806454391 5.60363390301237 -4.98246337020814 1.92318614762307e-06 0.00154683693459178 4.75305422560579
"KDM5C-IT1" -0.262502438161651 2.8514944845574 -4.59749501044186 9.85832621658723e-06 0.007744746928431 3.25727629286758
"GAGE2E" -0.504768553095714 3.33942802275485 -4.5676988178494 1.11483675837888e-05 0.00855915921245384 3.14501442449206
"DAZ2" 0.564050744153864 4.02157077199263 4.53409652542214 1.27988323305964e-05 0.00960794122133062 3.01903773005862
"GAGE12J" -0.441659000964888 4.05668983047862 -4.52741669515713 1.31539217214672e-05 0.00965983977549745 2.99407408186551
"RBMY2BP" 0.276513584103814 3.43566635292434 4.5202045028077 1.35479783531484e-05 0.00973753737761079 2.96715056261542
"FAM197Y2" 0.151004723279336 4.26491340614496 4.43928674568431 1.88269815883345e-05 0.0132498805215735 2.66720507407147
"THBS3" 0.204174228520254 4.96005955555972 4.40515294496025 2.16049186102331e-05 0.0146783166360446 2.54185847441046
"CT45A2" -0.205780516462721 3.49015286328899 -4.40376663956996 2.17256988189286e-05 0.0146783166360446 2.53678258669489
"DAZ4" 0.314232585302226 3.4556147427106 4.39144239610294 2.2828390767513e-05 0.0151208993826933 2.49170936001226
"CDY1" 0.147761429117848 2.37286186320818 4.35447778484738 2.6468279827576e-05 0.0171947107856797 2.35707524978159
"PLCXD1" 0.254451998715643 5.39613386098523 4.34560058331583 2.7422175864303e-05 0.0174782740164532 2.32486697931193
