"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 3.63837163554733 6.66970322027868 38.0400074772512 9.54848637844044e-74 1.66239147848648e-69 136.502234905037
"USP9Y" 3.70443161400577 6.01299307249838 37.165971915667 1.65194061131287e-72 1.43801430214786e-68 134.556938812009
"UTY" 3.14318687063148 6.10372639537868 35.4464576138413 5.31116986253693e-70 3.0822489102256e-66 130.537273261231
"RPS4Y1" 3.27999211168703 6.22852545647498 35.3583173924054 7.18375136301664e-70 3.12672778075299e-66 130.324081943178
"EIF1AY" 2.55822076921163 4.12566633121881 24.9014487944969 3.72652566379951e-52 1.29757623613499e-48 99.1395825504271
"NLGN4Y" 2.52697037316778 6.70503628785859 23.8444008775975 4.33024097032607e-50 1.25649158822295e-46 95.2307060037888
"TXLNGY" 1.69160141351024 4.14293924737074 23.3266278666899 4.66719810904323e-49 1.16079884397775e-45 93.2579331597064
"CD24" 2.39021522910737 4.70240170305252 22.5840967789338 1.49395841588368e-47 3.25122700256686e-44 90.3606932311565
"ZFY" 1.4254843139936 5.54498328980622 22.3794472957597 3.92960090773844e-47 7.60159464485846e-44 89.5478990419372
"TTTY10" 1.40531003435641 4.58597744081024 20.8981659633473 5.03135196953019e-44 8.75958377895206e-41 83.4774798987659
"PRKY" 0.654103065332149 5.61057980131511 15.9938507614137 6.91583586380864e-33 1.09458820353553e-29 60.9887906112872
"KDM5C" -0.416239008521081 7.52846313949192 -12.3476710120316 7.15465696400773e-24 1.03802148119479e-20 42.1230184185532
"TTTY14" 0.660981174103261 6.29052231913237 10.7494341108985 7.96118579294722e-20 1.06618649734778e-16 33.5125125196466
"TMSB4Y" 0.565135199313118 5.07309649965046 9.96626272162221 7.51445670286876e-18 9.34476365692464e-15 29.2857108759966
"ZFX" -0.553500738306603 7.42006508578681 -9.68276961218935 3.85879597601448e-17 4.47877586282747e-14 27.7617170898483
"STS" -0.441282546103076 6.62578646037694 -7.89363931361456 9.25520730104061e-13 1.00708224444448e-09 18.3401515409291
"KDM6A" -0.42106001060648 6.38836543091239 -7.2070393630982 3.73594479666373e-11 3.82604699470092e-08 14.87929587029
"HDHD1" -0.392127198559593 6.81842747755246 -6.97393049727921 1.27184639113396e-10 1.2301580927579e-07 13.7329540404285
"DDX3X" -0.315402342606503 7.13057325970127 -6.70553509683062 5.09966570487548e-10 4.67290420641484e-07 12.4338943083035
"JPX" -0.616628815996709 4.202333500124 -5.84280239505693 3.69281840169104e-08 3.21459841867205e-05 8.43400308854293
"TXLNG" -0.24661900174596 6.71233046172674 -5.51849460800905 1.70189466973469e-07 0.000141095172381338 7.01073571476805
"GLRA1" -0.688083357264271 4.13094370722473 -5.40330752380004 2.89340509747777e-07 0.000228973557941309 6.51711701534785
"STARD5" -0.241410408698741 5.84440039786362 -4.27382745198607 3.61818365935106e-05 0.0273880771779574 2.05318937953498
"TRIM25" -0.157152616278632 6.54089223691638 -4.25851184873609 3.84339439852678e-05 0.0278806235326463 1.99781636564185
"CACNA1I" -0.214192862118461 6.38385350592892 -4.20452867753156 4.74941966218019e-05 0.0330749585274228 1.80383655809059
"CA5B" -0.222324007193749 5.78212416890705 -4.02072584769012 9.62968728304117e-05 0.0644818675375949 1.15755465657514
"FAM118A" -0.429527348675223 6.80007930824124 -3.98194370151138 0.0001114745870923 0.0718804652324794 1.02404086821422
"MIS18BP1" 0.206294561755782 4.00691622498264 3.92348364824539 0.000138734561368494 0.0843191545849539 0.824692960331182
"NT5DC2" -0.333012721836396 7.05698437050643 -3.92017946972255 0.000140451205224794 0.0843191545849539 0.813494757515832
"RORC" -0.236883364254959 6.24226949706533 -3.90336246241925 0.000149506353978271 0.0867635207587235 0.756615123959247
"TRIB1" 0.182376748448296 7.06761861146372 3.88450832845054 0.00016031869944855 0.088408812117343 0.693074373726548
"SLCO4A1" -0.218184634262693 5.94991134852708 -3.88085594445358 0.000162497529451751 0.088408812117343 0.680793444996628
"ARAP3" -0.166647712630859 5.85138643790936 -3.84830259501154 0.000183201649477447 0.0966527490121922 0.571738266350279
"OFD1" -0.214069650220467 5.71415006539906 -3.77622700841447 0.000238314521763375 0.122031053644128 0.332880530371424
"SPATA13" -0.197835394979035 5.42388939071148 -3.73196692410724 0.000279601138898455 0.13908159509206 0.187992937014772
"PNPLA4" -0.205561790637748 6.12194555256231 -3.72120168366404 0.000290622325516681 0.140548185756817 0.152959813412297
"ESYT3" -0.294574602070598 6.85094925582063 -3.6174312851667 0.000420159305772815 0.197701986851479 -0.180538547152937
"NISCH" -0.201204283312019 8.21401056372408 -3.56069597171665 0.0005123641486909 0.234743679702857 -0.359626260716252
"MSMO1" 0.333382051291349 7.22673151323302 3.52533569702125 0.000579148812613824 0.258537969938633 -0.470068203819583
"RYR1" -0.13447740884064 6.73244598896263 -3.51179172338423 0.000606836020956703 0.264125378121405 -0.512130302412674
"HILPDA" -0.402385921858499 6.01467661672281 -3.46845883590182 0.000704019551210014 0.298950741135765 -0.645806267961158
"TMC2" -0.194554822786496 5.67412710636561 -3.44414679642654 0.000764767138026099 0.310103471070725 -0.720203435989914
"ZBTB16" -0.444787287395038 7.31107396302462 -3.44370799284354 0.000765907481679562 0.310103471070725 -0.721542226238506
"ACP6" -0.128542283201015 5.89611913875904 -3.40788054906474 0.00086459138770298 0.342103092270656 -0.830372841400315
"FLT1" -0.337618038379124 6.62727385939983 -3.38308019196852 0.000939753995599777 0.356545612227877 -0.905151185720496
"PPFIBP2" -0.148913149790658 5.64791308579086 -3.38235211239537 0.000942050440119606 0.356545612227877 -0.907339604827144
"PRPF3" -0.151224323811566 8.47896241301151 -3.35475374808162 0.00103307644532733 0.381458959525316 -0.990002333459965
"ZNF57" -0.259773879622877 6.45195924257777 -3.34939010384502 0.00105169615492333 0.381458959525316 -1.00600165686077
"STARD10" -0.115332577336137 6.66413930360679 -3.3149335498796 0.00117900148225577 0.418906445021896 -1.10826972524144
"FAAH2" -0.160983722819329 5.06862174203914 -3.30819676217816 0.00120551736474153 0.419761146403001 -1.12816068708752
"MC1R" -0.233365639015575 5.26982560877034 -3.28730157103244 0.00129134630450607 0.440830179636289 -1.18963847944319
"PIM1" -0.177658634740265 6.53279029891024 -3.266061163467 0.00138441301697342 0.463512127413602 -1.25179459968025
"ARSB" 0.0982675510908721 5.6381973190613 3.255983259249 0.00143072482735885 0.469979608383352 -1.2811664317682
"IKBKB" -0.121690061424549 6.59194588771251 -3.23866626198529 0.0015136908164856 0.473529032256466 -1.33145670890071
"ARF4" 0.178302788913442 7.5296486577565 3.23333276539427 0.00154013283388338 0.473529032256466 -1.34689986757628
"CXXC4" -0.232618829082125 4.97616660399784 -3.22666342586403 0.00157380286745188 0.473529032256466 -1.36618054185189
"CCDC77" -0.152737433985051 4.49047022589305 -3.2264680383084 0.00157479953348345 0.473529032256466 -1.36674488591066
"MDGA1" -0.252725151924361 8.40757898734991 -3.22437196193204 0.00158552858395565 0.473529032256466 -1.37279722235543
"NFKBIA" -0.291275375798838 7.55538953474383 -3.21615058573153 0.00162827107518625 0.473529032256466 -1.39650382946767
"PIWIL2" 0.163714331549652 4.00775901337256 3.21545790273962 0.00163192084637495 0.473529032256466 -1.39849885197304
"GNRH1" -0.166096728014607 4.6577733213537 -3.20942708957905 0.00166402061829367 0.474927851876931 -1.41585297142557
"SCGN" -0.401042716782601 6.74813865194386 -3.19733366333593 0.00173016682756181 0.485842007545987 -1.45056910354312
"ZNF185" -0.180245635430132 5.21229876079322 -3.1872505439932 0.00178717792477396 0.493885201116105 -1.4794289056119
"MT1A" -0.372752362742054 6.54713386348486 -3.15610711071425 0.00197447956816987 0.537120145028709 -1.56807557483795
"PLCG1" -0.161670291191232 7.99510419410649 -3.15019906625884 0.0020120060854653 0.537776089372571 -1.58480820041407
"FKBP5" -0.433438743697837 5.19961399933083 -3.14451144356368 0.00204875681233456 0.537776089372571 -1.60089118249829
"BTN2A2" -0.164380739729365 5.26111282576267 -3.13946227305346 0.00208190299742234 0.537776089372571 -1.61514793224905
"GTF3C5" -0.131204109492082 6.91058904898255 -3.13208355884926 0.00213123724715696 0.537776089372571 -1.63594700616742
