"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -10.1588111509491 0.393628325334196 -71.1993106445038 3.30518520336137e-250 7.60490063441418e-247 561.749206543942
"TSIX" -3.44573907348847 -3.73509343590301 -36.2790766395491 6.43865760060745e-137 6.44117707532073e-134 301.455169160487
"HBD" -1.0381833190768 -1.72546622969858 -3.34600264366906 0.000887167181950437 0.0130516813871468 -2.11506555122493
"PNMA6B" -1.01023113470252 -2.54684228038339 -3.72187767295504 0.000222282572757409 0.0052242080863894 -0.691517204637116
"RP11-475B2.1" -0.967231581269026 -3.63252505590971 -4.59098754235074 5.70323149681782e-06 0.000395257992500847 2.95703830522185
"ASMT" -0.927720715921515 -2.57737226790291 -10.3601469653774 9.63153801587914e-23 4.92471240460807e-20 40.6714581577883
"CXCL1" -0.882411157551613 -1.54371002329369 -4.28598518620978 2.21820016279134e-05 0.00105669912102828 1.33885603559597
"HAND2-AS1" -0.868627451560388 -0.538557805767244 -4.62365006829253 4.90850107119056e-06 0.00035612527319675 2.62373314746812
"DUSP5P1" -0.867231907003113 -2.49442949614278 -4.68771215622315 3.64759461281051e-06 0.000288410668199852 3.21864389871182
"GPR101" -0.86717586962166 -3.94026078960917 -4.78791576339708 2.27697748401468e-06 0.000201503749729592 3.88595804529294
"IL6" -0.848654670563244 -2.5851859914911 -3.52819112028206 0.000460540409570829 0.00843676296482102 -1.35553438153994
"SP6" -0.809972581354842 1.08597579449652 -9.08142350614557 3.19410596464685e-18 1.41333046424152e-15 29.8949150990703
"RGPD2" -0.802411302224311 -0.734404927460119 -5.34649524602798 1.41636367181413e-07 2.18718870636049e-05 6.07638400119164
"FCGR3B" -0.800710994016141 -1.89672429086066 -4.44986746149931 1.07959007681797e-05 0.000636804375721565 2.08841418692496
"S100A12" -0.786962805295863 -2.47490916112876 -3.79391222209732 0.000168139126841985 0.00442138647943684 -0.419941074486757
"EIF2S3L" -0.785102630789662 -2.58492695028978 -5.02449891045922 7.24339394678354e-07 8.11160907573931e-05 4.79182314025629
"HAND2" -0.763048165256286 -1.27340712083922 -4.14888978113461 3.98169650131734e-05 0.00161010289628841 0.743332666601416
"C1QL4" -0.756778854877529 -3.76661094091545 -4.05261931072747 5.9476153804499e-05 0.0021449636722378 0.75851733429008
"RP11-195E2.1" -0.747764142329672 -2.24083615078386 -2.78699651423775 0.00554046654010918 0.0434936683874037 -3.69138188194339
"LINC00840" -0.747723481033026 -3.71208663172274 -4.34539089626218 1.71304374595146e-05 0.000870097650123555 1.92799879681368
"WNT2" -0.737679635577966 -1.75387896810118 -4.8293622696365 1.86921453358934e-06 0.000172725932543603 3.75028207278264
"PRSS30P" -0.737053175511804 -0.077670013252223 -8.26479263618086 1.51622471445904e-15 5.81446907583134e-13 23.9695830597596
"RP11-70L8.4" -0.710089452549137 -2.69122292749928 -5.7407809999154 1.71515951540496e-08 3.34441570253836e-06 8.43215278878323
"ADGRG5" -0.709202762074557 -1.56819472109794 -6.474904616781 2.44289308612742e-10 6.46075023203515e-08 12.40298594085
"HSFX2" -0.692590910702246 -4.65081610063736 -3.16240286748065 0.00166842636100905 0.0197778578776184 -2.22011046196385
"RP11-554D14.8" -0.688191296103461 -1.89014652816281 -5.34466954414707 1.42986696997937e-07 2.1933206074837e-05 6.25377170969634
"RP11-603B24.2" -0.686930548030424 -3.95997592059928 -2.72663312374466 0.00664333067608504 0.0487735786617871 -3.57344942123184
"RHOXF1" -0.682920945273476 1.61154365093824 -2.44210543999778 0.0149781950925153 0.0816201933074453 -5.1803081260455
"RP11-352E6.2" -0.67929543827867 -3.84793727771995 -3.75509861288715 0.000195539245059821 0.00479589181574882 -0.346058133403151
"CR1" -0.677957170325396 -3.47852144296416 -3.87051930466423 0.000124341138088621 0.00361232985641551 0.0245064530005807
"RP11-603B24.1" -0.663273117754708 -3.55319286829186 -2.5251985955997 0.0118989522640606 0.0704958204961048 -4.15419559135565
"RP11-706O15.1" -0.661276719323463 0.133067554040262 -11.1384336429801 1.13999353043983e-25 6.72566952356156e-23 47.0277640407942
"COMP" -0.640955993912486 2.42747181568855 -4.68781740859783 3.64580553408116e-06 0.000288410668199852 2.46840968376811
"LINC01167" -0.633694630522545 -2.0054325649004 -3.97488466335559 8.17643211669245e-05 0.00269564919744907 0.187145587656286
"FFAR2" -0.620670760765933 -3.85239445683594 -3.57816849437255 0.000382807833801378 0.00748981755776862 -0.971203319838704
"SMTNL2" -0.613843109182285 -1.22873514768083 -6.57357950974385 1.33753345089514e-10 3.62062437313485e-08 12.9451314554841
"EGR2" -0.613364480136983 -1.61000967866004 -3.09766250191399 0.00207012926450168 0.0228339425920034 -2.89059647595119
"HSFX1" -0.610011033008873 -2.57276167945344 -2.68281610055082 0.00756399872254186 0.052851517341927 -3.90781896675356
"DEFA3" -0.602997232569173 -3.94145797882664 -2.72178860951733 0.00673990033984195 0.0492039119087782 -3.58842020827629
"DNAAF3" -0.60271214683983 -3.39022782847668 -4.11561073334035 4.57824044798642e-05 0.00177940429844121 0.958908065956795
"GCSAML" -0.594921285641875 2.99516065381199 -4.61621334908473 5.07950503677025e-06 0.000361840035266398 2.0523309737069
"SULT1C2" -0.592550729676767 -3.51904863472501 -2.87476630596591 0.0042311000696742 0.0365000251750169 -3.23075763569294
"CTD-2562J17.4" -0.589745427603638 -2.70666014131332 -4.84388952808598 1.74371500099374e-06 0.000164362719338645 3.97494266595782
"RP11-492E3.2" -0.588617831814207 -2.36863254670012 -3.69246357954772 0.000248801757862524 0.00561509439734047 -0.795900389099338
"AQP9" -0.584365927181135 -2.41598790184898 -3.34858034460337 0.000879151872090789 0.0129669265544468 -1.9630627721874
"FRMPD2B" -0.583074136549131 -2.37748354458342 -3.21395653319012 0.00140142038399185 0.0177261118143698 -2.40253409082577
"HLA-F-AS1" -0.582452690907681 -0.236219185728899 -5.008861453224 7.82409122229001e-07 8.61361315472109e-05 4.36279476903811
"MYL2" -0.581831105757001 -0.901652945395396 -2.52049227707986 0.012057005118997 0.0710392010507384 -4.59497117584997
"SULT1B1" -0.578153491249872 -1.09286840938877 -4.65262204894425 4.29356649495411e-06 0.000320748933384413 2.85283817781657
"ZFX" -0.574468658921452 4.98238697442928 -26.7190725170919 1.45006844162681e-95 1.23572684345894e-92 207.026285272482
"LILRA5" -0.567888625615347 -3.4666727877952 -2.7895456618785 0.00549777062753338 0.0432700894001041 -3.47310717642589
"SLC5A8" -0.566044168905866 -2.9159873531477 -3.95693740311357 8.79342606484295e-05 0.0028140186415295 0.269787552511988
"GLDC" -0.565677425568488 2.84031186766056 -8.53257803467463 2.10130088033868e-16 8.33600550960564e-14 25.493422654356
"MICE" -0.564499580818528 -3.18849304153736 -3.66422052114465 0.000277043836165404 0.00606774098222138 -0.763731481075387
"S100A8" -0.560598001510909 1.11568765946348 -3.67884868033903 0.00026205989868566 0.00582583208585347 -1.38082879987306
"MC4R" -0.560523330008214 -2.99457707688549 -2.78463791816572 0.00558023803128688 0.0437166145256656 -3.56698945956754
"HSPA7" -0.559627046385354 -0.384809250041519 -3.05033244960009 0.00241819013361445 0.0252686386447112 -3.22510437455371
"SERPINH1" -0.555785495438405 3.21593911590297 -3.92856800935995 9.85952159069498e-05 0.0030739530119282 -0.811842143188628
"MYOCD" -0.553381845780486 -2.19834042093864 -3.09250402795307 0.00210569068636969 0.0230713509536572 -2.80710925172689
"CD44" -0.553238666370613 3.07809009378315 -4.4168723645122 1.25029492955194e-05 0.000699952214940647 1.17816413661274
"CTD-3064M3.3" -0.547208993401066 -3.52441582598987 -2.99695073500238 0.00287473196490466 0.0283065059131837 -2.87967053068155
"BMP5" -0.547146187292916 -3.26587264826722 -2.75393465956186 0.00612207290636168 0.0464433813064543 -3.60345155743827
"IRF8" -0.547002911145732 1.42000975348632 -4.99135261217009 8.52768217644539e-07 9.16885229896411e-05 4.04103947271115
"BMS1P10" -0.546781365319524 -1.56138761698955 -3.99616646643016 7.49798823609459e-05 0.00252593281587555 0.205680506967159
"LRRC3" -0.545581720850674 -1.22517444837302 -4.88623344917073 1.42254684874157e-06 0.000139345504286099 3.93781935653898
"RPL23AP1" -0.545223555798087 -1.62924896954212 -4.40282111719276 1.33058329432103e-05 0.000732425622464894 1.86104995215283
"EGR3" -0.541164899880386 -0.685554177746345 -2.92975686510128 0.00356128164062284 0.032668544500046 -3.53399999810416
"NPY1R" -0.540643395207611 0.506981278917955 -6.40557218500572 3.71400528137085e-10 9.71085767262066e-08 11.700724918636
"SERPINA3" -0.535543332196085 2.28446155548846 -2.46614146695448 0.0140221588508578 0.0784283602333952 -5.21844205185241
"PHLDA2" -0.535150294050043 -2.85846481741465 -3.27575156302318 0.00113360798276988 0.0152890891415897 -2.12753557364422
"GSTM1" -0.532207237645832 -0.461570269578399 -1.47516668065878 0.140853195974038 0.337535798984665 -6.73945331705196
"SIX3" -0.531606338165577 -0.998102109923326 -5.21891250063732 2.73119050793778e-07 3.76299176030781e-05 5.49658209468335
"ABCA9-AS1" -0.531583321215407 -3.24787414051428 -2.8681484465613 0.00431900483675391 0.0369015901555405 -3.29226481909296
"RP11-809N8.5" -0.529756292475435 -2.59238975408702 -3.78310829541866 0.000175378166723031 0.00451878638088491 -0.425688104190071
"PDCD6IPP1" -0.528338507924794 -1.08271192805296 -3.51568148186544 0.000482189168275492 0.00868485444347075 -1.62197440066163
