"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y1" 5.38937333333333 6.48527833333333 43.5627050367078 8.14747368006294e-25 1.40804640138848e-20 24.0224366805773
"USP9Y" 4.3517475 5.81929958333333 41.6452534029616 2.43235867409892e-24 2.10180113028888e-20 23.8799985186773
"UTY" 3.91346916666667 5.63091541666667 23.2084517408534 3.01203997437174e-18 1.26661163902656e-14 20.755976962697
"DDX3Y" 4.33215583333333 5.91777541666667 23.1401383473579 3.22882096809904e-18 1.26661163902656e-14 20.7329437019354
"NLGN4Y" 3.82695666666667 6.4395075 23.0161855979068 3.66454009670918e-18 1.26661163902656e-14 20.690764151142
"ZFY" 1.83045166666667 4.63699916666667 22.2413709679865 8.20200734941519e-18 2.36245151687656e-14 20.4153736855245
"EIF1AY" 3.5829575 5.31407291666667 21.6416625002796 1.55753585099965e-17 3.84533351099656e-14 20.1874802167996
"TTTY10" 1.28607083333333 4.33658208333333 7.13785186196171 1.92654394997681e-07 0.00041618165679374 6.45279177100605
"TTTY14" 0.949425 6.17963833333333 6.57554192753847 7.43169961256784e-07 0.0014270514744933 5.3691696814673
"ZFX" -1.04327333333333 8.2295575 -5.76436527381347 5.54891307170708e-06 0.00958963157052418 3.71829087959021
"KDM6A" -0.615721666666667 8.56420166666667 -4.92697796184062 4.68566324326591e-05 0.0736160292455649 1.92695154304082
"OR6Q1" 0.440515 3.9406825 4.61806307026667 0.000103737392784904 0.149399135175726 1.25185370495329
"DDX3X" -0.904459166666668 8.77477708333333 -4.52297952278943 0.000132508177428109 0.171531433257316 1.04329637946689
"TMSB4Y" 0.461645 4.49556833333333 4.50452038305876 0.000138956143131722 0.171531433257316 1.00278390876619
"GHRH" 0.609041666666667 4.64636833333333 4.47167084739418 0.000151215092472711 0.174219948540893 0.93067465654821
"PRKY" 0.6037975 4.99171458333333 4.38641593098854 0.000188300196193625 0.203387749413639 0.743474918724305
"KDM5C" -0.550124166666667 8.67943625 -4.08812894957884 0.000404840822019523 0.411556416831847 0.0890176853404556
"QRFP" 0.626405 7.29981916666667 3.97941987058793 0.000534450704753896 0.51313205997538 -0.148748571204198
"LOC284912" 0.384624166666666 4.64884291666667 3.89193985698694 0.000667858038811608 0.6074696119338 -0.339562070643301
"KRTAP19-3" 0.586293333333333 4.3960175 3.82681430066913 0.000788014253573615 0.675752611116937 -0.48123790402683
"FOLR3" 0.438723333333333 5.51922083333333 3.70124342246612 0.00108273464573214 0.675752611116937 -0.753294278880531
"CALML3" 0.33478 4.4225 3.68124689125976 0.00113873360621319 0.675752611116937 -0.796463043419855
"POMZP3" 0.516271666666666 6.87186 3.6776155366509 0.00114920326874556 0.675752611116937 -0.804297477194221
"OR8B12" 0.413754999999999 4.41731416666667 3.63887424107023 0.00126693852701562 0.675752611116937 -0.887780853588382
"LINC00479" 0.303670833333333 4.22873541666667 3.63059779113575 0.00129358122036326 0.675752611116937 -0.905591670006163
"CASP14" 0.453181666666667 4.46633 3.62812213564063 0.00130165660254827 0.675752611116937 -0.910917559844745
"JPX" -0.969984166666667 5.72757875 -3.61423111368594 0.00134789124318809 0.675752611116937 -0.94078676171618
"CABP2" 0.513444166666666 5.46565625 3.59430108183679 0.00141704341462183 0.675752611116937 -0.98359717335079
"CYP4F3" 0.289858333333333 3.8749575 3.58137226021767 0.00146374560518556 0.675752611116937 -1.01134021027983
"ZSCAN4" 0.346661666666666 4.11780083333333 3.56568283017858 0.00152244301392298 0.675752611116937 -1.04497613677066
"SMARCA1" -0.679685 8.33094833333333 -3.5589316288767 0.00154840255614028 0.675752611116937 -1.05943914760373
"CSN1S1" 0.315535833333333 3.77825625 3.51346978358953 0.00173481394069044 0.675752611116937 -1.15665954387469
"APOBEC3D" 0.421048333333333 4.75873583333333 3.49541607227567 0.00181476371247064 0.675752611116937 -1.19518160285563
"GPR77" 0.3341625 4.27514291666667 3.48185726525291 0.00187715816835081 0.675752611116937 -1.22407938678456
"NRL" 0.639563333333333 5.78778333333333 3.47972252419279 0.00188717030142941 0.675752611116937 -1.22862650228034
"C6orf201" 0.419285833333333 4.10633208333333 3.45645136642083 0.00199974410366384 0.675752611116937 -1.27814788448283
"DSG3" 0.311561666666666 3.9869675 3.42443197178641 0.00216537763131821 0.675752611116937 -1.34613983700878
"NAALADL1" 0.344151666666667 4.57963416666667 3.41842966881815 0.002197878438102 0.675752611116937 -1.35886618761487
"HLTF" -0.44776 9.42202916666667 -3.40782889344551 0.00225644059804374 0.675752611116937 -1.38132721772748
"CHRFAM7A" 0.4127425 5.19283375 3.4067244732071 0.00226262828688444 0.675752611116937 -1.38366614908519
"SPATA22" 0.569948333333333 4.34432833333333 3.36320718619274 0.00252000103260361 0.675752611116937 -1.47565362666919
"CATSPER1" 0.349183333333334 4.52258666666667 3.36082670850548 0.00253487073927319 0.675752611116937 -1.48067558601218
"FLJ36116" 0.445890833333333 5.80141041666667 3.33070258374475 0.00273055218833032 0.675752611116937 -1.54413495328625
"STS" -1.0591375 8.38728625 -3.3210543029117 0.00279626515723737 0.675752611116937 -1.56442339380371
"PYCRL" 0.3684225 6.12931791666667 3.31919337917884 0.00280911467456634 0.675752611116937 -1.56833447467541
"DND1" 1.00864333333333 8.73127666666667 3.31799480364889 0.00281742099541424 0.675752611116937 -1.57085314904719
"OR4C11" 0.347702499999999 3.66936208333333 3.31061651520394 0.00286908007441655 0.675752611116937 -1.58635161754568
"SDCBP2" 0.547735 5.457275 3.30516394919133 0.00290784432593958 0.675752611116937 -1.59779812587243
"STX3" 0.403989166666666 3.86385041666667 3.30390447523586 0.00291687020300163 0.675752611116937 -1.60044128862244
"SLC5A5" 0.356214166666666 5.12218458333333 3.28841239155896 0.00303013470915486 0.675752611116937 -1.63292745807168
"HHEX" 0.302226666666667 4.1850925 3.27479507757147 0.00313319688447377 0.675752611116937 -1.66144230363699
"TRAPPC11" -0.355580833333334 8.58057291666667 -3.26956693802419 0.00317365966773786 0.675752611116937 -1.67238002165208
"CCL14-CCL15" 0.42532 4.3007575 3.26614864132614 0.00320038794385697 0.675752611116937 -1.67952834333841
"MTF2" -0.7747875 8.22624041666667 -3.26351901831805 0.00322109738445474 0.675752611116937 -1.68502574749753
"C12orf40" 0.253311666666667 3.80520833333333 3.25965242400206 0.00325178392751684 0.675752611116937 -1.69310651125701
"AKAP4" 0.310602499999999 4.20899458333333 3.25926629631572 0.00325486383097555 0.675752611116937 -1.69391330512092
"DGAT2L6" 0.291935 3.83788083333333 3.24939242704369 0.00333458613192942 0.675752611116937 -1.71453362564432
"WDR5B" -0.690155000000001 5.49580666666667 -3.23259743606798 0.00347454186136377 0.675752611116937 -1.74956039882554
"CMKLR1" 0.404129999999999 4.35680583333333 3.23040048487399 0.00349326367217917 0.675752611116937 -1.75413778176819
"OSGIN1" 0.415414166666666 5.52473125 3.21748915491008 0.00360527355147257 0.675752611116937 -1.78101761802164
"ACR" 0.403743333333334 4.69512833333333 3.21136693726179 0.00365958924637041 0.675752611116937 -1.79375062023081
"GJB5" 0.2801475 4.45122541666667 3.20581023802507 0.00370957032394312 0.675752611116937 -1.80530030898761
"PIGF" -0.383789166666667 4.32506291666667 -3.19899133600886 0.0037718044880113 0.675752611116937 -1.81946415043582
"LINC00116" 0.435039999999999 5.15295166666667 3.18166197983462 0.00393452659383905 0.675752611116937 -1.85541282326928
"FAM20A" 0.2842225 4.38819291666667 3.17627544550915 0.00398646935195037 0.675752611116937 -1.86657299645947
"SRPK2" -0.421607500000001 9.04185458333333 -3.16745320881858 0.00407297241921765 0.675752611116937 -1.88483712547334
"ATP2A1" 0.298936666666667 4.57424833333333 3.15575859094076 0.00419042862374644 0.675752611116937 -1.90902003526921
"C17orf66" 0.271405 4.05521416666667 3.15516336944267 0.00419649316056657 0.675752611116937 -1.9102500221658
"SYNGR4" 1.11953166666667 7.39751416666667 3.13770513408872 0.00437817328813195 0.675752611116937 -1.94628925965943
"RBP1" 0.611565833333332 6.51663125 3.13439879302823 0.00441342245557526 0.675752611116937 -1.95310644045487
"WFDC10A" 0.431295 4.16665416666667 3.1329154747186 0.0044293247421394 0.675752611116937 -1.95616397241809
"SLC6A20" 0.625484166666666 5.33285291666667 3.12897581974963 0.00447182867447344 0.675752611116937 -1.96428213862071
"C8orf86" 0.265815833333333 4.23080208333333 3.12372819632122 0.00452905315800215 0.675752611116937 -1.97508974548119
"TEX19" 0.406184166666667 4.25547875 3.11990978315859 0.00457113395082083 0.675752611116937 -1.9829496785263
"MYEF2" -0.598949166666668 9.72717291666667 -3.11558457374071 0.0046192536322118 0.675752611116937 -1.99184854240006
"GUCY1A2" -0.712665833333334 7.87921208333333 -3.11276185889469 0.00465091946365599 0.675752611116937 -1.99765365506981
"EGFL7" 0.5498975 5.43529041666667 3.10859282339423 0.00469807025860952 0.675752611116937 -2.00622400807002
"VEZT" -0.547860000000001 8.76723833333333 -3.09978901987457 0.00479915182646052 0.675752611116937 -2.02430809153078
"RASL10A" 0.327418333333333 4.96712833333333 3.09534134275622 0.00485100873763571 0.675752611116937 -2.03343687535441
"NKG7" 0.449325 5.69968416666667 3.0946423739218 0.00485920698478759 0.675752611116937 -2.03487105054632
"ZNF280A" 0.249049166666666 3.73995875 3.07535412736932 0.0050907572064016 0.675752611116937 -2.07439925402512
"OTOP3" 0.337503333333332 4.8555 3.07434734589958 0.00510312947916913 0.675752611116937 -2.07645991655351
"THYN1" 0.710535 4.9374125 3.07115135455897 0.00514259612092822 0.675752611116937 -2.08299970824305
"C22orf26" 0.3167725 6.26015291666667 3.07072830348014 0.00514784217119601 0.675752611116937 -2.08386518091266
"RDH8" 0.340444166666667 4.34304708333333 3.06618687722241 0.00520448227825502 0.675752611116937 -2.093153097439
"RASIP1" 0.475376666666667 5.44349166666667 3.06525031181064 0.0052162370712183 0.675752611116937 -2.09506786202764
"GTF2I" -0.343516666666667 9.2952625 -3.06293105358636 0.00524545560678253 0.675752611116937 -2.09980851002316
"BEST2" 0.360504166666666 4.50465708333333 3.05865996529489 0.00529967459862725 0.675752611116937 -2.10853515230543
"OR52M1" 0.352095833333333 4.39449875 3.05570124530465 0.00533754822441324 0.675752611116937 -2.11457762010394
"MSANTD4" -0.446654166666668 7.87982541666667 -3.0482984784996 0.00543344794190061 0.675752611116937 -2.12968604029096
"MC2R" 0.246243333333333 4.17000916666667 3.04680469258637 0.00545299838496613 0.675752611116937 -2.13273300285862
"SH2D1A" 0.241061666666666 3.70418 3.0454420921787 0.00547089062671412 0.675752611116937 -2.13551187090836
"RHOXF1" 0.2465 3.86242416666667 3.04237447498088 0.0055113773233334 0.675752611116937 -2.1417661497713
"FAM190A" -0.892798333333334 7.7317525 -3.0421255897056 0.00551467468574424 0.675752611116937 -2.14227347071269
"TRPM1" 0.193541666666667 4.11974583333333 3.03094386116342 0.00566477994997271 0.675752611116937 -2.16504919013031
"SEPT14" 0.643447499999999 5.60973791666667 3.03012006480163 0.00567599202262175 0.675752611116937 -2.16672584972869
"OR51M1" 0.380538333333333 3.99510333333333 3.00456771961299 0.00603449770221729 0.675752611116937 -2.21864206117332
"ALG11" -0.475436666666667 7.69588833333333 -3.0012354101803 0.00608281632161286 0.675752611116937 -2.22539952623322
"PZP" 0.305583333333333 4.0479875 2.99748229233987 0.00613767931732059 0.675752611116937 -2.23300670820713
"SASS6" -0.526546666666668 6.53516666666667 -2.99355184823082 0.00619564109669649 0.675752611116937 -2.24096918159089
"SIGLEC15" 0.3616975 6.02029625 2.9905925027581 0.00623962684643454 0.675752611116937 -2.24696156087409
"LHX6" 0.274007499999999 5.22543875 2.9892276061858 0.00626001411492601 0.675752611116937 -2.24972452817264
"RBP5" 0.407489166666666 5.38867791666667 2.98115252555439 0.00638193797437122 0.675752611116937 -2.26606042748329
"CDH19" 0.3370125 4.15791041666667 2.97802704815728 0.00642973469444152 0.675752611116937 -2.27237841839894
"KLK12" 0.377623333333333 4.58257 2.97693769138148 0.00644647395924725 0.675752611116937 -2.27457985768237
"POLRMT" 0.365499166666666 7.54647875 2.97604629650314 0.00646020223719831 0.675752611116937 -2.27638099721451
"RHBDD3" 0.306660833333333 6.44150291666667 2.97265624694109 0.00651266728603072 0.675752611116937 -2.28322885521395
"TLK1" -0.466321666666668 9.059235 -2.96943007956169 0.00656297344230179 0.675752611116937 -2.28974268557077
"RB1CC1" -0.486210000000002 8.53129333333333 -2.96656306176211 0.00660799024977678 0.675752611116937 -2.29552891849013
"HAP1" 0.250645833333333 4.84053958333333 2.96154078519505 0.00668755887085039 0.675752611116937 -2.30565932661381
