"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y2" 7.99151656221668 7.58535203061001 97.5568038485446 1.08477445238957e-140 2.24949678192025e-136 295.495494089306
"XIST" -6.73555371872385 3.74437952550002 -97.0325769006196 2.46073191592173e-140 2.55140988702345e-136 294.850477129124
"TTTY15" 5.21837312640159 5.60586391041197 89.1226880529643 9.91863168042464e-135 6.85608883856553e-131 284.496610930574
"DDX3Y" 5.15581506839359 7.12499211276444 79.7395230337547 2.00542163174168e-127 1.03966070943568e-123 270.50691684333
"TTTY14" 3.77582316836146 5.86609855569741 69.5095166753105 1.84112161997409e-118 7.63586780668052e-115 252.680443387843
"NLGN4Y" 3.55345061389713 6.65995532200564 59.6556256567382 1.42694933883735e-108 4.93177473991169e-105 232.30733640403
"RPS4Y1" 4.87264703507455 8.81494563697792 53.9026134005981 4.44406742945448e-102 1.31652323263711e-98 218.600254451352
"USP9Y" 3.5951589298662 4.08980959501302 48.0562156193937 8.29574078514351e-95 2.15035970826901e-91 202.995990741166
"TMSB4Y" 3.61316640814981 3.98884783147557 37.5204824463345 1.62442785479678e-79 3.74286226943565e-76 169.490709538452
"CYorf15B" 2.76385422115676 4.78040336011291 33.7645247801093 3.32696123663817e-73 6.89911951641656e-70 155.453153245387
"KDM5D" 2.88615880722862 6.62894626867391 33.065398787091 5.70522256472277e-72 1.0755381847696e-68 152.696596952925
"C12orf28" -1.59070403834621 2.44761034828033 -25.6881599571783 1.22473122176362e-57 2.11643761214269e-54 120.467003172486
"EIF1AY" 2.26018382951923 6.87519270997643 25.2063185149544 1.30403589065592e-56 2.08013786650245e-53 118.143810998374
"UTY" 2.76904320562535 3.62124785897082 25.1095426789148 2.10407491221749e-56 3.11658581818958e-53 117.673743531008
"GYG2" 1.64871939307687 3.49727959498209 24.1796970353678 2.21024155394064e-54 3.05558527360448e-51 113.097523667234
"BCORP1" 2.20832787963048 3.63567444283711 21.2288991910286 1.1665701314899e-47 1.51194780104413e-44 97.843323940332
"HSFY1" 2.72577519439125 3.37435272240889 21.1780064142693 1.53824073212974e-47 1.87638223895144e-44 97.5703338456171
"AC034199.2" 2.02538404889373 4.65340117996057 20.577588361458 4.11914522624545e-46 4.74548414203622e-43 94.3242742433832
"KRTAP19-8" 1.94990953513342 3.63841130884761 18.8052918563985 8.78177529682632e-42 9.58461443843618e-39 84.4721472244135
"ZFY" 1.51509204215592 4.57125771153911 18.5581387302456 3.63557434295152e-41 3.76954525748928e-38 83.0667327204684
"LOC100240735" 1.58736874644066 3.70808154439468 17.8734314271889 1.9336460863444e-39 1.90942947107256e-36 79.1342521185223
"LOC100132317" -1.82310770035044 5.0624267975182 -17.8432151968183 2.30720880836103e-39 2.17475404813557e-36 78.9594142956362
"PYGM" 2.0361369389324 6.67223437388253 16.7455974890997 1.51323820590937e-36 1.36434872504099e-33 72.5369950338183
"OTUD3" -0.946625506220726 6.60131513051231 -16.6667197717067 2.42398249621521e-36 2.09442187600062e-33 72.0702915321224
"BTBD17" 1.92583539442473 5.25004700774774 16.0831342211189 8.07381137394679e-35 6.69706505846138e-32 68.5970654217142
"ZNF718" 1.45009100306031 5.81294301670958 16.0712017519794 8.6768913371284e-35 6.92048829453968e-32 68.5256869068613
"GSTM5" 2.95265382365533 7.35098667131892 15.9083617632526 2.32224874328843e-34 1.78357304405823e-31 67.5501991571061
"ARSF" 1.23333937621884 3.07940478675658 15.5310814393953 2.29419753245988e-33 1.69909907966502e-30 65.2803810172899
"KRTAP10-10" 1.58761403832683 10.1537946113539 15.3068290574367 9.00570868246608e-33 6.43970279132066e-30 63.9250587473468
"NLRP2" -2.85499426113141 3.05205600277067 -15.0705542368714 3.82168652232314e-32 2.6416771137805e-29 62.4923761713568
"FGFR3" 2.33631024859449 7.96420687401702 14.7262224385895 3.16633670084198e-31 2.11807497307613e-28 60.3963617020602
"CD163" -1.67604706450391 3.19842053422327 -14.5190942938691 1.13450277450555e-30 7.351932510913e-28 59.1312101494655
"ANKRD65" 1.52709024354328 7.42744518612963 14.4266138724029 2.00767758816867e-30 1.26161242866223e-27 58.5653518366304
"CLDN10" 2.64546519355821 8.19771303716639 14.2029654100316 8.00180533305606e-30 4.88039521151716e-27 57.194558132766
"COX7A2L" -0.637118787080212 9.88510161826438 -14.1558347308245 1.07129496049643e-29 6.34726959880413e-27 56.9052763113155
"PRODH" 2.02900045884891 5.08023850479513 14.1363440878736 1.20873500718168e-29 6.96264940109068e-27 56.7856055410661
"TTTY10" 1.39766891453071 2.34841531061043 14.1174950561885 1.35842894017966e-29 7.6134434952718e-27 56.669852319716
"LOC283788" -1.05623706109815 9.03274210027947 -13.9960036072138 2.88456064054147e-29 1.5741351053397e-26 55.9232604198301
"RLBP1" 2.16726301079285 5.16386376317757 13.9751965917888 3.28191319360717e-29 1.74505215117518e-26 55.7953112186925
"KCNE1L" 1.29940421064556 4.53354443247774 13.9272787236054 4.41817017673217e-29 2.29048987387237e-26 55.5005561896887
"NOL6" 1.05215451865463 6.07421089463561 13.8260801559067 8.28136172440357e-29 4.18855117265748e-26 54.8776470315754
"TLCD1" 2.30656831182929 4.28461123534181 13.7139689317283 1.66209214814622e-28 8.20638211335908e-26 54.1869449973482
"AQP5" 1.11013936268739 5.75377407083743 13.6590020657148 2.33933562330898e-28 1.12815820512926e-25 53.8480745002759
"APCDD1" 1.18523708438153 5.68954183301466 13.6328384552537 2.75276489254212e-28 1.29736558128741e-25 53.6867254625442
"BTBD10" -0.814319632202042 8.85245026773789 -13.5541686922011 4.49122809810216e-28 2.06965771267432e-25 53.2013852658364
"PPAP2B" 2.39123899280282 8.60940203425337 13.5477573039739 4.67408392887448e-28 2.10709735724065e-25 53.1618190203868
"EFEMP1" 1.97066620064191 8.87781033142455 13.4581925396827 8.16377392733617e-28 3.60196127513128e-25 52.6089077351053
"CD99" 1.52563030810011 8.81056015524215 13.4218391386486 1.02385179230071e-27 4.42325304519577e-25 52.384391323901
"RFX4" 1.21089622703457 2.85356034653115 13.4172554717406 1.05351048480127e-27 4.45849937210691e-25 52.3560790862297
"CAMLG" -0.884617877728322 8.22618876697057 -13.3420384718049 1.68345286709096e-27 6.98195242097307e-25 51.8913638057582
"PRKY" 1.3607375353018 4.44268633059868 13.289859702364 2.33060846563349e-27 9.47643681408659e-25 51.5688608429075
"APOE" 1.7612854998463 9.45284145050402 13.2585453004518 2.8331560463236e-27 1.12982994101178e-24 51.3752678385467
