"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 2.01968731569391 4.28867029501304 14.6333561376662 1.03590634520116e-09 2.00914035651764e-05 1.18475692809595
"RPS4Y1" 4.35715211080302 7.4697050250635 12.8500288025313 5.4254401739167e-09 5.26132060865572e-05 1.01445055525645
"TXLNGY" 1.4290893902579 3.90544057106772 9.93887715910131 1.30046788252313e-07 0.000713331970763947 0.5667269500528
"USP9Y" 1.72508818203886 4.14555161211683 9.8376392035308 1.47116673526981e-07 0.000713331970763947 0.545537142789422
"XIST" -4.49138794880822 4.78698369105166 -8.6674275962958 6.59482710715128e-07 0.00215126862636944 0.261270535014781
"KDM5D" 2.95397836949307 5.24223528053061 8.66065716984755 6.65512336077168e-07 0.00215126862636944 0.259389178372037
"NLGN4Y" 1.39163653986063 3.71716550038348 6.39457589815158 1.91156929426905e-05 0.0529641235176404 -0.581019488437769
"PCK1" -0.754948583528457 3.05725967274447 -5.58145612838648 7.52620403472539e-05 0.182463409066874 -1.0163954473986
"LASP1" 0.460705365378894 8.13156254688231 5.2826988223266 0.000127419952929099 0.254250507043279 -1.19902845549293
"NCAN" 0.902548227319669 7.610573833384 5.26677653458235 0.000131090748668873 0.254250507043279 -1.20912651405396
"ANKRD37" -0.48474063618325 4.53256027791423 -5.05452534389089 0.000192045156718283 0.338610528595554 -1.34734790400668
"FARP1" 0.556570044159462 5.44711454294399 4.61096967302663 0.000434596767991885 0.702417026266885 -1.65836887081917
"PPFIBP1" 0.958934284869784 5.03139192277819 4.52720707691857 0.000508431695949729 0.758540980226538 -1.720522950776
"FANCG" 0.785608164634372 5.76506650477775 4.39742459181683 0.000649381464261392 0.857241900372779 -1.81897792699585
"PLXND1" 0.62613668243373 5.91708742765104 4.36388648671461 0.000691976299026184 0.857241900372779 -1.84484484579916
"PABPN1" 0.806783767048377 5.53882354424991 4.2905062044741 0.000795498502538351 0.857241900372779 -1.90204598730851
"CELF5" 0.661985860207633 6.94425067247403 4.25138740661901 0.000857068074549494 0.857241900372779 -1.93287785219257
"SGCG" -0.614042286161592 3.39601772298391 -4.23162495221787 0.000890013493150082 0.857241900372779 -1.94854284807604
"PTPRS" 0.421597620729623 5.12660368396939 4.20701964846307 0.00093285774875478 0.857241900372779 -1.96812985785781
"PIFO" -1.00459625289803 3.97652702573881 -4.14599517515727 0.00104849361689509 0.857241900372779 -2.01710505131232
"POU2F1" 0.532997981071581 4.6567768154041 4.14200064591474 0.00105655741639106 0.857241900372779 -2.02033049983407
"RHOB" -0.57890662242037 4.68551935678112 -4.09914372555761 0.00114717971280318 0.857241900372779 -2.05508702311711
"DENND1A" 0.557182913729993 6.16227482167938 4.078878894514 0.00119276613833853 0.857241900372779 -2.07161742598118
"CTSO" 1.01182630256531 4.35951508582618 4.07778417406556 0.00119528092510232 0.857241900372779 -2.07251215520194
"SGSM2" 0.557021564719465 6.25873016743258 4.03043947598625 0.00130939853421753 0.857241900372779 -2.11137801688909
"HYI" 0.490586128304369 5.09785837444377 3.98159197446139 0.00143885460615498 0.857241900372779 -2.15182441452874
"CACNB3" 0.477804392354632 7.08007422491222 3.97894650390379 0.00144622820456862 0.857241900372779 -2.15402488415753
"TIPRL" 0.727691769665945 6.00881087991283 3.95392506768326 0.00151790741733379 0.857241900372779 -2.17488783727884
"CLMP" -0.589988365566146 3.02630068181877 -3.95375360726184 0.00151841092110086 0.857241900372779 -2.17503111549161
"SERPINE2" 0.74862404947221 7.67688125617228 3.9415322301658 0.00155474251076838 0.857241900372779 -2.18525469164216
"AP5S1" 0.49361473307672 5.55800419850854 3.93672556401068 0.00156927375439091 0.857241900372779 -2.18928154450939
"EFNB2" 0.915353597316903 7.43931388830474 3.9288082993409 0.00159351165230354 0.857241900372779 -2.1959216178583
"NDUFC2" 0.612037883718725 7.18115244006692 3.92764680519841 0.00159709944448701 0.857241900372779 -2.19689650326984
"CNKSR3" -0.341675351058586 3.39953423269101 -3.91591572913251 0.00163380140593911 0.857241900372779 -2.20675371794295
"CDK5R2" 0.500858531993941 5.08208126121431 3.89088757093849 0.00171500764950519 0.857241900372779 -2.22784998541959
"PNMT" 0.381017946435064 4.98542133798251 3.87159952198667 0.0017803889366434 0.857241900372779 -2.24416887823988
"RGP1" 0.573130664548021 5.71972917214215 3.86726020190158 0.00179544481384818 0.857241900372779 -2.24784749182498
"CNTRL" 0.582023275778419 4.67774229828447 3.84397808453019 0.00187846910546861 0.857241900372779 -2.26763009579461
"RNU6-1016P" 2.12311791912271 6.49213738082144 3.83539380241351 0.00191005837697194 0.857241900372779 -2.27494333308816
"E2F3" 0.899705543506902 7.42167409070291 3.82334277917272 0.00195531983209188 0.857241900372779 -2.28522741971652
"NPIPB5" 1.90523162957073 5.63602527159397 3.78014991680685 0.00212670495829938 0.857241900372779 -2.32225319228873
"AHCYP8" 0.719016569201856 4.60171642350058 3.77725834891017 0.00213871005122276 0.857241900372779 -2.32474110265328
"PTGER4P3" 0.387824012947339 3.76538404393786 3.77297790490354 0.00215660802434469 0.857241900372779 -2.32842611134048
"PLEKHA5" 0.977856888545547 5.57876158864671 3.77011167608717 0.00216867772614497 0.857241900372779 -2.33089503455475
"LSP1P4" 1.00269422297222 5.22612532228718 3.76686118415417 0.00218244867067891 0.857241900372779 -2.33369631671975
"LINC02119" 0.415957260005665 3.6563773337397 3.72562876522698 0.00236504506937559 0.857241900372779 -2.36935529108591
"GATD1" 0.716445242189453 5.98157140268943 3.72072199512383 0.00238778360477069 0.857241900372779 -2.37361410554653
"HPS1" -0.314980009301659 4.44906555885907 -3.70641242040163 0.00245537114844564 0.857241900372779 -2.38605247993972
"SPP1" -1.26173519560478 7.37771171986813 -3.70093851230087 0.00248173624143963 0.857241900372779 -2.39081782068709
"UBXN7" 0.83749272149125 4.69950920307597 3.69645788583636 0.00250353084704664 0.857241900372779 -2.39472142263157
"SREBF2" 0.548802011714887 6.17477085617106 3.68556892375568 0.00255730959952423 0.857241900372779 -2.40421918343374
"MGRN1" 0.507315469132966 6.72135346140704 3.67478220848194 0.00261173869318834 0.857241900372779 -2.41364321019104
"ZNF37A" 0.638899453355639 4.43575785489368 3.67402167482314 0.00261562033950838 0.857241900372779 -2.41430824374674
"AVPI1" -0.78994750677775 6.89433757532706 -3.66688901976892 0.00265231014045602 0.857241900372779 -2.42054894898765
"ZNF502" 0.446210868055725 4.7442529924789 3.66544036319649 0.00265982541671283 0.857241900372779 -2.42181726382242
"CSNK1E" 0.333728615020659 4.78493353589607 3.65872014733546 0.00269497152924005 0.857241900372779 -2.42770447766355
"TMTC4" -0.479563775781654 4.53649587313073 -3.64520696857303 0.00276707544078411 0.857241900372779 -2.43956045642448
"FLRT1" 0.808619015033083 5.35567010437497 3.63888075908672 0.00280149954731233 0.857241900372779 -2.44511899131148
