"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -8.07203401004517 -0.675321959137912 -45.6623199194648 2.48985381656571e-100 7.97464608105759e-97 216.467305760938
"RP11-575H3.1" -1.40442980410363 -1.71011377408738 -6.94134751276548 6.94979923695437e-11 4.32818052479214e-08 14.1658379888709
"PNMA6B" -1.26477201953157 -2.82148797934134 -2.95176131309629 0.00358477612700582 0.517009372216225 -2.69773528850499
"RP11-360I2.1" -1.10064289142996 -3.84412286394921 -4.54592483441329 1.00654644079823e-05 0.00470141066722842 2.93213234199367
"TPSB2" -1.05829647158635 -2.00822036401128 -4.50113712151067 1.21697279596365e-05 0.00545690601710101 2.51925275721381
"ANKRD22" -1.0505927358374 -3.54331549376722 -2.72034908940368 0.00716696346009058 0.632902598999854 -3.20074188504472
"PRM2" -1.0399558958601 -4.53607272956645 -2.47001755637015 0.0144509896562945 0.71107660363551 -3.69894198712802
"TSPEAR-AS1" -0.996876612375678 -2.53617699959089 -5.08646548618409 9.18257399295228e-07 0.000457496242048867 5.06653896899347
"IGHG3" -0.994511660590272 -3.68322122723811 -3.22386042126956 0.00150413768982938 0.351278822978902 -1.77196100547671
"RP11-195E2.1" -0.986572049196048 -3.29869408058245 -2.78627676189322 0.00590880370567035 0.614912160590414 -3.06421811600349
"IGLC2" -0.977841148725544 -3.25797415836302 -3.28886254145383 0.00121196718590332 0.319674168328851 -1.63247110497534
"BMS1P10" -0.960192492932383 -2.18849604551723 -3.53825717928802 0.000513585273063067 0.169332085618735 -0.981479033988566
"SFTPA1" -0.892809761109034 -3.27039760510661 -2.62570974339499 0.00939822181667268 0.669103297471132 -3.4825314763465
"MUC7" -0.89108708959068 -3.93026323925572 -1.48073443944859 0.140441955545466 0.843087229961593 -5.67360425923985
"FCGR3B" -0.878418612310765 -0.670505030144532 -3.02366990795237 0.00286567551828398 0.480177141723014 -2.79306762214441
"CHI3L2" -0.855924274919877 -0.250658167774629 -2.35766615193481 0.0194741116005821 0.734455854810953 -4.5751105021395
"RP11-706O15.3" -0.852446976410345 -3.06266363079283 -1.92444021796309 0.0558913017763865 0.787062495150811 -5.04767467616766
"FOLH1B" -0.837905782794153 -4.0988282046587 -2.48154851326773 0.0140071471144996 0.702462240849651 -3.7170156922898
"EIF2S3L" -0.82281093491871 -3.45208804516748 -2.98561041037501 0.00322783236361552 0.506069941204614 -2.49353751441074
"IGHA2" -0.80071729991432 -2.43370836732976 -2.60670274753762 0.00991540375070524 0.67557512958937 -3.65029728256269
"TSPEAR-AS2" -0.79998401841454 -2.74123753958474 -3.97315486861763 0.000102836796266794 0.0397517409017505 0.608705467341619
"PRSS30P" -0.798154649791146 -2.24918317580071 -4.26912399869529 3.18369697793399e-05 0.0134676389142038 1.64849499634784
"RP11-298I3.6" -0.790547074595407 -0.0776898910178533 -2.28437808635769 0.0235276004046944 0.740564195575746 -4.7655828812074
"PRL" -0.788666897501203 -3.66942205014371 -1.45198490888579 0.148262856644872 0.849279992888567 -5.74258354258922
"HP" -0.786823875510638 -2.04499074991682 -2.59301851280788 0.010303434788405 0.67557512958937 -3.74617705220761
"NLRP2" -0.783052439814621 0.717327780354474 -3.01676992711602 0.00292842200370163 0.482345162164961 -3.0094152034738
"ULBP1" -0.766086502090582 -2.94380421957364 -3.04112423969395 0.00271243564443349 0.467790824216914 -2.39808465571317
"BMP5" -0.763846812182199 -3.60197155282538 -3.21441501540482 0.00155167015697718 0.356922296989323 -1.80042249487006
"OGN" -0.729191010581732 -0.122001094127172 -3.96020376920934 0.000108097161357744 0.0410769213159429 0.194782370890639
"TLX2" -0.712633469356739 -2.50385290173713 -4.32599182643844 2.52372799679394e-05 0.0108811503246385 1.91112476141542
"RP11-744N12.3" -0.708268593841052 -3.02366654380839 -2.71222322158743 0.00733776962858721 0.640127607287647 -3.28155261369722
"SERPINA3" -0.701429738681959 3.41680335012037 -1.55139745768639 0.122579323887798 0.833830973719815 -6.64829378473417
"PIGR" -0.693890886908063 -3.0907557666011 -2.18623006841934 0.030101322050357 0.748194723247233 -4.5203322941179
"RP11-1094M14.8" -0.676277642625261 -2.39972618810815 -2.50651712473636 0.0130874183045088 0.692028109403508 -3.88941923924909
"ZFX" -0.676079145311213 3.76978412309637 -11.6707467774207 9.54786731652544e-24 8.56252740946001e-21 42.9002607552772
"TNFSF14" -0.674752020188966 -3.31537654184158 -2.29231823370131 0.0230553683745444 0.73862629708267 -4.24876097581963
"TNC" -0.673373798202607 2.16284081543046 -3.24022026560377 0.00142499648799749 0.345260903788254 -2.55258735885889
"CD44" -0.671476675226729 3.0859217946976 -2.47426472249926 0.014286075859694 0.705857516956974 -4.78504171750454
"SULT1C2" -0.667767831211344 -3.1522030583001 -2.01297746576589 0.0456210757024188 0.770138137581828 -4.84790071658531
"GH1" -0.665680784021681 -3.5514192626851 -1.25695007323679 0.21041551230965 0.872055476660988 -6.00659003932512
"RGPD2" -0.658640281872952 -2.75236596340738 -2.90051055033359 0.00419454235359711 0.543593292298538 -2.81755120768296
"RNASE2" -0.651712073025761 -2.22584415307021 -1.92454875881083 0.055877610159705 0.787062495150811 -5.16676256279403
"ZBP1" -0.650041440196214 -3.6616645533778 -2.58589951725266 0.0105106440367773 0.67557512958937 -3.5088013192227
"SFTPB" -0.64911596691939 -1.80595718077534 -2.0428503835596 0.0425389929255778 0.767781351262228 -5.00830892164808
"IGHG2" -0.645864628053124 -2.46361136621561 -2.28917487127594 0.023241314747988 0.73862629708267 -4.38335445626673
"SLC13A4" -0.642898790211907 -1.5003736053869 -3.39703376920314 0.000840005057961835 0.241447607685953 -1.5280031140412
"SERPINA5" -0.641042070462634 -2.66371816992684 -2.12053753975012 0.0353432565982453 0.748855714810422 -4.70976529614072
"CYP4F12" -0.636637577103358 -1.19725936403459 -3.26920247149438 0.00129422250020243 0.322405205050428 -1.97356426932784
"IGHA1" -0.630774440017731 -0.675384482744868 -2.24845399784856 0.0257714732188193 0.742287501303487 -4.75066868850331
"RHOXF1-AS1" -0.629428270468023 -2.51125369837677 -2.19690939743631 0.0293161659341823 0.747259756493829 -4.57592829465326
"MARCO" -0.626087984444989 -1.68910959672539 -2.47912592862683 0.0140993759314158 0.702462240849651 -4.06930345631952
"RP3-467D16.3" -0.624050497794612 -2.60525739130424 -2.29728586796726 0.0227641630005958 0.73862629708267 -4.34162941769662
"APOB" -0.623750485182049 -1.73282951180976 -3.43359492873801 0.00074061788417973 0.221395372844127 -1.37836024055355
"JPX" -0.618205516370808 0.433204813192998 -7.91670658688645 2.50471342128711e-13 1.65163749721344e-10 19.4844835146181
"FFAR2" -0.617406123789261 -3.19193335603534 -2.02899053554449 0.043946149932269 0.767781351262228 -4.81408218156699
"HOXD1" -0.617201012380153 -4.15448810204064 -2.19515603987588 0.0294438426033927 0.747259756493829 -4.33744088852597
"RP1-193H18.3" -0.615432787742867 -2.95503872107089 -1.87653067074345 0.0622160071347324 0.798975825303334 -5.13815771967949
"NPIPB2" -0.612474203123626 -0.582616213911075 -1.68147452052084 0.0944211947261657 0.816961616385744 -5.85202067284097
"JAML" -0.608123955647079 -1.60514627089132 -2.8816967537343 0.00444122316005896 0.547017833337135 -3.03828238595425
"SPDYE1" -0.605247053486102 -3.39134569797762 -3.26959520094585 0.00129252970229681 0.322405205050428 -1.65201237449516
"GBP5" -0.604791329292785 -2.38524480731099 -2.39540773222673 0.0176372178529179 0.725908247046258 -4.1528463306967
"CD177" -0.599799622664581 -2.15600971129289 -2.03927036129876 0.0428987324601891 0.767781351262228 -4.94797111392261
"C4B" -0.597249394327759 1.5355500451798 -2.53966190079524 0.0119498502275527 0.67557512958937 -4.39140238390422
"OMD" -0.594509434959908 0.941379046975301 -2.96818021361663 0.00340734294028819 0.513036720950513 -3.16702018046194
"CETP" -0.592150062369709 -1.78345828768837 -2.66349292422731 0.00844160702034594 0.669103297471132 -3.59173053550812
"CES1" -0.588914801234498 -1.12830635662809 -3.08415176685099 0.00236635701225642 0.44187085734028 -2.53493956844309
"CD163" -0.586771042839352 1.15485517622215 -2.14593085905947 0.0332305096574064 0.748855714810422 -5.23029764157821
"KCCAT333" -0.584794984962919 -3.89356338070964 -2.38060113267179 0.018338769297819 0.725908247046258 -3.96315477335808
"ORM1" -0.581178121623306 -4.28815413113116 -1.57488249691111 0.117055944891489 0.833830973719815 -5.45668551928631
"JCHAIN" -0.578028557693301 -2.56860767904717 -2.22788639695174 0.0271384086795877 0.745242564074435 -4.49896368949745
"ETV3L" -0.577280970331512 -3.74662849302244 -2.32473412240657 0.0212125292477887 0.73862629708267 -4.10967310277841
"GSTM1" -0.576503755210428 0.0639971634180207 -0.842388347904486 0.40069894086332 0.91218615622006 -7.00134936396822
"CTD-2035E11.5" -0.572147930947769 -2.37701674620464 -2.97004757790891 0.00338768203141714 0.513036720950513 -2.67399078692469
"RP11-932O9.9" -0.56896570393251 -3.65941708057402 -2.55519523348108 0.0114478116034398 0.67557512958937 -3.58049848300401
"PIWIL1" -0.565895762129312 -4.15359523684726 -1.97163091574239 0.0501984335251774 0.776307494835814 -4.78300296287327
"RP11-245J9.6" -0.55881408234318 -3.49846408705675 -2.66973767824161 0.00829224101546486 0.669103297471132 -3.31686831652657
"PROK2" -0.558427208223533 -1.95301298468493 -3.08331105988231 0.0023727092768866 0.44187085734028 -2.40987957736452
"RP11-135N5.3" -0.557305603756459 -3.67935494144462 -2.48853956279592 0.0137439985799807 0.699991541319213 -3.73912574463635
"IGKC" -0.556456027108547 -0.193899306732744 -2.45615027646013 0.015001293756654 0.71658501909935 -4.34302036854838
"LYZ" -0.547684038279788 -0.315927134829811 -2.53380293526816 0.0121442669089054 0.67557512958937 -4.13584233906513
"KDM6A" -0.544275074291037 3.27825581673105 -8.11069811350228 7.85143262580591e-14 5.67835869259899e-11 20.2740762710478
"IGHG4" -0.541604995978268 -3.626951357461 -1.57788978537677 0.116363129987233 0.833830973719815 -5.53629818023742
"RP13-33H18.1" -0.540090425249256 -2.81012346106061 -3.09708860393809 0.0022705672649918 0.44187085734028 -2.24635038750725
"PLAC8" -0.537439807488805 -1.80779663504701 -2.45160068966319 0.0151858510928727 0.718119755241947 -4.10300822897955
"RP11-374F3.5" -0.536098614771009 -1.95415040484237 -3.3903663187154 0.000859423858757893 0.24180472113999 -1.47706435525775
"RNASE3" -0.535536578408 -3.91480763228947 -1.65973651618084 0.0987249369976501 0.818751363473459 -5.36309669216048
