"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.30437076923077 6.494709375 31.3253615557832 7.83849211423239e-26 1.35464820718164e-21 26.9532023773688
"NLGN4Y" 3.69359688259109 6.6044146875 30.5861528043106 1.66012389325479e-25 1.43451305616147e-21 26.7960681983562
"USP9Y" 4.14616870445344 6.2417984375 28.4192522678437 1.65836940831014e-24 9.55331337147198e-21 26.2769611277653
"EIF1AY" 3.71560368421053 5.7820496875 19.6374895754158 1.40111101909378e-19 6.05350015799468e-16 22.766453361655
"UTY" 3.53794251012145 5.88669875 18.0895504164992 1.62052045851985e-18 5.601166912828e-15 21.7730644046498
"RPS4Y1" 5.21900165991903 7.2380753125 17.7664949164266 2.7608043038842e-18 7.9520366632878e-15 21.5448659756407
"PCDH11Y" 5.97287388663968 7.0016715625 15.6838343418996 1.0475282420601e-16 2.58619758275467e-13 19.8706357417532
"ZFY" 1.62130267206478 4.66041 11.797294705287 2.80294448936424e-13 6.0550608331491e-10 15.5314380330664
"TTTY14" 0.856114048582996 6.3591215625 8.61178994075795 6.8218644369982e-10 1.30994956889114e-06 10.348421657367
"TTTY10" 0.809470526315789 4.253623125 5.60266054749798 3.28446041383819e-06 0.00567620448719516 3.88980898205955
"NUP210" -0.491143643724697 4.354645 -4.25493807321325 0.000166515154642893 0.261610445685316 0.704097203435622
"PRKY" 0.912871093117409 5.34685875 4.19167089292477 0.00019951727356297 0.287338126809604 0.55584298049995
"ZFX" -0.895763643724697 7.454861875 -4.13720419389831 0.000233015700197842 0.288749580204942 0.428534391022862
"MRVI1-AS1" -0.337367368421053 5.307208125 -4.13585259868057 0.000233913558781923 0.288749580204942 0.425379280202178
"POLR3GL" -0.479643400809717 5.5555925 -4.07854474632213 0.000275270511516605 0.317148332001998 0.291794079346199
"RHOU" -0.793932064777329 9.578084375 -3.90663837811796 0.000447118760462082 0.470716795999922 -0.10640011547353
"ANXA2R" -0.432647692307693 4.118633125 -3.8941682338287 0.0004630358483971 0.470716795999922 -0.135121189368849
"TTC23L" -0.507042429149798 4.65589125 -3.69770239769217 0.000800138340502721 0.768221711142668 -0.584193935251967
"TRAM2" 0.558028016194331 6.37320375 3.67268418910863 0.000857347267756657 0.779825025335292 -0.640874560351784
"PLCL1" -0.740604696356275 7.6249175 -3.61070289958551 0.00101669048144427 0.860064422755082 -0.780755095989673
"BBS12" -0.451622186234818 5.85718625 -3.60065220926618 0.00104509622022085 0.860064422755082 -0.803362399102702
"TMSB4Y" 0.452381295546558 4.623370625 3.55136184882866 0.00119589171955258 0.932214053106874 -0.913916100981466
"PCSK4" -0.224792145748988 5.085638125 -3.53788611515172 0.00124065057409201 0.932214053106874 -0.94404722961165
"FLOT2" 0.485068178137651 8.255 3.50387753461158 0.00136091885594984 0.979974986188548 -1.01990445516209
"SLC25A43" 0.543829919028339 5.4287359375 3.40298551698622 0.00178756032449577 0.999617137501391 -1.24332045428975
"NUDT3" -0.390613360323887 10.875965625 -3.36400630613459 0.00198467597694451 0.999617137501391 -1.32895008264353
"S100A10" -1.12690263157895 7.2217915625 -3.35525130584261 0.00203173686240324 0.999617137501391 -1.34812819990939
"GPIHBP1" -0.46216032388664 5.75245 -3.28851768341244 0.00242732267947177 0.999617137501391 -1.49362719584541
"JPX" -0.76994024291498 5.64100875 -3.27903135076105 0.0024892215831782 0.999617137501391 -1.51420982596797
"ABP1" -0.256103400809717 4.759009375 -3.268259954916 0.00256133690676255 0.999617137501391 -1.5375496648308
"LINC00114" -0.29187056680162 3.8517903125 -3.24514698835753 0.00272288367892833 0.999617137501391 -1.58751905320982
"FAM178B" -0.318422469635628 4.4376128125 -3.24076736283873 0.00275457298005375 0.999617137501391 -1.59697015566029
"RAET1G" -0.307481052631579 4.386263125 -3.21888869524411 0.00291822719563686 0.999617137501391 -1.64409914585746
"IVL" -0.334099230769231 4.4471678125 -3.19078574785011 0.00314208995099529 0.999617137501391 -1.70442628657237
"DHX32" 0.783583441295546 6.4605734375 3.15455157865099 0.00345496367749548 0.999617137501391 -1.78185262127692
"GPR37" -1.25541858299595 8.9830290625 -3.15409771240123 0.00345906474656237 0.999617137501391 -1.78281987464413
"KRT6B" -0.581719109311741 5.602988125 -3.13730722540944 0.00361407978662081 0.999617137501391 -1.81855727165785
"RBM8A" -0.766099676113361 7.369550625 -3.09539869140172 0.00403033508838999 0.999617137501391 -1.9073642974503
"MYL7" -0.250804291497976 4.111051875 -3.09154772818438 0.00407078962210362 0.999617137501391 -1.91549620519937
"LOC401127" -0.267302429149798 5.627956875 -3.08488201873811 0.00414172592750545 0.999617137501391 -1.92956038660805
"BICC1" 0.628881093117408 5.0107296875 3.07594027446753 0.00423872796372742 0.999617137501391 -1.94840383885765
