"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y2" 7.93867208859193 7.87474784407725 163.927508933789 0 0 964.762053506559
"DDX3Y" 5.0636972719656 7.31771923962373 152.660964610343 0 0 932.86076675758
"TTTY15" 5.1902390597437 5.80313442759223 136.851522141155 0 0 883.46022620874
"XIST" -6.60903049423591 3.43391455747968 -136.782701432933 0 0 883.231991342
"TTTY14" 3.61640174062465 5.92620696704421 119.795166312638 0 0 822.864032184167
"NLGN4Y" 3.41295646727497 6.78035131026878 106.365143193955 0 0 768.572118221557
"USP9Y" 3.65276617240294 4.30745836149426 92.324056655723 1.27763943510731e-313 3.78491556654577e-310 704.057622198639
"RPS4Y1" 4.75794734236448 8.91733502112269 91.5910530969716 5.26790943860252e-312 1.36550797535376e-308 700.436600309294
"TMSB4Y" 3.58364708277216 4.15439810724729 69.8289494853706 4.95252177416287e-258 1.14111604478684e-254 578.685794844052
"KDM5D" 2.84419860471687 6.63630074383389 62.6606476045082 3.69990009472889e-237 7.6724828264393e-234 531.2880091323
"CYorf15B" 2.79346573924249 4.8176267230961 60.321167882833 6.12044950466938e-230 1.15381601253026e-226 514.865353046641
"UTY" 2.80458245859098 3.59134513356249 42.1414732246809 1.15280712133779e-165 1.99214677293182e-162 368.107437163876
"EIF1AY" 2.06272403326306 6.83379189575684 38.5545444254442 4.99462678597464e-151 7.96719812775047e-148 334.588520963209
"C12orf28" -1.42493863296689 2.37196701072509 -37.5758415868007 6.50937125770946e-147 9.64177369793722e-144 325.16012676771
"HSFY1" 2.69120881865182 3.40206917358878 35.2937279085946 4.08174768872957e-137 5.64288012141233e-134 302.705102573103
"LOC100132317" -2.03513290316625 4.8450340392699 -33.7439166124802 2.65146587042263e-130 3.43646548468463e-127 287.085280110201
"AC034199.2" 2.06291558405727 4.7363874977749 31.7720993866454 1.86829245623932e-121 2.27898709794322e-118 266.793048405216
"BCORP1" 2.08183255758486 3.61575818835989 30.9323970954575 1.25380989888728e-117 1.44445865962364e-114 258.01473313528
"KRTAP19-8" 1.79017960525463 3.60719723469486 30.6528183519978 2.39806553594457e-116 2.61729921152014e-113 255.07456455162
"OTUD3" -1.02354395790622 6.51645669797846 -30.5133451409123 1.0485764276613e-115 1.08721646902062e-112 253.604613730499
"PYGM" 2.20088508589981 6.78412315950491 30.1441558709952 5.26025800656278e-114 5.1943795372425e-111 249.703501230198
"ZFY" 1.49211705616098 4.60367652613091 30.1094062251606 7.60989562805574e-114 7.173018438136e-111 249.335563696309
"GYG2" 1.44283336959815 3.5886110924845 29.2204696862691 1.00516659519475e-109 9.06266942806674e-107 239.880640235258
"CLDN10" 2.59705232672035 8.14970347791973 28.5149439297461 1.98197186706918e-106 1.7125062753089e-103 232.320230194389
"ARSF" 1.44061177938339 3.25334087326019 27.8715266918919 2.08699569678588e-103 1.73112119056995e-100 225.384487790703
"NLRP2" -3.24732714673366 2.77560277560805 -26.8293429150375 1.7703562862081e-98 1.41199531950374e-95 214.073839564919
