"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -10.5468651992091 -0.549525071387946 -51.62379186539 1.35373158264702e-157 1.92802617328535e-154 347.367519713924
"TSIX" -4.57917563587555 -4.60422104713295 -28.6807847419012 1.33931531296264e-90 1.07814882693493e-87 194.924293922444
"TMSB15A" -1.24350402893238 -1.75718861584914 -3.1338922706947 0.00188410394279874 0.0162858004205969 -2.45226688245502
"FAM111B" -1.02561284236993 -3.25807327462201 -3.01241858513506 0.00279759134520163 0.0203569366074906 -2.65511479473549
"HBG2" -1.01294735369718 -1.36122118916589 -1.99836364189908 0.0465196643818328 0.1225009170632 -5.33648478534561
"ALAS2" -0.991601069225674 -2.54487625666567 -3.18197573384018 0.00160566227334797 0.0149842928382246 -2.2178179551462
"TSPEAR-AS1" -0.987217842419923 -3.70894234040631 -6.29992882390084 9.79698064131774e-10 4.21839759474414e-07 11.5604635164078
"C21orf90" -0.986142622965838 -2.8877581553501 -6.36321743443582 6.80303293839367e-10 2.99900368700854e-07 11.8530059450629
"IGF2BP3" -0.954079381445899 -2.01569608552615 -2.59461462099356 0.00990377400726974 0.0438890320116322 -3.91866738585874
"EOMES" -0.941536464340055 -2.88982029488574 -2.01280141229113 0.0449694580473863 0.119731020383572 -5.1412235048491
"IGF2BP2" -0.930596036948442 0.381301489306369 -2.98320286863452 0.00307090830876308 0.0215452320336295 -3.11997206671645
"PBK" -0.923133421818306 -2.27734987829463 -2.70135915611071 0.00727208666619918 0.0364259296309676 -3.61536615747237
"E2F2" -0.901146224303109 -3.46561274127065 -2.49816905132303 0.0129830873524328 0.0524310635173514 -4.01037728336262
"ZNF560" -0.86087038930695 -4.00932000793404 -3.51373042821002 0.000505244648281477 0.00808522442777143 -1.00520412335918
"NDC80" -0.859297776960646 -2.41019213193335 -2.67496071368782 0.00785642220202002 0.0381088962720463 -3.66972454068264
"HJURP" -0.855482519683661 -2.77127366859972 -2.4631949117545 0.0142943795288747 0.0559181147215542 -4.16274924997021
"DSC3" -0.831657791491034 -4.39461333267435 -3.02925946213924 0.00265036884376016 0.0197233035137538 -2.49995165039142
"IGSF9" -0.827802820653217 -0.556597173953512 -2.34130615656802 0.0198273118321056 0.0692908038073678 -4.68378007071965
"KIF20A" -0.797446351687655 -2.47828449176199 -2.41663838826909 0.0162214442712519 0.0608715120961144 -4.30153973333171
"UBE2C" -0.790797556793164 -2.81429433829175 -2.12273648151948 0.0345403655933546 0.0997391358735071 -4.92220017118134
"CEP55" -0.78372685864162 -2.65519151487561 -2.69255945417741 0.00746236557790952 0.0369829804970522 -3.59530774177074
"MELK" -0.783683338725334 -2.70367877491144 -2.28325239791385 0.0230681335086112 0.0764226543567042 -4.5858530031961
"PRSS30P" -0.768891130305064 -0.881886237007907 -6.03378995298735 4.4085420422688e-09 1.81387013139126e-06 9.86207230818474
"KIF18A" -0.76581581855904 -2.02315682505807 -3.08090792155043 0.00224209249854335 0.0179073049313033 -2.56946703048125
"TROAP" -0.758910251605208 -3.20381760738217 -2.08003319806701 0.0383148455759433 0.107338381879042 -4.96904008380318
"NEUROD4" -0.75435595300113 -3.56281574813718 -1.91171072317015 0.0568026730905136 0.140718241635046 -5.26374043926026
"TKTL1" -0.753475999927314 -2.73781638060171 -2.31411292535788 0.0212920023464251 0.0726541510217582 -4.51109500451106
"ZFX" -0.752032589723735 4.69790579047095 -15.3835403650415 2.12445939260611e-40 1.45682835755934e-37 80.7832890316665
"CASC5" -0.747884541615647 -1.22543259560519 -2.61238013176449 0.00941385728954137 0.0425739051577573 -3.95122807280449
"FMO1" -0.742115540048241 -3.2482222579278 -3.32629240030717 0.000982050280965091 0.0115013979383275 -1.6874650230369
"CDCA2" -0.735761301384066 -3.33535557840709 -2.34728166209688 0.019517563334607 0.0687010808251422 -4.37550370494422
"CENPA" -0.733591525793964 -3.81292273644835 -2.29828253399281 0.0221875622600457 0.0745027624554756 -4.44128083869772
"BIRC5" -0.72547472586115 -2.23024499737799 -2.78423943951282 0.00568334408825014 0.031422828526038 -3.39144914982591
"RPSAP47" -0.720475962821732 -3.60845141869609 -3.70104665408845 0.000252564197056882 0.00562046407272616 -0.389328057545002
"KIFC1" -0.703918803793495 -2.91387888864642 -2.67186654855669 0.00792760870802471 0.0383541657294094 -3.61989022823105
"CRNDE" -0.70329697521279 -1.56135708962357 -3.97450881364471 8.71369432138006e-05 0.00349965402083193 0.413072717743318
"ZNF300" -0.703259532138214 2.70095250299077 -3.00900810460169 0.00282830446053802 0.0204535288582442 -3.33637898968901
"S100A12" -0.696455021524616 -4.01796507885225 -2.22374591715548 0.026860508386809 0.0846362002691913 -4.58755994937755
"MEX3A" -0.693334383724787 2.11980787675407 -2.01942650560602 0.0442728933367166 0.118572136583439 -5.6929346004504
"AIM2" -0.690691603823765 -2.17852588022274 -2.53282246575877 0.0117903779033604 0.0491885639659121 -4.04910421673507
"NCAPG" -0.683131117301421 -1.01345511519583 -2.42138834988052 0.0160148381286726 0.0604022668470917 -4.4419342436479
"SOX11" -0.683028671572836 3.56992175782625 -1.82475129366079 0.0689670748200501 0.160680179979014 -6.26840539707188
"BUB1" -0.678159217131958 -0.697273236445126 -2.65148246606839 0.00841126303722252 0.0397992678594876 -3.90538047531973
"ZFX-AS1" -0.677287792328817 -3.62042105538052 -5.98474499238857 5.78592511151034e-09 2.32883485738291e-06 9.83717650075652
"TOP2A" -0.675825027810209 -0.646308122047657 -1.57813678371905 0.115518225332164 0.229265724303249 -6.14525213232139
"NEUROG2" -0.666510256166845 0.425362660249583 -2.03841645575171 0.0423267802244412 0.114976575096175 -5.4390742114533
"DMRTA2" -0.663868182306575 -0.54757288287437 -3.00687437326343 0.00284767678124611 0.0205474417789445 -2.94009716452031
"MFAP2" -0.663777877829433 -1.192031363142 -2.15148220649429 0.0321832383455341 0.0949900618472123 -5.0297177314278
"CCNB2" -0.659108334657765 -1.18618892131848 -2.45715739679255 0.0145322609707992 0.0565262209820056 -4.33754426029943
"RNF17" -0.65573677979442 -3.13463616627521 -2.82094315567233 0.00508609430958733 0.0293819145528891 -3.19603244669494
"PCSK9" -0.653664987365156 -1.81518102522926 -2.40034817319258 0.0169479947354773 0.0626456623133086 -4.40326961736824
"SLA" -0.652237699763646 3.59133857078912 -2.21228711806748 0.0276498588850718 0.0863488240190915 -5.49608566427492
"CKAP2L" -0.649268883651552 -0.817968920223224 -2.82438548194606 0.0050331116232091 0.0292020547895325 -3.42843150866128
"SERINC2" -0.646807677523384 -2.01863202218437 -2.55645694660196 0.0110339273009543 0.0470071707264537 -4.00442493163787
"MTND5P1" -0.645301438510689 -2.4037386688955 -2.29730523129597 0.0222439135813352 0.0746368358025412 -4.57981066882218
"ASF1B" -0.642991068983547 -2.30635474170324 -2.5507478081698 0.0112125754991001 0.0475276637742305 -3.98902624909105
"RPS4X" -0.642936693150637 8.20513970326935 -5.96732039580449 6.37014316989572e-09 2.50942980405573e-06 9.04102180581883
"NPIPB15" -0.642229263668139 0.910959255050745 -3.26447619926015 0.00121485077439504 0.0127781757719058 -2.31895688649376
"ARHGEF35" -0.641396761920225 -3.94950785972033 -3.0665480928395 0.00234937015829406 0.0183926378354395 -2.42042236214733
"RNU4-2" -0.640928618885845 -4.03985341340358 -2.93829660152818 0.00353898711887402 0.0236635415333884 -2.78585579958656
"C6orf123" -0.637809434880557 -3.25429909195515 -3.46481082130974 0.000602643553048484 0.00896940947322563 -1.23096543282539
"ADM2" -0.636857752681485 -3.28691572718654 -2.70570295106717 0.00717978140326927 0.0361429180754569 -3.49212117211691
"DUSP5P1" -0.636533777247775 0.402970179167861 -3.59407084231409 0.000376611549560148 0.00701377267186304 -1.16900463517156
"WEE1" -0.632521835619057 1.14664745701 -2.93896254204415 0.00353159359101382 0.023631172872288 -3.32689038483396
"GPC2" -0.63137815895194 2.12478839374675 -2.34227746696058 0.019776670991464 0.0691716309233714 -4.99647179323641
"LRRC3DN" -0.630797781175612 -0.419299782882634 -2.5024770833583 0.0128291955215669 0.0520562250891544 -4.30991030857541
"MLLT4-AS1" -0.62893981288692 1.19287932652025 -2.7589588752017 0.00613094222421763 0.0327792074159369 -3.8319979065392
"NUSAP1" -0.622700455040963 0.698424003402013 -2.51520407072399 0.012383990506037 0.0508741034433716 -4.4027260121567
"CSRP2" -0.622129538083657 4.15320656585754 -2.7544832765816 0.00621342825998693 0.0330024320657413 -4.23403140382152
"CPXM1" -0.621703255527391 0.632497265979353 -2.63339228239253 0.00886252275623452 0.0410989987114359 -4.0973664288811
"FBXO43" -0.62074086636118 -2.10384835354689 -3.53976673508299 0.00045962357683906 0.00772463495577601 -1.09087713098091
"TSPEAR" -0.619772052114173 -2.80162351100541 -4.52286262662446 8.59482268266644e-06 0.00124466391460643 2.73627037133594
"LCN2" -0.618004191696946 -3.80918394232798 -2.01484705137455 0.0447533946604362 0.119411897711445 -5.03875729928935
"ZNF730" -0.616978542729385 -1.28494370266866 -2.90221576956083 0.00396136468652888 0.0251534042479027 -3.16101002381034
"FAT4" -0.616390248480825 3.80632250553938 -2.82051920904816 0.00509265441132543 0.029383140051633 -4.01707851622656
"EZH2" -0.615945156546921 1.73397146426785 -2.64369423125984 0.00860294700902309 0.0403564665520191 -4.20485025554416
"S100A8" -0.61050766474593 -0.535144803659394 -2.17853990747009 0.0300923988260844 0.0912331364442364 -5.04306545320346
"RPL21P28" -0.605158887058163 -1.15132630016368 -4.34161922516517 1.8979225874219e-05 0.00180510656579583 1.81876164859442
"KIF14" -0.601024816244647 -1.78544081187159 -2.25353837804486 0.0248990761338864 0.0805251344312501 -4.74189574505459
"LEMD1" -0.600515523122637 -2.70942154804967 -2.22625349379762 0.0266904021349513 0.0843154402881119 -4.70509184461036
"VASH2" -0.599695206756611 2.03109288384783 -2.29928536853148 0.0221298684752656 0.0744206818630197 -5.07979303913493
"JPX" -0.598797286804321 3.60808070337368 -13.8219266316605 2.01524452963601e-34 1.28662939538658e-31 67.1447892155376
"FNDC1" -0.59834875385957 -1.08070368422523 -2.36198439103117 0.0187734427321438 0.066965754284413 -4.571583615098
"PSPHP1" -0.597611178127113 -0.123526517153265 -1.38622011059972 0.166640959878677 0.297756936127553 -6.48520369770836
"SOX4" -0.597570766530552 5.04379406154498 -2.07218217963342 0.0390458289297183 0.108776031926027 -5.90773019402327
"ERCC6L" -0.59491793353824 -1.98862964500945 -2.7966231229686 0.00547507946889452 0.0306813245661568 -3.37754196969488
"CBX2" -0.594332272262668 0.0271473834638454 -2.95121388207134 0.00339806955894441 0.0230374433847879 -3.16147975784257
"MYBL2" -0.591080982365573 -3.06584158491406 -1.54188402767289 0.124086105692957 0.240835517224451 -5.93879268300843
"ZNF300P1" -0.586501690136753 1.191744123072 -2.92975194932768 0.00363511677091375 0.0239765361181675 -3.35674169700511
"RPS27" -0.585549445502063 7.34978377336051 -4.72037730033401 3.51996288679936e-06 0.000794781864013293 2.84588034453532
"SLC4A1" -0.583011398627446 -3.35333407586854 -1.99916016006529 0.0464329782250772 0.122367252575302 -5.11224507465015
"CHRNB4" -0.580103171046351 -2.97970261574902 -1.9169917387615 0.0561256958377611 0.139429391981235 -5.30663642580891
"KRT19" -0.57700613234545 -0.193232172348625 -2.40008651366308 0.0169598953241864 0.0626733678724975 -4.57990401405373
"SCUBE1" -0.571224609578012 2.95579814838623 -2.03251518720421 0.0429236110477473 0.116036013804795 -5.78206681726327
"PRKX" -0.570599557392172 3.57840199776406 -4.02595543872026 7.08415463305632e-05 0.00319131686206904 -0.00384391315846155
"RMRP" -0.568752700582282 -0.0219080762205534 -2.75833255811453 0.00614242541421211 0.0328027131653121 -3.69471719977402
"APOL4" -0.568218762428932 -0.292764131410247 -2.76081656288758 0.00609699666722273 0.032661646891932 -3.65599522536996
"HCAR2" -0.567528884661944 -3.69061429140009 -2.99755200846467 0.00293375103861354 0.0209319462350403 -2.64379193636945
"KDM6A" -0.565617039094052 4.38188222009213 -9.29989945224413 2.23360922294893e-18 1.29235233634061e-15 30.3573708248348
"LMNB1" -0.563643522834681 2.80032209801899 -2.56871639440832 0.010658869631792 0.0459485381216832 -4.54427749634442
"RRM2" -0.563310180152975 -1.31573178986388 -1.68722168586184 0.0925312936969195 0.196585308883903 -5.89127610895082
"LRRC3" -0.562764831505475 -0.625986843856976 -2.16832589029552 0.0308674697516724 0.092679048653393 -5.05051427561344
"CELSR1" -0.562735894194293 1.51895841891981 -2.63130447569725 0.00891597751197215 0.0412080188802208 -4.20691447412276
"MKI67" -0.560128885508042 -0.75164088306003 -1.43082047037962 0.153453561761293 0.280639341763171 -6.34944057365121
"HMGA2" -0.558155995088208 -3.06939351302736 -1.66056030133904 0.0977773485247815 0.203530478857769 -5.74995785863336
"ZNF311" -0.557916398479419 -2.32733465888454 -2.99273560476691 0.00297914990125031 0.0211272222880116 -2.79080722071055
"DRAXIN" -0.557755029802231 2.87744657868334 -1.70809008131004 0.0885855311915127 0.191199944346458 -6.37085624432366
"GPR97" -0.552653407553777 -2.75777218131592 -3.06861845169772 0.00233361721133401 0.0183431279643725 -2.52429818100592
"RPS29" -0.551370149946303 6.40450641160056 -4.46800446647979 1.09536984381148e-05 0.00136112568175635 1.68799299108329
"RPL39" -0.549451887068023 6.91507983130785 -4.01706422673781 7.34334848371437e-05 0.00323231715717939 -0.0924683011515413
"FABP4" -0.548790057979503 -4.01399288615423 -2.8920199520581 0.00408879048434411 0.0255929532852033 -2.9159893629374
"KIAA0101" -0.546891889053768 -0.835019238421981 -2.61885295842807 0.00924082816475749 0.0420895285290246 -3.97001491875678
"BUB1B" -0.546815041771033 -1.02217603118282 -2.15272480091241 0.0320845477751197 0.0947744839502968 -5.04057870170576
"FAM60A" -0.544339273271042 1.53493938089116 -2.73391253838976 0.00660560832008971 0.0342856463244903 -3.93926534978298
"MIR17HG" -0.5423729019964 -1.99848327376999 -2.70272566265314 0.00724293382836557 0.0363422546970701 -3.62692255147289
"AKNAD1" -0.540882503404467 -0.780309326464449 -3.30640365386561 0.00105198842400753 0.0118983296704334 -1.99604654446629
"RPL13AP25" -0.540769120781967 -0.683061704584147 -3.1583546878228 0.00173731131552251 0.0155920111521567 -2.47076494433303
"MCM10" -0.539839458609284 -2.43169662996675 -1.77412788445604 0.0769890142444805 0.173127723378925 -5.62286967152864
"GPX8" -0.539399622074187 -0.556461778809847 -3.23551256763206 0.00134070105695653 0.0135393355222895 -2.24396036032626
"CDC45" -0.538075394177717 -1.38315318688072 -2.64436444805545 0.00858629868566722 0.0403213523940324 -3.84527478914279
"RPL31P52" -0.537345641876819 -3.09798119245859 -3.33199799532585 0.000962800018867401 0.0113470670587714 -1.67730106892577
"COX6B2" -0.537155007632134 -3.31226275257703 -3.23398660210291 0.00134765546650156 0.0135681571301123 -1.96679009982669
"PLEKHG4B" -0.536111408437807 0.115970729695282 -2.21336302411836 0.027574898611943 0.0862151997723387 -5.03400524395618
"FOXN4" -0.535617983559443 -1.72323727118224 -2.1404162103512 0.0330737192734006 0.0967729373551179 -4.99006575556801
"GNG8" -0.53489871986957 -0.824604453894098 -2.66393334489736 0.00811278447155205 0.0388867261977879 -3.85592426130206
"ADAMTS7" -0.534026103978152 1.58507583912319 -2.10799679970215 0.0358054497164793 0.102081487136658 -5.43236822304733
"MDK" -0.52753376449455 2.94193543565536 -3.20290734596768 0.00149677598452521 0.0143515315139743 -2.7783466086442
"F2R" -0.527143220876278 2.31581076428431 -2.53670360236423 0.0116630704782568 0.0488599374437763 -4.55330995289149
"GRAP2" -0.524797360307702 -1.83200918206533 -3.09486578449433 0.00214215702371929 0.0174185495363033 -2.53983716684955
"EPHX3" -0.523723263676904 -2.69957236164643 -3.76373944364865 0.000198962900652852 0.00506712256614518 -0.246017319513293
"LINC00648" -0.523709675511805 -3.49180201083694 -2.17385648188665 0.0304456804676459 0.0917632710171681 -4.73816424309528
"INSRR" -0.523474946736086 -2.04205144608003 -2.76559438500573 0.00601047127961431 0.0324889621991647 -3.45483629957876
"CCL25" -0.521906994008459 -3.94514105711802 -2.30982904092408 0.0215311742902073 0.0732273497397479 -4.39679973509003
"SCARNA10" -0.521476174402161 -2.89225276977754 -2.52929707464767 0.0119070879471269 0.0494859109631996 -3.97972351969823
"NUP62CL" -0.521086513235314 -2.75679379472442 -3.02574416073268 0.00268049882879916 0.0198835880669938 -2.65001238968415
"ESCO2" -0.520316873732393 -0.398865112040596 -3.05489313019504 0.00243989063307979 0.0188271919335944 -2.81053816891238
"ULBP1" -0.520058968057426 -1.11319407520143 -2.0863999854346 0.0377306671456529 0.106089245459984 -5.16780458820578
"GPR126" -0.519294157211415 2.24684422865483 -3.62729760605709 0.000332995261939578 0.00668699270586907 -1.27758734322804
"PRSS45" -0.518701590521251 -3.51896430394968 -2.5887429978058 0.0100706421189744 0.0443314167457945 -3.76884027382379
"TSPAN18" -0.518478068568034 2.8456113151532 -2.44697031643453 0.0149415953040089 0.057394945446831 -4.84812598782261
"THBS1" -0.517864677012415 3.53167681722616 -2.59290524016912 0.00995209639308863 0.0439768650878367 -4.58489950577235
"ESPL1" -0.516468678519339 -1.57724995182494 -1.85128245273004 0.0650464329475541 0.154283205998458 -5.5742086304453
