"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y1" 5.04525774909912 -1.45335108825187 81.2891308891754 1.09811652373363e-191 1.88436795472691e-187 395.421407831619
"DDX3Y" 5.0381365688605 -1.38250967104478 75.8555509463324 6.3699708733826e-184 5.46543500936227e-180 381.640105371556
"TXLNG2P" 3.38991184394689 -0.476823237300373 56.3952917135852 2.78786455669252e-151 1.59465852642812e-147 319.586897871326
"USP9Y" 3.8680618844864 -1.00690866891231 50.9256692836355 2.34283942016968e-140 1.00507811125279e-136 297.590765495308
"EIF1AY" 4.5163989716337 -0.370925215492537 50.0221713530092 1.84580719082341e-138 6.33481027890595e-135 293.720477506301
"RPS4Y2" 3.55007277686 -0.740475969402985 47.2523298411411 1.80498495318184e-132 5.16225696610006e-129 281.402687990129
"TTTY15" 4.38658464997349 -0.718733748175373 46.5413578244222 6.89825156063364e-131 1.6910570968639e-127 278.126547714062
"KDM5D" 2.87182849242569 -0.954146089875 44.3090182800306 8.54522905923294e-126 1.83295163320547e-122 267.5209818751
"TSIX" -3.86709407646842 -0.649423520352239 -42.163719533839 1.03075883546185e-120 1.96531351294726e-117 256.852567933065
"UTY" 2.02026378211624 -0.486682192665112 40.9145954633042 1.14996286316594e-117 1.97333627319275e-114 250.415209727526
"GYG2P1" 1.44673940816192 -0.238053931716418 20.3775721120026 1.63204013809153e-56 2.54598261542279e-53 116.780804841505
"HDHD1" -0.483743099609362 0.128841926298507 -11.4216101042545 6.62123224899209e-25 9.46836211605869e-22 45.7977546532397
"PCDH11Y" 0.833816536459345 -0.27019484938806 10.0783416771112 1.75782168702632e-20 2.32032462687475e-17 35.8390506405391
"NLGN4Y" 0.407958038435835 0.277146820574627 9.43844800127583 1.85885254872577e-18 2.27842212400958e-15 31.2859338052842
"TTTY14" 0.324186138347861 0.149321622996269 7.48420743361388 1.02224956283299e-12 1.16945349988094e-09 18.403912568489
"PRKY" 0.490690190809151 -0.153077838996269 6.87877326945798 4.20513516090031e-11 4.51000746006558e-08 14.795661358547
"EIF2S3" -0.316375245400882 0.110853343686567 -6.83164091246186 5.56806871859473e-11 5.62047407124032e-08 14.5235281912226
"ZRSR2" -0.284595592123269 -0.214353281427239 -6.75011018160247 9.02174251046897e-11 8.60072785998042e-08 14.0558890098039
"TTTY10" 0.264491443763519 -0.0942557446828358 6.04875540345129 4.85583173786275e-09 4.38558276956446e-06 10.2023072341495
"SPESP1" 0.429798335045694 0.619019442563433 5.86164998541831 1.33446110281856e-08 1.14496762621833e-05 9.22787039253399
"LOC100505738" 0.336440908246725 0.324409286559701 5.45646230055622 1.10012041165447e-07 8.98955536380507e-05 7.19961473314913
"KDM6A" -0.215856064818712 0.17038960016791 -5.19002432407661 4.14159522047682e-07 0.000323044427197192 5.92921825481719
"USP9X" -0.21490828007357 0.387906471958955 -5.14528022072172 5.14897120147046e-07 0.000384158025292317 5.72094363899553
"RPS4X" -0.196318292661886 -0.0556859641007463 -5.1072075136271 6.1899440760197e-07 0.000442581001435409 5.54488631714209
"PCDH11X" 0.300206908240181 0.00792724362462687 5.05818783797512 7.83395305845748e-07 0.000537722537932521 5.3197905737469
"MUDENG" 0.223948240917738 0.434748036425373 5.01766873655298 9.50537013729144e-07 0.000627354429061235 5.13508068886937
"PIN4" -0.153293852144016 0.301393699715174 -4.84024397335242 2.18593280161946e-06 0.00138928173614037 4.34082359072846
"KDM5C" -0.210948179333457 -0.177109380373134 -4.65571055710976 5.07135874328816e-06 0.00310801842981517 3.54024333584554
"RFPL3-AS1" -0.211137279144471 -0.213310077029851 -4.53703828193453 8.59672560356928e-06 0.00493503859784153 3.03936568885364
"LOC650226" -0.498881144739989 -0.239838104541045 -4.53622157355131 8.62768985636631e-06 0.00493503859784153 3.03595691007807
"MED12" -0.162493788501024 -0.154002849559702 -4.51668707627406 9.40106632180931e-06 0.00520394509942735 2.95458049210692
"THOC2" -0.156353957209785 0.207941088380597 -4.47683061173265 1.11906608755136e-05 0.00600099189449418 2.78948212688517
"SPRR2D" -0.161722005930403 0.113275709511194 -4.46759975768129 1.16495294762824e-05 0.00605775532766686 2.75142431279878
"PTPN4" 0.383386885142671 0.461695042414179 4.42486772566829 1.4019555185377e-05 0.00707575197003143 2.57612641661263
"GRM8" 0.421666884297324 0.549860120429104 4.39684724092249 1.58176915498078e-05 0.00747028063943412 2.4619683501438
"STARD4" 0.279446763862109 -0.00781195111567164 4.39198515464713 1.61514120326017e-05 0.00747028063943412 2.44222356220268
"FAM18B2" -0.248584809467933 -0.278897952044776 -4.38842831427073 1.63998070149798e-05 0.00747028063943412 2.42779130373329
"KCTD13" -0.12948614997498 -0.0454977465708955 -4.38640721008908 1.65425795045744e-05 0.00747028063943412 2.41959496433541
"DIRAS2" 0.578290074198423 -0.719978837350746 4.32010904763816 2.19449881070061e-05 0.0096557947670827 2.15254551622805
"AKAP5" 0.583203903485814 -0.0242696814253731 4.2617888371273 2.80597690260661e-05 0.0120376409121824 1.9205547972844
"VPS13A" 0.34005645350953 -0.374470470562687 4.24131520421556 3.05694919907679e-05 0.0125876356927702 1.83976508453063
"PAX8" -0.199997000482151 0.0526291809179104 -4.23944693556751 3.08088985487383e-05 0.0125876356927702 1.83240973825283
