"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 5.42172910557257 6.41350624890775 45.4832430311384 2.88150074446037e-66 5.09045921516369e-62 108.662197950104
"USP9Y" 5.77815931928719 5.06513874126307 40.1984284206179 2.01419818204114e-61 1.77914125419694e-57 103.195851250036
"UTY" 4.13606664984288 4.58217414285436 38.6523389775753 6.75120413825644e-60 3.97555907688128e-56 101.338211395072
"RPS4Y1" 5.14918543586488 5.62564989408896 35.247774721129 2.43504418561897e-56 1.07543726457862e-52 96.7536118694003
"EIF1AY" 4.85286014241326 4.98721170713702 33.4816479368819 2.23971924139999e-54 7.91337602371443e-51 94.0733553514632
"TXLNGY" 4.1210507415861 3.66896010361874 24.8992697530636 2.065783359154e-43 6.08235480380243e-40 77.2654231836819
"NLGN4Y" 5.81544904171499 4.47220952907441 23.0705704950662 1.04479883229665e-40 2.63677373876465e-37 72.6788735540566
"ZFY" 3.94706710681984 4.68087258054432 19.6883276589864 2.72662160656222e-35 6.02106216269102e-32 63.0335184619015
"TTTY10" 2.50211653696844 4.75885795381662 16.3453670836839 2.37146527261705e-29 4.65492283400586e-26 51.8413027087199
"RPS4Y2" 1.93072733941595 3.27238537727126 10.0306226349337 1.42696016129281e-16 2.52086782093988e-13 26.1039291309663
"TTTY14" 1.95515920696432 5.76795606008201 9.74674025333149 5.76691393274456e-16 9.26166377598777e-13 24.8406614370096
"PCDH11Y" 2.17371300570885 5.02899563655031 7.399779367883 5.42951244582175e-11 7.99314723899059e-08 14.3920421655861
"TMSB4Y" 1.00370633957408 6.99765425425991 7.00145233536474 3.58986358376903e-10 4.87834846698951e-07 12.6579558199742
"ZFX" -0.604611290822707 7.6949199238888 -6.09606236976925 2.32487713761966e-08 2.93366282237064e-05 8.82559276977158
"PRKY" 0.681495813607957 5.12954738693165 5.8407918779498 7.24671962273022e-08 8.53470325701014e-05 7.78128125465722
"CD99" 0.543257504933293 7.41209746109577 4.89501024010574 4.01770845579046e-06 0.00443605234874964 4.1016572255464
"KDM5C" -0.361909885365108 7.4708294469919 -4.44458070656543 2.38561009666936e-05 0.0247906988045652 2.47819669971094
"PLCXD1" 0.420092523730059 6.96340212891745 4.11842249538123 8.14203810551393e-05 0.0799095806511161 1.36515017788424
"ZBED1" 0.28633891197191 7.52363413517275 3.99662407163574 0.000126919404134325 0.118008325970368 0.964186830433492
"CD24" 1.73259354368198 2.75733757578962 3.82967359915219 0.000230118489634575 0.20326366189422 0.428300127256621
"EEF1B2" 0.728611193962525 5.7443935816033 3.50835582872417 0.000690903291624161 0.58121416903964 -0.556041427055721
"OR6K2" 1.49906324824436 -0.28678678927991 3.39297606421235 0.00100971484843128 0.810801023290314 -0.893636895431496
"PMCHL2" 0.702113240182524 2.89520329227959 3.37216146712261 0.00108028607619776 0.829753644439547 -0.953614735751141
"LILRA5" 0.481688744211661 2.9438899765403 3.3426344086161 0.00118837888202869 0.874745888746616 -1.03820690439455
"DDX3X" -0.336847683307166 8.59974756058674 -3.31337155116333 0.00130545586550515 0.922487332800563 -1.12147069902258
"KDM6A" -0.48525434880886 6.28081623010647 -3.27999069739319 0.00145218099115977 0.986701130378018 -1.2157524267809
"TBX2" -0.224751383283824 6.03061951721064 -3.14845244305601 0.00219405114276082 0.999574095497795 -1.57991565008442
"HASPIN" -0.514625234153373 3.80515979443044 -3.14716737472718 0.00220279160320495 0.999574095497795 -1.5834147886994
"TRPM3" -0.329837943083634 6.9187103926813 -3.04040665694669 0.00305321301037804 0.999574095497795 -1.87009146840318
"TEX43" -0.332995667959201 3.78811245160819 -2.97393388441689 0.00372699878082378 0.999574095497795 -2.04452086838445
"IKBKG" 0.364781569498798 5.38570954700841 2.96115079275898 0.00387136668798638 0.999574095497795 -2.07770254087358
"NSUN7" 0.290142504507123 3.35895497935552 2.91367095069861 0.00445394532587844 0.999574095497795 -2.19991710649517
"LINC01657" -0.653642195388577 2.81258297981136 -2.88143873934077 0.0048943171858208 0.999574095497795 -2.28195240093824
"ATP8B4" -0.445657783939363 4.19837201168772 -2.87177586796983 0.00503392984166063 0.999574095497795 -2.30639810937665
"C4orf3" 0.442614170030752 6.08183925727026 2.8639623042872 0.00514948740231582 0.999574095497795 -2.32611538715295
"BSG" -0.206347415735132 8.86449974319921 -2.86261806263553 0.00516961166268175 0.999574095497795 -2.32950303032465
"ASB9" -0.389496260344667 3.25871496996344 -2.85551038279316 0.00527722380685902 0.999574095497795 -2.34739317962543
"NPR3" 0.272643495691427 4.15991010382703 2.84543439391981 0.0054333013656431 0.999574095497795 -2.37269107535693
"SERF2" -0.87515281109187 3.09821415145947 -2.83153062047835 0.00565562624991724 0.999574095497795 -2.40747684447692
"ABLIM1" -0.258423879563234 8.17497073276163 -2.80720272799585 0.00606478503825383 0.999574095497795 -2.46799965082496
"ALG10" 0.366187351157698 6.38093114245312 2.80091033625862 0.00617493445862512 0.999574095497795 -2.48358257925248
"PCDHGA1" 0.397297957557641 4.93329198666792 2.77815372919722 0.00658874045918514 0.999574095497795 -2.53969340276879
"C16orf89" -0.271842480281256 5.92549054929514 -2.77792220661509 0.00659307765881929 0.999574095497795 -2.54026228834859
"FBXO5" -0.475960641692761 3.52113338634935 -2.77250071864123 0.00669538890332582 0.999574095497795 -2.55357228339101
"CLEC6A" 0.77544155806073 2.8306066251265 2.76145650197887 0.00690830716960903 0.999574095497795 -2.58061855139305
"CD248" -0.277973547778914 5.21766226161722 -2.7573983775745 0.0069880823446378 0.999574095497795 -2.59053365316257
"WWC2-AS2" 0.775959836977786 3.53513009774393 2.75184744658546 0.00709856452575283 0.999574095497795 -2.60407615790813
"ASMTL" 0.31489067385554 6.48351074648139 2.7417092612768 0.00730446873753254 0.999574095497795 -2.62875060155333
"CT45A10" -1.8056386209645 2.69193126401244 -2.71112186590626 0.00795910754106418 0.999574095497795 -2.70272730011175
"OR6V1" 0.461469886191871 4.68943500327683 2.66906308523069 0.00894646442710018 0.999574095497795 -2.80329611052218
"OR52A4P" -0.611438004231029 2.79269260843744 -2.66876020833042 0.00895396098575116 0.999574095497795 -2.80401547655916
"RNF165" -0.312636533211588 5.28819739236821 -2.66406752134578 0.0090708409212977 0.999574095497795 -2.8151522253666
"VAX2" -0.372263586883055 5.6733763143615 -2.66323856956249 0.00909163070054445 0.999574095497795 -2.81711776668709
"TNFRSF10A" -0.302031814790032 4.72174337356138 -2.64155236187173 0.00965109589383071 0.999574095497795 -2.86835255900755
"FOXD3" 0.421168201724587 5.85247039854715 2.63695113957253 0.00977373608902029 0.999574095497795 -2.87917710281745
"FAM98C" -0.285587854198394 6.84922470484338 -2.61675362320703 0.0103289342967123 0.999574095497795 -2.92650115495635
"KANK1" -0.228717778993312 6.98594023234122 -2.61283574458061 0.0104398764395227 0.999574095497795 -2.93564483758029
"MLANA" -0.433724632323412 3.27446516033791 -2.58384975241104 0.0112946962829293 0.999574095497795 -3.00292729404888
"C1orf216" 0.232391630473857 6.48708008699173 2.57605100744434 0.0115352205468997 0.999574095497795 -3.0209194229259
"RASL11B" 0.275553655308626 6.79114024567443 2.57543320397635 0.0115544704482778 0.999574095497795 -3.02234272447188
"ARFRP1" -0.116851510445155 7.04019210728509 -2.56792379519071 0.0117907791373705 0.999574095497795 -3.039619422124
"OR5T1" -0.567843611415103 0.742342382066612 -2.5675873022814 0.0118014692236748 0.999574095497795 -3.04039256320321
"MYH7B" -0.302832447499548 5.93453241461255 -2.56703420233423 0.0118190596997794 0.999574095497795 -3.04166320020503
"LYZL6" 0.637385675057302 2.08876820154112 2.54364421175426 0.0125849049770317 0.999574095497795 -3.09518044383238
"LMO2" -0.208117216183814 5.83734919909033 -2.53756962957132 0.0127909683771851 0.999574095497795 -3.10900999068769
"MSX2" -0.402664275444739 4.73871361916369 -2.5343117324726 0.0129027285912118 0.999574095497795 -3.11641520050241
