"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -4.88705116683658 4.72510201362655 -28.7571575697158 5.46585244761054e-58 1.84641961532732e-53 103.76296207118
"NLGN4Y" 2.0616674179748 5.69754059504143 24.1235134097898 1.12752922956733e-49 1.64045307563808e-45 89.9237999881966
"TTTY15" 2.84589180227943 5.2238487518215 24.0651664284123 1.45684237497832e-49 1.64045307563808e-45 89.7309793645292
"TTTY14" 0.960391400879802 5.654380024691 23.9352219721257 2.58151622866274e-49 2.1801549930114e-45 89.2997864213309
"NCRNA00185" 1.48474515135262 4.72834443920137 21.6717123340954 7.59118785429121e-45 5.12875833811623e-41 81.3877418953231
"DDX3Y" 1.20360209785583 4.64672174326228 21.5673319482477 1.23853905042425e-44 6.97318127706362e-41 81.0041111314421
"RPS4Y1" 1.46997885977668 4.11240990198135 21.5010274602606 1.69146162462952e-44 8.16275216308713e-41 80.7595422065384
"KDM5D" 1.67510643917058 4.86088082836046 20.8081545469969 4.53847302951229e-43 1.91642696762443e-39 78.1626909181917
"UTY" 1.31347036712919 4.92592353517793 19.3339664597197 6.07867001007084e-40 2.28159501789114e-36 72.383920722209
"USP9Y" 1.4419582301953 3.7870907625119 19.2837442329629 7.8061527873785e-40 2.63699647310433e-36 72.180903333767
"EIF1AY" 1.11205674960531 3.09274826441941 18.7169215599525 1.34293255726861e-38 4.1241458833719e-35 69.8613153992433
"TXLNGY" 1.15990864690551 3.7570145374024 17.9185032170294 7.91280808444048e-37 2.22752141583736e-33 66.5057751633818
"RPS4Y2" 0.546367594426933 3.63700862444614 17.7404763440306 1.98505444310392e-36 5.15824031865333e-33 65.7435314120507
"LOC102723889" 1.85402551330122 6.15468250912386 17.619048967637 3.72562541670061e-36 8.98966801439737e-33 65.2206970817331
"AGKP1" 1.2072270821268 4.66058371264166 17.1532863845754 4.23926376620252e-35 9.5471046190725e-32 63.1933059876091
"HSFY1" 0.491671190370508 2.96161076884314 16.3985841058287 2.30510764172381e-33 4.866802577817e-30 59.8350377006764
"KALP" 0.649113778206121 4.6651934347573 13.7701510599976 4.16212060677636e-27 8.27062330691248e-24 47.473345330995
"GYG2P1" 0.460783317978094 6.60681629055635 13.7558438381753 4.50982457525569e-27 8.46368799870626e-24 47.4034725998018
"TTTY10" 0.663028618429996 4.15328355175902 13.7295934711909 5.22529346406499e-27 9.29029676366208e-24 47.2752075300639
"PCDH11Y" 1.07056103903034 5.92778935466126 13.4841688749702 2.07566102887223e-26 3.50589526081664e-23 46.0719957785338
"RNU1-48P" 1.23783893483263 3.27555214546573 13.4199522342853 2.98009578218149e-26 4.79383883894633e-23 45.7559962180002
"TTTY3B" 1.02228890679475 4.36260590591034 12.7401741180609 1.39476478540038e-24 2.14166132798228e-21 42.3830474416325
"PRKY" 0.517750910146487 4.14772030521664 11.1060834472327 1.5732107875504e-20 2.3106362440974e-17 34.1103818243704
"FAM224A" 0.411542914682288 4.71180622309685 11.0615341715496 2.03025295249406e-20 2.85766562450842e-17 33.8826270778082
"ZFY" 0.397527316428262 4.24622304776863 10.163946142647 3.4324476490738e-18 4.63806056133449e-15 29.2846963038307
"TSIX" -0.232144659804633 2.86064797044132 -9.4895706475796 1.57909041301583e-16 2.05166358623414e-13 25.8343660064173
