"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 3.10420917877428 6.2776557926204 29.2863396213735 3.40606635651022e-59 5.9299615266843e-55 106.588334378596
"USP9Y" 3.32626690020387 5.76272104649388 27.2633151716452 1.04840936167572e-55 9.12640349338716e-52 100.888010381561
"RPS4Y1" 2.95188838181436 6.11899409192182 25.5028820762577 1.61336130282209e-52 9.36287342737756e-49 95.504314437485
"UTY" 2.37349449556282 5.46410367807883 24.5069821180481 1.1936907120793e-50 5.19553882432516e-47 92.272682869612
"NLGN4Y" 2.61780820196375 6.26457449518226 22.7992136722769 2.50454236395494e-47 8.72081651129112e-44 86.4005683926358
"EIF1AY" 2.46955710229595 4.07386508812957 22.4591030421071 1.19780835887425e-46 3.47564058800011e-43 85.1795348586965
"PCDH11X" 1.99809510333033 5.08467483075236 19.9329239550261 2.09465912424961e-41 5.20971647902653e-38 75.5510221587424
"ZFY" 1.05301279217433 5.09366530590222 19.6894454364254 6.99536880438057e-41 1.52236713605332e-37 74.5697688448103
"TXLNGY" 1.30654672716417 3.86142942602176 17.6005893390961 2.95906620203668e-36 5.72414917527317e-33 65.7598568106833
"TTTY10" 1.05537497658691 4.10765248616451 16.3047945001037 2.87422843791579e-33 5.00403171041139e-30 59.9448929868557
"KDM5C" -0.29376275876495 7.23539480778077 -11.3562582916739 3.32339971412287e-21 5.26003536571628e-18 35.6291995121931
"PRKY" 0.43033445326646 5.41606498463129 9.94635599057809 1.08701356075528e-17 1.57707550772911e-14 28.3434486963037
"ZFX" -0.535371402391081 6.73933769344669 -9.78042819663365 2.80108975109784e-17 3.75130558204718e-14 27.4867480149828
"TMSB4Y" 0.534264200792917 5.00697417450305 8.14114456427287 2.7341651094752e-13 3.40012961114023e-10 19.1334175322262
"TTTY14" 0.522630131902756 6.31381516948449 7.77072010190728 2.04828373584558e-12 2.37737465607143e-09 17.2946830388001
"HDHD1" -0.43491383878011 7.14011853175249 -7.29021155054995 2.65942283106039e-11 2.89378446804758e-08 14.9513747521119
"DDX3X" -0.269074927745814 7.22894658643841 -6.37545585943076 2.90212109933829e-09 2.9721134317341e-06 10.6594009717234
"KDM6A" -0.352675745693049 5.73014130844972 -5.17802911607115 8.28155097486776e-07 0.000801010013735821 5.49913832171353
