"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -8.46607969826884 -0.752982148045046 -51.591779588721 1.10703933305569e-121 3.58712373605274e-118 265.347031596384
"ANKRD22" -1.4594261050284 -3.53326709312441 -4.20051385524391 3.9274692955469e-05 0.0134974028123629 1.47855497849423
"RP11-575H3.1" -1.43251448120935 -1.32631398398318 -8.47505469557142 4.03436249409882e-15 2.54187250253193e-12 23.6020405253675
"CHI3L2" -1.42418487380911 -0.827098604467234 -3.63123128548621 0.000354015837465875 0.0416747490286019 -0.969989113049706
"RP11-153M7.3" -1.29568214470785 -2.61336405555046 -4.68374409807509 5.03899800079653e-06 0.00219797216642436 3.32110539849146
"SERPINA3" -1.29243838510357 3.22173029238587 -2.88439637835333 0.00432796772694825 0.0864907171653218 -3.86373249630739
"LIF" -1.17730212489587 -2.05325700178491 -2.91378607247546 0.00395508638331385 0.0834826444952159 -3.01234309098248
"CD44" -1.11597625573877 2.64092117528139 -4.13541387684146 5.11266529226966e-05 0.0154018441792554 0.381151043087625
"RP11-706O15.3" -1.05183739653548 -2.7283139471443 -2.50592382551169 0.0129677015219032 0.122047056398261 -3.96738703972922
"CTB-61M7.2" -1.03217839878249 -4.01892865181795 -3.73352122697307 0.000242831300379886 0.0372928284036609 -0.150597955646714
"FCGR2B" -1.01504431691262 -2.92630666785448 -4.45736666214991 1.34626325908057e-05 0.00545284700758311 2.43673790203864
"TSPEAR-AS1" -0.999712449662275 -2.5221708659773 -6.13620527955055 4.11616033235277e-09 2.26105926430003e-06 10.1911553323731
"CXCR2" -0.997944338015492 -2.02620637971897 -4.19152793806924 4.07382921968687e-05 0.0135886168177849 1.26350537673722
"PNMA6B" -0.985115474002564 -2.0436195423494 -2.4277339913784 0.0160313029684547 0.131699389326508 -4.2544767435824
"SCIN" -0.984361235799615 0.383952750192202 -3.45025444721246 0.000676180815497074 0.0493794870378858 -1.71851190170644
"STC1" -0.976848362157253 -0.120174238328156 -2.80405359608337 0.00551690729073091 0.093614259766952 -3.58235366717105
"SFN" -0.973045195051632 -0.648281332524279 -3.25074065787249 0.00133958647761329 0.061013053183182 -2.21134350568478
"CD163" -0.966495194481274 0.872801002593146 -3.3508069339231 0.000954467569793588 0.0539881132619904 -2.10754046985874
"C1orf87" -0.965057569761374 -3.40220640239552 -3.1592404645315 0.00181366208627721 0.066781408865439 -2.09240523739763
"BMS1P10" -0.963264508432649 -1.96633391557116 -3.95719245523075 0.000103567873299221 0.0225877548285858 0.375696137444699
"FPR3" -0.959611319409341 -3.06165019023538 -3.58407444149574 0.000420066414669523 0.0432512032613135 -0.785968408236799
"CLEC5A" -0.95762031799348 -2.83294860367537 -2.86486030501449 0.00459330422953243 0.0882672500403773 -3.01864688702324
"CXCL3" -0.957600059091725 -2.33918109071805 -3.62109954106708 0.000367323078797105 0.0420516714263187 -0.759047384800749
