"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.33530013888889 6.39359436507937 58.3567731197499 2.52458192105029e-93 4.36298247595911e-89 172.591669745102
"USP9Y" 4.09625138888889 6.13913452380952 54.0411660315447 2.89356465362024e-89 2.50032921719325e-85 166.973255419175
"NLGN4Y" 3.60367365740741 6.55062746031746 51.9661045335215 3.31515938728242e-87 1.9097528177005e-83 163.996759263359
"RPS4Y1" 5.3643575462963 7.05312198412698 36.6944496123053 2.73933724624632e-69 1.18353065724072e-65 134.802721720353
"PCDH11Y" 6.55365722222222 7.16999031746032 36.3465100719934 8.24272123865117e-69 2.84901416892739e-65 133.94987742844
"UTY" 3.33546828703704 5.73561317460317 32.9731563171239 5.75182252194908e-64 1.65671661373873e-60 125.129227029515
"EIF1AY" 3.3799075 5.54432515873016 31.2142707700975 2.78137876682574e-61 6.86682683546892e-58 120.102834694942
"ZFY" 1.56459708333333 4.64447047619048 22.8775670126259 8.73911534455514e-47 1.88786739230752e-43 91.5265324221712
"TTTY14" 0.652814861111111 6.28836484126984 11.0270894365822 3.15391081894227e-20 6.05620964144003e-17 34.9708032494768
"TTTY10" 0.717547824074074 4.19997158730159 11.0052594195781 3.56927016870899e-20 6.16841270556288e-17 34.8531076635496
"TMSB4Y" 0.591133101851852 4.62798738095238 9.99141436936872 1.10548527950623e-17 1.73681787276606e-14 29.3891886369217
"ZFX" -0.968968518518519 7.53885055555556 -8.52763644611319 3.86811095129549e-14 5.57072445502406e-11 21.597509521573
"PRKY" 1.02360319444444 5.38100055555556 8.06461062370419 4.81757245865919e-13 6.40440671004216e-10 19.1874564342801
"JPX" -0.770323981481481 5.68681857142857 -6.89847324088304 2.24668425609251e-10 2.77337123669934e-07 13.3189985788534
"KDM5C" -0.406648194444444 8.4074746031746 -5.97590950643289 2.17259202432406e-08 2.5031156909579e-05 8.96490673761718
"DDX3X" -0.44791125 8.86442126984127 -5.73938953500768 6.65533482989363e-08 7.18859353313885e-05 7.9017552067676
"ZDHHC17" -0.341784722222222 8.748835 -5.26172918038606 5.91651049696317e-07 0.000601465496520692 5.83217441015914
"SOHLH2" -0.556047731481482 4.45105825396825 -5.04091837923105 1.56527007773424e-06 0.00150283319352239 4.9135408821275
"HDHD1" -0.504086574074074 8.4857196031746 -4.83624290097531 3.77107133041887e-06 0.00343008709117362 4.08522660563344
"SAMD8" -0.289272083333333 9.63187777777778 -4.78715636092011 4.6408821665738e-06 0.00401018628013642 3.89002030700847
"TRIM23" -0.355081435185185 7.76899261904762 -4.72195056138817 6.10167636935496e-06 0.00502138909596155 3.63282409532229
"SEC62" -0.348760601851852 7.75343396825397 -4.65549296679981 8.04498822621787e-06 0.00631970393297715 3.37320536073159
"BGN" 0.475571481481481 8.99395031746032 4.64135767231468 8.5295591546831e-06 0.00640903657874928 3.31831642997266
"RORB" -0.623580925925926 9.64747396825397 -4.59141342395058 1.04781267523256e-05 0.00754512443890377 3.12531644191032
"FUZ" 0.305073611111111 6.61837444444444 4.55946757587355 1.19430662610363e-05 0.0082560028449292 3.00264093419763
"DNER" 0.313311111111111 10.1380032539683 4.47613065378335 1.6756108336957e-05 0.0111376563184343 2.68549184633382
"PNPLA4" -0.474877222222222 7.21787325396825 -4.44606098399914 1.89149083518032e-05 0.0121069424494764 2.57208873435304
"IL1RAPL2" -0.790196064814815 5.68957587301587 -4.36894203356318 2.5747200484859e-05 0.0158915399564047 2.2837793854032
"AMIGO2" -0.60199375 5.1794069047619 -4.32039703997201 3.12066282569102e-05 0.0185969982598594 2.10418362587002
"CNST" -0.317438888888889 6.02185468253968 -4.29348186014616 3.46966197923923e-05 0.0198705475228396 2.00524483777255
"ARHGDIB" 0.506082361111111 7.56797214285714 4.28662996326645 3.56432689045265e-05 0.0198705475228396 1.98013047547042
"PRKACG" -0.245241851851852 4.97862920634921 -4.27536422919848 3.7253900725732e-05 0.0200893469141842 1.93890247455814
"SLC25A43" 0.392264259259259 5.34686007936508 4.2678911448756 3.83606323439463e-05 0.0200893469141842 1.91159833500471
"WSCD1" 0.520199259259259 5.88952857142857 4.21686048173017 4.68069376890526e-05 0.0237916910924179 1.72609853020853
"TRAM2" 0.364796759259259 6.48207658730159 4.1975019894719 5.04562000262958e-05 0.024513522892382 1.65616461525787
"ZFP36L1" 0.95225013888889 9.14766682539683 4.19440922893536 5.10639291821405e-05 0.024513522892382 1.64501410099248
"TMEM86A" -0.184520555555556 5.39606912698413 -4.16816627838565 5.65108898688413e-05 0.0263951675327923 1.55064688448443
"LAMA4" 0.359529351851852 5.89138904761905 4.12680917086098 6.62408720089555e-05 0.029500715495155 1.40283564987406
"MXI1" -0.360191481481482 7.18228222222222 -4.12549962488693 6.65737706463978e-05 0.029500715495155 1.39817347437212
"FLOT2" 0.313177824074074 8.32754634920635 4.10314930951016 7.25084957556571e-05 0.0313272955912317 1.3187757943084
"ACTB" 0.13850787037037 13.8304158730159 4.09124253233498 7.58735530495372e-05 0.0319816278976122 1.27661147112211
"C2orf15" -0.229853055555556 4.27110706349206 -4.0678804805624 8.29152246137219e-05 0.0331576366633492 1.19415245128753
"NAGA" 0.290324814814815 5.70429785714286 4.06698203502184 8.31981384240717e-05 0.0331576366633492 1.1909884651817
"POLR3GL" -0.232672731481482 5.46541119047619 -4.06313692809803 8.44193966663214e-05 0.0331576366633492 1.17745346870356
"LAMB1" 0.35357162037037 6.93167555555556 4.02052945431975 9.91513266564081e-05 0.0380785161616899 1.02812785934184
"GRIA2" -0.357979537037037 11.0368717460317 -3.99612531551484 0.000108663827147176 0.0401652774821574 0.943142927252814
"PTCD2" -0.265003935185185 6.11366492063492 -3.99473012558841 0.000109233193013621 0.0401652774821574 0.938296341881743
"UQCRB" -0.225826481481482 6.55261833333333 -3.93432567207542 0.000136804384227803 0.0492552785046854 0.729718058855065
"APLNR" 0.519388148148148 5.83919507936508 3.89453465015117 0.000158464834873891 0.055809317273559 0.593666029222966
"HIST1H4H" 0.451957268518518 6.43343166666667 3.88943433617665 0.000161466604772477 0.055809317273559 0.576305115563264
"IVL" -0.217209537037037 4.43570674603175 -3.87517867490742 0.000170146508416138 0.0576563129107392 0.527874619172079
"CCDC126" -0.363883055555556 6.09337238095238 -3.85691531784768 0.00018191670332719 0.0600321666538723 0.466032126488979
"B3GNT2" -0.592223240740741 7.07806857142857 -3.85364403940992 0.000184105128610996 0.0600321666538723 0.454979246971502
"ATF3" 0.375707685185185 5.02630658730159 3.84350364412854 0.000191049096934044 0.061142786911373 0.420763981482186
"HLA-DRB1" -0.812410138888889 4.25539285714286 -3.83076028365141 0.0002001290491079 0.061301453744162 0.377866295706737
"HSPA1A" 0.463615833333333 11.4408644444444 3.82804434717697 0.000202116551102851 0.061301453744162 0.368738176636548
"SLC22A5" -0.211226296296296 5.83684444444444 -3.82794955739589 0.000202186255260805 0.061301453744162 0.368419685136199
"CNTD1" -0.188460231481482 4.51983158730159 -3.80267856535215 0.000221607143657514 0.0651651600960202 0.283731333162591
"CHRM5" -0.378730138888889 4.89769111111111 -3.8016039831753 0.000222471036087559 0.0651651600960202 0.28013998761153
"ARL17A" -0.743269444444444 7.29197071428571 -3.76543289092671 0.000253488286277556 0.0727933503517383 0.159721367411134
"HLA-DRB5" -0.489013055555556 4.10543285714286 -3.76167366409639 0.00025693752872677 0.0727933503517383 0.147258679406624
"LYPD6" 0.292037638888889 7.13734753968254 3.72934304261516 0.000288496575879775 0.080416093941198 0.0404836812462843
"ZFP36L2" 0.487505324074074 7.7498903968254 3.71375895176467 0.000304989601172049 0.0836639728167516 -0.0107221602705136
"ZNF597" -0.375012731481481 6.60223238095238 -3.70284371860858 0.000317069243090779 0.0839442432125717 -0.0464852859724925
"PPM1B" -0.279133425925926 8.63831111111111 -3.69750500877557 0.000323141188788716 0.0839442432125717 -0.0639466319977631
"PLTP" 0.665228796296296 8.11370388888889 3.69610089326532 0.000324756345970763 0.0839442432125717 -0.0685357349470221
"IBTK" -0.332635925925926 8.07088825396825 -3.69550804709089 0.000325440591091442 0.0839442432125717 -0.0704729292542083
"CELA1" -0.13320050925926 3.99324079365079 -3.67370822097217 0.000351570680353488 0.0882426315727121 -0.141533631041099
"HAND1" -0.161409583333333 4.63864206349206 -3.66968866175249 0.000356600539206598 0.0882426315727121 -0.154599361960401
"STC1" 0.381788101851852 5.132225 3.66797212272711 0.000358769206057665 0.0882426315727121 -0.160175541549092
