"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y2" 7.20848421535137 7.52407719447768 51.0148734880177 3.03518359658878e-123 6.29406022424616e-119 257.859435972356
"XIST" -6.4472229361239 3.39654854917046 -48.7742721349013 2.49349064306554e-119 2.5853757732625e-115 250.085790392831
"DDX3Y" 4.86396401288954 7.0967353690504 43.5681488392988 1.26027214793079e-109 8.71142117721362e-106 230.449366778033
"TTTY15" 4.62690623215212 5.60023857535959 39.13493812441 1.31750527319891e-100 6.83027671258146e-97 211.782388392951
"TTTY14" 4.04996296848976 6.14864397232562 37.8959825431848 6.01330436083569e-98 2.49395785061299e-94 206.210672934241
"NLGN4Y" 3.56721601188563 7.23685004614812 31.8925169034205 4.24742083019457e-84 1.46797942926241e-80 176.765792200144
"TMSB4Y" 3.75558705813558 4.37243935477083 31.5619202905563 2.75714678660717e-83 8.16785041626757e-80 175.018538234308
"RPS4Y1" 4.68259115795487 8.39202253056482 31.1942955128975 2.23987291273032e-82 5.80603057391108e-79 173.059327454922
"CYorf15B" 3.07234871956304 5.14924074694122 24.5767312259219 8.743061659501e-65 2.01449855147858e-61 134.735315009571
"USP9Y" 3.25259164563906 4.14994408598304 23.3280763776072 3.36312664690298e-61 6.9741157276827e-58 126.836603000686
"KDM5D" 3.29688153605929 6.47062453529838 23.0179309056334 2.69315210690222e-60 5.07708138553012e-57 124.841943066134
"UTY" 2.77671995712019 3.61439944424269 18.2998458236579 5.88583163873264e-46 1.01712075576999e-42 92.9983418618235
"ZNF718" 1.86476970291912 5.90352087329899 16.120926135032 4.9838185576111e-39 7.94995734070626e-36 77.5107850579418
"EIF1AY" 2.1015958538085 6.64264268426583 15.4673280052365 6.27339199449217e-37 9.29223784212743e-34 72.806019465748
"KRTAP10-10" 2.24342508350943 10.4036286727858 15.2243984339066 3.79675015791744e-36 5.24888053498226e-33 71.0531616082932
"NLRP2" -2.80755888528541 2.58078290004603 -14.9722383010923 2.46341281985355e-35 3.19273697783144e-32 69.2320046532768
"HSFY1" 2.72802324535434 3.58904878138081 13.5264949416462 1.11267443932617e-30 1.3572664616651e-27 58.7840219965521
"AC034199.2" 2.91268807201837 5.2507190615446 12.8325120510024 1.86307150461443e-28 2.1463618772883e-25 53.7877118934417
"CXorf48" -1.42840289344986 1.98019474102747 -12.7079237107422 4.65628503423277e-28 5.081967513415e-25 52.8937132615448
"BCORP1" 2.56830363523853 4.05503476647985 11.9643527719682 1.07067835676927e-25 1.11013285421622e-22 47.585296252025
"LOC642373" 2.46971652678051 4.95188102543215 11.3615726775604 8.38870903114357e-24 8.28365043708686e-21 43.3269969173629
"CD163" -1.93378224268835 2.83875545195958 -11.3420745033433 9.65136443180438e-24 9.09728837374215e-21 43.1900861703026
"KLRK1" 2.22647076566546 3.34559633160448 11.0173251708842 9.88318316060694e-23 8.91076387832635e-20 40.9185519264244
"KRTAP19-8" 2.05423691495995 4.06124019833325 10.971578653096 1.36960521592923e-22 1.18339597344685e-19 40.5999669586424
"CNTNAP3" 1.63862734675062 6.20706901834228 10.7459190935479 6.81017256870591e-22 5.64890194229017e-19 39.0339005009834
