"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -9.60895835509678 3.44167153298176 -44.6334396369909 1.16684458356276e-82 4.25851599217064e-79 176.596344491151
"TSIX" -2.02146447555905 -2.33244440276105 -9.47814108582081 1.20246882911528e-16 7.80047846039724e-14 27.3303876000287
"S100A8" -1.1305101141828 -0.136994572270468 -2.95826752810206 0.00365454062403527 0.764244610313422 -2.95789227189895
"PSPHP1" -1.04470356579672 -0.616560862786555 -1.9099814629324 0.0582584879986244 0.961246890105258 -5.32784503603444
"ALAS2" -1.0255171433887 -1.86699324706784 -2.6705323497459 0.00850467637690024 0.961246890105258 -3.47278506949676
"MTCO1P40" -0.980429609480861 -1.54169270673775 -1.95224410835194 0.0529805668530103 0.961246890105258 -5.1103853306035
"TSPEAR-AS2" -0.954490149495565 -2.36980450938591 -4.45311098929687 1.75926947453912e-05 0.00746584869102089 2.34544810409017
"AQP7P1" -0.952097838118464 -2.02072341327064 -4.61358842087011 9.09987654885367e-06 0.00405011090886541 2.93694612119589
"ADGRG4" -0.93295247181741 -2.41065193001634 -3.01053284538734 0.003113863308068 0.71027222057031 -2.49133891051592
"CXCL8" -0.932073166123355 -0.470950723806924 -2.21700856476774 0.0282969598739049 0.961246890105258 -4.72959386846695
"S100A9" -0.872611589548288 0.815366842987222 -2.46847643609196 0.0148196522674936 0.961246890105258 -4.35827228941968
"TRPM1" -0.816997305180495 -2.22897300889879 -2.00196619525461 0.0472939042453046 0.961246890105258 -4.91402897282859
"HSPA7" -0.771975423478333 -0.818849105892486 -2.31675384557081 0.0220238537595444 0.961246890105258 -4.45393473045014
"MTND1P23" -0.770578815760249 1.91487624300804 -1.26016200689875 0.209786714829065 0.961246890105258 -6.73985856137926
"PRSS30P" -0.767063968503297 -2.24881926712414 -4.34123445011958 2.76019220041098e-05 0.0111928860606888 1.91070196185226
"RHOXF1-AS1" -0.749100620887421 -2.95758568827552 -1.81558055348901 0.0716559615775151 0.961246890105258 -5.1667294795171
"AGGF1P3" -0.737522424719954 -0.688461322573538 -4.23761564450823 4.16027518022185e-05 0.0165036307584105 1.32797411515701
"RNU6-1189P" -0.737220510192095 -2.42301582960064 -3.00101843253942 0.00320644021624424 0.713550256902743 -2.51138110653664
"CCL3" -0.693364498514913 -2.26987078280201 -2.03320885329069 0.0439930797818762 0.961246890105258 -4.84190230468132
"HERC2P4" -0.689052424503303 -1.65014407440247 -2.12168238630893 0.0356929929614381 0.961246890105258 -4.74937898821311
"ANKRD20A9P" -0.666946344784931 -2.59806299938496 -2.12905880524724 0.0350663782945851 0.961246890105258 -4.60717011746715
"SIX3" -0.651776090897862 -1.99257291721711 -2.04100583163963 0.0432006702665159 0.961246890105258 -4.86346372170223
"RPL13AP7" -0.644147674527579 -1.49186433692847 -2.78437725409611 0.00613444615977563 0.961246890105258 -3.21607640323199
"CES1" -0.641481873696642 -0.636588647375262 -2.49022381779605 0.0139809907761431 0.961246890105258 -4.07656805702164
"CCL4" -0.640934138534081 -2.39395856584326 -2.07415002924123 0.0399669245931742 0.961246890105258 -4.74376815203738
"LHX9" -0.621412746605118 -1.20646398370738 -2.59363982313395 0.0105451028985108 0.961246890105258 -3.74112122049512
"ZFX" -0.618540327721287 5.28837404497486 -16.0968125426715 3.3840583681122e-33 2.57301237922131e-30 64.7820786212105
"JPX" -0.614924754943055 3.68837621770705 -11.3362697238498 2.43708029882057e-21 1.71045543434145e-18 37.5639197552847
"P2RX2" -0.602257418720443 0.784314082660229 -2.32588055266971 0.0215161428976443 0.961246890105258 -4.66821486543947
"NLRP2" -0.596939060389096 1.08031576323535 -2.4219476194347 0.0167660794807921 0.961246890105258 -4.49719275548464
"POSTN" -0.594171592115414 2.24791241492181 -2.50934763065941 0.0132787849714713 0.961246890105258 -4.49241901929764
"KDM5C-IT1" -0.59361158899496 -2.09375729823558 -4.19876220851563 4.84376487611256e-05 0.0188061747785749 1.36359026764637
