"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -4.84303950603113 4.63071954173825 -24.5512417247427 1.76008751801375e-49 5.94575164460226e-45 83.354528258243
"NLGN4Y" 2.03165334479565 5.7619306005332 22.8788207235929 2.32496047594218e-46 3.92697449189013e-42 78.5560625424374
"TTTY15" 2.40340563796348 5.00820935635968 22.5594896257521 9.51821991194315e-46 1.0717832894845e-41 77.5933399580717
"KDM5D" 1.53074863251018 4.79573006779067 19.2548177681079 4.29363278967635e-39 3.62608023170142e-35 66.6946976595255
"NCRNA00185" 1.39747410675281 4.7728786091685 18.777912660359 4.38795089426982e-38 2.96458738318658e-34 64.9751371789403
"DDX3Y" 1.11716131098122 4.63003681589162 18.0715145712381 1.4467979561827e-36 8.14571362630127e-33 62.3579126431812
"RPS4Y1" 1.33897792322808 4.10342058850534 17.8012152437415 5.60450295966993e-36 2.70465306400871e-32 61.334169451717
"TXLNGY" 1.1157807899557 3.80146808589601 17.6488435685668 1.20732765009976e-35 5.09809191850249e-32 60.7516252937792
"UTY" 1.38754716802698 5.09393552422934 17.5523106912884 1.96619198955195e-35 7.37999239989493e-32 60.3805309323017
"EIF1AY" 1.13123011398608 3.16390111536226 16.8670493847485 6.47943728934945e-34 2.18881871071514e-30 57.7009713702507
"TTTY14" 0.863816906720443 5.61428806609232 16.3300254771319 1.04341297034432e-32 3.2043212319274e-29 55.545834804721
"AGKP1" 1.45792968419409 4.89420837268494 16.0099149265563 5.55864696800672e-32 1.56480544355196e-28 54.2383109881738
"LOC102723889" 1.5102461394093 6.1506530783206 15.9562980982345 7.36486666736196e-32 1.91378892992426e-28 54.017649113723
"USP9Y" 1.19958150644674 3.66925974306717 15.9134700975298 9.22308564744632e-32 2.2254646875456e-28 53.8410486007286
"HSFY1" 0.428053418098412 2.95728137024891 12.4306818642369 1.51701438863893e-23 3.41641753750744e-20 38.53915527896
"RPS4Y2" 0.490530839691366 3.66198449509568 12.3928258540391 1.87341607846959e-23 3.95536678417384e-20 38.3638126141909
"RNU1-48P" 1.07650641981311 3.16543910078494 11.5345039070767 2.2800277079754e-21 4.530683294301e-18 34.3491386267637
"TTTY10" 0.573714473037875 4.20300504015199 10.7388929246925 1.98483170229722e-19 3.72497776307236e-16 30.5739654123965
"KALP" 0.695742898345009 4.94753095550539 10.4737878259521 8.78842032948927e-19 1.56253487973935e-15 29.3082019835867
"TMSB4Y" 0.426679679498638 5.5174517292814 9.87541299914597 2.50654946038375e-17 4.23368736606118e-14 26.4437626481471
"TSIX" -0.25120704509515 2.87900912771943 -9.81661055337744 3.48083439372674e-17 5.59933650735634e-14 26.162039845452
"TTTY3B" 0.822048704395743 4.38762664894966 9.5761327972956 1.33009341297155e-16 2.04235843561782e-13 25.0101074920539
"GYG2P1" 0.296636669083868 6.64389737148387 8.85569723867837 7.16301698080318e-15 1.05206033316744e-11 21.5686341531235
"LINC00278" 0.38107477195744 3.25983401711336 8.68266736384642 1.84977121269848e-14 2.60363005567364e-11 20.746249678098
"ZFY" 0.370017440667532 4.2516886835367 8.3481568475108 1.14392000403279e-13 1.54571046624927e-10 19.1635800499871
"KDM5C" -0.24908005435456 5.09209659760327 -7.94998856662882 9.76476633932336e-13 1.26870604503339e-09 17.2957451810186
"JPX" -0.395221354857053 4.63575067854314 -6.96250920051566 1.71615066696864e-10 2.14715872892102e-07 12.7740754558401
