"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 2.81601022512559 6.22101312973404 24.7131350525455 5.11661368058924e-50 8.90802441790587e-46 86.8395058407278
"USP9Y" 2.8913948852788 5.55630255370682 23.2123340193006 3.25390778056694e-47 2.83252672298352e-43 82.3140760390957
"UTY" 2.51085833225089 5.72365289750191 21.8640189753853 1.3475812562341e-44 7.82046322367855e-41 77.965470921837
"NLGN4Y" 2.78715538750171 6.32485712495633 21.7976306907691 1.82344050916575e-44 7.93652481614394e-41 77.7441871649257
"RPS4Y1" 2.94236179539503 6.22833718949524 20.8422350426901 1.5035880125204e-42 5.23549345959605e-39 74.4832601130507
"EIF1AY" 2.49841720806271 4.21436363988496 20.1477764057553 3.99053003717096e-41 1.15791879911911e-37 72.021788158729
"ZFY" 0.997273578304147 5.0922902566493 18.3778435660033 2.23675639387784e-37 5.56313268820189e-34 65.3923086489175
"TXLNGY" 1.39211096440018 3.99604569301886 17.1252310603858 1.27670874058561e-34 2.77843739669944e-31 60.3867753406864
"TTTY10" 1.08653718269241 4.13419467524907 14.6929886538505 4.91105074062832e-29 9.50015482159324e-26 49.9357660630967
"KDM5C" -0.386026558567221 7.05895885004873 -13.2513801109725 1.34162395410901e-25 2.33576730410379e-22 43.319981333543
"TMSB4Y" 0.779624409656673 5.11343678190215 12.1540660035787 6.1580376202146e-23 9.7464940879942e-20 38.1092532043083
"PCDH11X" 1.98118820018074 4.82949727044616 11.7626577190038 5.56334792594241e-22 8.07149061588812e-19 36.2210663242569
"ZFX" -0.553390659847646 6.6358153012897 -9.30213676406219 5.67819243229062e-16 7.6044100189369e-13 24.1724032985747
"TTTY14" 0.537198261118121 6.38892544769867 7.65823845585939 4.42707230019827e-12 5.50538062474656e-09 16.2354102856581
"HDHD1" -0.445800381375653 6.99105092034821 -7.33393407553531 2.44001863138068e-11 2.83204829148918e-08 14.7154276891496
"DDX3X" -0.311593068443332 7.0993098861958 -6.61545115776645 9.6630293869195e-10 1.05145838516418e-06 11.4338288066789
"PRKY" 0.330301080533977 5.35995214174863 6.52737896412376 1.50018642102227e-09 1.53636738764692e-06 11.0411404016199
"EIF2S3" -0.272077563150121 8.26149849080263 -5.91085994264315 3.01382255644035e-08 2.91503615042369e-05 8.36249079221461
"PNPLA4" -0.313545503555505 6.72524238136758 -5.8134457469189 4.77591247408219e-08 4.37624400914583e-05 7.95159290402138
"KDM6A" -0.420156790124437 5.83050788185486 -5.05728993018503 1.47237767428024e-06 0.00128170476546095 4.89613437953982
"UBA1" -0.156800644737454 8.62115416058355 -4.19766342320293 5.06936902692956e-05 0.042027483218497 1.76167072853134
"STS" -0.351619428563337 7.28512150996244 -3.92950473513141 0.000139860150496746 0.110680237279471 0.870002784205679
"JPX" -0.387043160161019 3.99776237271951 -3.88254802422177 0.000166278458241175 0.125865563390385 0.718452405230772
"INHBA" 0.23629859818954 5.3557874030139 3.68092919021874 0.000343858717703872 0.249440844801017 0.0838261286407311
"TSC1" -0.148778646979651 7.60150124039413 -3.60629608712572 0.000446905578225178 0.311225044676014 -0.144334774869936
"FFAR4" -0.267329071832163 4.60188166597096 -3.52629690204356 0.00058941640011454 0.394682289461313 -0.384753711869488
"PAX8-AS1" 0.464740155501432 5.60227988416203 3.50967435909652 0.000623967062029553 0.40234320555313 -0.434164856052121
"NDP" -0.219530898009032 6.55799199928587 -3.41924052897986 0.000847833069729758 0.527170490856968 -0.699666328241266
"ACVR1B" -0.161058900600401 6.27692383388329 -3.3473327002862 0.00107752191865169 0.628707699039677 -0.906736538527251
"ZFYVE1" -0.100785619366026 6.60305333341348 -3.34570044892422 0.00108335617295751 0.628707699039677 -0.911394915580862
"TXLNG" -0.15848273797313 6.34849604391869 -3.31365873359055 0.0012040460227946 0.67620778247916 -1.00246122373718
"BBS1" -0.116358106517071 7.32185458457841 -3.26931989597769 0.001391881349532 0.757270446729755 -1.12728125191635
"SYN3" -0.24670563223975 7.14367379030103 -3.21688483031003 0.00164921672186287 0.85749872750066 -1.27308805099255
"KCNK2" 0.290104798187009 6.18020326570575 3.21213218328048 0.00167460980672157 0.85749872750066 -1.28620655288564
"KLHDC8A" 0.295468816697067 6.56649891728264 3.14769224871592 0.00205682042034363 0.999343831606554 -1.46247110784645
"EEF2K" -0.174495331714928 5.8192473981034 -3.13601663956028 0.00213419854483979 0.999343831606554 -1.49408628199569
"SLCO4A1" -0.281467583695417 5.7535226183314 -3.13163308592755 0.00216394085189202 0.999343831606554 -1.50593047722512
"ATG13" -0.166035843409174 8.22312320882775 -3.10856782667405 0.00232687250923464 0.999343831606554 -1.56802142799805
"IGF1R" -0.148017952961857 6.60761155506732 -3.09491779320133 0.00242857706509314 0.999343831606554 -1.60458402537343
"TSC22D3" -0.151317862033403 7.54594613683164 -3.0864711342893 0.00249355810402427 0.999343831606554 -1.62714074485952
"TPD52L1" -0.217834981237643 7.56427457585877 -3.07383142537659 0.00259380845318474 0.999343831606554 -1.66079730298516
"UPF1" -0.0933431170284403 6.95738838069868 -3.06085838509933 0.00270057015226038 0.999343831606554 -1.69521947364966
