"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"UTY" 0.811303112101749 4.36448767712942 9.35422970980067 7.85595876196008e-09 7.60558869974255e-05 4.66191636430318
"XIST" -4.85403734324337 5.87255596413347 -9.1774684015944 1.08004296941645e-08 7.60558869974255e-05 4.54283181986891
"DDX3Y" 1.70903531118093 4.66830775311828 8.98703401548372 1.52849941765412e-08 7.60558869974255e-05 4.41027468972508
"KDM5D" 3.001526640661 6.12771033674417 8.8737824399762 1.88321866738388e-08 7.60558869974255e-05 4.329286938287
"RPS4Y1" 4.66020308961603 7.8948140673465 8.84547952432227 1.98454981206099e-08 7.60558869974255e-05 4.30879112230436
"USP9Y" 2.88661583103104 5.53403160662022 8.52100491083779 3.64578555256497e-08 0.000116434237930416 4.06630802243922
"TXLNGY" 1.53594632504781 4.64907886747301 8.36807161005016 4.87905159280839e-08 0.000133560552316278 3.94709103452041
"NLGN4Y" 1.49352199804397 4.05975072297657 8.25519708274954 6.0615872516331e-08 0.000145190168644742 3.85701023566384
"EIF1AY" 3.12523405014703 5.03809329368796 7.9677100986671 1.0615536436971e-07 0.000226016565783598 3.6193208461546
"TTTY14" 0.928135546966337 5.09184372073492 7.44000480434433 3.05574815566565e-07 0.000585542461588651 3.15072071079179
"TSIX" -0.804521673448008 3.95943283766536 -7.06073373740854 6.68616273822762e-07 0.00116472954899925 2.78669737154643
"ZFY" 0.882147084642624 3.35641484353686 6.80885610513699 1.13667411600834e-06 0.00181507911757931 2.53179842537137
"GTPBP6" 0.374203655682692 7.05778706778402 4.67402830500393 0.000138403476005254 0.204006723631745 -0.0649034737135628
"PUDP" -0.394589010629718 7.30849060107413 -4.35864621997171 0.000290851857278847 0.39809309208409 -0.509475982888074
"IL18R1" 0.258256686710482 3.28067828009601 4.31662420292841 0.000321181258045849 0.410298351111637 -0.569617764485439
"TTTY10" 0.461852310512307 3.41043764263065 4.27226918220607 0.000356644786374827 0.427126712282152 -0.633308397966379
"ZBED1" 0.332434879933215 6.47817284969657 4.14507579539408 0.000481642239316752 0.542895799399271 -0.817071523188001
"PNPLA4" -0.466775468068105 6.89409658914064 -4.00774706558227 0.000666203495020969 0.7092106317551 -1.01715765648035
"LECT2" -0.251602981945505 2.81556302437239 -3.90184920171781 0.000855378196564671 0.77195404551417 -1.17246546761973
"LINC02008" -0.220839528479147 3.35636505059395 -3.89387437205436 0.000871620910999718 0.77195404551417 -1.18419251045754
"LINC00624" 0.219801651912978 2.81270392149423 3.8619981374121 0.000939664472260462 0.77195404551417 -1.23110666280191
"CD99" 0.651942371567281 8.66452448453881 3.85994474594516 0.000944224372055913 0.77195404551417 -1.23413088834286
"GSTO2" 0.328739187137362 6.12666361887259 3.85176103357801 0.00096261709584444 0.77195404551417 -1.2461863036466
"LINC00663" 0.285351938274264 4.9626877953526 3.84989693731815 0.000966856126309366 0.77195404551417 -1.24893285102743
"EIF2S3" -0.274062492392762 8.55050477136167 -3.82761443875396 0.00101898553264635 0.781032031062776 -1.28177915062863
"PIR" 0.395910950705141 6.48495816241859 3.68155286423899 0.00143685308244178 0.999955341477657 -1.49769543904135
"LINC01186" -0.247661130931361 3.55471899947078 -3.56224160195841 0.00190065743564587 0.999955341477657 -1.67463416811566
"PSTPIP1" -0.260218960564851 4.87498533336453 -3.44130673571719 0.00252078710085562 0.999955341477657 -1.85421195916663
"MEG8" 0.316675544441688 5.57403032263569 3.43622716959522 0.00255078508603122 0.999955341477657 -1.86175546752142
"NCLN" 0.174036318953088 5.82891057756111 3.40504834504024 0.00274273655251848 0.999955341477657 -1.90805450155246
"SFT2D2" -0.190859540209851 7.11620326157585 -3.39226140150231 0.00282549116568398 0.999955341477657 -1.92703984649684
"ADAMTS4" -0.239578465142881 4.82352247335056 -3.38912836581583 0.00284613779954095 0.999955341477657 -1.93169130018213
"PLCXD1" 0.340058589199748 6.33686515454724 3.36616361322754 0.00300205224396605 0.999955341477657 -1.96578151264751
"SNX18P12" -0.60143429348226 4.75034914288438 -3.35692075770627 0.00306713771858767 0.999955341477657 -1.97949966600969
"RTL3" -0.284176033323941 5.08295023034576 -3.34714348308473 0.00313748900369821 0.999955341477657 -1.99400921376895
"GATC" 0.419239160984988 7.24336978461826 3.2847313240235 0.00362521233441489 0.999955341477657 -2.08657476194617
"HDAC3" 0.240361984756913 6.17448592844091 3.24808928708605 0.00394524501519677 0.999955341477657 -2.14086344789995
"ZFX" -0.290137101663208 5.11924840899306 -3.24755234236711 0.00395013363230793 0.999955341477657 -2.14165860971044
"RASGEF1C" 0.219770797666171 5.51459886516698 3.24364645644794 0.00398587285858195 0.999955341477657 -2.14744249144714
"VIP" 0.375491101869285 7.06760464518906 3.22936152005172 0.0041192837921488 0.999955341477657 -2.16859043146737
"MCM2" 0.248673751747915 5.49965529488056 3.22635370296681 0.00414792380467453 0.999955341477657 -2.1730422041892
"DEFB129" -0.162948069919688 2.65537446165764 -3.21058067976139 0.00430131482056502 0.999955341477657 -2.19638070630086
