"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SLC13A4" 1.65292987666667 3.23792785454545 4.71209245343426 0.000592837409364414 0.999759408270957 -2.92230265767537
"GDF15" 0.4164858 2.61968557272727 4.65514327969924 0.000651265778068554 0.999759408270957 -2.9409899671844
"CEMIP" 0.509214356666666 2.51236994545455 4.35573687068861 0.00107519161871759 0.999759408270957 -3.04455253321796
"IGFBP2" 0.47262403 3.12103494545455 3.78922089396583 0.00286201967715224 0.999759408270957 -3.26620632322719
"ZNF423" 0.48922339 5.19744378181818 3.58537882846477 0.00410490241141253 0.999759408270957 -3.35445915390061
"CAPZA1" -0.358734113333333 8.01149762727273 -3.52515849257006 0.00456960917195199 0.999759408270957 -3.38139109091747
"SERPINF1" 1.39427160333333 5.87746296363636 3.46983477617205 0.00504402594985062 0.999759408270957 -3.40647495197432
"DICER1" -0.3950449025 6.85653955227273 -3.33418652211609 0.00643215345079828 0.999759408270957 -3.46934358684551
"FOLR1" 1.24649757666667 3.27781980909091 3.21578494892956 0.00795977485402893 0.999759408270957 -3.52576633113696
"AHNAK" 0.473070099999999 4.38999498636364 3.15189131831293 0.00893223782012454 0.999759408270957 -3.5567935909718
"WDR44" -0.304345696666667 4.91399743636364 -3.04666495310152 0.0108028372199291 0.999759408270957 -3.60874316898151
"RBM41" -0.317493536666667 3.30987872727273 -3.03422632498611 0.0110486090908315 0.999759408270957 -3.61495190654267
"SECISBP2L" -0.47728977 7.32004944545455 -3.02331855860576 0.011268759561012 0.999759408270957 -3.62040803846868
"AKAP4" -0.22297595 3.38866745454545 -3.01431075061002 0.0114538858784061 0.999759408270957 -3.62492186353748
"MGP" 1.79310098333333 4.38733188181818 3.00652961006507 0.0116162616653414 0.999759408270957 -3.62882684193798
"RCVRN" 0.230894526666667 2.49921560909091 2.96326603410092 0.0125621758515355 0.999759408270957 -3.65063613683597
"PSPC1" -0.33716564 3.38517270909091 -2.91332095042114 0.0137506503003202 0.999759408270957 -3.67601409813969
"CLUL1" 0.21686968 2.35211397272727 2.91095704098106 0.0138096112609788 0.999759408270957 -3.67722044048058
"RGN" 0.430711013333333 4.1320761 2.86980792990507 0.0148774149033711 0.999759408270957 -3.69829290210572
"EPRS" -0.238066154444443 4.31388459393939 -2.85625321838443 0.0152469068157974 0.999759408270957 -3.70526415967903
"GNG12" 0.51331422 4.96326695454545 2.84718456154596 0.0154992094542467 0.999759408270957 -3.7099363272369
"SNRNP200" 0.195340751666666 5.24165954090909 2.8344472706683 0.015860623069813 0.999759408270957 -3.71650943060725
"WNT5A" -0.25479465 2.9078165 -2.82912508673156 0.0160141136327314 0.999759408270957 -3.71925967784932
"MLXIPL" -0.246022900000001 3.87997639090909 -2.81447386647047 0.0164443361890868 0.999759408270957 -3.7268419341508
"MSX1" 0.817038553333333 4.29566167272727 2.80591191114641 0.0167010582801374 0.999759408270957 -3.73128043393518
"IGFBP6" 0.29748431 3.15403250909091 2.78980532954321 0.0171948513812106 0.999759408270957 -3.73964492057319
"ERLIN2" 0.267222113333333 4.15326653636364 2.75848133993219 0.0181970965098113 0.999759408270957 -3.75596658210637
"CLASRP" 0.256105973333333 4.21762542727273 2.75100232629405 0.0184448466768545 0.999759408270957 -3.75987400583798
"SLPI" 0.290789293333334 3.09117118181818 2.74771950187524 0.0185546475682765 0.999759408270957 -3.76159036947268
"PRCP" 0.508320743333332 6.8248874 2.73264166865402 0.0190673387500119 0.999759408270957 -3.76948319492264
"ODR4" -0.34785069 3.5591319 -2.72508652043811 0.0193294908487609 0.999759408270957 -3.77344400606747
"SPEN" -0.29062268 4.56377441818182 -2.71384822794557 0.0197260595105869 0.999759408270957 -3.77934289956532
"LHX6" 0.33268262 3.25204602727273 2.70628498323226 0.0199974684397258 0.999759408270957 -3.78331756697328
"SH3BP5" -0.315269145 6.37648948181818 -2.69769341759559 0.0203102627108799 0.999759408270957 -3.78783724698545
"TYRP1" 0.663049236666667 2.3384965 2.66770577047597 0.0214403972164461 0.999759408270957 -3.80365009708991
"LAMA5" 0.203962700000001 4.12388168181818 2.66767237787759 0.0214416896563365 0.999759408270957 -3.80366773732652
"VRK1" 0.28694166 4.35169387272727 2.6667678283098 0.0214767289558241 0.999759408270957 -3.80414560837879
"PROS1" 0.950666023333332 3.68517336363636 2.65915388649486 0.0217739164912821 0.999759408270957 -3.80817005612193
"FAM169A" -0.775925196666666 4.81291845454545 -2.64933143908983 0.0221633051491709 0.999759408270957 -3.81336712870372
"PPP1CB" 0.325072354444445 6.66976236666667 2.64557534780214 0.0223140147070456 0.999759408270957 -3.8153560400809
