"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -7.95815326269421 -0.348221898369238 -43.4036868217903 2.10491989658777e-103 4.73691173528111e-100 223.735494140231
"TSIX" -3.78496048165156 -4.45952690232059 -18.6935514585206 1.11157663009412e-45 1.13704184016537e-42 92.3922680713474
"SAGE1" -1.33362277955121 -4.07866298418346 -3.71920943833134 0.000259884870069713 0.0818166800346982 -0.0890573267716919
"RP11-575H3.1" -1.14047644124793 -2.48840042862652 -4.97256073227712 1.42377351717609e-06 0.000653889780214911 4.66302747181606
"ANKRD22" -1.0743149670892 -2.65689868604751 -3.2160263643313 0.00151710563685724 0.238060642251516 -1.88553237239352
"PNMA6B" -1.02853037498202 -3.60976074649826 -2.60460331399633 0.00989250330376617 0.41379348391813 -3.44321096006067
"MYL2" -1.01331005549194 -0.510723037504702 -3.10906298863655 0.00215197706203411 0.268680396100757 -2.50886142969531
"LINC01055" -0.97064835289596 -3.85120521504943 -3.81181040150168 0.00018390495724923 0.0617701068348756 0.222311318040564
"RP11-706O15.3" -0.947815304290984 -3.44619295495411 -2.29894230424086 0.0225468542198305 0.465072784017476 -4.18257092053556
"BMS1P10" -0.943238078480742 -2.35771718638414 -3.61187920694766 0.000384882400573727 0.111043506955271 -0.65386005369061
"FPR2" -0.91709462080126 -2.99691361065802 -3.34314531339292 0.000989683391084341 0.187158277587916 -1.44336252735081
"RP11-153M7.3" -0.914672479804959 -2.31317839093824 -2.97129060465813 0.00333100541140322 0.310185924643923 -2.64275866699994
"TSPEAR-AS2" -0.913945353201967 -3.1407844661201 -4.04050192194748 7.61653703728245e-05 0.0290512795740685 0.96905934465879
"S100A8" -0.899887590408345 1.85939091927064 -3.34990293693974 0.000967119697307058 0.18601762109571 -2.12581910645889
"GSTT2" -0.895340940808043 -4.21896661861234 -3.03187406567114 0.00275391324151709 0.292330488618399 -2.2205784478271
"MYH2" -0.889026778403349 -1.85220134100159 -2.31765122817366 0.021485300049388 0.460920107065231 -4.37461428880135
"RP13-33H18.1" -0.856557807679192 -2.86560088094525 -5.47952594264581 1.28085641460735e-07 6.40335322618849e-05 7.03049363547082
"SAA2" -0.847189404223105 -3.81005435465941 -3.0985236735278 0.00222630150034041 0.268680396100757 -2.07245340407736
"S100A12" -0.836106757080765 -1.35013119794171 -2.57357972141639 0.0107927221170451 0.425358000914156 -3.84131139126062
"FCGR3B" -0.835281107068185 -0.658146758642231 -3.27058810039643 0.00126491714201356 0.221450987631413 -1.99220742139673
"SULT1C2" -0.828583700638581 -2.34233256426903 -2.71233830070551 0.00726629833845694 0.390726658964288 -3.34143314611182
"MYL1" -0.826026923173915 -2.74431176179402 -2.31543730448125 0.0216085888003234 0.461546528041024 -4.24361131580153
"RP11-492E3.2" -0.817251510620942 -2.08545077159076 -2.92310184275739 0.00386710313485798 0.332169938436756 -2.80852868378396
"TNNT3" -0.810201127331005 -1.85118274293105 -2.83247662535797 0.00509421133617659 0.358250412216619 -3.09022311540649
"TLR8" -0.805869950915303 -2.34024501360717 -3.08816600319646 0.00230164767190486 0.275512123449718 -2.29851536837133
"CXCL10" -0.799632701415761 -1.68371418467932 -2.2462637392716 0.0257862957858705 0.469058716987299 -4.55838908981116
"IL1R2" -0.798918051391978 -2.29278433632938 -2.33153520411254 0.0207261084792698 0.458803335840565 -4.273303052521
"ANGPTL7" -0.786023094070937 -2.89746737507357 -4.22542073287188 3.63070201810161e-05 0.0154160977764827 1.64584080995501
"RP11-343H5.4" -0.785561523959174 -1.19641071667336 -1.51712512612446 0.130822581883159 0.646719288129047 -5.97769533330807
"S100A9" -0.777228583429024 2.5130778100331 -3.23037973561083 0.00144658623660897 0.236393973497244 -2.59501453496272
"ISL2" -0.77438758592497 -3.99092484022528 -3.18925849665616 0.00165721198031739 0.247165186253997 -1.77734400514598
"MCEMP1" -0.767858846539868 -2.92080468277454 -2.81811106049923 0.00531846502009977 0.366014485664603 -2.97850384199596
"CKM" -0.764341318622751 0.764800447026514 -2.30428477227873 0.0222391313241172 0.462541045580345 -4.78128172408949
"TSPEAR-AS1" -0.762189092489986 -2.9030914998815 -3.3598795587811 0.000934683824653939 0.182905432956628 -1.39380298193326
"CXCR1" -0.743916349969177 -1.98937790811287 -2.64395077110391 0.00884796496202115 0.405528724043429 -3.5688470925173
"SELE" -0.741108537702708 -0.72138166142913 -1.9757028979812 0.0495709635195682 0.535979787638721 -5.25537316619011
"LVCAT1" -0.736611579860495 -3.79102765190896 -2.68275431414012 0.00791617361453031 0.39412736951635 -3.21311039811217
"ALAS2" -0.736408400145042 -1.51385993148233 -2.35204431440765 0.0196477673394134 0.457093873622312 -4.34163893230023
"RP11-495L19.1" -0.732055168435498 -4.03190947484724 -3.01885816376068 0.00286951821088587 0.294865926108565 -2.26820199634851
"AQP9" -0.732027164873152 -1.34473400179458 -2.42136711645705 0.0163595439367034 0.444258478271452 -4.20377453725282
"GPR171" -0.731438108629367 -3.52321013353372 -3.39990031816185 0.000814506183381919 0.174037355753066 -1.18562992427747
"ZFX" -0.72631646412516 3.86183669151099 -12.4612540662563 1.0137435593717e-26 9.50553544170864e-24 49.7060806929253
"SMIM25" -0.725345630686933 -2.98291350897892 -2.58308750667859 0.0105093299926107 0.419906776889179 -3.57424594777508
"MT-TP" -0.720793962964301 -1.55133488299699 -2.08689923592512 0.0381714598717786 0.507553062993707 -4.90428064534273
"MALL" -0.720758904490423 -2.82153967569746 -3.06944292067282 0.0024438484461988 0.283086244383996 -2.28470515193497
"CT45A10" -0.705931017896532 -3.33481881919593 -2.29238320820007 0.0229297485230487 0.466636031277214 -4.20794905450574
