"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.32841096638655 6.24492258064516 36.8930554545696 1.72277163091247e-27 2.97729393254293e-23 27.1165457608224
"USP9Y" 3.7839762605042 5.83552161290323 28.0064237263099 7.88981269465262e-24 6.81758714944933e-20 25.4676444162533
"UTY" 3.6561974789916 5.73767580645161 26.1815278478798 6.05367651682399e-23 3.48732125212507e-19 24.9536635379561
"EIF1AY" 4.09436668067227 5.82114 21.6064384632964 1.88119675410373e-20 8.12771057610515e-17 23.2183757366473
"NLGN4Y" 3.58452474789916 6.5093935483871 21.1215836452074 3.67689212389978e-20 1.27088099370472e-16 22.9859386196296
"RPS4Y1" 5.69130046218488 6.9692364516129 20.53466161584 8.42738219039092e-20 2.42736698357226e-16 22.6891629260726
"PCDH11Y" 4.7657618487395 6.11067516129032 10.939667935615 2.93756239014542e-12 7.25242188949903e-09 14.006815950662
"ZFY" 1.47748113445378 4.51584516129032 10.0832589059858 2.20123596183833e-11 4.75521998656125e-08 12.6965243618749
"TTTY10" 0.817316764705883 4.15206096774194 5.91575330512226 1.46887845572482e-06 0.00282057305242626 4.5369010627371
"TMSB4Y" 0.650301554621849 4.59465483870968 5.34095230931417 7.7099694057828e-06 0.0121532899684027 3.21137577844687
"TTTY14" 0.699233907563026 6.25257870967742 5.33980522600749 7.73557398752632e-06 0.0121532899684027 3.20870538579894
"PRKY" 0.643682058823529 5.04018193548387 4.58939343961656 6.72881209642502e-05 0.0969061088753477 1.45264311707286
"STARD3" 0.466991470588234 8.23830709677419 4.39933123460823 0.000115805361594465 0.153949866082735 1.00838296149537
"ZFX" -0.888382647058823 7.48558741935484 -4.10125908697169 0.000269218006924455 0.332330399690602 0.316303520726169
"JPX" -0.837419453781512 5.5897635483871 -3.8122331723657 0.000602513578296389 0.694175977341213 -0.345690457680129
"AP1B1" 0.417580714285715 8.08748516129032 3.6519742359334 0.000935497627296722 0.999938021342941 -0.707260154188059
"SEC62" -0.425612352941176 7.63211967741935 -3.59470398862658 0.00109330855770312 0.999938021342941 -0.83531389437149
"KLK8" -0.341253277310924 4.82295967741936 -3.50902129462975 0.00137850479702891 0.999938021342941 -1.02563111919248
"SEC61G" 0.526792226890756 6.60966677419355 3.23360409476879 0.0028666931441422 0.999938021342941 -1.62561100694435
"TMEM11" -0.360189243697479 5.02539258064516 -3.22871256950612 0.00290365053497228 0.999938021342941 -1.63608597144048
"TAL2" -0.370758697478992 4.0401 -3.19250787862355 0.00319169950205119 0.999938021342941 -1.71340228087174
"ATOH1" -0.372784831932773 4.49792032258065 -3.17437330492348 0.00334604401324141 0.999938021342941 -1.75198506907026
"GDF9" -0.36537550420168 4.69625064516129 -3.12738342724673 0.00377978567847396 0.999938021342941 -1.85149995129732
"C16orf71" -0.316124369747899 4.72254290322581 -3.06889665234737 0.00439463445927582 0.999938021342941 -1.97440560238902
"OR2S2" -0.272515042016807 4.14718483870968 -3.06450435927047 0.00444445627898929 0.999938021342941 -1.98359161755864
"EXOC7" 0.517598613445378 8.79496225806452 3.05037574710115 0.00460837823863482 0.999938021342941 -2.01309755369155
"MAFK" -0.354332647058824 5.1722935483871 -3.04917574816009 0.004622561968867 0.999938021342941 -2.01560060342352
"TALDO1" 0.402167226890757 9.93138903225806 3.04369267412131 0.00468789923053515 0.999938021342941 -2.02703159993408
"MYBBP1A" 0.323107352941177 6.82932290322581 3.02718467962668 0.00488993920397883 0.999938021342941 -2.0613871429401
"HOXA7" -0.283487941176471 4.67505387096774 -3.01349905179985 0.00506366499592266 0.999938021342941 -2.08980006774936
"FLII" 0.418643991596639 7.11752967741935 3.01199723342862 0.00508308112324639 0.999938021342941 -2.09291418372768
"TBX19" -0.202169243697478 4.56449870967742 -3.00591505962368 0.00516243716589678 0.999938021342941 -2.10551817220807
"DDX3X" -0.456747731092436 8.83254258064516 -2.96549156389643 0.0057204036685813 0.999938021342941 -2.18896612108424
"CNNM3" 0.353410966386555 7.15314387096774 2.95492348556412 0.00587540871392696 0.999938021342941 -2.21068898725287
"GSTA5" -0.59976050420168 5.10936193548387 -2.94624351129986 0.00600567823979744 0.999938021342941 -2.2285014981147
"RNF4" -0.243986806722689 7.33191935483871 -2.94491476016046 0.0060258592203098 0.999938021342941 -2.23122593418098
"AEBP2" -0.353234369747899 8.81398225806452 -2.92502314999207 0.0063357253315215 0.999938021342941 -2.27193619833644
"SLC34A1" -0.377965504201681 5.2870164516129 -2.89917467574506 0.00676086279892041 0.999938021342941 -2.32462553761507
"PNPLA4" -0.544726218487394 7.65864774193548 -2.88148610303427 0.00706711949445257 0.999938021342941 -2.36054150874152
"ARL17A" -0.997264327731092 7.14962096774194 -2.8710524307347 0.00725383667890241 0.999938021342941 -2.3816725747828
"BGN" 0.667680756302522 9.26846322580645 2.87076944751126 0.00725896487130411 0.999938021342941 -2.38224513110546
"FKBP9" -0.382366638655462 4.41411935483871 -2.85075767231536 0.00763038146885321 0.999938021342941 -2.42265880712408
"ZNF77" 0.468181428571429 5.17411322580645 2.81500831547494 0.00833866787475832 0.999938021342941 -2.49447728077937
"PRDX5" -0.435514243697479 9.13807032258065 -2.81423563128023 0.00835463646786443 0.999938021342941 -2.49602415425818
"ZSCAN20" -0.491695294117647 4.97092064516129 -2.77208386303856 0.009270466412246 0.999938021342941 -2.58005719371178
"ARPC1A" 0.593394831932773 5.57275935483871 2.77032112346932 0.00931073862137745 0.999938021342941 -2.5835561295718
"CA8" -0.567707731092437 5.5778435483871 -2.76849946486563 0.00935252869965514 0.999938021342941 -2.58717071891602
"DCUN1D4" -0.332002226890755 10.1204435483871 -2.76550173688504 0.00942168042538739 0.999938021342941 -2.59311602560289
"ZNF655" -0.358389495798319 7.63236096774194 -2.75952238790329 0.00956104158682427 0.999938021342941 -2.60496398967897
"TBL1Y" 0.298725588235294 3.96809225806452 2.74097159695938 0.0100057561993666 0.999938021342941 -2.64163074057991
"ISL1" -0.257744201680673 3.9885335483871 -2.74090701530399 0.0100073375872884 0.999938021342941 -2.64175814768337
"CORO7" 0.38882962184874 7.12706129032258 2.72055885325631 0.0105173715860244 0.999938021342941 -2.68181669219234
"EDN2" -0.248466260504201 5.4391564516129 -2.71766374080437 0.0105918770647322 0.999938021342941 -2.68750242795389
"KREMEN1" 0.595656386554622 7.21112741935484 2.71628462749571 0.0106275411034322 0.999938021342941 -2.69020966985932
"HM13" 0.348362016806723 7.79233580645161 2.70257760938578 0.0109881383495394 0.999938021342941 -2.71707435067497
"WDR81" 0.282061890756303 5.26637838709677 2.68800400265953 0.0113840043707472 0.999938021342941 -2.74555201295916
"LZTR1" 0.295896092436976 7.01424774193548 2.67322478649389 0.011798969519916 0.999938021342941 -2.77434069434621
"KIAA0141" 0.335893823529412 7.28459483870968 2.67206322901525 0.0118321720448334 0.999938021342941 -2.77659941377675
"SLC25A43" 0.480745840336134 5.57276838709677 2.66298285960396 0.0120947369192555 0.999938021342941 -2.79423706981142
"ASB15" -0.22486231092437 4.01695483870968 -2.66146984444801 0.0121390091095114 0.999938021342941 -2.79717254233889
"CKB" 0.445570840336135 11.0540038709677 2.65438574430414 0.012348304711432 0.999938021342941 -2.81090377895186
"UPF1" 0.352703109243698 7.7251235483871 2.64608240277262 0.0125978833542585 0.999938021342941 -2.82697100655573
"FOXI1" -0.245672731092437 4.38174838709677 -2.6415445984231 0.0127362482916756 0.999938021342941 -2.83573930683342
"DCUN1D2" -0.260787100840336 6.45850129032258 -2.6268256262675 0.0131948097045986 0.999938021342941 -2.8641193456916
"MAGEA11" -0.17418012605042 3.78364258064516 -2.62567961690309 0.0132311473179142 0.999938021342941 -2.86632506074686
"MYO1C" 0.310058025210085 6.46110967741935 2.62419688821804 0.0132782991619402 0.999938021342941 -2.86917801011313
"WWP2" 0.288949369747899 7.12783967741936 2.62357165482658 0.0132982286466272 0.999938021342941 -2.8703807483196
"STRN4" 0.286509495798319 9.50964096774194 2.62251510142602 0.0133319695465288 0.999938021342941 -2.87241281430172
"DMTF1" -0.491378151260504 8.58138741935484 -2.61781620535798 0.0134829906761081 0.999938021342941 -2.88144429746533
"FBXL17" -0.27738231092437 7.1930835483871 -2.61112780254682 0.0137006868146619 0.999938021342941 -2.89428307227875
"OSTN" -0.250002941176471 3.88195161290323 -2.58344814309283 0.0146366354248223 0.999938021342941 -2.94720649601226
"MYL2" -0.171656428571428 3.81712225806452 -2.57684789134542 0.0148683691305048 0.999938021342941 -2.95977598248227
"C10orf91" -0.201522058823529 4.01188290322581 -2.57620756927895 0.0148910300500018 0.999938021342941 -2.96099437349174
"IRF2BP1" 0.353238697478992 6.43049225806452 2.57429783645941 0.0149588047373086 0.999938021342941 -2.96462708266452
"SF3B2" 0.280683571428571 8.42696967741935 2.56016618344513 0.0154692401278135 0.999938021342941 -2.99145756101539
"CORO1B" 0.553146890756303 7.16893290322581 2.55947138490063 0.0154947458105967 0.999938021342941 -2.99277439259805
"SNAPC2" 0.446559957983193 6.76548129032258 2.55683227768972 0.0155919797797618 0.999938021342941 -2.99777422888129
"TIGD4" -0.323458025210084 4.94694193548387 -2.55238842384816 0.0157569788090127 0.999938021342941 -3.00618607044994
"TLE1" 0.438820588235295 8.4124635483871 2.54359207150068 0.0160883392354214 0.999938021342941 -3.02281040098483
"UBE3D" -0.401403361344537 5.76850129032258 -2.54287629443894 0.016115583141081 0.999938021342941 -3.0241616076381
"ITFG3" 0.302209369747899 8.16723129032258 2.54118221553457 0.0161802325301304 0.999938021342941 -3.02735867083427
"WDR17" -0.406022815126051 8.57742161290323 -2.53751581397916 0.0163209681325318 0.999938021342941 -3.03427341263148
"PRND" 0.541248865546219 4.99284032258065 2.53020965791238 0.0166047822303598 0.999938021342941 -3.04803429907361
"SLC33A1" -0.313760588235294 7.22511774193548 -2.52988976741859 0.016617311818891 0.999938021342941 -3.04863624217152
"DNAJC11" 0.352372689075629 7.77354806451613 2.52249570776365 0.0169093601587703 0.999938021342941 -3.06253664869793
"NUDC" -0.384013781512605 5.71774322580645 -2.52056720411209 0.0169863038871512 0.999938021342941 -3.06615798318471
"PDHA1" 0.29060781512605 9.22561129032258 2.52006967528239 0.0170062065383953 0.999938021342941 -3.06709196177484
"AP2A2" 0.227921974789916 9.47321161290323 2.51808029175187 0.0170860023118001 0.999938021342941 -3.07082535970228
"PUF60" 0.344102899159664 8.19713516129032 2.51664733992558 0.0171436922521064 0.999938021342941 -3.07351339059803
"ZNF414" 0.335980630252102 7.73205387096774 2.51497631507322 0.0172111930009975 0.999938021342941 -3.07664681544954
"MTMR1" 0.219040168067228 7.86622451612903 2.51248583236798 0.0173122490002983 0.999938021342941 -3.08131444761007
"YIF1A" 0.352978739495799 7.26597612903226 2.51114720372493 0.0173667913794872 0.999938021342941 -3.08382210064651
"CCS" 0.377671764705883 6.74466032258065 2.50562857701994 0.017593318724998 0.999938021342941 -3.09415135522835
"ZDHHC17" -0.338192521008404 8.59700387096774 -2.50531060798722 0.0176064529701361 0.999938021342941 -3.09474606863314
"SCGB3A2" -0.182353991596639 3.78394870967742 -2.50289847377476 0.0177063838681122 0.999938021342941 -3.09925607019962
"C20orf144" -0.364896092436975 5.5044535483871 -2.4939987597119 0.0180796068772057 0.999938021342941 -3.11587249276654
"CCDC126" -0.450767983193277 5.96962322580645 -2.48559245965513 0.0184387538485415 0.999938021342941 -3.13153359217298
"LINC00472" -0.441844621848739 5.12810096774194 -2.48407520554168 0.018504269169296 0.999938021342941 -3.13435672613849
"ARRB2" 0.376357226890757 9.57339516129032 2.48071986523302 0.0186499119857994 0.999938021342941 -3.14059610882965
"ZNF24" -0.263623907563025 4.59187419354839 -2.47255438714464 0.0190087454859478 0.999938021342941 -3.15575790130375
"ASCL2" -0.250233991596639 4.46570419354839 -2.47167891378113 0.0190475914490921 0.999938021342941 -3.15738162032326
"SYNC" -0.308244201680672 4.51304 -2.47089493164861 0.0190824395234234 0.999938021342941 -3.15883534419015
"ANKRD30BL" -0.359403235294117 3.94817290322581 -2.47072208418289 0.0190901304612857 0.999938021342941 -3.15915581287054
"RPTOR" 0.224808361344538 6.84442129032258 2.468426922413 0.0191925243841256 0.999938021342941 -3.16340982373549
"GPR6" -0.396210630252101 5.40953677419355 -2.46515318246246 0.0193394460628298 0.999938021342941 -3.16947326558957
"UBQLNL" -0.21323768907563 4.16244677419355 -2.46488691577072 0.0193514409750212 0.999938021342941 -3.16996620590003
"GLRA3" -0.849675042016807 5.50537774193548 -2.46233741587062 0.0194666374088756 0.999938021342941 -3.17468439258136
"PRKG2" -0.449159159663865 5.21425548387097 -2.45800748391666 0.0196637199568123 0.999938021342941 -3.18269039954884
"CD1C" -0.22514 3.97050612903226 -2.45682560845396 0.0197178308834622 0.999938021342941 -3.18487412110589
"LBX2-AS1" -0.280494705882353 4.46128032258065 -2.45585549617528 0.0197623482314832 0.999938021342941 -3.18666607389996
"S1PR5" 0.377997100840336 5.93092516129032 2.45384475073126 0.0198549120041737 0.999938021342941 -3.19037880840227
"CRYBA4" -0.230450084033614 4.44435129032258 -2.44858699151867 0.0200988279930023 0.999938021342941 -3.20007782128088
"VAC14" 0.445542352941177 8.06587967741936 2.44830304388003 0.0201120784468683 0.999938021342941 -3.20060124313501
"FPGS" 0.362174831932773 6.76630129032258 2.43866918150191 0.0205664037643185 0.999938021342941 -3.21833706416774
"MYOZ1" 0.175586344537815 4.07732 2.43376668358991 0.0208011843037159 0.999938021342941 -3.22734530427417
"DCSTAMP" -0.253339411764705 3.94916193548387 -2.43371710502069 0.0208035710737494 0.999938021342941 -3.227436344481
