"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.74178811411255 7.30974702091813 121.254171307633 0 0 938.456624560557
"RPS4Y2" 7.19340920121945 7.51589801520819 117.734317116741 0 0 922.758861556144
"XIST" -5.78456972786877 4.01736890570595 -97.9012263751008 0 0 824.216925127666
"RPS4Y1" 4.55173100793687 8.56048933461052 73.6324519139647 8.54251850622267e-301 4.42865515658849e-297 673.534295570258
"TTTY15" 4.24674165245269 5.56192784467379 72.0895533172802 6.99781143105855e-296 2.90227231291722e-292 662.517870964995
"TTTY14" 3.21122543378464 5.66436199018336 63.788739275381 6.15340048657295e-268 2.12671776483439e-264 599.659780542213
"KDM5D" 3.14194121551405 6.53166376402649 52.4137188713613 6.18095395864608e-225 1.83106346057777e-221 502.369541572464
"TMSB4Y" 3.4386540702152 4.37371803847953 51.5633011960801 1.78416895332412e-221 4.62478894813527e-218 494.516252404357
"CYorf15B" 3.01455561375491 5.29931308834405 49.6665406126396 1.2629454160438e-213 2.90996656583336e-210 476.689311225557
"NLGN4Y" 2.67914694916705 6.63362701827374 49.5292161606769 4.75202887083882e-213 9.85428226945845e-210 475.381772172746
"USP9Y" 2.99671410442857 4.049954859605 46.1137164674771 2.03306802767187e-198 3.83270288089377e-195 442.112738140166
"BCORP1" 3.2540173465753 4.73821572584934 42.6383763980455 6.85350713505664e-183 1.18434314549725e-179 406.754256741479
"KRTAP19-8" 2.78309962032154 4.5220585618103 36.7525264260795 4.22419547769284e-155 6.73824166314742e-152 343.362959831411
"KRTAP10-10" 2.05017352147954 10.8238846963776 34.4231775313761 1.33962940048315e-143 1.9842782055585e-140 317.092633478584
"UTY" 2.36676805119301 3.75084306494145 33.863884208213 8.48086183557716e-141 1.17245087922909e-137 310.691084424881
"AC034199.2" 2.43698865260124 6.0074086043895 32.0902619297554 8.09906228545088e-132 1.04968909133372e-128 290.164666648045
"NOL6" 1.79464639030453 6.8981059294493 31.5298547681173 5.95161984789575e-129 7.2599259285773e-126 283.611188887583
"EIF1AY" 2.15154069257921 6.91612595041779 31.0729242473718 1.32198463420464e-126 1.52299974219454e-123 278.245128064515
"TDRD12" -1.91200013506678 2.52290211119575 -30.528805068221 8.44087873075177e-124 9.2125527494526e-121 271.829690957683
"GBP7" -2.5923716002005 2.19497142245197 -30.3343625891435 8.54216841204345e-123 8.85694731802725e-120 269.530640479181
"ZNF718" 1.77833337830551 6.06030932022616 29.5790342408772 7.06844882673323e-119 6.97992491999842e-116 260.569019735415
"LOC100132317" -1.98663070566328 4.63137787622826 -28.19958950298 1.12960890962371e-111 1.0647590890394e-108 244.087649749065
"HSFY1" 2.40455674241852 3.47913752578117 27.0187252139987 1.82525685409025e-105 1.6456674514465e-102 229.87991921067
"NLRP2" -2.06652316821976 2.67207098658616 -26.0904418397344 1.45332461485022e-100 1.25573302242287e-97 218.662139641327
"ANKRD65" 1.62017354050168 8.00642276060431 24.213036813036 1.27610741613029e-90 1.05850557953176e-87 195.898629268451
"SLC22A18AS" 1.9850701538363 6.87429223021065 24.0955748733035 5.35204826783855e-90 4.26867018962185e-87 194.473094819348
"SEPT12" 1.11236138936282 3.30946322667077 22.7503345228521 7.14020896943791e-83 5.48394494071236e-80 178.158841793961
"AC010982.1" 1.46567494415186 3.34023111400022 22.7285417633493 9.31068033511321e-83 6.89555636104438e-80 177.894900153138
"OR10G2" 2.00075809925565 4.01331119694926 22.7236104520906 9.88698920312086e-83 7.06987914155577e-80 177.83517714714
"PHF12" 1.03589338208915 5.21007979307018 22.6315113416699 3.03475559436178e-82 2.09772422534267e-79 176.719924542594
"PNPLA4" -1.17306929196654 7.26579241262412 -21.7994770513049 7.4977881631501e-78 5.01553655287882e-75 166.661238219497
"LY6K" -2.11798565359198 2.95703256499812 -21.6676369691119 3.71131124112847e-77 2.40504566272753e-74 165.070730684774
"HDGF" 0.897578055275234 7.20754654115281 20.7519203949582 2.39462792529453e-72 1.50476967535856e-69 154.05725126319
"KLRK1" 1.87713668472421 3.85716792237316 20.1665098796906 2.73842604750903e-69 1.67019826315278e-66 147.054399739357
"HDHD1A" -1.23142812440701 5.85148384721976 -19.9419749455939 4.03990274587681e-68 2.39358466403564e-65 144.377950312188
"CRYBB2P1" 1.74878505595042 7.57368414955678 19.7706584995424 3.13690881769838e-67 1.80694661535032e-64 142.339772868774
"OR5L2" 1.38074094512103 5.22668111500342 19.2957576783095 9.02962861202945e-65 5.06074077101769e-62 136.709019555895
"PNLIPRP2" -1.365171577681 2.13958318988767 -18.8370157652982 2.08129175136215e-62 1.13578281705255e-59 131.299456189871
"SURF1" -1.36784072809744 8.1304110476692 -18.6360355315057 2.23398101000203e-61 1.18784780011313e-58 128.939539012525
"ZFY" 1.08359613128209 4.65868682312043 18.6091958188409 3.06561092225449e-61 1.58928934236979e-58 128.624876997922
"RP5-894A10.1" -1.27326355637327 3.30837558050312 -18.4207473264736 2.81867643345176e-60 1.42563154147535e-57 126.418918813209
"COX7A2L" -0.870571018200635 10.126008946075 -18.3554857540252 6.06900455813595e-60 2.99649875052536e-57 125.656376654639
"LOC283788" -1.18167976182961 9.02920680806554 -17.9652294994399 5.86151651662942e-58 2.82675041872894e-55 121.112277492025
"KLF4" 1.32298440737561 3.71126210264354 17.8890092270908 1.42644234731037e-57 6.72275794458524e-55 120.228064941661
"OR2W5" 1.62316664588654 4.42268153722125 17.3035311307938 1.27194673919238e-54 5.86141322902943e-52 113.474670646421
"ARSF" 0.924318612584692 3.59360474729216 17.2112230547317 3.68784806580266e-54 1.66249794218586e-51 112.416473194233
"AMH" 1.32451975292095 2.91697163283592 17.0937424353025 1.4255147951843e-53 6.28955325696528e-51 111.072427434152
"LDHC" -1.43210035049683 5.3005110890434 -17.0554402510568 2.21374010411339e-53 9.56381844562488e-51 110.634898521015
"HDDC2" -1.22254529671686 7.3038459177417 -16.9636175664575 6.3503530256399e-53 2.68749532025907e-50 109.587363949243
"ASNSD1" -0.755009153929093 9.58663139896648 -16.9445186499406 7.90473130316193e-53 3.27840826067338e-50 109.369723085753
"DDX43" 1.58479654706488 3.10043996025815 16.7945663762468 4.39728235002074e-52 1.78796949200745e-49 107.663917103952
"CDKL1" -1.03906614932738 5.9999242518337 -16.6966549166498 1.34455700717384e-51 5.36193820341616e-49 106.552999608893
"LXN" -1.49660766328648 5.65265626005449 -16.5650143508306 6.01998794845961e-51 2.35540547334353e-48 105.063070731997
"FAM88A" -0.888397837299286 7.43301621199569 -16.5201026555778 1.00294716439338e-50 3.85150284222695e-48 104.555736029243
"AC022098.1" 0.959066986669764 5.6359857239666 16.4184479611787 3.17856539593847e-50 1.19843473846502e-47 103.409295477943
"PRY" 1.21029277875831 2.54745497268119 16.3910139327385 4.3374153679305e-50 1.60616040151384e-47 103.100351390192
"CAMLG" -0.901739200758658 7.89857530255069 -16.2368864699739 2.47805519000708e-49 9.01533867985559e-47 101.368294658475
"C12orf28" -1.37446286941967 2.87920288259651 -16.1967664800457 3.89662333241514e-49 1.39317720766022e-46 100.918456538881
"VWA1" 1.44515747958224 6.04033951527752 16.0303064112345 2.53694025816771e-48 8.9167000226481e-46 99.0566639560906
"CYR61" 1.80112704897759 4.92577773019789 16.0217530407596 2.79273452299365e-48 9.6521559672199e-46 98.9612009939147
"LOC732272" -2.48302138793778 3.17942154456622 -16.0088728715366 3.22728161051199e-48 1.09711702880635e-45 98.8174851283651
"NDUFS5" -0.685305893195886 13.29930164478 -15.8408806109112 2.11931136354397e-47 7.08841286222763e-45 96.9472568700749
"ALKBH3" -1.11471833377295 5.45109487375398 -15.7016281072446 1.00256888542229e-46 3.30004301222256e-44 95.4030278588661
"ANGPT2" -1.15509331959204 3.79982347955984 -15.6453629208522 1.87556681674606e-46 6.07712954357236e-44 94.7806659482516
"MCF2L-AS1" -1.30903143322824 5.44515250883106 -15.4855467994776 1.10557034628121e-45 3.52710958012821e-43 93.017982070423
"EFCAB7" -0.736791311698508 7.83914394717528 -15.4824368361539 1.14431771716636e-45 3.59541159104223e-43 92.9837562996169
"CD163" -1.32911383139928 3.24998128132401 -15.4617709320509 1.43855520264659e-45 4.45243570705708e-43 92.7563977406087
"PIN4" -0.894939383484247 7.61898899948831 -15.3994736932083 2.86530047865351e-45 8.73790235674086e-43 92.0718073921735
"OTUD3" -0.904338786925573 5.76500915556143 -15.2475269783135 1.53072494378955e-44 4.60038306657448e-42 90.4070299355601
"ARMET" -0.794163529058983 8.44630491935549 -15.2266136038968 1.92671473147972e-44 5.69935654630521e-42 90.178456228989
"MRPS10" -0.593512147921117 7.72059922389396 -15.2254577308969 1.95136381727188e-44 5.69935654630521e-42 90.1658270491591
"ADARB2-AS1" 1.33710407436494 6.38156343152066 15.2231151214977 2.00228903311985e-44 5.76687051108421e-42 90.1402327560507
"ROBLD3" -0.755845865560517 9.27923911867083 -15.2070672413355 2.38865269029575e-44 6.78540970392644e-42 89.9649471103265
"ZNF25" -1.04989060763744 8.13483021018958 -15.1617031222064 3.93161648152903e-44 1.10175582401983e-41 89.4698880263536
"TTTY10" 0.988248473772453 2.30625622781097 15.1303666189079 5.54503407333185e-44 1.53316495438243e-41 89.1282922539269
"GMNN" -0.789605899621214 6.99683705040007 -15.110242832105 6.91405113282938e-44 1.8865352413353e-41 88.9090895462291
"THOC3" -1.0600043976444 7.45149649544883 -15.0814273988154 9.48097888933119e-44 2.55333843153326e-41 88.5954361209462
"GDAP1L1" -1.03467555084331 7.56119794000477 -15.0759759833475 1.00642475479154e-43 2.6756705307836e-41 88.5361278288526
