"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -4.70611553562471 4.63986522026355 -25.944748659887 2.56096104702987e-51 8.6511825129716e-47 89.6353915261303
"KDM5D" 1.56615760881762 4.79935888593539 20.8802071698583 5.7510683329284e-42 9.71384196773271e-38 74.0934710544497
"TTTY15" 2.26604574711365 4.94766109114702 20.1684686954883 1.51634890372645e-40 1.70745941055945e-36 71.6014287285042
"RPS4Y1" 1.27343842707303 4.14992607689577 19.3684516059882 6.47265534850661e-39 5.46631925819754e-35 68.7034549698999
"NLGN4Y" 1.49091567890114 5.41270743042224 19.0856660239168 2.48740935850955e-38 1.68054351079622e-34 67.6542700690227
"DDX3Y" 1.1049684374299 4.73692224621946 19.0161814044994 3.4680169373418e-38 1.95255133600572e-34 67.3944721708416
"EIF1AY" 1.20517419322438 3.27846542995806 18.8526826493172 7.59888616193719e-38 3.66711390623429e-34 66.780046050043
"TXLNGY" 1.21927255291547 3.94231169222716 18.2176344302874 1.65155491904245e-36 6.97389709002162e-33 64.3519222815412
"UTY" 1.46426839293402 5.23524304121522 18.1019587651724 2.90965785764854e-36 1.0921239121025e-32 63.9024873099058
"USP9Y" 1.05707960892808 3.59539301895766 16.5827850979008 5.77266568498371e-33 1.95006419504435e-29 57.7955248288327
"RPS4Y2" 0.530741708862086 3.70141978985162 15.9626219457644 1.38928939597386e-31 4.26650773503571e-28 55.1940920982276
"NCRNA00185" 1.14464835379807 4.6270093513184 15.6296489248504 7.80954870005577e-31 2.1984530386382e-27 53.7718872692836
"AGKP1" 1.08147499181218 4.50169254375125 15.5762446445861 1.03135085208939e-30 2.68000485649475e-27 53.5421497494983
"TTTY14" 0.752914523233886 5.56007528310592 13.7350998387509 1.81536625133365e-26 4.38034909545013e-23 45.356970355944
"HSFY1" 0.368002947990465 2.89095123333274 12.0024109967694 2.36262068026161e-22 5.32077927999449e-19 37.2385255559169
"LINC00278" 0.538780744747166 3.42122176633294 11.4031502757787 6.50853285168433e-21 1.37415467664218e-17 34.3585262157622
"TTTY10" 0.532959633638403 4.20755601951833 10.9023522626544 1.04703570387561e-19 2.08058312427188e-16 31.9317521438605
"TMSB4Y" 0.414791918030763 5.5925286802513 10.570465462095 6.60448911640716e-19 1.23947914911861e-15 30.3161916735052
"LOC102723889" 1.08897333685743 5.94493828660382 10.0008283054264 1.55187569867608e-17 2.75915331457772e-14 27.535461996651
"KALP" 0.60242806553942 5.15939117490472 9.77223692309472 5.49023969125937e-17 9.27328935052164e-14 26.4186150330234
"TTTY3B" 0.809129107019636 4.28834748692249 9.51414868013391 2.27817855540601e-16 3.66472141810335e-13 25.1582799297502
"RNU1-48P" 0.779455806690037 2.99361208221661 9.09439293128887 2.28050451461483e-15 3.50171468219108e-12 23.1126310758315
"TSIX" -0.253459353499102 2.92716249355458 -8.84583346041781 8.85064940250109e-15 1.29992951072126e-11 21.9054821733003
"LINC00279" 0.444021276576309 2.99038848798592 8.71635061374105 1.78876130793514e-14 2.51775607263988e-11 21.2783459563585
"ZFY" 0.335329570485991 4.23332515938784 8.33320907267261 1.4159052499849e-13 1.9132278099896e-10 19.4314291976152
"HDHD1" -0.290111307885299 4.8759272185512 -8.19519865470988 2.96694440732046e-13 3.8240632279596e-10 18.770010419253
"JPX" -0.468671738054155 4.64477198285717 -8.18964188706121 3.05644318270357e-13 3.8240632279596e-10 18.7434281165126
"KDM5C" -0.26064865153139 5.05098801427863 -7.83745806663154 1.98759359129201e-12 2.39796068240841e-09 17.0672647001286
"OFD1P10Y" 0.287599877073154 3.50349461796971 7.20796934608397 5.29155271442857e-11 6.16392904296937e-08 14.1229762545209
"DAZ1" 0.367016191989635 3.39913594062631 6.61167780972176 1.07759469896224e-09 1.21340755085478e-06 11.4142783919215
"PPP1R12BP1" 0.400388149256423 4.63047907515187 6.50134914990403 1.85978763572748e-09 2.02662858459709e-06 10.923527162334
"LOC101929069" 0.421876451582172 3.99881148090773 6.44706949088728 2.42897053391778e-09 2.56415792519614e-06 10.6834090066754
"RBMY1A3P" 0.312161796664791 3.09903177150907 6.30633066273 4.83102349441597e-09 4.94535771711715e-06 10.0650436860045
"DAZ4" 0.386694204405006 3.48459960992001 6.09979151218802 1.30824608922624e-08 1.29981944529858e-05 9.16917601708241
"DAZ2" 0.513683410623075 3.95867449311885 5.98673767767914 2.24162873382125e-08 2.16355600734902e-05 8.68498035159217
"RBMY2FP" 0.201942649188924 3.0625970519886 5.7005919030846 8.56296463013359e-08 8.0351530047373e-05 7.48039161011414
"RBMY2BP" 0.245044178696217 3.47530706004049 5.46337579972991 2.53362778546252e-07 0.000231320216812728 6.50617971018299
"RBMY1D" 0.301871887006651 3.37809636104612 5.41694212830902 3.1238278893355e-07 0.000277700078762217 6.31822981773631
"PCDH11Y" 0.355055031055101 5.36276406036102 5.31036269615287 5.03268140917531e-07 0.000435920540213721 5.89036390613226
"DDX3X" -0.226077894479148 6.001198705163 -5.218679678379 7.55276830633537e-07 0.000637850165390788 5.5263374572508
"LOC102723631" -0.510119164339083 4.71941094334348 -5.20362036775896 8.07045479225824e-07 0.000664946422773843 5.46690906858083
"RPS4X" -0.264141067270343 6.36605867616802 -5.04795416705639 1.591073788711e-06 0.00125199100476797 4.85878197651041
"CT45A2" -0.526682767710327 3.88965439836128 -5.04757757194893 1.59366546890331e-06 0.00125199100476797 4.85732464312842
"XKRY" 0.160543951209275 2.56988280844148 4.82963199158381 4.03814872552229e-06 0.00310028868401974 4.02555220359046
"LOC102724689" -0.651074346607989 6.18153593198565 -4.81749039646228 4.24972848991057e-06 0.00319022395817042 3.97991139019741
"TBL1Y" 0.148858092825744 4.09882283166106 4.59566334675818 1.06537368992355e-05 0.00782378013463206 3.15951173302118
"FAM197Y2" 0.21806195736541 4.29484778412518 4.4967070044045 1.59131357917454e-05 0.0114374817059777 2.80199857416335
"FAM224A" 0.162052712883329 4.55335924729902 4.48933542459055 1.63923204144673e-05 0.0115364369983567 2.77558093660882
"XKRYP4" 0.214668022191979 3.0002240312172 4.47175643287864 1.75918798989949e-05 0.0121279856095499 2.71270418069056
"CT55" -0.128070858261036 2.86823798090717 -4.40550433890108 2.2920179125388e-05 0.0151414300230179 2.47728044886988
"RBMY1F" 0.397845468285735 2.48091504381946 4.40434749844397 2.30257954578118e-05 0.0151414300230179 2.47319154538925
"CT45A4" -0.316738493698523 4.13036693413025 -4.40128555944202 2.33076096384633e-05 0.0151414300230179 2.46237263102675
"AGBL3" -0.133413707041404 3.81396667300153 -4.37269196040291 2.61047369463447e-05 0.0166385682789523 2.36159729649357
"CDYL" -0.131001724873524 5.49532120773165 -4.31168186961462 3.31932912836034e-05 0.0207648624602112 2.14813036014064
"FAM197Y5" 0.275682509239322 4.29086184369223 4.25202013558182 4.18941995528092e-05 0.0257314173653354 1.94145554097059
"RPL7AP61" 0.210147470003363 2.71598916239284 4.18798840922439 5.36582858540336e-05 0.0323684027577698 1.7219568499837
"NPTX2" -0.376799168993915 5.4040248165449 -4.16138734535432 5.94256121950459e-05 0.0352185369396639 1.63148168351183
"RNU6-979P" -0.337104241741043 2.45876065828554 -4.14182598320254 6.40410276259009e-05 0.0372994819694924 1.56521886986623
"SCARNA3" -0.44779876695955 4.2712599300684 -4.12905418624699 6.72377570694728e-05 0.0384976046027773 1.52207881554303
"KRT8P51" 0.261481792186343 4.95488531392247 4.08003659167205 8.09846038462272e-05 0.0455956817088233 1.35742081434111
"CDY8P" 0.141760422435612 3.27143053101439 4.03247202121941 9.68684578726684e-05 0.0536444815638788 1.19903746026073
"ZBTB16" -0.276493172887775 6.42564234126745 -4.00587960120904 0.000107004454842002 0.0574412467648364 1.1110920087305
"RNU6-1101P" -0.257784201638225 3.14417555348133 -4.0051258831221 0.00010730601154531 0.0574412467648364 1.1086056828563
"ARHGAP26" -0.265447135700929 6.14170475531029 -4.00135814561335 0.000108825665106111 0.0574412467648364 1.0961821206215
"ZNF587P1" 0.145969543578237 3.68259948130478 3.9939731445587 0.000111864116489165 0.0581366418326228 1.0718565828975
"LINC01028" 0.222853110788364 3.76889529723816 3.9670288769202 0.000123651456714382 0.0629240539486281 0.983390814382991
"GMNN" -0.215311947871899 5.02889825699208 -3.96453328477469 0.000124801267415354 0.0629240539486281 0.975219864597499
"TTTY8B" 0.145554358348233 3.41581600016471 3.95430315627137 0.000129622179541978 0.064393630104523 0.941765367416794
"LOC653602" 0.270125546899741 5.25540358901218 3.9347434031944 0.000139338548552191 0.0682173262121967 0.877982898642037
"TSC22D3" -0.208358806388164 6.40031806540728 -3.91791122322953 0.000148252355694138 0.0715444689671954 0.823286422184931
"FAM197Y4" 0.259037070976048 3.71813482220902 3.90511849380246 0.000155387796931563 0.0739317629316217 0.781835184337712
"LOC102725348" 0.228906186100378 3.09740209493094 3.89798567993811 0.000159507173422099 0.0748376642412768 0.758768038396558
"PAPOLB" -0.160533662556192 3.74177226884879 -3.87933507601892 0.000170775698371454 0.0790270392696723 0.698604704874565
"THBS3" 0.158942332530166 4.96905337290263 3.85908292100084 0.000183868962476976 0.0839361813707396 0.63352446632253
"LOC100291323" 0.305882833173203 4.0397967494963 3.84835889879897 0.00019118360760274 0.0861116459790422 0.599168363853783
"LIN28AP2" 0.154686743492628 3.6746223917512 3.78135190845799 0.000243546997045659 0.108253435621045 0.386166212997753
"CT45A1" -0.342122625199778 4.52009712650985 -3.75161528663754 0.000270915679170674 0.118854578676163 0.292565773363964
"LOC100289495" 0.183474157690595 5.2119938933199 3.71486186791317 0.000308782720430444 0.133730629216164 0.177672930819398
"SESN1" -0.157324148188126 5.83256821142803 -3.70499066471204 0.000319777479518802 0.136739278931958 0.146965397256424
