"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 2.77006849266567 6.36283112495289 24.5532321513671 5.00228818947071e-49 4.66583807240756e-45 85.1027097957474
"RPS4Y1" 2.86634847028894 6.42499729877269 24.5365465355339 5.35995183504602e-49 4.66583807240756e-45 85.0549573796389
"EIF1AY" 2.67407127828752 4.50887289010267 23.4165663519462 5.93982763814122e-47 3.44707997266796e-43 81.7604046987648
"USP9Y" 2.78635587698157 5.58892985362897 23.1227365086787 2.09223271009169e-46 9.10644287067407e-43 80.8663505455897
"UTY" 2.64089724458105 5.90764391290946 22.884227285689 5.85776948764563e-46 2.03967533559821e-42 80.1313381129117
"TXLNGY" 1.62668747553605 4.24463591908221 19.4255896270812 3.88360405961294e-39 1.12689244463102e-35 68.4926759453044
"NLGN4Y" 2.04506458120318 6.00376070327637 17.9765381515561 4.370861025371e-36 1.08709557788156e-32 63.0449457182722
"TTTY10" 0.992611443962445 4.17919327221871 14.2164446968388 1.19634500751284e-27 2.60354582259982e-24 47.3033663253508
"ZFY" 0.871707645581519 5.16660098208986 13.8699685973121 7.74927469190637e-27 1.49905413762322e-23 45.7423841861785
"KDM5C" -0.385734152379168 6.95263816477504 -12.5796972347827 8.90867390475164e-24 1.55100012681726e-20 39.7887335524351
"TMSB4Y" 0.735723937466058 5.19137587710304 11.3209668683168 9.5089725451869e-21 1.50501101828822e-17 33.8033408752974
"ZFX" -0.615229774140217 6.64721088716245 -11.0196753018888 5.0836973718783e-20 7.3755976037001e-17 32.3515658861807
"PCDH11X" 0.982644002851727 4.09623026091556 8.30841676239094 1.56530649211635e-13 2.0963066175189e-10 19.2286284571341
"HDHD1" -0.489057150363704 7.14491643500935 -7.09101092768038 9.43983199848473e-11 1.17391053638299e-07 13.5274764183507
"JPX" -0.734780072976219 3.78560406695398 -6.35444443896147 3.76765853350014e-09 4.37299567121583e-06 10.2334203424226
"DDX3X" -0.271941330614548 7.3348256240808 -5.79711893751709 5.41124995029344e-08 5.88811635216305e-05 7.85172006398115
"TTTY14" 0.419135655522874 6.41933592188061 5.53793803702778 1.7900357170256e-07 0.000183320716667152 6.78316972524334
"PRKY" 0.256710669527721 5.47573806651121 5.4466818189726 2.70858861290675e-07 0.000261980709726147 6.41344162832424
"KDM6A" -0.431141176754901 5.95853942033848 -5.03586484733877 1.66528921845323e-06 0.00149369112137322 4.79428584539025
"EIF2S3" -0.258873169845657 8.36244785561354 -5.02893210524293 1.71590019686757e-06 0.00149369112137322 4.76762940340291
"GMNN" -0.287414346361032 5.13349908771577 -4.32276755917632 3.16562136335689e-05 0.0262445085409731 2.18084975632712
"ZNF544" -0.178689016431652 5.31632012427836 -4.21620927192056 4.79549679602611e-05 0.0379498178267339 1.81415695702725
"TSC22D3" -0.25695571475006 7.80225012085364 -4.1851269642653 5.40618388362389e-05 0.0409224614843008 1.7084425528712
"ARHGAP26" -0.265890762656476 7.58201621478302 -3.95213816373173 0.000130289572246048 0.0945142272001543 0.934457622281876
"CNDP1" 0.371694417603983 9.794771641789 3.90876638850381 0.000152896502293031 0.106477124196867 0.794049106451426
"LONRF3" -0.246252673134325 5.7319681023316 -3.88302346904734 0.0001680334420944 0.112517777956288 0.711267596606545
"CYB5R2" 0.353900722395513 7.16139249421061 3.87207636022801 0.000174893779353933 0.11277409994637 0.676191338069432
"TXLNG" -0.161254601364283 6.32668495894229 -3.83935538282527 0.000197024482950818 0.122507008863348 0.571799841601044
"PNPLA4" -0.207482762764664 7.03747641431693 -3.69766170867153 0.00032743136196663 0.196571724546173 0.127657033396945
"SRY" 0.213816915588206 2.89785447394817 3.52177918933967 0.000603861380126504 0.350440887600081 -0.405356784414334
"ZBTB16" -0.298032960823542 7.35610535484952 -3.48681249116573 0.000680309665951243 0.363116337056323 -0.508853999763793
"RBBP4" -0.33543699876321 3.97617831087418 -3.48360603293034 0.00068775830048774 0.363116337056323 -0.518303179065059
"FAM118A" -0.347109322181838 6.5065247854399 -3.48338552359378 0.000688273355706987 0.363116337056323 -0.518952745541164
"SMC1A" -0.188157027314749 6.94157234623599 -3.45769067563592 0.000750838571716612 0.384473515693712 -0.59441648848165
"DDIT4" -0.43001148647232 6.69147120074759 -3.43425240525513 0.000812536318182666 0.38942117465598 -0.662859114907364
"TBL1Y" 0.182948598156787 3.67192498077092 3.4279954800009 0.000829794606208245 0.38942117465598 -0.681066366802849
"MAP3K7CL" 0.155365604014697 4.53369657610594 3.42187626947592 0.000847005509933475 0.38942117465598 -0.698846842036948
"HILPDA" -0.619028010096521 6.89767689061242 -3.41859751970739 0.000856364670240651 0.38942117465598 -0.708363240513084
"C11orf24" 0.157816721193686 6.94327594473088 3.3902866238184 0.0009413128882596 0.38942117465598 -0.790225680951188
"YPEL2" 0.249254168214516 6.40311531474764 3.38698502959153 0.000951718559632711 0.38942117465598 -0.799736342318338
"CTH" -0.157178987269341 4.63144906269477 -3.38671129949163 0.000952586102287058 0.38942117465598 -0.800524517747263
"SYF2" -0.187311536433679 5.40673920068406 -3.38314205560539 0.000963966316712851 0.38942117465598 -0.81079700766577
"SLCO4A1" -0.305443801809216 5.80354812665416 -3.38084034109044 0.000971372596103085 0.38942117465598 -0.817416792050637
"RPL17" -0.292108088814626 4.13436167954076 -3.37689935806847 0.000984177580980076 0.38942117465598 -0.828742620139213
"PROSC" -0.137646235573975 7.31134034146129 -3.36083286127727 0.00103803571308172 0.401604483661171 -0.874803854299761
"ADCK1" 0.145420370762219 5.58758965020841 3.32405587134481 0.00117188586628325 0.442523295126379 -0.979563238885727
"SESN1" -0.184486279439566 6.34148300797547 -3.31673344836833 0.001200394216702 0.442523295126379 -1.00030829800498
"NPTX2" -0.322002545836516 6.14584571844646 -3.31177826790725 0.00122005273785561 0.442523295126379 -1.01432542451576
"RAB13" -0.12292029394833 6.556768307338 -3.29202190529894 0.00130146281108664 0.462417704918744 -1.07004039022472
"EXOSC7" -0.113855739472426 5.61684425947261 -3.27660007058467 0.0013685089712723 0.467586310413454 -1.11334054500938
"PAX8-AS1" 0.384844362921721 5.59253177216105 3.27632706529191 0.00136972440155578 0.467586310413454 -1.11410555514486
"NFKBIA" -0.377458124908665 7.78629065469958 -3.24458185233698 0.00151813170506334 0.508282172791399 -1.20270182044167
"SLC22A5" -0.149615771253313 6.04199050742204 -3.23463138493446 0.00156765225353571 0.510468358556624 -1.23032500785154
"C12orf76" 0.164359794007395 6.49951224403874 3.23154763109673 0.00158330220344961 0.510468358556624 -1.23887143332913
"EIF2B4" -0.105149676986516 6.60286277826333 -3.22414940745257 0.00162144357591399 0.513260593757502 -1.25934753439488
"CASP8AP2" -0.14636974062852 5.9703623732852 -3.19208762116759 0.0017968410425385 0.558625045546345 -1.3476337381839
"RPA2" -0.147743295137862 5.70703390013177 -3.18467203556543 0.00183984818946698 0.561960648747722 -1.36794877787463
"ZNF433" -0.124710693008769 3.5209987207124 -3.15573995370459 0.00201696095451881 0.596972252851815 -1.44683077385068
"CT45A5" -0.529778401563575 3.96475695821093 -3.15297072927007 0.00203471892101437 0.596972252851815 -1.45434934622492
"ZNF550" -0.116050229245719 4.54220710001472 -3.14947506493149 0.00205734262901257 0.596972252851815 -1.46383234029006
"RPL9" -0.209302126124311 7.63317953076903 -3.14384931813889 0.0020942431390779 0.597717591005676 -1.47907528096238
"ADORA1" 0.163171269276926 8.3323638079756 3.12579711965298 0.00221684190403069 0.606514270278822 -1.52783319840128
"HS3ST5" 0.255801423813463 5.73569020464778 3.12426212679443 0.00222756797394243 0.606514270278822 -1.53196824399779
"MKNK2" -0.195441046479637 6.76067399575986 -3.12359784662257 0.00223222467294553 0.606514270278822 -1.53375718813176
"TMEM37" 0.230696602897594 5.73489565945139 3.11904103038247 0.00226441284136263 0.606514270278822 -1.54602033097979
"G3BP1" -0.127633370256283 7.57645565566725 -3.09988647031993 0.00240447951694466 0.627494221540925 -1.59740360398267
"MCM6" -0.119966400705972 4.37737664066131 -3.09851295957431 0.00241482555101907 0.627494221540925 -1.60107788524086
"MT1M" -0.562990931739525 7.36936843297138 -3.07870638448993 0.00256867876290932 0.651632903471888 -1.65390973057608
"APMAP" -0.152505411750318 6.64731187128313 -3.0754295093267 0.00259499102126465 0.651632903471888 -1.66262285091327
"TMPO" -0.158348863150223 5.59785251689909 -3.07041525450641 0.00263573716854328 0.651632903471888 -1.67594043357453
"HCP5" 0.149219124358492 5.2072555845276 3.06777434806297 0.00265743458624377 0.651632903471888 -1.68294714749382
"OR4K17" 0.214756918763668 3.64559692062856 3.05292749650592 0.00278252165493541 0.65350218074173 -1.72224304614712
"LINC01105" 0.266950446948912 8.29605033031761 3.0480562821903 0.00282473412433669 0.65350218074173 -1.73510074932087
"RNF145" -0.117481737196777 6.28938757697046 -3.04392611209432 0.00286098782237409 0.65350218074173 -1.74598881142418
"NKAIN4" 0.241237699102483 6.35980708494084 3.04260619870292 0.00287266408695032 0.65350218074173 -1.74946576182988
"CERCAM" 0.324553567124019 8.7201510259713 3.04236497672508 0.00287480274690713 0.65350218074173 -1.75010105685073
"PCDHB11" -0.176674217650419 4.40827488127526 -3.04062489403873 0.00289027386083362 0.65350218074173 -1.75468256538167
"RRP7A" 0.155976968953741 6.20745875109488 3.03447890932024 0.00294553577092435 0.657458689381962 -1.77084668551776
"LRRC70" -0.100883589795958 2.73428262496807 -3.02788232000392 0.00300593415894385 0.662447008952057 -1.78816501226071
"AZIN2" 0.171639452587083 6.84546794467437 3.01258580365565 0.00315041586878184 0.685609253443649 -1.82820037733215
"AASDH" -0.208548828862023 4.49537648122204 -2.99846989912854 0.00328940498146399 0.707019021324544 -1.86499261750154
"ZNF552" -0.126644103301696 2.90984198997001 -2.97289938606569 0.0035556690318774 0.739892665976447 -1.93126523514612
"FKBP5" -0.587908023941331 6.29183349732273 -2.97218430077014 0.00356339278290358 0.739892665976447 -1.93311159698897
"SLCO3A1" 0.176837994830322 8.21438146529522 2.97158812369405 0.00356984399437229 0.739892665976447 -1.93465064570638
"FA2H" 0.325886299923386 7.56717653732672 2.95881197968484 0.00371070516446422 0.748886222039527 -1.96756917625879
"SLC9B1" 0.165928508168056 3.98092762791007 2.95377007529132 0.0037676879517883 0.748886222039527 -1.98052655437102
"C10orf10" -0.451205918063443 6.26663605938023 -2.94862716041073 0.0038266408156293 0.748886222039527 -1.99372402450795
"RAP2A" 0.168278866280253 8.47828302886447 2.94643259416276 0.00385205428292127 0.748886222039527 -1.99934960366734
"GLDN" 0.330801903323313 7.93435904232849 2.94504081286215 0.00386825169568021 0.748886222039527 -2.00291545353038
"ENPP2" 0.316997295501947 10.3493295005899 2.94477738141327 0.00387132452518997 0.748886222039527 -2.00359022247243
"KCNIP3" 0.165631436113136 7.05212737478423 2.94054441180573 0.00392100935192837 0.750162338649153 -2.01442570548824
"L3MBTL3" -0.123443150258454 5.19321536643137 -2.92034791494052 0.0041662378750638 0.784485695015045 -2.06594015847224
"SLC12A2" 0.249701430036131 8.60730128704531 2.9176789625107 0.00419967798330808 0.784485695015045 -2.07272494174878
"CEP89" -0.0827804836323413 5.53474575363202 -2.91053371040858 0.00429041984287997 0.784485695015045 -2.09086273642393
"GKAP1" -0.151093887070047 4.29653324807731 -2.90766454668771 0.004327360858747 0.784485695015045 -2.09813517169037
"ST8SIA2" 0.257249957193595 5.32961081586123 2.90756003202914 0.00432871199860994 0.784485695015045 -2.09839996725503
"BCL6" -0.343653581706902 7.26015979878325 -2.90341035099806 0.00438267195274698 0.784485695015045 -2.10890686909839
"RFPL3" -0.13512267854367 1.82439704887795 -2.90088360339276 0.00441582987429491 0.784485695015045 -2.11529821081985
"ZNF304" -0.129175908011359 5.19931800010219 -2.87623397385902 0.0047515876675091 0.829253498872584 -2.17739711556666
"TACO1" -0.120115824980858 5.9215495112541 -2.86866176592525 0.00485933282436969 0.829253498872584 -2.19638166870029
"GTF2E2" -0.138572205351846 5.51035532158892 -2.86803578209914 0.00486833935234368 0.829253498872584 -2.19794916039586
"POMZP3" 0.254280467098497 6.1827330176529 2.86497785933346 0.00491255626305294 0.829253498872584 -2.20560208741589
"ALDH1L1" -0.252305708813747 6.61146110293683 -2.86415149115264 0.00492456832382583 0.829253498872584 -2.2076689911668
"UBA1" -0.101757807190261 8.6470811279883 -2.86180844693464 0.00495877310905222 0.829253498872584 -2.21352658700585
"TIPIN" -0.172612696312166 5.25754425616291 -2.85326945684137 0.00508527779653221 0.829253498872584 -2.23483891816762
"FBXO31" -0.172619591810076 6.59133451427536 -2.85320199436051 0.00508628890288159 0.829253498872584 -2.23500707733323
"NKX2-2" 0.264076612047315 7.04964046294664 2.85252115491975 0.00509650341064713 0.829253498872584 -2.23670396719282
"WTAP" -0.121364257308614 6.90096658723008 -2.8367950827314 0.00533772474525694 0.848154525363341 -2.27580122089115
"CAMK2N1" 0.216993501691806 10.3721670674876 2.8342034189174 0.00537846550399442 0.848154525363341 -2.28222648845157
"EFCAB11" 0.0950272516810744 5.84067561485238 2.82838746323268 0.0054709284775465 0.848154525363341 -2.29662689926517
