"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -8.65978625054504 0.457991370769416 -40.6897606243262 1.50131974469752e-86 2.74703980286029e-83 184.840965687116
"TSIX" -5.30098832483836 -4.04655685991802 -31.5525082164704 8.99019180122088e-71 1.23373525862129e-67 146.876640722426
"SAGE1" -1.0481507216133 -2.46162389603808 -2.67720824398848 0.00819407640189692 0.999885105510768 -3.38021237670677
"RP11-195E2.1" -0.980459001600602 -2.35062009384929 -2.32796367955727 0.0211600673750568 0.999885105510768 -4.23337283000436
"ANKRD22" -0.939834444755189 -1.01891142799987 -2.96705600229724 0.00346600726953713 0.724791634449779 -2.82028920897108
"RP11-575H3.1" -0.926403591127894 -2.51090105789561 -3.77645991656171 0.000223552109764817 0.0721843187368541 -0.0604787746750679
"CXCR1" -0.921528118017874 -1.98488132162316 -2.74745709328118 0.00669199174688604 0.999885105510768 -3.26930913989463
"RP13-33H18.1" -0.897816989274391 -2.52113071097713 -5.83646301764491 2.85852162197471e-08 1.5308429086268e-05 8.50229368490717
"GRP" -0.876602619631991 -2.19071498908992 -2.1561943262059 0.0325552872912676 0.999885105510768 -4.62590847978765
"LMX1B" -0.83812212807788 -1.24741374972137 -1.46438361858331 0.145042008958361 0.999885105510768 -5.99958886843722
"AQP9" -0.807717664040861 -1.12805694979795 -2.55412072465415 0.0115748734907344 0.999885105510768 -3.88561776673151
"LINC01146" -0.793498550771171 -3.12552501811536 -2.51406975690314 0.0129182911288941 0.999885105510768 -3.6815262430239
"AKAP14" -0.786223225294781 -3.70594560534221 -2.54357057469371 0.0119160423330075 0.999885105510768 -3.52908237826999
"NLRP4" -0.782246330911063 -2.99687839502951 -1.85850305661528 0.0649260534929062 0.999885105510768 -5.08068529781964
"RP11-546B8.6" -0.77053120199317 -4.30586019066989 -1.94405305162521 0.0536350224526812 0.999885105510768 -4.74226530552903
"RP11-364P22.1" -0.745793655032091 -3.90611294769769 -1.9700636828594 0.0505490021887093 0.999885105510768 -4.74302017397498
"ZDHHC19" -0.74122368751161 -2.13549747804975 -3.59334344897951 0.000433624600869888 0.135099599280233 -0.726073297712127
"TSPEAR" -0.733143068448272 -2.96163994800055 -3.87479094742844 0.000155085011011024 0.0515939634358948 0.344743699741534
"TSPEAR-AS2" -0.720590608355599 -1.79991064926287 -4.27948827221781 3.20793663132189e-05 0.0121442525196439 1.6783580333174
"FPR2" -0.717162643057551 -2.45695417750035 -2.29949829992127 0.0227633140321707 0.999885105510768 -4.27098240481658
"LGALS2" -0.700151222406586 -2.98833560634792 -3.13711442605333 0.00202970339068594 0.500743790441475 -2.0311250766496
"RP11-138I18.2" -0.690684208442758 -2.52663134359253 -2.32739750422486 0.021190962148346 0.999885105510768 -4.200287683658
"BTN1A1" -0.68298872309323 -1.90206420686362 -3.0749571491875 0.00247452436768056 0.56013537671301 -2.37057356233536
"ULBP1" -0.680159492201174 -3.90405560621894 -1.98707022958878 0.0486135416049215 0.999885105510768 -4.70728597078045
"RP13-216E22.4" -0.678407066347115 -2.44112932133988 -4.07484590872599 7.21736814387466e-05 0.0255003247750034 0.99951423642198
"CD40LG" -0.677229637827774 -3.5852211766612 -2.43215457489661 0.0161070195066027 0.999885105510768 -3.80765829799955
"NLRP2" -0.674818075301856 -1.13787104400799 -2.74308735838862 0.00677758552346708 0.999885105510768 -3.40352755462734
"RP11-314B1.2" -0.666362858771104 -0.0706329639808608 -2.32423673477681 0.0213641672328047 0.999885105510768 -4.58275292170961
"DUSP27" -0.661494919082349 -3.30007933887645 -2.84437773298385 0.0050287613931173 0.890455757328037 -2.81329493027321
"IGHG2" -0.660249040834097 -1.97486868273072 -1.95884105820509 0.0518615869052528 0.999885105510768 -5.04812765133909
"OR7A5" -0.657991207000051 -0.809865374102734 -1.95451802355676 0.0523748264698713 0.999885105510768 -5.24183043942943
"SKOR2" -0.657759885649436 -3.88876545265678 -1.47736564194986 0.141534095475153 0.999885105510768 -5.56768518432591
"CPA6" -0.655907918134995 -3.43926721111104 -2.84455557114958 0.00502609161717949 0.890455757328037 -2.79404367287292
"CT45A10" -0.653124015609603 -3.56815479665995 -2.04781999941796 0.0422047720045156 0.999885105510768 -4.63636499240133
"KC6" -0.647656441331241 -2.61975306922105 -2.65680340103808 0.00868417517316666 0.999885105510768 -3.39540533537246
"PROK2" -0.646763628279799 -2.24271913401631 -2.5994274296282 0.0102071141946571 0.999885105510768 -3.59643390443346
"MT-TP" -0.646667319297984 -2.66068569292659 -2.27510115254813 0.0242212211530459 0.999885105510768 -4.29074982491365
"LCN10" -0.639352356387887 -0.156509057586609 -2.62287465379632 0.00955789202633046 0.999885105510768 -3.85906811130567
"MSLN" -0.639184682335434 -0.211967042251039 -2.57304654986608 0.0109847144879185 0.999885105510768 -3.97442894060406
"ZFX" -0.633045060787528 4.20703366177176 -16.2868950548279 7.56111720103523e-36 7.21823697317959e-33 70.6983145728798
"TMIGD2" -0.632582995555955 -0.833203190357733 -2.93892977007917 0.00377862955833037 0.747453776687026 -2.91818830011531
"HSPA6" -0.630599179469844 3.13098564289744 -1.85607280307569 0.0652737307768388 0.999885105510768 -6.08850593225146
"LCN2" -0.620215401384322 -2.35706134189161 -2.18185278891141 0.030572239562185 0.999885105510768 -4.53489181240281
"AC009487.6" -0.615387895403684 -2.98738974796747 -3.14013348219017 0.00201011066957429 0.500743790441475 -2.02225880784287
"JPX" -0.613678551968833 1.52231742364446 -8.37123234086739 2.63753249781741e-14 1.99697589843368e-11 21.6569709628823
"GSTM1" -0.609521876004252 0.0210826026463862 -0.887712968763505 0.376021414848296 0.999885105510768 -6.86501446485317
"YES1P1" -0.609120732111105 -2.17089618737046 -3.36413099681688 0.000960091509242568 0.266844674284039 -1.4544459512182
"AP000439.1" -0.608806704493956 -1.0775534793331 -2.32366169814958 0.0213958117578026 0.999885105510768 -4.43108008629998
"SPRR3" -0.606186824175154 -3.46082429116245 -1.2466325683861 0.214345674962574 0.999885105510768 -5.93192660842078
"GH1" -0.605556316172736 -4.11259280752409 -1.10893930498977 0.26911261903586 0.999885105510768 -6.00147714642047
"LINC01700" -0.600914986916287 -3.24375932264192 -2.01171308685076 0.045920699601786 0.999885105510768 -4.74932053712208
"LURAP1L-AS1" -0.597421085817157 -1.50324365590024 -2.03554964814944 0.0434376912325192 0.999885105510768 -4.96836703976684
"PUDP" -0.596545297613661 3.16720982881178 -11.2839039347856 4.05937267447961e-22 3.30117206716848e-19 39.2680618739376
"CPNE4" -0.593968174420652 -0.477576267330575 -1.42153311213205 0.157098938024368 0.999885105510768 -6.1729697270777
"MMP8" -0.585492563559261 -3.19633019430312 -1.71139280650117 0.0889373078489435 0.999885105510768 -5.29761963757737
"OR2H2" -0.581859353726661 -2.97755442477311 -2.15315845632886 0.0327971198791595 0.999885105510768 -4.50156252415616
"NMRK2" -0.577712431184398 -2.40819429549776 -2.15823056403698 0.0323939489163843 0.999885105510768 -4.58081867184471
"FCGR3B" -0.574917559018581 -0.212361890922906 -2.2793232754243 0.0239632184879854 0.999885105510768 -4.66046991990105
"PRSS30P" -0.57290360836972 -1.50755479396679 -4.07133456547905 7.31666648825075e-05 0.0255003247750034 0.861374806383503
"RP11-298I3.6" -0.571803825192645 0.121424260402227 -1.54273324887751 0.12486174841162 0.999885105510768 -6.0897294459373
"KCNG2" -0.571370310926833 -2.68722056869646 -1.86789950172078 0.0635962540345619 0.999885105510768 -5.10041188092042
"CCL21" -0.56824278860601 -3.41284120203019 -2.01468598560427 0.045604575150672 0.999885105510768 -4.72085641187075
"ST14" -0.562393715419957 0.0716985864960434 -2.04401603020542 0.0425837569829437 0.999885105510768 -5.19793810641507
"TBX1" -0.561811439282653 -2.60810217231343 -2.15512837931336 0.0326400227406177 0.999885105510768 -4.55315023881443
"PERM1" -0.561572198824523 -2.70364966569648 -2.67359516052115 0.00827899495134332 0.999885105510768 -3.33871452103477
"RP13-895J2.3" -0.561300174265252 -4.00734693282921 -1.50940237361393 0.133158965248093 0.999885105510768 -5.49881944811902
"TMPRSS4-AS1" -0.560843652956871 -2.80469084855463 -2.32993320729041 0.0210529034700637 0.999885105510768 -4.14510743135536
"HTR3B" -0.557582568787514 -3.54193172461019 -2.43543844685122 0.015966840608044 0.999885105510768 -3.80265974219811
"RP11-490G2.2" -0.555932803611457 -3.5756537122304 -1.85289710863997 0.0657303867991746 0.999885105510768 -4.99818461706716
"SLFNL1" -0.554904950018207 -2.30418882965396 -3.28312223010264 0.00125968937806236 0.329273805644229 -1.6865395828657
"HSPA7" -0.554058861421559 3.21836315470046 -2.16846241274839 0.031593668161942 0.999885105510768 -5.48608802633989
"RP11-526I2.5" -0.553170001884018 0.991178167846998 -2.95453329126961 0.00360214059939802 0.746152840952664 -3.14798177589427
"SULT1C2" -0.551447427928537 -0.610875202240173 -2.09664260878906 0.0375908046045739 0.999885105510768 -4.98820286458279
"AC110781.3" -0.550617174528319 -3.06494805707749 -1.88838928938351 0.0607751468793988 0.999885105510768 -5.00666877390797
"ANKRD1" -0.550478428723832 -1.88713108507757 -2.20542482798618 0.0288435996744542 0.999885105510768 -4.56302396407263
"MYBPH" -0.549499714917536 -1.6672240844013 -2.25207818170838 0.0256712849703729 0.999885105510768 -4.49308393071283
"RP11-706O15.1" -0.548866777645914 -0.365322396087315 -5.17211676354504 6.80744354561739e-07 0.000332157862069158 5.1818352738024
"FAM71F1" -0.547602536225909 -2.15627338888014 -2.90138938970103 0.00423621381705597 0.807108064720853 -2.81543152563194
"FOLH1B" -0.547598173116115 -1.0612461739518 -1.4884583312354 0.138589147770188 0.999885105510768 -5.98540995612914
"KDM6A" -0.547217364187075 4.11991011881289 -7.80092690685625 7.33676203748649e-13 5.19655755022874e-10 17.9704953429774
"S100A12" -0.545882986140586 -0.930036889025692 -1.77128077900826 0.0784088662890095 0.999885105510768 -5.54818844935252
"TSGA10IP" -0.541487283294015 -2.81067564078834 -2.17859038460238 0.0308184242458817 0.999885105510768 -4.47320153140912
"MIR7-3HG" -0.538891128905079 -1.93149181566593 -1.78873168223064 0.0755411616936411 0.999885105510768 -5.35623039244786
"SFTPB" -0.537911524758658 -2.71999058954578 -1.30032088737357 0.195352162771587 0.999885105510768 -5.98022842875581
"NCF1B" -0.537082382509974 -0.668975237976907 -2.88024676803265 0.00451572888324733 0.847451787089416 -3.10219080950761
"TDRD12" -0.534386891380951 -1.72839300878592 -2.94758526828646 0.0036797725484884 0.747453776687026 -2.7500994233127
"RPS4X" -0.533663309974832 8.79533181766268 -7.30419114088272 1.22476743149233e-11 7.47006069257696e-09 15.3002229599156
"RP11-307O13.1" -0.533082411744634 -3.6979966956353 -1.80400354790641 0.0731029570802617 0.999885105510768 -5.06867973623033
"SERPINB9P1" -0.532696730005662 -0.576494430595058 -2.97174569187587 0.00341625421781895 0.721256671737026 -2.85955803230335
"IGHG4" -0.532002807905827 -3.18257810838804 -1.76562789254781 0.0793567623845076 0.999885105510768 -5.20609440735832
"LINC02009" -0.531788871572593 -3.07385419103406 -2.08363440837892 0.0387757113984285 0.999885105510768 -4.62698255368239
"KRT13" -0.531514237746488 -2.24479782304006 -0.963720559916603 0.336633505524393 0.999885105510768 -6.42240075208975
"ERCC6L" -0.530035448999336 -2.95393950201997 -2.55042583547203 0.0116933497117774 0.999885105510768 -3.60843058140804
"MEP1A" -0.52982378110386 -2.9504786009806 -1.79945908344466 0.0738216092512634 0.999885105510768 -5.18111338919659
"CCL20" -0.527119042385725 -1.50899822898558 -1.56888932069706 0.11864000835351 0.999885105510768 -5.78429046316603
"NRAP" -0.526178114948253 -1.49705427162135 -1.72847121619796 0.0858238437907071 0.999885105510768 -5.53632044429039
"TSPEAR-AS1" -0.524356759817403 -0.819669842247136 -3.29802442159493 0.0011987422922073 0.324947956913526 -1.85797284585389
"MB" -0.524247678940061 0.416028773345272 -2.06153437424306 0.0408622454780955 0.999885105510768 -5.21749674345583
"TEKT5" -0.521648615159101 -3.59304627748712 -2.26761839665671 0.0246844470222506 0.999885105510768 -4.16971999453949
"C1orf127" -0.521621632717365 -2.90978775296227 -1.86439854665364 0.0640890358128532 0.999885105510768 -5.07176669926935
"PLVAP" -0.520012102673296 0.976133632622512 -3.22896175419158 0.00150635870605071 0.380173771365004 -2.34138701308149
"RP11-315D16.4" -0.518080954207695 -3.60018398324982 -1.75050951595897 0.0819381524705693 0.999885105510768 -5.1719667918131
"LMOD2" -0.517765692089511 -3.77324076277937 -1.55209688717041 0.122605547956127 0.999885105510768 -5.47187596805245
"CLRN1" -0.517650895257296 -3.16662649459983 -1.47388248635244 0.142468767176723 0.999885105510768 -5.67143383600428
"RP11-151A6.4" -0.516403323485656 -2.95473677261124 -2.75870547541161 0.00647615334685274 0.999885105510768 -3.08263240098162
"ADAMTS18" -0.515317126943107 2.3500226191893 -1.55815136362558 0.12116389908594 0.999885105510768 -6.43786711506792
"CD177" -0.513111759934613 -1.32827767433042 -1.44617089967936 0.150076153832972 0.999885105510768 -6.00276775309755
"IGHM" -0.51021154093431 -0.693260931207478 -1.80454920875262 0.0730170572142487 0.999885105510768 -5.52793327194924
"XIRP1" -0.508256877649413 -1.78880315979827 -2.02066481314882 0.0449744155698358 0.999885105510768 -4.95295526187905
"RP11-393I23.4" -0.508218001699074 -3.63027096358944 -1.82440141911107 0.0699480961073675 0.999885105510768 -5.04174983331923
"MTND6P4" -0.5079395677966 -1.00676261820169 -2.42564650585892 0.0163880598376954 0.999885105510768 -4.20132592366305
"SKAP1" -0.507920039252628 -0.0814638985325495 -2.12835767112403 0.0348315071796548 0.999885105510768 -5.00124902406347
"PADI4" -0.507450938954729 -2.72119485295581 -1.75649815529344 0.0809075147652843 0.999885105510768 -5.28923770428285
"PTTG2" -0.506868847824859 -3.18581276589361 -2.86142724760714 0.00477861182844216 0.881714116950459 -2.77456352850372
"TLX3" -0.506772146510269 -2.0679548465781 -0.995647898828114 0.320917574306961 0.999885105510768 -6.42035398538669
"KMO" -0.501857584649416 -2.00089353372373 -2.28086875790309 0.0238693813933092 0.999885105510768 -4.37536769152425
"TUBBP5" -0.499923147640631 -2.6642986906286 -1.59335415164133 0.113045092375454 0.999885105510768 -5.56624494682317
"CTD-2540F13.2" -0.498533221626518 -2.84352144337668 -2.70894904549151 0.0074812200525281 0.999885105510768 -3.22488453540194
"TRIM63" -0.498018210265147 -2.09376790097367 -1.64195932737487 0.102553265900107 0.999885105510768 -5.58195869783479
"RP11-49O14.2" -0.498016136027272 -3.45354428612899 -2.34603079189548 0.0201947657372044 0.999885105510768 -4.01417100561623
"BMS1P10" -0.497853161576387 -1.98381590710108 -1.84100221703701 0.067464524860675 0.999885105510768 -5.25366828389802
"MTCO1P53" -0.497845183560365 -2.38524984819837 -2.05054634956809 0.0419349241754749 0.999885105510768 -4.79815094793327
"MYO18B" -0.496508693790858 -2.31636705534595 -2.13549504252389 0.034235174582221 0.999885105510768 -4.63766360880949
"NEB" -0.49603937519535 1.75128404434257 -3.27819605229076 0.00128046339138928 0.33076629040864 -2.31863391412289
"PRL" -0.495972747402522 -3.62354943286266 -0.958971702871834 0.339013078747125 0.999885105510768 -6.2184835616135
"CTD-3128G10.7" -0.494640363747533 -0.2109675464796 -1.63117132960799 0.104811751442393 0.999885105510768 -5.89463667514531
"RP1-29C18.8" -0.493823978671267 -2.64123069785204 -1.9408956548293 0.0540202193767043 0.999885105510768 -4.97184269902491
"CSAG1" -0.493342359032814 -2.58115132321296 -1.97791734301145 0.0496472500788998 0.999885105510768 -4.90609364936818
"RP11-300M24.1" -0.492628953363462 -2.96806892984979 -2.25164227538067 0.0256994556792184 0.999885105510768 -4.29135007122981
"NPAS4" -0.492529148976003 -2.5865541280658 -1.25564654085882 0.211066154782939 0.999885105510768 -6.04436550747959
"ABCC13" -0.492407928169357 -3.74042601103157 -1.627755534842 0.105535104686156 0.999885105510768 -5.35375833174756
"SPATC1" -0.491657254768488 -3.09337250843194 -2.33273734666979 0.020901151158432 0.999885105510768 -4.09260500533571
"CKM" -0.490721811619937 0.734460208588485 -1.51448047233789 0.131867730609843 0.999885105510768 -6.22659840822706
"APOC2" -0.489268316019194 3.90344822716777 -2.52988452812783 0.0123720167873217 0.999885105510768 -4.77469002997984
"RP11-630A13.4" -0.488804648371234 -2.28473813802739 -2.47790036002628 0.0142493815849459 0.999885105510768 -3.87833664005489
"RP11-366L20.2" -0.48771102479064 -2.02457874243905 -1.94660775181259 0.0533250500787811 0.999885105510768 -5.05441606536091
"RP11-403I13.5" -0.485827134814112 -2.48382051765627 -2.05941897114269 0.0410669129326716 0.999885105510768 -4.76390159738069
"MS4A14" -0.485444731610799 2.06696655843195 -2.32819065360687 0.0211476930937296 0.999885105510768 -4.91713461875271
"MCOLN3" -0.484519980651382 -1.60628760082415 -1.69923322720625 0.0912095507374972 0.999885105510768 -5.56279094455521
"GYG2" -0.48439022821118 5.67287708417662 -4.43638367988891 1.69042603552333e-05 0.00651169902841854 1.30731015853709
"UTS2" -0.484266374695952 -3.43747793742802 -0.988661520761536 0.324314526792692 0.999885105510768 -6.21860178136073
"CD180" -0.479237244758899 0.820953222116653 -2.28590367426167 0.0235659038027087 0.999885105510768 -4.80221045383407
"C5orf17" -0.479130098470019 -2.70689002340945 -1.55111008067896 0.122841796153969 0.999885105510768 -5.6225046660989
"AF127936.3" -0.479072878570074 -0.983850054279264 -2.16275037488047 0.0320382970492029 0.999885105510768 -4.79092152389014
"LCE1A" -0.478648177524677 -3.93369160677976 -1.47476384364799 0.142231812498072 0.999885105510768 -5.55934344025792
"CNGB1" -0.478532513076922 -1.92436324866291 -1.03191289613202 0.303662908043443 0.999885105510768 -6.41089593019236
"LINC00326" -0.477430834919231 -2.23916383672068 -2.04346562375998 0.0426388331738909 0.999885105510768 -4.83104315386006
"ZNF603P" -0.477196782402485 -0.819979991703987 -2.52817488768807 0.0124300589510971 0.999885105510768 -3.98614655662072
"FOXD4L1" -0.47545966787025 -3.48541874341688 -2.00715529470208 0.0464089711135475 0.999885105510768 -4.72032254133893
"MYL2" -0.47455172965138 -0.855118301370697 -1.39800902558784 0.164036309768355 0.999885105510768 -6.1474919525157
"RPL35P5" -0.47449956102386 -2.71982466403075 -2.45508507358629 0.0151505774934339 0.999885105510768 -3.86753394271608
"RP11-467K18.2" -0.474423512486049 -2.87201864530225 -1.93273272112482 0.0550268974440217 0.999885105510768 -4.94772936247553
"RP11-324L17.1" -0.474135174995191 -3.62148456501812 -1.84359565521657 0.0670832268667104 0.999885105510768 -5.00182633256995
"LINC00649" -0.473967836143401 -0.500960790400909 -2.75968926388183 0.00645757990030434 0.999885105510768 -3.44822289193108
"KRT17P1" -0.473831875921904 -2.0138020488743 -1.43408308492105 0.153490882126384 0.999885105510768 -5.90337602813299
"EGFEM1P" -0.473049169386745 -2.57571298901727 -2.07189615880823 0.0398722904940367 0.999885105510768 -4.72281529676782
"TNNI2" -0.472577328262649 -1.1927875074523 -2.32484845267296 0.0213305492870713 0.999885105510768 -4.40473267585862
"DES" -0.471357864278456 2.30589778075115 -1.96192771876081 0.0514977365060187 0.999885105510768 -5.73169969604276
"RP1-278D1.2" -0.470789493643451 -3.80827355960373 -1.60237205059278 0.111036489120556 0.999885105510768 -5.3839712436175
"SLC35E1P1" -0.470623758727645 -2.59435037807541 -2.27280351801082 0.0243626421481762 0.999885105510768 -4.30118310324466
"GYS2" -0.469436186838444 -3.10668214977948 -2.37227631582233 0.018861618955222 0.999885105510768 -4.0048664485989
"LINC02073" -0.468779752304504 -2.97149470356932 -1.73097979532815 0.0853740985342469 0.999885105510768 -5.29492739226055
"KCNJ1" -0.468079743088931 -2.85211748909385 -2.36282994994105 0.0193322241087395 0.999885105510768 -4.06246813669937
"RP11-583F2.5" -0.467498954079637 -3.91919867128847 -1.54144587409954 0.125174484706497 0.999885105510768 -5.4608886412658
"MYH6" -0.466363670247802 -0.43996991741798 -1.81586552439463 0.0712543135812129 0.999885105510768 -5.55000516600258
"ORAOV1P1" -0.465791923600866 -1.95861867530549 -2.48256802906191 0.0140710033413963 0.999885105510768 -3.91709393772065
"RGPD2" -0.4643607092946 -2.27206332680312 -1.95345511111514 0.0525016721382441 0.999885105510768 -4.99939527138651
"RP11-341G23.4" -0.463387586858449 -2.52248124018962 -2.13668979382008 0.0341362175539015 0.999885105510768 -4.59868528620468
"S100A9" -0.463240846485285 3.00276062683404 -1.7127730632396 0.0886823160519922 0.999885105510768 -6.31065448977225
"MYBPC3" -0.46297268485579 -1.18234602470991 -2.31375644708398 0.0219474053689249 0.999885105510768 -4.43322406567852
"IGHG3" -0.462620851617314 -2.13625054449383 -1.15265942741965 0.250761334710731 0.999885105510768 -6.24173370613247
"ISL2" -0.461881357920788 -3.38458180240178 -1.96226740072696 0.0514578273970444 0.999885105510768 -4.81984338427492
"NPY" -0.459882108187387 -0.941238626591223 -1.21871968032066 0.224736033605938 0.999885105510768 -6.36050659037742
"CERS3" -0.459745160377568 -2.00310890669556 -2.35512748947551 0.0197235844189004 0.999885105510768 -4.20601148053331
"ASB5" -0.459535509362023 1.44499081414853 -1.83455000843152 0.0684209703676999 0.999885105510768 -5.80848349173723
"RPL23AP65" -0.458970020166058 -2.88415813957935 -2.85473623382792 0.00487539490483388 0.890455757328037 -2.83532310622666
"ACTA1" -0.457118497279782 1.2689492603373 -1.63370995105233 0.104276732597179 0.999885105510768 -6.12706400585069
"PRKXP1" -0.456285112067988 -1.72851988666134 -1.89347854877404 0.0600908979870977 0.999885105510768 -5.2008914098696
"CEBPE" -0.456077094039407 -3.41555542319053 -1.97473649925992 0.0500108182926198 0.999885105510768 -4.7938465878978
"RP11-932O9.9" -0.456063449665652 -2.70979068074521 -2.21145803324501 0.0284150514528716 0.999885105510768 -4.41425220216087
"EBF2" -0.454986363245643 -0.546200154760727 -1.14986383131309 0.25190771429371 0.999885105510768 -6.50132898235732
"RP11-315A16.1" -0.454307520831542 -2.62795165992384 -2.06948598849049 0.0401007040112825 0.999885105510768 -4.71850065917361
"STMND1" -0.45277404227136 -3.06286718231677 -1.81167185568941 0.0719034115074514 0.999885105510768 -5.1410649644655
"LINC01291" -0.451167609791759 -2.37867041592428 -0.776316287444127 0.4387029626423 0.999885105510768 -6.55764350431683
"RPL3L" -0.450514736331482 -2.04020985242223 -2.69797633990776 0.00772104287839359 0.999885105510768 -3.37164422621751
"EGFL6" -0.448279130051077 -2.24106324518555 -1.05137474161097 0.294664395879826 0.999885105510768 -6.33739361574474
"LINC00706" -0.448110693364017 -2.04312114659918 -1.76400701723557 0.0796302849819241 0.999885105510768 -5.37848497484135
"AP001627.1" -0.447337815295192 -2.69673213709147 -2.0486957716266 0.0421179288886415 0.999885105510768 -4.75327206978124
"SERBP1P3" -0.446922957282913 -2.07048860209143 -1.58468132650151 0.115003994221067 0.999885105510768 -5.66648416332764
"RP11-64B16.3" -0.446866523062039 -3.36344670561032 -1.83874101479008 0.0677984433948307 0.999885105510768 -5.04836587183026
"AC114730.2" -0.446458214120289 -3.26358254283929 -2.06373177115221 0.0406505695185574 0.999885105510768 -4.63812945843766
"PRSS51" -0.446108665040724 -1.91746739058692 -1.95842322742535 0.0519110065232903 0.999885105510768 -5.04837130017934
