"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y2" 8.00946120015698 7.38070833393996 119.520029988947 2.91421700383349e-170 6.04321180084951e-166 361.73148171435
"XIST" -6.86271466124262 3.81840710648726 -107.404732967441 3.26003384117814e-162 3.38016608822555e-158 346.699740284625
"DDX3Y" 5.30620674432938 7.1707144091038 105.46490235102 7.64425499215261e-161 5.28396385907562e-157 344.08166883998
"TTTY15" 5.20449471046696 5.52522819116196 100.501707618954 3.18537577031168e-157 1.65137843372383e-153 337.087702972211
"TTTY14" 3.71841520866698 5.70825292969764 93.3149178885747 1.15609080699448e-151 4.7947710129289e-148 326.140788750721
"NLGN4Y" 3.52942247719129 6.62204420249749 69.2555924903322 1.64544485726706e-129 5.68693166752449e-126 280.494395334715
"RPS4Y1" 4.91481816221262 8.6340377754085 63.6245978566539 2.76983831905079e-123 8.20544817459376e-120 267.202152873291
"USP9Y" 3.717065068688 4.23117687324692 52.1634585030921 6.93585342819529e-109 1.79785990675607e-105 235.895748025371
"TMSB4Y" 3.55729354928639 3.81887956187695 49.6305010143782 2.51436648472761e-105 5.79337975486627e-102 228.055761637852
"KDM5D" 3.00491670872935 6.69255248063952 41.6740067844135 4.95562375978186e-93 1.02764769906596e-89 200.733231470172
"CYorf15B" 3.03230024605859 4.80909742987916 40.8577302681019 1.16035260847192e-91 2.18747564017111e-88 197.669699064845
"UTY" 3.03036526094446 3.52481951584873 36.0617171906243 3.83637950765742e-83 6.62958348752433e-80 178.537234668263
"HSFY1" 3.16471685504265 3.57002496701462 34.7047799676053 1.42255237184101e-80 2.26918988729746e-77 172.744815251037
"EIF1AY" 2.15204661916153 6.65821476558577 31.2788551363563 9.68662369474083e-74 1.43479653969886e-70 157.29528307933
"ZFY" 1.75887958113353 4.68531375465469 26.0082469575544 3.76540762586365e-62 5.20555052916897e-59 130.972272405112
"GYG2" 1.55176028390851 3.3538724210714 25.1823762029444 3.31696954695755e-60 4.29899984345367e-57 126.542942670567
"C12orf28" -1.46655441071204 2.42017510896018 -23.8630355131834 5.05780815597599e-57 6.16963339591025e-54 119.28746716932
"KRTAP19-8" 1.84024121295896 3.53366226338327 23.6012239874181 2.2227856464221e-56 2.56077255276973e-53 117.821177868585
"HPR" 2.22531087312809 5.96510179783324 23.2129258283798 2.02931173317985e-55 2.21483354794477e-52 115.630253263492
"ANKRD65" 1.85737819937256 7.37227008730178 22.7121980370128 3.61478084958256e-54 3.74798552388967e-51 112.776285621517
"LOC100132317" -1.65036827811381 5.10751050827672 -22.3952635881214 2.27420668739505e-53 2.24572495602434e-50 110.953181098964
"AC034199.2" 2.07431604174259 4.5559244595009 22.2516546254532 5.25495103022778e-53 4.95326906881062e-50 110.122841663054
"LOC642373" 1.75291244984783 4.25744328721846 21.7080974893442 1.28092329399872e-51 1.15489158033267e-48 106.956035606343
"BCORP1" 1.98671731668619 3.46358726626017 20.3888723919695 3.47021524022476e-48 2.99841055985587e-45 99.1136546232571
"C16orf75" 1.53765902145338 5.22217031914803 20.3773478287898 3.72183050497087e-48 3.08718396726323e-45 99.044179863429
"NEU4" 1.79670212747229 5.76252169418503 20.0965356047175 2.05907416340195e-47 1.64227003563331e-44 97.3462397897763
"ZNF718" 1.50985748461586 5.92977956624908 19.5629634945753 5.453517229593e-46 4.18850321444704e-43 94.0933062044724
"TTTY10" 1.4682066175903 2.34120531922401 18.6094776349638 2.06911130542816e-43 1.53239861216656e-40 88.1956314234684
"PER2" -1.07145616448704 7.09437426315856 -18.5427945141972 3.14663086941617e-43 2.25005808065804e-40 87.7792234670511
"PRKY" 1.47731293310608 4.35259712572368 18.4410794136088 5.96992564487577e-43 4.12661160325962e-40 87.1430867757629
"CD24" 1.72584504023531 4.69887786878948 18.2144004239557 2.49787326256652e-42 1.67091605954329e-39 85.7212461271764
"OTUD3" -0.844106804548406 6.59327969012451 -17.9129928245274 1.68983934472736e-41 1.09506870286285e-38 83.8219188529367
"LOC100240735" 1.75442769039629 3.5052994495109 17.902426933469 1.8072877973009e-41 1.13568869856451e-38 83.7551593227643
"NLRP2" -2.85704433145374 3.09405084471374 -17.8345034961331 2.78449887365137e-41 1.69829862185025e-38 83.3257069919701
"CD99" 1.51139983022217 8.30633526723882 17.7112070429262 6.1099527140599e-41 3.62005969804172e-38 82.544902474055
"NOL6" 0.995440142044802 6.01813396769019 17.5596053257125 1.60922557009729e-40 9.26958629086321e-38 81.58266338877
"ARSF" 1.44695239765211 2.88590720603782 17.4947369267617 2.43718999498441e-40 1.36594618718897e-37 81.1702069707771
"GSTM5" 2.8780237706157 6.8123914946735 16.243088204502 7.93758721063351e-37 4.33162489439229e-34 73.131815547698
"KRTAP10-10" 1.55431137216332 10.0488688087807 16.1979389477015 1.06547099482626e-36 5.66530051787492e-34 72.8392122338496
"TRIP6" 1.44202581093327 6.47356602804641 16.0720037919749 2.42408260439322e-36 1.25670502418256e-33 72.0221633509754
"PHF12" 0.687533314614946 4.70827982911308 15.8770907276719 8.67320729487344e-36 4.38673901643391e-33 70.7550882971354
"AEBP1" 1.82469815543044 4.39882879828961 15.7782420661869 1.65743970086866e-35 8.18341120878891e-33 70.1113755070668
"PRODH" 2.19387956701977 4.49976002968605 15.6318541622213 4.33053869461902e-35 2.08842746303057e-32 69.1567433240522
"LSM6" -0.669514152498552 7.69976836988175 -15.5243298077141 8.77687165945353e-35 4.13649971822927e-32 68.4545650503722
"SEPT12" 1.17147079638571 3.28770246079666 15.5053082966132 9.94604279216574e-35 4.58335754180313e-32 68.330262232601
"APOC4" 1.10155120949922 4.03834908823573 15.4025970423216 1.95478929902956e-34 8.81227515086433e-32 67.6586304145297
"LOC728470" -1.52485637723773 2.62271158396615 -15.3349343604402 3.0519905409481e-34 1.32257202210687e-31 67.2157950614697
"FAM182B" 1.0128523468087 6.88377231467036 15.3344688978831 3.06136167532092e-34 1.32257202210687e-31 67.2127476806054
"CFHR4" -1.6951660957662 2.51346630493556 -15.319984083496 3.36784114949005e-34 1.4252841207546e-31 67.117908612277
"LXN" -1.40048570030868 5.77690637748652 -15.3127236591409 3.53283911545615e-34 1.46520969474428e-31 67.0703659727074
"HCRTR2" -1.12082769934777 2.10653650456582 -15.2702157035968 4.67487515400646e-34 1.90084090330651e-31 66.7919474626731
"HDHD1A" -0.754960740861976 5.82477083725077 -15.1840477108235 8.25112213077941e-34 3.29045230049947e-31 66.2272122346639
"GLI3" 1.45570666698113 4.23474347231478 15.1451506824527 1.06650083671037e-33 4.17283544355903e-31 65.9721341503373
"PYGM" 2.2972090373744 6.6387924708383 15.0589808204063 1.88364340298333e-33 7.23353949030839e-31 65.4067249936227
"CNTNAP3" 0.897312982412546 5.56349141055086 15.0392058834898 2.14643634628643e-33 8.0928455478076e-31 65.2769082476684
"ZNF177" 0.837944989957802 6.70546474287018 14.9410010010204 4.10714421913905e-33 1.5208901727194e-30 64.6318872337355
"A2LD1" 0.790997228362702 2.85502906427305 14.8090708861945 9.82912452352873e-33 3.5759044779722e-30 63.7645106497385
"PTPRZ1" 1.68470775134132 7.13420614189028 14.7934664282624 1.089849146048e-32 3.89658650717197e-30 63.661857287572
"PPAP2B" 2.73978775242571 7.925848242782 14.7650632278826 1.3152835438015e-32 4.62288726234097e-30 63.4749753633743
"FADS1" 1.16411508193767 9.63221238513455 14.7408665223533 1.54381065400784e-32 5.33566692202677e-30 63.3157378174948
"AQP5" 1.06505937657103 5.49477199671911 14.7338344386614 1.61739607688242e-32 5.49835122070666e-30 63.2694543716666
"NR0B1" 1.42198742206751 4.04495234136283 14.6855918684947 2.22627251543427e-32 7.4461634117033e-30 62.9518667502292
"TST" 1.55389161641777 9.93817135205035 14.6351518833208 3.10967372100937e-32 1.02357625321542e-29 62.6196907421137
"BTBD17" 2.08034006322259 5.08167546402558 14.5677580706928 4.8609164327411e-32 1.57501287602738e-29 62.1756746747306
"LOC283788" -1.02720392571123 9.27517459364854 -14.521920952017 6.58749579115625e-32 2.10161384955703e-29 61.8735623804955
