"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -5.18892791320056 4.75453958079522 -30.6437780749359 1.20136525552714e-61 4.05833196969624e-57 112.380077891743
"TTTY15" 2.73867402874566 5.10662579931534 25.0970455359067 6.35775801815475e-52 1.07385711805643e-47 95.8564189471464
"NLGN4Y" 1.91733420118434 5.60943655226211 23.9595016594947 9.46255584848417e-50 1.06551533039215e-45 91.9686504090834
"KDM5D" 1.79168569098588 4.91839809672812 22.997808392375 7.31664967239932e-48 6.17909356458303e-44 88.5366248134743
"DDX3Y" 1.26258735964532 4.71034755180588 22.2715035301579 2.1013056509406e-46 1.41968412388849e-42 85.8538110186319
"NCRNA00185" 1.42817298696637 4.71759240297677 21.7563066246129 2.36510019072713e-45 1.33159082571589e-41 83.9024256503549
"RPS4Y1" 1.41053312189785 4.06559345429989 21.6287858444337 4.32794456582176e-45 2.08860421968607e-41 83.4131538689882
"TTTY14" 0.965849251060394 5.63596493620189 21.4365827687916 1.08015417681084e-44 4.56108603085586e-41 82.6709794565869
"UTY" 1.28362979997096 4.90404569836359 21.3096101803346 1.98144473281e-44 7.43724272433941e-41 82.1775574073943
"USP9Y" 1.37167185557495 3.76361850083196 20.8932666637532 1.46936598259679e-43 4.96366522581022e-40 80.5420719738253
"TXLNGY" 1.14807880267846 3.78125089087535 19.6830903634444 5.62571979809941e-41 1.72765854999633e-37 75.6339769389472
"RPS4Y2" 0.559165347815017 3.64052244684834 17.7114199702017 1.35050141014644e-36 3.80177401134642e-33 67.140435537317
"AGKP1" 1.2032468651833 4.6350592396854 16.8933782419972 1.02180943198766e-34 2.6552111093827e-31 63.4364020032052
"EIF1AY" 0.90690955285138 2.94602564515914 16.2748183393492 2.83866066639112e-33 6.84948542652559e-30 60.5670799304472
"HSFY1" 0.445154783500819 2.95428029751854 15.258612916423 7.34253053197954e-31 1.65358682600534e-27 55.7295912370145
"LOC102723889" 1.58923499057305 6.03791285972805 15.2238945997521 8.89467886607777e-31 1.87794466734358e-27 55.5616977118409
"RNU1-48P" 1.16197279720371 3.17874439243684 13.8898263066484 1.54153416148438e-27 3.06320973582964e-24 48.9882865360898
"KALP" 0.698501157633797 4.49355263424649 13.5780420714922 9.00908283556514e-27 1.69075459593459e-23 47.4201031287032
"TTTY10" 0.672461017396157 4.20741637962852 13.4988929554811 1.41200125940561e-26 2.51046392336742e-23 47.0202539304647
"PCDH11Y" 1.31801477530252 6.34095378917814 12.414511786788 6.93747157742089e-24 1.17177363678428e-20 41.4782759220364
"GYG2P1" 0.434798543419891 6.59316677618323 11.8893732677334 1.42374380954318e-22 2.29026141096086e-19 38.7585017071158
"TTTY3B" 0.818681250153577 4.32512017993411 11.4294781473954 2.0188974310855e-21 3.10001700543178e-18 36.3626557134826
"ZFY" 0.433952561881573 4.22292368559138 11.2364997592807 6.14678135260902e-21 9.02801829880371e-18 35.3544185082552
"TSIX" -0.234209090117097 2.899186294944 -9.81413948447586 2.19548645275256e-17 3.09023866085142e-14 27.9077115125931
"TMSB4Y" 0.370153108592825 5.40178823175707 9.683626045229 4.6259969204392e-17 6.25083207877427e-14 27.2262605796965
"PRKY" 0.410652003355314 4.08296632914037 9.49599790709272 1.34707458316566e-16 1.75021255745843e-13 26.2481970996456
"FAM224A" 0.351324437213352 4.6849974901064 8.6100064709581 1.98413834046824e-14 2.48245101034658e-11 21.6687315028932
"PLCXD1" 0.352401649284472 5.39291357158785 7.41998156916859 1.3088223460284e-11 1.54708289200746e-08 15.6937442594676
"CD24" 0.395482356231895 4.56920196567097 7.41722773405208 1.32812539203151e-11 1.54708289200746e-08 15.680252876256
"HDHD1" -0.283694494405253 4.8136735580376 -7.18354490945929 4.56530168984483e-11 5.14068187948827e-08 14.5423426811359
"LOC102724689" -0.835473766965433 6.21896799145983 -6.91441330757061 1.85527848516913e-10 2.02171491959672e-07 13.2499871231752
"LINC00278" 0.232203305362777 3.08720366320719 6.56848416865708 1.0869189517645e-09 1.14741278467364e-06 11.6206720386482
"GTPBP6" 0.264650183468268 6.55496268727065 6.55417014904279 1.16837148430672e-09 1.19602294276865e-06 11.5540846122361
"NLGN4X" 0.230028462245668 5.1454880949937 6.4879065831486 1.6309768023703e-09 1.6204713929668e-06 11.2467365700249
"ASMTL" 0.222865310294252 5.20289246169464 5.86388085603421 3.47236087425289e-08 3.3514235055182e-05 8.43113710055076
"JPX" -0.294844053594386 4.57233221813178 -5.70495329288618 7.37245450893058e-08 6.91802460461622e-05 7.73891571351359
"DAZ2" 0.245162131893906 3.74406222145039 5.66889974828623 8.73186182605169e-08 7.97218984718519e-05 7.58340248099864
"DAZ1" 0.14799700605892 3.26549074747404 5.17081832903743 8.49227626668435e-07 0.0007549410120128 5.49635049663888
"KDM5C" -0.140194791924892 5.19854913120392 -4.84171497063769 3.56262030021475e-06 0.00303179845925372 4.1850720135125
"ARSDP1" 0.187408108989683 5.74114613857911 4.8399246744437 3.58994518723983e-06 0.00303179845925372 4.17809651639371
"BRF1" 0.128830081295164 5.51176475953651 4.79496457681039 4.34678004436092e-06 0.00358142869947698 4.00349585685265
"THBS3" 0.198961632582355 5.03930609178799 4.74693185494934 5.3257957486287e-06 0.00428358824248633 3.81819693585121
"ZBED1" 0.163409124329471 5.96451904052058 4.69981245554212 6.49196157256646e-06 0.00502875880912831 3.63767355423299
"OFD1P10Y" 0.149737081540375 3.41757233024652 4.69768753457732 6.54999519261258e-06 0.00502875880912831 3.62956201839607
"TPT1P7" -0.362827270555795 3.17859739001777 -4.67932250961462 7.07292105621716e-06 0.00530956324889049 3.55956297295432
"FAP" -0.140654375983348 3.47476407211851 -4.57496033443892 1.09034507826545e-05 0.0080071624106272 3.16543825911802
"CDY4P" 0.174228274309485 2.97187617405147 4.50506614212791 1.45181895533402e-05 0.0104348715170507 2.90500865800308
"CPO" -0.164761801813108 3.93566864652561 -4.28998547661756 3.44059499141534e-05 0.0242139040427086 2.12185960935093
"HMGN1P26" 0.34704386301635 4.16510169760838 4.27777217538953 3.61032485824633e-05 0.0247996861724052 2.07823287946334
"DSP" -0.251438991251158 3.87845380201347 -4.27273042800513 3.68271066273945e-05 0.0247996861724052 2.06025030297557
"DNAJB1P1" 0.311202785245202 4.29102816207171 4.26853071416294 3.74406913588308e-05 0.0247996861724052 2.04528304776929
"HGF" -0.143137236755291 3.02279873406598 -4.23581250052416 4.25685762180416e-05 0.0276540206388781 1.92905429287983
"ASIC1" 0.13752672388553 5.56059275671435 4.21283143713555 4.656632705283e-05 0.0296803225315406 1.84781483418282
"LOC101930515" -0.437209615029822 8.38870799831156 -4.19891267655706 4.91601306331545e-05 0.0307533032021962 1.79877196485131
