"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 3.11093949916073 6.37522237137369 28.2107265443696 7.08992895366331e-58 1.23435663083278e-53 108.103832425768
"USP9Y" 3.24807637943214 5.75025113927623 27.9480676828703 2.05188954693852e-57 1.78616985060998e-53 107.294446867347
"RPS4Y1" 2.91832131947651 6.11169553457409 26.2224996673867 2.64589339763994e-54 1.53550013509704e-50 101.759469610159
"UTY" 2.3506370801818 5.52850913390949 25.3875153159794 9.51073021238067e-53 4.13954532493869e-49 98.9406272815194
"NLGN4Y" 2.38420951098582 6.19088006279209 22.9061759668958 6.4061727763813e-48 2.23062936073597e-44 89.9901811272168
"EIF1AY" 2.08828397409777 3.81899435103578 20.8552612224971 1.09904798828179e-43 3.18907091266434e-40 81.9088662718591
"TXLNGY" 1.36747396704781 4.02948637763243 19.2147926723055 3.91554109255554e-40 9.73851006019886e-37 74.9791559833258
"TTTY10" 1.15593792039475 4.19256965098796 18.270724289989 5.05461181717145e-38 1.10000989671194e-34 70.8006291963177
"ZFY" 0.99846219232488 5.16803901141968 17.2726830265811 9.71957906946484e-36 1.88019857332648e-32 66.2326062816807
"PCDH11X" 2.47080332275438 5.65003017771922 16.8997688738566 7.15399129729385e-35 1.24550988485886e-31 64.4866220256281
"TMSB4Y" 0.572764160079674 5.11023633077872 8.09875412350356 3.18312364603878e-13 5.03801660704864e-10 19.244963249058
"PRKY" 0.384920053763475 5.48496828287386 7.57713210445713 5.42916214040522e-12 7.87680940537124e-09 16.6092314195674
"ZFX" -0.494752631795265 6.66675619235837 -7.52620117778079 7.13627787683544e-12 9.55712291043885e-09 16.3550970067709
"KDM5C" -0.235884820298218 7.33344067671236 -7.44018335335538 1.13067021430142e-11 1.40606917364198e-08 15.9273135333327
"CD24" 0.65664398441566 4.44588003313207 7.2367502850901 3.33043112741018e-11 3.86552039521409e-08 14.923074460665
"HDHD1" -0.500841148025497 7.05693686013101 -7.11087814920336 6.45941480962811e-11 7.02865073972658e-08 14.3072697167701
