"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -5.61833143915907 4.38060041984015 -44.5181383535316 4.58672217357164e-15 8.8959476556422e-11 5.05145758862383
"DDX3Y" 2.26789115073823 4.50165705231648 20.5710282306695 5.81644353166029e-11 5.64049611482756e-07 4.51151141216873
"RPS4Y1" 4.70773637902439 7.72192961923396 16.0893266434011 1.10615338536305e-09 7.15128163637214e-06 4.1210982587241
"TXLNGY" 1.95874995852287 4.15275377362993 13.9893607318064 5.76346133245018e-09 2.79455831357178e-05 3.82267074084994
"TSIX" -1.83329515236155 3.41537781867983 -12.7686120757431 1.67070974004866e-08 6.48068308164876e-05 3.59325086756251
"KDM5D" 3.89410583492299 5.9643928607284 11.188681849295 7.61316944774148e-08 0.000246095702398243 3.20918168423368
"USP9Y" 1.86928416243697 4.21017862610799 8.19182965353239 2.35976623068909e-06 0.00653823800631643 2.05136690442435
"HILPDA" -1.83811034547492 5.19302543851374 -6.96182977475866 1.26815874651256e-05 0.0307449236107638 1.32129161808112
"TTTY14" 1.26806228318095 4.45389130741071 6.27916991297983 3.50372842557232e-05 0.0755053475710834 0.825508068263278
"NLGN4Y" 1.26895608631104 3.67079678886786 5.79750107668787 7.45671896829945e-05 0.144623064390168 0.43055140047495
"CNN3" -1.22257064360511 4.23613640969734 -5.63290656430728 9.72435791985514e-05 0.17145811077781 0.286424128092227
"ZFY" 0.531995934330338 2.72774326507289 5.5625139666662 0.000109063951962706 0.176274612359723 0.223316266947184
"CKS2" -2.54649632178598 4.60415268553925 -5.47368507626714 0.000126177137997642 0.188246583958789 0.142409914655438
"EIF1AY" 1.1763224587037 3.2611745110494 5.31987787009496 0.000162824018077802 0.225569416472784 -0.001063085680169
"ZNF541" 0.538797836999715 4.14982061733268 4.68606166787904 0.000481917683129069 0.61395151266346 -0.638318236615262
"CTTN" -0.469205362273698 5.67032565621852 -4.65775370111971 0.00050648229969659 0.61395151266346 -0.668515830640421
"ZNF227" -0.695606690502817 3.84163498071399 -4.47453702290433 0.000700452134789464 0.723339350494453 -0.867513824991758
"CHORDC1" -1.00066304933273 5.85132421974365 -4.32272972632472 0.000919198896841634 0.723339350494453 -1.03699657112533
"MNS1" -0.626090675570157 3.60418328746888 -4.17843352081376 0.00119310989637527 0.723339350494453 -1.20186340566706
"CRTAM" -0.425212738502426 2.87425771668047 -4.1659677378864 0.00122043111018403 0.723339350494453 -1.21627507803632
"HSPA1B" -1.55961719621315 6.51290383720822 -4.13607690268856 0.00128860694718951 0.723339350494453 -1.25093951149575
"ZNF677" -0.453808781106432 3.7929736449662 -4.05290958495385 0.00149975577878626 0.723339350494453 -1.34817907448877
"ADM" -1.49391208647873 6.63568994666038 -4.0527978444242 0.00150006229297532 0.723339350494453 -1.34831049528409
"TMEM234" 0.370156904801259 4.3857503419037 4.04971984982963 0.00150853093369856 0.723339350494453 -1.3519314091217
"LINC01597" 0.632223465251484 3.47416897903564 3.89144950710463 0.00201751947392815 0.723339350494453 -1.540181177948
"HCFC2" -0.421630201546571 5.63492230244001 -3.86424085037399 0.00212142215735566 0.723339350494453 -1.57294131786886
"SOAT1" -0.363000494436502 4.23100092283766 -3.86284470350764 0.00212689951633814 0.723339350494453 -1.574625388707
"C18orf25" -0.425893684341275 4.18338393997172 -3.84641003360775 0.00219247733878177 0.723339350494453 -1.59447165641009
"FDFT1" -0.714057509989391 7.48316952334877 -3.84409719695403 0.00220187112583174 0.723339350494453 -1.59726789544623
"GRM2" 0.537991054500729 4.57933300041917 3.83671090584119 0.0022321485257407 0.723339350494453 -1.60620339840997
"GADD45A" -1.45097172203062 6.66044669144613 -3.82103897899043 0.00229781172257037 0.723339350494453 -1.62518957607407
"HNRNPH3" -0.413603850551593 6.76053037609116 -3.81053155890865 0.00234294218776933 0.723339350494453 -1.63793965840156
"ATAD2" -0.530838092127292 4.05711402775163 -3.79646274802366 0.00240479539763198 0.723339350494453 -1.65503695556965
"PPIL4" -0.531657550739139 3.35189278628987 -3.71804969108017 0.00278150711005392 0.723339350494453 -1.75085825547189
"PLCXD1" 0.582828007305439 4.62972216941115 3.68186927938513 0.00297517431587623 0.723339350494453 -1.79536581265605
"MUS81" 0.495795762841773 6.12511589113343 3.68179626386013 0.00297557877770141 0.723339350494453 -1.79545581693956
"TRMT5" -0.72861541166353 4.021694134361 -3.66868643520095 0.00304911707045301 0.723339350494453 -1.81162782045055
"TMEM42" -0.47167171346946 6.57738345253748 -3.65825029380457 0.00310898233986926 0.723339350494453 -1.82451840542846
"ACTL6A" -0.513260703618934 3.15107602724264 -3.64982125784079 0.00315820908272836 0.723339350494453 -1.83494062171834
"TIPARP" -0.860816772013038 6.46715240630346 -3.63291831736447 0.00325933489049972 0.723339350494453 -1.85586931987692
"C9orf106" 0.35313264641022 3.63950149192249 3.63038030880153 0.00327480183893062 0.723339350494453 -1.85901509859346
