"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"NLGN4Y" -0.344156147619047 2.74517961538462 -4.12863692774286 0.00105441279869228 0.99843012706123 -2.67413621707247
"TAOK1" 0.38077655952381 3.67006438461538 3.65008037372848 0.00268426482485569 0.99843012706123 -2.9593595323902
"PMVK" 0.558236061904762 3.89890968461538 3.63068873733727 0.00278868076834261 0.99843012706123 -2.97148141895829
"SLCO3A1" 0.403880473809524 3.85837301538462 3.60765863615051 0.00291804062472228 0.99843012706123 -2.985932260721
"MRM3" 0.289446928571429 2.84479916153846 3.44844884138996 0.00399446496993822 0.99843012706123 -3.08740994250054
"POGZ" 0.249648151190476 4.72846978076923 3.43288210600579 0.00411916172251276 0.99843012706123 -3.09747558540541
"SFI1" 0.200716169642857 2.763162525 3.39456215893293 0.00444305123406322 0.99843012706123 -3.12235893407172
"MTR" 0.454772023809524 3.80308302307692 3.36525251503817 0.00470794366795015 0.99843012706123 -3.14149077103575
"NT5C" 0.219940054761905 3.42409772307692 3.31658049569056 0.00518327720882886 0.99843012706123 -3.17344723053136
"MAP2" -0.39681484047619 3.13723994615385 -3.30009032463042 0.00535499096540104 0.99843012706123 -3.1843256732663
"CLMN" 0.245827135714286 3.66659659230769 3.29391828428048 0.00542071520478477 0.99843012706123 -3.18840392007937
"ZNF611" 0.361816854761904 5.94431952307692 3.26760866065502 0.00571004978772258 0.99843012706123 -3.20582813870599
"FAAP100" 0.295400835714286 2.81841206153846 3.24313109860038 0.00599307930848245 0.99843012706123 -3.22209613694005
"NDUFB7" 0.403468166666667 5.34353087692308 3.2142933534861 0.00634454717099022 0.99843012706123 -3.24133109632432
"COL16A1" 0.726734595238095 6.36915833846154 3.18365666447336 0.00674048429448303 0.99843012706123 -3.26184598037344
"KYAT3" 0.416318683333333 5.60906658461538 3.18179337581115 0.0067653439244129 0.99843012706123 -3.26309628349751
"PRR11" 0.433188819047618 5.96152811538462 3.16107519451603 0.00704798986231608 0.99843012706123 -3.27701842924104
"SH2B2" 0.538250966666666 3.30372092307692 3.15609905961173 0.00711760866692025 0.99843012706123 -3.28036765296386
"TK2" 0.241761448412698 3.2375063974359 3.14882372064729 0.00722062786482791 0.99843012706123 -3.28526807892936
"DNAJB2" 0.561752980952381 4.66377899230769 3.14082649720586 0.00733558091904287 0.99843012706123 -3.29065978636914
"ASIC3" 0.310881888095238 3.20052807692308 3.13582121903706 0.00740845145358276 0.99843012706123 -3.29403700122955
"ZNF160" 0.629197319047618 8.51236307692308 3.13155048835221 0.00747119660518665 0.99843012706123 -3.29692020942461
"OFD1" 0.631846554761905 4.97422631538462 3.11574696281167 0.00770800804471942 0.99843012706123 -3.30760212958172
"TMEM87A" 0.472507160714286 4.38932399230769 3.09544140943695 0.00802325515170576 0.99843012706123 -3.32135625971599
"RBM6" 0.429769085714286 5.14989497692308 3.09233616413051 0.00807258000929606 0.99843012706123 -3.32346247564956
"SLC27A5" 0.258819273809524 2.74715899230769 3.0891893456753 0.00812287220713642 0.99843012706123 -3.32559765401121
"TMEM165" 0.576511469047619 5.06008203076923 3.08131677811277 0.00825005669494938 0.99843012706123 -3.33094269803088
"NT5C2" 0.395695007142857 5.43267770769231 3.03486033720943 0.00904179426895738 0.99843012706123 -3.3625793726475
"ZNF557" -0.254767754761905 2.25393135384615 -3.02920429962432 0.00914318640912721 0.99843012706123 -3.36644196500754
"AKR1D1" -0.273425597619047 2.44870398461538 -3.027257261892 0.00917834937846991 0.99843012706123 -3.36777215826169
"DLG2" -0.385760085714285 3.06329666923077 -3.02393525749992 0.00923865303049529 0.99843012706123 -3.37004233868462
"FSTL3" 0.231002964285714 2.47734633846154 3.01483779010541 0.00940581116547897 0.99843012706123 -3.37626335113007
"MAPK8IP1" -0.362465473809524 2.7507171 -3.01185208420008 0.00946132017146674 0.99843012706123 -3.37830630364763
"VPS37B" 0.33806025 3.55139840769231 2.98315014637624 0.0100117266058017 0.99843012706123 -3.39797691641343
