"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.38123304166667 6.15574290322581 37.7590132104748 7.44991309389873e-28 1.28749398088758e-23 30.1582998482211
"USP9Y" 4.06911308333333 5.89785806451613 31.8485453606118 1.40977270961437e-25 1.21818459837778e-21 29.0487962633198
"NLGN4Y" 3.526824875 6.39438870967742 27.5993381431019 1.11491991770955e-23 6.42268200595212e-20 27.8818218575335
"UTY" 3.44691941666667 5.58874451612903 25.2969477697571 1.55578774383172e-22 6.72178094722493e-19 27.0573725714147
"PCDH11Y" 6.452714 6.82540903225806 23.3296278851108 1.769114957502e-21 6.11476893910991e-18 26.2098516782255
"EIF1AY" 3.357837 5.33613516129032 21.7229982182289 1.48186217906279e-20 4.26825702976051e-17 25.3970289316194
"RPS4Y1" 5.28275816666667 6.70527419354839 18.1810100272928 2.73108049002421e-18 6.74264757551406e-15 23.1042355456773
"ZFY" 1.54773370833333 4.53698096774194 13.4410004915232 1.30328207712265e-14 2.8154151071042e-11 18.4550749460154
"TTTY14" 0.808545125 6.21072161290323 7.76246493239575 8.18215216087811e-09 1.57115504049217e-05 9.00271790082934
"KDM5C" -0.682013333333334 8.4693464516129 -6.78989272028689 1.20404550778804e-07 0.000208083144655929 6.84842958144695
"TTTY10" 0.792561666666666 4.26111741935484 6.0917517577718 8.76857425490072e-07 0.00137762272975631 5.21847335239645
"JPX" -0.894396166666667 5.89539483870968 -5.7632422913866 2.25673719185332e-06 0.0032500776791341 4.43246602260784
"ZFX" -1.008500625 7.6002935483871 -5.1703359414259 1.25336560844213e-05 0.0166620495731515 2.99335759958895
"PRKY" 1.042548625 5.28111161290323 5.10584221244159 1.51044421578282e-05 0.0186453549551134 2.83585264935366
"TMSB4Y" 0.585455583333333 4.58892129032258 4.69871252635286 4.88995744436306e-05 0.0563388297023216 1.84089770117551
"DDX3X" -0.528747583333333 8.93344935483871 -3.64702899354059 0.000945603757172595 0.999636551214586 -0.679656731056457
"HDHD1" -0.639761291666667 8.43448129032258 -3.56707884039452 0.00117534412885692 0.999636551214586 -0.864456794902796
"GALNT11" -0.321251041666667 8.57381967741935 -3.37054684359923 0.00199279364477539 0.999636551214586 -1.31226479812631
"PPM1B" -0.426105541666667 8.69538322580645 -3.25688925627053 0.00269156707404937 0.999636551214586 -1.56653892357899
"HERC2" -0.301997208333333 7.68801580645161 -3.12275828136569 0.00381866458566846 0.999636551214586 -1.86162168365115
"NT5C" 0.278636125 5.28282419354839 2.96153803319454 0.00576945465752867 0.999636551214586 -2.20837408714304
"GDF2" 0.301579 4.58866967741935 2.89442623604605 0.00683246617095916 0.999636551214586 -2.34994208662827
"SGK196" -0.449676291666667 10.0498396774194 -2.872944417915 0.00720998348316647 0.999636551214586 -2.39489217072819
"FUT9" -0.386498416666667 9.85166161290323 -2.78475178314888 0.0089748866576045 0.999636551214586 -2.57750887030781
"TXLNG" -0.522838875000001 7.27919967741935 -2.7824257636104 0.0090264994573306 0.999636551214586 -2.58228238539351
"KDM6A" -0.743149583333333 8.24525225806452 -2.75044997977377 0.00976473932811837 0.999636551214586 -2.64767483416927
"DNAJC4" 0.507067708333333 6.73756903225806 2.73637829961456 0.0101071632313417 0.999636551214586 -2.6763156366161
"TBL1Y" 0.386152916666667 4.01965806451613 2.72845481056896 0.0103048721481024 0.999636551214586 -2.69240555879732
"SNRK" -0.320839416666668 9.42428612903226 -2.72593923649486 0.0103683916977323 0.999636551214586 -2.69750821140313
"C19orf60" 0.459316041666666 7.57397967741935 2.72132594966543 0.0104858289535796 0.999636551214586 -2.70685884911939
"ZNF44" 0.208083083333333 4.91341838709677 2.71749238249199 0.0105843592148617 0.999636551214586 -2.71462210492693
"CIDEA" 0.269585333333333 4.76439548387097 2.65859822768673 0.0122105717937582 0.999636551214586 -2.8330808056137
"NOX5" 0.264174333333333 4.90225870967742 2.6532194200416 0.0123701180737494 0.999636551214586 -2.84382318081517
"BAG5" -0.533617750000001 6.32996838709677 -2.60434817885488 0.0139109020790528 0.999636551214586 -2.94082781453298
"REPIN1" 0.343118708333334 7.17793419354839 2.59739456378178 0.0141440299983106 0.999636551214586 -2.95454127342744
"KCNV2" 0.322387416666667 4.65831483870968 2.58957477049701 0.0144105089223291 0.999636551214586 -2.96993620936395
"MTUS2" -0.5495375 6.81499774193548 -2.58900420115364 0.0144301329495825 0.999636551214586 -2.9710583858033
