"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y2" 8.01377753221751 8.06117966438661 108.895118501931 1.00863512656942e-203 2.091606661967e-199 438.669243373868
"DDX3Y" 5.12049919905594 7.5449009975679 104.774987517624 7.52502750618549e-200 7.80232476978843e-196 431.112848977209
"TTTY15" 5.14322545021267 5.92941473997375 101.279547929767 1.89790083479799e-196 1.31189232037353e-192 424.403704134216
"XIST" -6.71698365092056 3.33791767631875 -83.4134587347935 4.21889556828251e-177 2.18718093498686e-173 385.118297574093
"TTTY14" 3.58611769139517 6.02332628492186 80.3862666256484 1.92809198456707e-173 7.99656869679347e-170 377.496989661694
"NLGN4Y" 3.45385696968178 6.87320702140253 64.9632414659819 1.47546170529452e-152 5.09944156378207e-149 333.091568837439
"RPS4Y1" 4.76644732456926 9.08563723357565 59.9080568479201 9.94568209270589e-145 2.94633727937775e-141 316.108203187572
"USP9Y" 3.71277872244628 4.43273025143259 58.4136944442899 2.6510405149743e-142 6.87182839487776e-139 310.814667481358
"TMSB4Y" 3.46158449432783 4.1378089194803 46.8920605329541 1.40774117593256e-121 3.24359208503483e-118 265.086754645575
"CYorf15B" 2.83587403463643 4.94401006576358 41.2601837728429 6.89397391026044e-110 1.42960336977071e-106 238.972410206273
"KDM5D" 2.82812665854096 6.81633566346902 37.2919367552781 6.72145451358152e-101 1.267116384074e-97 218.770638533405
"UTY" 2.6650712357257 3.68101217584015 30.1076778578313 8.89607209682925e-83 1.53731539226623e-79 177.795727109361
"EIF1AY" 1.96700523950852 6.88472414414314 28.7153903881153 5.82161354367984e-79 9.28636923502222e-76 169.133750386793
"LOC100132317" -2.07272717308708 5.0236586615714 -24.5322279778505 7.27725662238143e-67 1.07791764698803e-63 141.613765205013
"HSFY1" 2.87519029461996 3.65930141069502 24.3627202727789 2.35625915046121e-66 3.25744973354094e-63 140.451221512559
"C12orf28" -1.5216528960371 2.36702494306665 -23.104228243173 1.61619885002838e-62 2.09469472206491e-59 131.707004854131
"KRTAP19-8" 1.82039326689251 3.71097489385944 22.222364727876 8.8305895132243e-60 1.07717608668078e-56 125.463473423864
"GYG2" 1.47693934068331 3.56777944696294 21.308955082825 6.6460552153005e-57 7.65662483331592e-54 118.899685964011
"HPR" 2.21216280222922 6.19647287416907 20.8821540911628 1.51513547397342e-55 1.65365075388352e-52 115.80026114235
"AC034199.2" 2.07065915167764 4.83312953826438 20.3901401258558 5.70474413100407e-54 5.91496395223157e-51 112.202752070525
"BCORP1" 2.16668771108714 3.69398397067883 20.369368828372 6.65272987623041e-54 6.56941235444714e-51 112.050314418627
"PER2" -1.02573093715068 7.0685393554071 -18.8889721920357 4.24411226090931e-49 4.00046163429438e-46 101.076725654979
"ZFY" 1.49043037529547 4.71554343058058 18.6125381794595 3.4226299427586e-48 3.08587291839066e-45 99.0056103233202
"NLRP2" -3.1404096386844 2.7979395212492 -17.9060031971519 7.29577681453993e-46 6.3038551584631e-43 93.6848338980846
"ARSF" 1.4727250156796 3.16645000952394 17.8098587787112 1.51756707966873e-45 1.25879154124362e-42 92.9580042214025
"ZNF718" 1.39688050753083 5.9786778877194 17.7109323696775 3.2262812961459e-45 2.57320750916068e-42 92.2095009199899
"C16orf75" 1.43510147287781 5.42900545861286 17.654526070462 4.96123827763154e-45 3.81041474678686e-42 91.7824315241878
"LOC283788" -1.21539744738303 9.08888289770792 -16.8652209380723 2.0848636140568e-42 1.54406488445342e-39 85.7868799160116
"ANKRD65" 1.55010562877172 7.51510401414848 16.8402872388082 2.52451482066093e-42 1.80520220124295e-39 85.5969562249772
"OTUD3" -0.956368560097297 6.57554977567598 -16.806903251105 3.26182533727411e-42 2.25468240063511e-39 85.3426211929493
"LXN" -1.56123974482401 5.53718746742247 -16.4499287999521 5.06596313428255e-41 3.38880250050378e-38 82.6200921940521
"PYGM" 2.30138725176674 6.90467676144561 16.4269290904801 6.04620637118341e-41 3.91813067247595e-38 82.444512361556
"TST" 1.44292386542297 10.150835252891 16.2271442045427 2.81256197991338e-40 1.76739690234739e-37 80.9186082364223
"LOC642373" 1.39102949315449 4.44668778102908 15.7948648700127 7.85721904370673e-39 4.79221033262784e-36 77.6132141468079
"GLI3" 1.63025709830422 4.39865523666353 15.7742872351722 9.20774644544709e-39 5.45545822969246e-36 77.455769324496
"CD24" 1.45541857265238 4.85004872368406 15.6603075846656 2.21695988702413e-38 1.27703047714498e-35 76.5835607843536
"SEPT12" 1.03807501534013 3.24843420941015 15.483318576112 8.67881964056938e-38 4.86412656449965e-35 75.2288615130679
"LOC100240735" 1.51303901155989 3.83629677821367 15.0794003945054 1.95609647689689e-36 1.06746243793186e-33 72.1366062569632
"CAMLG" -0.926387890514854 8.07895708913374 -14.9354623602986 5.93573212681631e-36 3.15613531060999e-33 71.0347789969484
"CLDN10" 2.8537925397701 8.16063981089101 14.8474514769893 1.17004597049681e-35 6.06581082254808e-33 70.3611704004751
"PLXDC1" -1.00118231140802 7.22450824212555 -14.7751105166483 2.04373233219626e-35 1.03367993592083e-32 69.8075744088181
"XRCC6BP1" -0.883725811852241 6.18799372169777 -14.6442651282364 5.60328359761396e-35 2.76655457056478e-32 68.8064975663044
"EFEMP1" 2.38256193847321 8.5095450313604 14.5993381720838 7.92149456023021e-35 3.82018680687195e-32 68.462849036829
"FGFR3" 2.53064459813055 7.79867046356679 14.5570066470475 1.09765902934161e-34 5.17321711169475e-32 68.139095693011
"RPL7L1" -0.647107655216039 7.69594678821356 -14.5402537781349 1.24889258868688e-34 5.75517458035553e-32 68.0109810898936
"TIAM2" -0.982406979145014 9.30767287157001 -14.3934132831891 3.87026612472719e-34 1.74473279627104e-31 66.8883688093077
"COX7A2L" -0.647725017078944 9.84339979228946 -14.3455016063381 5.59704528295122e-34 2.46948783047999e-31 66.5222173702396
"GSTM5" 2.67595984395417 7.07438886984049 14.295709888582 8.21164780566775e-34 3.54760292804442e-31 66.1417783861422
"BTBD10" -0.949674278856926 8.93156504291614 -14.1917242292176 1.82798495724061e-33 7.73610695067315e-31 65.347549591575
"HEPH" 1.67619307499898 6.08289250685919 14.1799986421902 2.00055875103182e-33 8.29711736402937e-31 65.2580167744909
"TTTY10" 1.32410290700059 2.40522458121969 14.1531822698391 2.45891907149302e-33 9.99815780108838e-31 65.0532761223526
"NOL6" 0.925075852989181 6.09538977979549 14.1291673046805 2.95779008985791e-33 1.17953255948814e-30 64.8699487671085
"PPAP2B" 2.39659960492843 8.35162867463173 14.0375054712164 5.9851290928285e-33 2.34176645279216e-30 64.1704391329939
"LOC728470" -1.44060521893049 2.60088971746555 -13.9617933783581 1.07101425437946e-32 4.11289307279018e-30 63.5929352664979
"PRKY" 1.25470282258582 4.40256187116601 13.9085691566676 1.61207233800117e-32 6.07809892238731e-30 63.187126418977
"CD163" -1.65767745233124 2.64528097112246 -13.8772006345806 2.05126313549001e-32 7.59590065011722e-30 62.9480238132703
"KRTAP10-10" 1.36429118099639 10.1613464565876 13.7450119531436 5.65878528936102e-32 2.0587057990435e-29 61.9410129844284
"BBOX1" 2.02029001647128 5.88636445760587 13.7338095681295 6.16668429934049e-32 2.20480228130041e-29 61.8557186139862
