"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"KDM5D" 1.44280221041304 0.788150517372093 17.7718614618943 3.02718684868998e-21 5.87122889303423e-17 28.9635311629811
"RPS4Y1" 1.22342034334783 0.664396986511628 16.4816677227703 4.96137918800956e-20 3.68066963737463e-16 27.3987261551681
"TXLNGY" 1.68895355537522 1.21796497036744 16.4200545987768 5.69322449709919e-20 3.68066963737463e-16 27.319364005986
"XIST" -89.1876395941677 45.9493578393156 -16.120893833601 1.11650770328246e-19 5.41366672629084e-16 26.9277013645015
"EIF1AY" 1.18333614809565 0.799524927604651 14.2094252464926 1.03276012637428e-17 4.00607653020584e-14 24.1598885220326
"USP9Y" 2.30931133366377 1.48855135106977 12.7383744431258 4.47327653573606e-16 1.44598664017668e-12 21.6827424982536
"NLGN4Y" 1.0497230051837 1.08795331438372 12.3166044329069 1.38381677784566e-15 3.83416091518807e-12 20.9111804729813
"TTTY14" 1.52908902381522 1.47566988744186 11.3990027608582 1.7458558330132e-14 4.1211199744994e-11 19.1323912289761
"DDX3Y" 1.54639119001793 1.20420911859302 11.3667440288407 1.91235265638023e-14 4.1211199744994e-11 19.0672995524055
"ZFY" 1.19832898921739 1.31707920465116 8.94024142419638 2.65157007984177e-11 5.14272016985312e-08 13.6578660234616
"UTY" 0.663873653101449 1.05611502379845 7.77494724386867 1.09708234802889e-09 1.93435564909276e-06 10.709788599555
"ZBED1" 0.392742084336956 1.00644785918605 6.79779518230657 2.72375753495779e-08 4.40227311587553e-05 8.09210057476338
"TTTY10" 0.301643176347826 0.61355810255814 6.2594973762754 1.62899045876852e-07 0.000243032845752427 6.60937680908244
"RPS4X" -0.231199316923913 0.948654403837209 -5.85101778418462 6.33578898532521e-07 0.00087773305264559 5.47327880026159
"ZFX" -0.294851554385869 1.06816456709302 -5.50057681499944 2.02349290446843e-06 0.00261637632547768 4.49615704106878
"TSIX" -6.45804034369565 4.39685011604651 -5.29594967664106 3.97230960160815e-06 0.00481518404519938 3.92646564610552
"PLCXD1" 0.533540071869565 1.23174251290698 5.16229464777529 6.15927996787993e-06 0.00702701382217831 3.55531579901692
"PUDP" -0.376864958021739 1.11467276046512 -5.12404430391497 6.98071946273527e-06 0.00752172522109725 3.44928792323431
"KDM5C" -0.19039865848913 1.08301600383721 -4.89967411520673 1.44985478834165e-05 0.014799965063098 2.82957145480961
"JPX" -0.51163626011413 1.10991438180233 -4.64344529812801 3.31195008583501e-05 0.032117635957385 2.12801939002704
"ZRSR2" -0.302949859978261 1.10554187313953 -4.52710154342278 4.80190235088669e-05 0.0443489981406892 1.81228458395429
"RPS4XP2" -0.283963688826087 0.854341086511628 -4.43831255774923 6.36483832130887e-05 0.0561118360189935 1.57273209827469
"ASMTL" 0.370840545043478 0.976582225271317 4.36000246542046 8.14972185584799e-05 0.0687234153887703 1.36256244104021
"GTF2H2C" -0.632175758695652 1.26866692790698 -4.21558444659467 0.000128114697420175 0.103532689852679 0.977986894933408
"CCNL2" -0.268551906507247 1.14019099465116 -3.99077992979992 0.000256474013903575 0.198972539986393 0.388226109457131
"RPS17" -0.171276683202898 0.915148742713178 -3.79430592966952 0.000465149353477995 0.346983527334835 -0.116913830584145
"MT1X" -0.64871538026087 0.920172365581395 -3.77824694450651 0.000488095303870456 0.350615126613611 -0.157729588448541
"TRIB2" 0.211128237239131 1.04452835496124 3.74671254412969 0.000536373811590836 0.371534645564438 -0.237658172690871
"KLHL21" -0.285941823173913 1.11530197465116 -3.70827732990366 0.000601464119587911 0.402255055151984 -0.334676461805623
"PNPLA4" -0.237250637380435 0.905085674534884 -3.67418894221023 0.000665507695891816 0.422657313540639 -0.42034482866331
"LDB1" 0.292833476586956 1.04488158406977 3.65177630914056 0.000711139758406924 0.422657313540639 -0.476473068651249
"PRKY" 0.169943031282609 0.957047504418605 3.64931378430389 0.000716333188144879 0.422657313540639 -0.482630324635619
"SLC25A6" 0.219771698358696 1.02635476302326 3.64799074353692 0.000719138507184383 0.422657313540639 -0.485937638070188
"VAMP2" 0.242811128768116 0.941949501705426 3.62560973846096 0.000768225956196275 0.438227718247846 -0.541800522669783
"C19orf18" -0.236227963478261 0.989737587906977 -3.58291831999858 0.000870932480063666 0.478920818082504 -0.647908017972534
"ILDR2" 0.173776354836957 0.865159564534884 3.5286202947199 0.0010207051967557 0.478920818082504 -0.781988327426165
