"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"USP9Y" 3.9365844224334 5.90688756687898 67.9057439783013 1.16332366974238e-118 2.13644391948188e-114 228.227182576194
"DDX3Y" 3.61430767126149 6.03126148316651 64.8052954975343 1.43316884660273e-115 1.31600729339295e-111 223.676504308262
"RPS4Y1" 5.60309755766732 6.3708123566879 56.1462901343327 3.73748918617345e-106 2.28796629680252e-102 208.919559518707
"NLGN4Y" 3.60542376949318 6.31673197452229 53.263418550458 1.00662276083806e-102 4.62165675069773e-99 203.227769808743
"UTY" 2.59706500622699 5.49215289278132 48.3511931957418 1.77504659230851e-96 6.51974613354917e-93 192.462989355408
"EIF1AY" 2.58264277263375 5.02163497876858 36.3830531859069 1.3108030810795e-78 4.01214976400418e-75 159.185032240377
"ZFY" 1.29833806259476 4.63210574309979 31.3376361829586 1.27074663904044e-69 3.33389457513968e-66 141.307276343424
"PCDH11Y" 2.19850454082738 5.72940259023355 20.1121807984573 2.20287931598533e-45 5.05698482975882e-42 90.438785001291
"ANOS2P" 1.41256123862898 5.11296143312102 16.8014648266961 5.76607569451151e-37 1.17659977921893e-33 72.1369171369947
"TXLNGY" 0.958283259150964 4.58138121443737 14.3205336991979 2.48620563729425e-30 4.56591665289089e-27 57.5590936740972
"ZFX" -0.875957199480182 7.43568575978162 -13.2546386684259 2.01256627928693e-27 3.36007088355495e-24 51.1357766322075
"TTTY14" 0.663219265756985 6.24939665605096 12.1090970263962 2.78811857033362e-24 4.26698312868142e-21 44.1789685300744
"TTTY10" 0.78992771280052 4.36809829087049 11.5991332039952 6.96850005331921e-23 9.84434642147748e-20 41.0785475488468
"PRKY" 0.809589872030901 5.5398834324133 10.4952912101754 7.09774593648543e-20 9.31072172311106e-17 34.3988211257029
"KDM5C" -0.463522578297596 8.26619585350318 -9.94535505498916 2.15242609643551e-18 2.63528701740254e-15 31.1054053502955
"RNU6-941P" 1.08253949317739 5.13068815286624 9.03946027402662 5.42091181375836e-16 6.22219034122952e-13 25.767145130437
