"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.29842947115385 6.30514844827586 43.1687463487136 4.17943748448348e-46 7.22290386068435e-42 67.1475913296986
"USP9Y" 4.06254012019231 6.08364913793103 37.5297833230117 1.14684483263467e-42 9.90988619879621e-39 64.200997714707
"NLGN4Y" 3.6218809375 6.51123913793103 33.8967211195452 3.44572307630967e-40 1.98496620682612e-36 61.7574595872109
"PCDH11Y" 6.51218730769231 7.11638362068966 32.7499078320439 2.3424171076504e-39 1.01204131136036e-35 60.874484708064
"UTY" 3.06332596153846 5.5579524137931 31.1365296564827 3.85567168321911e-38 1.33267436058785e-34 59.5272750217795
"RPS4Y1" 5.16490637019231 6.83741120689655 26.3000976576268 3.95685414821399e-34 1.1397058898239e-30 54.605283015125
"EIF1AY" 3.22081076923077 5.39236827586207 23.859210919362 7.35901722542618e-32 1.81683622414022e-28 51.4988114294224
"ZFY" 1.48950487980769 4.56538310344828 19.9072140448229 9.42213382835264e-28 2.03541646026988e-24 45.313845053749
"TTTY14" 0.669127548076924 6.30202689655172 8.32439657755927 1.63396838514489e-11 3.13758240356377e-08 15.2843407117501
"TTTY10" 0.751731322115385 4.28203293103448 7.51469852214219 3.7822544836576e-10 6.53649219865706e-07 12.4863886402291
"ZFX" -1.0599296875 7.37342120689655 -6.77063127727477 6.81460920520154e-09 1.07063705712994e-05 9.89217812754672
"TMSB4Y" 0.53252295673077 4.584675 5.77878589068827 3.06265570714353e-07 0.000441073466090454 6.45855818850812
"PRKY" 0.9713603125 5.33199293103448 4.93818427842346 6.90538275841271e-06 0.00917990960237604 3.64174861939412
"KDM5C" -0.542454567307692 8.3971824137931 -4.88485852880278 8.37092036343045e-06 0.0103333032657718 3.46790456013325
"HDHD1" -0.589543677884615 8.43073413793103 -4.44359718603897 3.99232966796343e-05 0.0457372132612357 2.05893820534908
"DDX3X" -0.520104062499999 8.77044603448276 -4.42663386717887 4.23443705693653e-05 0.0457372132612357 2.00593472515619
"FUT9" -0.377867403846152 9.8109475862069 -3.91564478338265 0.000237881978180299 0.241828020406584 0.457056823980887
"BGN" 0.537707716346155 8.90758017241379 3.82379917468221 0.000320965458907701 0.30816250338016 0.189481864680532
"FRG1" -0.789893221153846 7.57134068965517 -3.63158600692076 0.000593819326892545 0.540125558281946 -0.358498098030055
"SOHLH2" -0.462309302884615 4.4133374137931 -3.58297425834841 0.000691986037236898 0.580899793483044 -0.494391216352344
"ERLIN2" -0.335309687499999 5.47761655172414 -3.57663549431929 0.000705872911881954 0.580899793483044 -0.512028234561075
"KRIT1" -0.357664687499999 7.82013775862069 -3.4416677269368 0.00107280449520393 0.808965876497345 -0.882911600333386
"SPATA20" 0.601209230769231 7.9798174137931 3.44050972028851 0.00107662395321369 0.808965876497345 -0.886054571173576
"TRIM23" -0.387034783653845 7.8187924137931 -3.41069183921956 0.00117953140348616 0.849360904793658 -0.966749579498319
"ATF3" 0.517904399038462 5.20878689655172 3.37935088003932 0.00129770660687552 0.869617816589311 -1.05107629612734
"FLJ44385" 0.254291610576924 4.25270689655172 3.36873472088567 0.00134021666489165 0.869617816589311 -1.07952546097227
"CHKB-CPT1B" 0.354305600961539 5.9890024137931 3.36423716522035 0.00135862059066725 0.869617816589311 -1.09156036413908
"NAF1" -0.469610576923076 7.5884025862069 -3.33329180118314 0.00149188027125599 0.89746112358158 -1.17408011245665
"ERRFI1" -0.383989951923077 8.12284155172414 -3.32373842080637 0.00153545441488012 0.89746112358158 -1.19945389267915
"ZNF687" -0.297913197115384 6.36919448275862 -3.30772649341629 0.00161119369545184 0.89746112358158 -1.24187342009173
"PPM1B" -0.417055504807692 8.53929310344828 -3.28892403856854 0.0017046334527518 0.89746112358158 -1.29151185771273
"SEC24D" -0.556718293269231 7.14729431034483 -3.28470930345417 0.00172626890465372 0.89746112358158 -1.30261285798726
"ZFP36L1" 0.978316394230769 8.82401 3.25778998791062 0.00187068093106023 0.89746112358158 -1.37328940736451
"FLJ16171" 0.501596153846155 6.34884655172414 3.25561586086817 0.00188282806606201 0.89746112358158 -1.37898051877539
"ORC2" -0.472561610576923 6.88531327586207 -3.21093323769419 0.0021495448544011 0.89746112358158 -1.49537483462878
"GRIA2" -0.283886778846153 11.0894689655172 -3.15741714379504 0.00251571721053644 0.89746112358158 -1.63333364867163
"MAP3K7" -0.420036274038461 8.50659931034483 -3.13513506051746 0.00268480144193163 0.89746112358158 -1.69030326974419
"DHX33" -0.307980360576922 6.48252672413793 -3.13021799686687 0.00272352159276185 0.89746112358158 -1.70283729031424
"KRTAP12-1" -0.272059927884615 4.6702925862069 -3.12548045214161 0.0027613225091064 0.89746112358158 -1.71490077468455
"GLCCI1" -0.431395408653846 9.6117825862069 -3.1245927967093 0.00276845957025448 0.89746112358158 -1.71715965020074
"MAPK14" -0.38561625 8.10817620689655 -3.072554560294 0.00321838377470373 0.89746112358158 -1.8488003733574
"ZNF12" -0.434738846153846 6.20434793103448 -3.06224104395113 0.00331530864162756 0.89746112358158 -1.87470593795484
"CDC7" -0.461890192307692 5.68446672413793 -3.04754594144479 0.00345812885868022 0.89746112358158 -1.91151087857638
"SLC35A5" -0.333858461538461 9.04384068965517 -3.03803445729852 0.00355360999004967 0.89746112358158 -1.935266207983
"POGLUT1" -0.418664110576923 5.73286982758621 -3.02935542968471 0.00364287531902138 0.89746112358158 -1.95689642564808
"UQCRFS1" 0.502457043269231 6.41581844827586 3.02046806371222 0.00373644731169266 0.89746112358158 -1.97900023232816
"KDM6A" -0.589337884615384 8.12680344827586 -3.0093813436865 0.00385631665795749 0.89746112358158 -2.00650912045379
"FTL" 0.751112091346154 6.16905051724138 2.9961965980637 0.00400353173271951 0.89746112358158 -2.03912954073964
"LRRC1" -0.692642451923076 5.45007051724138 -2.99592371786869 0.00400663315165996 0.89746112358158 -2.03980359074838
"PPP4R2" -0.429288990384615 8.33944551724138 -2.98864803863569 0.0040901544248852 0.89746112358158 -2.05775923226573
"NEK2" 0.324632764423077 5.28029965517241 2.96972485860531 0.00431503201437958 0.89746112358158 -2.10431267534883
"SETD7" -0.386814350961538 8.46837672413793 -2.95681724559627 0.00447496127409978 0.89746112358158 -2.13594467084496
"GOPC" -0.399266346153846 8.26543896551724 -2.9562541108975 0.00448206253991151 0.89746112358158 -2.13732244740513
"FRMPD2" 0.263090456730769 4.2326275862069 2.93586147211056 0.00474638501266888 0.89746112358158 -2.1870872842292
"TPRX1" -0.153400168269231 4.12826965517241 -2.93441622603374 0.00476565646731367 0.89746112358158 -2.19060467581321
"CBR4" -0.522261610576922 7.0421475862069 -2.92867054205725 0.00484299211805662 0.89746112358158 -2.20457586872667
"CHRNB1" 0.235203173076924 5.82973534482759 2.91802237647566 0.00498940121189112 0.89746112358158 -2.23041517944432
"LYZ" 0.445918653846154 4.33302293103448 2.91730651747511 0.00499938985606333 0.89746112358158 -2.23214985212326
"PLCL1" -0.43331189903846 7.68729982758621 -2.90139438413674 0.00522626147223221 0.89746112358158 -2.27062788165149
"PLCL2" -0.601497956730768 7.86913482758621 -2.90052339640687 0.00523895108687214 0.89746112358158 -2.272729620548
"ZNF132" -0.3187659375 5.48391913793103 -2.88255165171036 0.00550724096281203 0.89746112358158 -2.31599301318356
"TIMP1" 0.538901658653847 7.03845620689655 2.87024289327231 0.00569826953334744 0.89746112358158 -2.34550975669766
"CLDN15" 0.272229783653846 5.60750189655172 2.86986977908529 0.00570415475811612 0.89746112358158 -2.34640304118539
"PTMA" 0.322404158653846 4.52102931034483 2.86780259000157 0.00573686304746358 0.89746112358158 -2.35135061189353
