"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y2" 7.87606989140976 8.07166603112582 78.8746782752698 1.13399156899549e-192 2.35155831662595e-188 412.671693722112
"DDX3Y" 5.06413868383921 7.37898689816992 72.1899365328676 1.89354860632423e-182 1.96332587246728e-178 392.224341840523
"XIST" -6.58083346711584 3.66303520761418 -68.6325753353988 1.17619950289415e-176 8.13028303050536e-173 380.440250799254
"TTTY14" 3.51713526134703 5.88143983334663 52.7410607238601 4.61381711350204e-147 2.3919181370673e-143 318.411911125815
"TTTY15" 4.53651737492114 5.43039542165549 51.9728131766859 1.89306182083968e-145 7.8512845957505e-142 314.956350117738
"RPS4Y1" 4.92194357665966 9.07181300004271 45.2504715135679 1.86848214144033e-130 6.45778569450802e-127 282.540520572411
"NLGN4Y" 3.1883307596431 6.65178346547041 41.7697162043382 5.24923961362594e-122 1.55504974096802e-118 264.067840362412
"CYorf15B" 3.30796003406992 5.38370444844277 35.1228918132214 2.26704287636838e-104 5.87645851590639e-101 225.116285923954
"USP9Y" 3.1136731061683 4.01361100741582 35.0227028252774 4.34147676594156e-104 1.00032448550367e-100 224.489284904577
"TMSB4Y" 3.49712962936652 4.32339528564447 33.8289882580226 1.09443706860379e-100 2.26953414916368e-97 216.922740503438
"KDM5D" 3.040694530374 6.68784682060751 32.2890307878342 3.44256767924701e-96 6.48986599677684e-93 206.89549135447
"UTY" 2.85938138671544 3.90783884660011 25.9913673137491 1.81476200323853e-76 3.13605997176312e-73 162.668847680712
"KRTAP19-8" 2.51374678706324 4.29408817617176 22.8039605755269 1.11177128363054e-65 1.77344623912666e-62 138.334769121032
"BCORP1" 2.74144254188656 4.34240059905253 20.6145437601963 5.39742078968339e-58 7.99473677969032e-55 120.948894874496
"ZNF718" 1.88441618019768 5.94228877194281 20.3259416263921 5.74909261674855e-57 7.94792890623431e-54 118.622404922911
"EIF1AY" 2.28182884777094 6.89745042783842 20.3127525067204 6.40652674880411e-57 8.30325907437193e-54 118.515911538721
"KRTAP10-10" 1.80269335028963 10.9902135748871 19.9592504274218 1.17267639044365e-55 1.43045825344883e-52 115.656196740335
"AC034199.2" 2.47349359806801 5.55014114144659 18.5906097964923 9.83606622681049e-51 1.13316947414094e-47 104.496918044005
"NLRP2" -2.22903932689672 2.4736125032596 -18.0487899512969 9.00555165312604e-49 9.82884866478288e-46 100.047968403338
"HSFY1" 2.21805991305406 3.1293615355881 17.7799230040484 8.50913856773324e-48 8.82270032395421e-45 97.8353605759933
"LOC100132317" -2.03250154717165 5.13685376716091 -17.298626970901 4.76758194211142e-46 4.70787365397927e-43 93.8683198201106
"ARSF" 1.50703434545372 3.61071727175961 16.9743288186614 7.20455558698125e-45 6.79094860032865e-42 91.1919875631238
"NOL6" 1.65291552740688 6.551274204369 15.7940091756199 1.41578446698497e-40 1.27648358660293e-37 81.4453656294278
"PHF12" 0.972663714228238 5.15631655354236 15.2705954258499 1.12557440384144e-38 9.72543183852497e-36 77.1299697738233
"KLRK1" 2.39714664820775 3.97471622074164 14.985361535976 1.21595462180982e-37 1.00861003969881e-34 74.7827542389571
"SEPT12" 1.20317055896797 3.36991697066517 14.8623470558557 3.38907771583858e-37 2.7030501766671e-34 73.7717286185028
"GBP7" -2.26612587551291 2.20825099795381 -14.5686136712295 3.90288737125174e-36 2.99756205250546e-33 71.3612881037622
"LDHC" -1.98515553662718 5.1789954414963 -14.241616933674 5.88405856783546e-35 4.35777580432872e-32 68.6850506464999
"AC010982.1" 1.35624556351453 2.97762984092833 13.8915718453101 1.06307639993694e-33 7.37035229788354e-31 65.8302431651099
"SLC22A18AS" 1.96027059113287 6.85434149832116 13.8912093017901 1.06626112232486e-33 7.37035229788354e-31 65.8272924783456
"ZFY" 1.29384866494285 4.64159634567263 13.6890149825101 5.64219235284531e-33 3.77426267164365e-30 64.1837933725889
"HDGF" 0.871340286259487 7.22745732842889 13.5712776470425 1.48555010738242e-32 9.62682893024663e-30 63.2288436732074
"C12orf28" -1.01785702669643 2.40657757381038 -13.254473424878 1.99336961628594e-31 1.2526213858461e-28 60.6675340666653
"TTTY10" 1.26802900932913 2.33324434185235 12.7093649800329 1.68255482227872e-29 1.02620998087041e-26 56.2925250238123
"AMH" 1.43137211154807 3.22391449043493 12.5477987466809 6.2099564834536e-29 3.67931050278221e-26 55.0046547692826
"BTBD17" 1.40518849855229 6.07368031276908 12.3395461956076 3.32054029085376e-28 1.91272344476207e-25 53.3512706155231
"OR5L2" 1.30857956399807 5.06942516185182 12.0852727104756 2.54414147419697e-27 1.42588815541682e-24 51.3433500818308
"PDGFRA" 1.19829337243054 5.66450621780775 11.8283964163137 1.96465828211959e-26 1.07213470516616e-23 49.3279213329479
"ATP6V0A4" 1.34936237155177 4.10831368034761 11.7727047660848 3.05466011485694e-26 1.62421761030227e-23 48.8928001176078
"CD163" -1.5639988957654 3.58981847165577 -11.3151593402698 1.11748322004216e-24 5.79331238350355e-22 45.3445829764421
"CDO1" -1.03539912869132 7.77284081842685 -11.2835305398742 1.4305779631239e-24 7.23558420031715e-22 45.1011489276282
"AQP5" 0.993220073451533 6.86364806499624 11.0110171710837 1.18905523526104e-23 5.87081866990673e-21 43.0143006597773
"LOC100240735" 1.38459651318746 4.46607014710212 10.8610490899894 3.78184907767972e-23 1.82381870520568e-20 41.8742890667658
"LOC283788" -1.00219538581526 8.95949318530559 -10.7858916703772 6.73797510765172e-23 3.17557704107668e-20 41.3053083919522
"CRYBB2P1" 1.90691221231166 7.27181173543425 10.5067742344031 5.67421186742811e-22 2.61480292210793e-19 39.2065232469371
"PNPLA4" -0.834489781234937 7.376666315805 -10.4259319809474 1.04727122940776e-21 4.72114423570189e-19 38.6029937709059
"GPR17" 0.867062057586283 3.89308324033905 10.344947978469 1.93111812021848e-21 8.52033967212142e-19 38.000436004388
"PTPRZ1" 1.33536898865488 8.0817326681197 10.2815964563055 3.11228473895799e-21 1.34457184649525e-18 37.5305133545525
"LXN" -1.31463661364071 5.53152748559219 -10.2457354286068 4.07534067682486e-21 1.72470080847586e-18 37.2650757094363
"SOHLH2" -1.27721830032531 2.69014958075099 -10.1330065724927 9.48532279747049e-21 3.93394277702291e-18 36.4333960479888
"PRY" 1.0565589337781 2.43796178712682 10.0781305054304 1.4289004427602e-20 5.81002127088593e-18 36.0300545009656
"NEU4" 1.50015348819578 5.92703490212278 9.97676222689162 3.03789478601083e-20 1.21147738802897e-17 35.2876597722666
"KLF4" 1.16662842651815 3.79828129954209 9.95487259518272 3.57364805867062e-20 1.39824037344627e-17 35.1278061641476
"GYG2" 1.18842144843532 3.60924615692964 9.9263018993605 4.41645674861581e-20 1.69600117770456e-17 34.9194114277978
"CXCL12" 0.768970962003277 5.61123949699282 9.8874069555289 5.889417915969e-20 2.2205247149718e-17 34.6361673139037
"GLI3" 1.22190833201825 5.53753710881575 9.87820146527847 6.30410389213439e-20 2.33443218591412e-17 34.5692076291566
"WNT7B" 0.959095735778623 2.37587469821637 9.68742891157278 2.56525519623004e-19 9.3325784217934e-17 33.1883292198394
"LOC646719" 1.3188487476349 5.37683881057517 9.67850985791255 2.73835020031538e-19 9.79054622481726e-17 33.1240912756339
"LY6K" -1.59838547182846 2.69334752934718 -9.67216103640058 2.86858469698034e-19 1.00823459086917e-16 33.0783827284123
"MC5R" 0.577755420531543 1.64661169237235 9.62688208647593 3.99388554767241e-19 1.38035341003471e-16 32.7528252005992
"NOTCH2NL" 0.934093830825997 6.08881281718256 9.53554772742669 7.76829019425117e-19 2.64083661898666e-16 32.0984444258046
"LOC732272" -2.15730298650116 3.00972175337363 -9.51991976679028 8.70220418926944e-19 2.91060658504646e-16 31.986788944369
"MRPL32" -0.692671389737309 9.2087596221063 -9.44459755923495 1.50211357197023e-18 4.9372643978559e-16 31.4499442724774
"TFCP2L1" 0.989884048800348 2.8247314107749 9.44261812994558 1.52377355192543e-18 4.9372643978559e-16 31.4358655394604
"CYR61" 1.87829468609984 6.23627014670734 9.35438692686567 2.88010822401675e-18 9.1884314217593e-16 30.8098592829104
"FAM148B" 1.25140997791021 5.17905058141141 9.3383516899475 3.23235385454931e-18 1.01559578608771e-15 30.696414065973
"MS4A6A" -1.13726170726409 2.93936484395622 -9.32219616220027 3.63045657046357e-18 1.12365340151796e-15 30.582220011916
"SRY" 0.77764945683204 2.03373828801596 9.30361690170918 4.14874607897448e-18 1.26518452117197e-15 30.4510212418491
"APOC4" 1.24609242519566 5.59239701276877 9.29906045825964 4.28668125533623e-18 1.28830303176677e-15 30.4188664326638
