"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.1936131563845 5.85296853333333 44.2588795235886 4.15694337513119e-56 6.06123913527878e-52 69.61699143102
"UTY" 3.45481515064562 5.4360136 33.496031088397 2.44559609601915e-47 1.78296183380276e-43 63.7531147715283
"EIF1AY" 3.06975088952654 4.98525186666667 25.0844164703578 1.4562184462558e-38 7.07770705495192e-35 55.4685744108007
"TXLNGY" 1.39354932568149 4.5409448 10.7971201285624 5.10239454690593e-17 1.85995037221088e-13 24.1843892869166
"TTTY10" 0.840913866571019 4.23021306666667 8.17091562730335 5.09921253516541e-12 1.48703235950494e-08 15.0718851704015
"TMSB4Y" 0.82894287661406 4.56109426666667 7.42685701561078 1.34945374001846e-10 3.27939749720152e-07 12.3918548992042
"JPX" -0.776317274031564 5.9998156 -5.02176782459417 3.27998499910249e-06 0.00683220875313048 3.96649029212672
"PUDP" -0.582360222381636 8.52018133333333 -4.52444866147674 2.19155136411422e-05 0.0399437630501869 2.3690772978804
"TLR6" 0.69702381635581 4.43902266666667 4.11699528440447 9.64052317491176e-05 0.156187187125987 1.12575780508202
"LINC01597" 0.207570344332855 3.9819888 3.66790707226076 0.000450686683646004 0.629167956256259 -0.162460551620926
"AOAH" 0.41532238163558 5.74594533333333 3.64968608416798 0.000478741739935625 0.629167956256259 -0.212705968691902
"ACY3" 0.533120351506456 5.21520293333333 3.62594268047628 0.000517798194573425 0.629167956256259 -0.277929679815303
"CTNND2" 0.272966614060257 11.0795841333333 3.53697424523599 0.00069278974764058 0.777043639257485 -0.519774945247678
"CD37" 0.476602123385939 5.2545428 3.49202643998341 0.000801238173347974 0.834489557541915 -0.640398941924117
"CEP57L1" -0.318630882352942 4.910274 -3.4128470117648 0.00103235274494823 0.916036087327657 -0.850285329224705
"LPAR5" 0.341868077474892 5.646168 3.38374004403574 0.00113214245492901 0.916036087327657 -0.926593019179349
"KATNAL1" -0.373335509325683 8.21832066666667 -3.30951064605269 0.00142934508443026 0.916036087327657 -1.11909225362288
"CDK14" -0.39510631276901 9.23196733333333 -3.30648156760695 0.00144290825363156 0.916036087327657 -1.12688272955496
"KRR1" -0.502969913916788 7.88719453333333 -3.24110246313607 0.00176683961837508 0.916036087327657 -1.29377430970833
"SELPLG" 0.78312538020086 6.3614044 3.22027524517728 0.00188359132395128 0.916036087327657 -1.34643052651622
"CFAP298" -0.314954024390245 7.45264986666667 -3.21772178785524 0.00189839252944703 0.916036087327657 -1.35286921384099
"KAT2A" 0.334898228120515 8.37142906666667 3.11975354676871 0.00255577823724355 0.916036087327657 -1.59705373814136
"LILRB4" 0.372616183644189 4.7684908 3.04803591110914 0.003165556815568 0.916036087327657 -1.77223248245285
"VIP" 0.392112776183644 4.33581413333333 3.04605698511616 0.00318415913992338 0.916036087327657 -1.77702269947247
"NCKAP1L" 0.491679949784791 5.10821466666667 3.03673889492888 0.00327312434946745 0.916036087327657 -1.799546538705
"ABHD11" 0.240903715925394 6.06913773333333 2.9967770606196 0.00368147439160741 0.916036087327657 -1.89554781457927
"TTC26" -0.215544361549498 4.9146168 -2.99075271322916 0.00374698148341841 0.916036087327657 -1.90993611597857
"OLFML3" 0.617912761836442 5.45538386666667 2.98844600685401 0.00377234874997419 0.916036087327657 -1.91543949666783
"HRH2" 0.515615982783357 6.5139364 2.9601283647769 0.00409700490809463 0.916036087327657 -1.98273487791931
"SOX3" -0.260103644189384 5.90168293333333 -2.95651976416321 0.00414018553611389 0.916036087327657 -1.99127516911224
"ADAM28" 0.59109156384505 5.57891053333333 2.95536326324486 0.004154113112981 0.916036087327657 -1.99401050472881
"MORC4" -0.443918335724534 6.27113653333333 -2.94299562234253 0.00430578913515065 0.916036087327657 -2.02321067309105
"OFD1" -0.450405487804879 5.17536666666667 -2.93961493202624 0.00434813196887519 0.916036087327657 -2.03117609352138
"CASP8" 0.22319281205165 4.2627644 2.93715732711568 0.0043791545005485 0.916036087327657 -2.036962148043
"GEMIN8" -0.42764137015782 6.3400864 -2.93603348056794 0.00439340895658074 0.916036087327657 -2.03960682744393
"ADGRB2" 0.354017360114777 9.49433933333333 2.91979565386616 0.00460420667355724 0.916036087327657 -2.07773094471609
"SMO" -0.298057725968437 6.4248444 -2.90859065085443 0.00475507331051362 0.916036087327657 -2.10394317387231
"GSTO2" 0.36930369440459 6.47320133333333 2.86279438061397 0.00542032091036005 0.916036087327657 -2.21025978187503
"APBB1IP" 0.571491154949784 5.4278516 2.85408438744056 0.00555615813906664 0.916036087327657 -2.23033088692576
"ARHGDIB" 0.433096886657101 7.29045213333333 2.85016115061373 0.00561836057393746 0.916036087327657 -2.23935584361433
"TMC7" 0.587851147776183 6.27872666666667 2.84063630032669 0.00577205075327257 0.916036087327657 -2.26122612633726
