"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -4.39743928515985 4.7909183390682 -23.369880811818 7.04916574120057e-63 2.38127867903496e-58 119.884598951469
"RPS4Y1" 1.31453716599695 4.13389026026487 21.4997979227647 4.02326899198453e-57 6.79550249091147e-53 108.787228476127
"TTTY15" 2.22920090020102 4.88863131773942 21.3170356870585 1.50170873141212e-56 1.69097408852776e-52 107.673493298695
"NCRNA00185" 1.20693456771934 4.651297804397 21.0180291382134 1.30582171805918e-55 1.10279908644393e-51 105.840451214922
"DDX3Y" 1.03821421024971 4.6006766130797 20.5966401389028 2.79768342357119e-54 1.89017087463316e-50 103.234428410704
"KDM5D" 1.4408903696876 4.73923674899101 20.5064731096463 5.40316685511756e-54 3.0420729922121e-50 102.673395157011
"NLGN4Y" 1.70962795368927 5.55285775005732 20.0567071178598 1.45871029686456e-52 7.03952750548309e-49 99.8572545618708
"TTTY14" 0.774471648041548 5.56949745908297 19.8908251699363 4.94437847861173e-52 2.08782561732478e-48 98.8113038178984
"UTY" 1.2946049878132 5.07980877723565 19.387868649376 2.03524548556461e-50 7.63918086087314e-47 95.6165098410713
"EIF1AY" 1.06935333630069 3.14440399406141 19.1460762591141 1.22586117612608e-49 4.14108163907152e-46 94.0683773974199
"TXLNGY" 1.12049527034301 3.87183772208414 18.5805489024289 8.33870897195129e-48 2.56081752528624e-44 90.4175735877104
"USP9Y" 1.09050669387599 3.63581474245869 18.4801446895336 1.7688315781752e-47 4.97940829519471e-44 89.7651652713569
"AGKP1" 1.17861312770441 4.66159032706641 17.181487862981 3.16742688896758e-43 8.23068059509338e-40 81.2206839149966
"RPS4Y2" 0.514347037859249 3.69914439902901 16.4461549392134 8.47621857688251e-41 2.04525099818334e-37 76.3050781567954
"HSFY1" 0.376190715419632 2.92885214930489 16.1879852218442 6.06540740224351e-40 1.36597018303459e-36 74.5680402314767
"LOC102723889" 1.21280715641577 5.97444431406205 15.8694762878765 6.89501000195374e-39 1.45575208047499e-35 72.4179885505827
"TTTY10" 0.564280257876228 4.17085719253033 14.5008387302218 2.40597490856997e-34 4.78095519920012e-31 63.1121503423775
"RNU1-48P" 0.914839524748612 3.03720760207385 13.9610246204442 1.48074762258322e-32 2.77895196880466e-29 59.4243120027658
"TTTY3B" 0.714483207690059 4.44513631593134 12.6873571137921 2.32078583206535e-28 4.12623506278945e-25 50.731319197207
"TMSB4Y" 0.374789574418985 5.56032532220692 11.0976719556092 3.13405321169104e-23 5.29357257720675e-20 40.0219451119213
"ZFY" 0.342841180954235 4.25583268440895 10.6804505680578 6.48848638119878e-22 1.04375027830131e-18 37.2628008754616
"TSIX" -0.19294996885505 2.90838575708959 -10.3390900535672 7.52799147011594e-21 1.1559230902363e-17 35.0278053957802
"KALP" 0.547493087333986 4.88983790389785 10.3316664813565 7.93775427521985e-21 1.16584903117914e-17 34.9794486047964
"GYG2P1" 0.280058728047512 6.68216513255232 9.67710214940115 8.03531109523331e-19 1.13100351711699e-15 30.7623744824599
"LINC00278" 0.379213511231416 3.33383444106024 9.43374735701997 4.33723261136346e-18 5.86064219377877e-15 29.2205990049938
"LINC00279" 0.401347051659175 3.02185970787286 8.75176035739408 4.41721664638388e-16 5.73915367428823e-13 24.9882246217204
"JPX" -0.373164737543578 4.6882416625751 -7.93989337323358 8.67875609400993e-14 1.085840961525e-10 20.1490145049993
"PCDH11Y" 0.474117716589262 5.52576795252852 7.5186749006817 1.20405743223125e-12 1.45265228993585e-09 17.738116635935
"XKRYP3" 0.474555942530196 2.84399580225506 7.16078260904516 1.05375268104116e-11 1.22747652821557e-08 15.7499860566948
"TBL1Y" 0.392195438738683 4.37992017670456 7.03572047475334 2.21536328588501e-11 2.49457290534939e-08 15.069163660598
"LOC102724689" -0.712308989740299 6.20956918282998 -6.9583039363195 3.49514024080915e-11 3.80868814434755e-08 14.651465846667
"RBMY1A3P" 0.164525268010273 3.01422866133918 6.5873518087519 2.97293302916469e-10 3.13839533306914e-07 12.6912825795851
"OFD1P10Y" 0.173383096172954 3.48173140091503 6.39179375360233 8.91489921704328e-10 9.12588516517997e-07 11.6865386886666
"LOC101929069" 0.22145917396645 3.86586905472231 6.0946457391537 4.53469035424099e-09 4.50548161342985e-06 10.1996801551342
"PPP1R12BP1" 0.245116507394779 4.46809062145322 5.70247767401291 3.5778679576115e-08 3.45325592788783e-05 8.31472736401916
"KDM5C" -0.12917123286269 5.10328101679241 -5.66854259711995 4.2589046702109e-08 3.9963905184554e-05 8.15592297626349
"TBL1YP1" 0.188384386164896 3.63462846723363 5.49229740962861 1.04033931150587e-07 9.34073001571067e-05 7.34253624817185
"HDHD1" -0.172676396003645 4.90497490882757 -5.49031336415384 1.05073189247508e-07 9.34073001571067e-05 7.33348951833532
"CDY4P" 0.151062166475103 3.02318138324873 5.38001255291548 1.8185620674717e-07 0.00015752011590067 6.83444874369695
"PRY" 0.185482616665121 4.4688142520505 5.17654856799031 4.89783459539971e-07 0.000413634376167994 5.93433279027437
"CD24" 0.348284600851401 4.7408833670283 5.13241733908998 6.04972549495612e-07 0.000498453114500275 5.74265547358756
"DAZ1" 0.136274637605473 3.28450875467597 5.09708626705187 7.15748681716945e-07 0.000575683481359051 5.59012661725744
"DDX3X" -0.167899376571157 5.83270014130444 -4.9969981520344 1.14713420776364e-06 0.00090119396912706 5.16254257810269
"SPESP1" 0.1518865455943 4.57562900189732 4.9286463013173 1.57683451012644e-06 0.00121061469514957 4.8744047225998
"RBMY1D" 0.13885272452273 3.25453217778433 4.85754254170609 2.18786495623319e-06 0.00164240591303363 4.57803241138555
"CD99" 0.274088160062223 5.25774033064498 4.83819786241103 2.39029129358336e-06 0.00175535717801173 4.49799877568185
"PRKY" 0.260940232179468 4.26267732627694 4.7193564436165 4.09282161388724e-06 0.00294169376465372 4.01198952918979
"RNU6-255P" 0.252521231118801 2.3994632668162 4.70699496290397 4.32581540234766e-06 0.00304438271055638 3.96199980025527
"FAM69C" 0.150505026556222 5.40985016868054 4.69862000797445 4.49088316930008e-06 0.00309605151718625 3.92819223053418
"RBMY1F" 0.190725800350508 2.28451576363588 4.67421340846849 5.00730436764017e-06 0.00338303497686505 3.82994907383963
"TTTY13" 0.171687005101901 4.01961006631278 4.62941257485559 6.10793234805702e-06 0.00404572671862185 3.65070265479249
"DDX3YP1" 0.183645204410838 3.60149707427732 4.599863807542 6.95767836384755e-06 0.00448195928070486 3.53325404938517
"PLCXD1" 0.158817752218154 5.21139454634458 4.59745112049985 7.03187714624663e-06 0.00448195928070486 3.52369153703151
"DAZ2" 0.184309775503692 3.72438036724828 4.59249324709301 7.18674764741081e-06 0.00449584300513305 3.50405431114604
"ARSDP1" 0.144469887379567 5.76677031584227 4.54436779715205 8.87092123814041e-06 0.00544851982446584 3.31434569648776
"TPTE2P4" 0.117887374165726 3.24468894902564 4.50548492235549 1.05029442187814e-05 0.00633571354740451 3.16227727317377
"CT45A4" -0.181714960484009 4.0013486217558 -4.46010966494062 1.27730309558846e-05 0.00756992559159191 2.98618825007136
"DAZ4" 0.137976325110311 3.3064239422032 4.44791801744683 1.34591011770978e-05 0.0078389982217852 2.93912839505995
"ZBED1" 0.13605199736243 6.03027910820943 4.43490079288606 1.4230643653572e-05 0.00814788768239516 2.8890002545584
"NLGN4X" 0.130028971120624 5.02472349715666 4.34273542713695 2.10415064851982e-05 0.0118467188429413 2.53759561087023
"UBA1" -0.146388744432486 5.70848901864764 -4.32633855175612 2.25428588994295e-05 0.0124839396144529 2.47572692876515
"STS" -0.242764549243827 5.21782123066611 -4.28162399238077 2.71765092667403e-05 0.0148072525732218 2.30801183449499
"FETUB" -0.132759140013469 4.11260754304312 -4.22691724253739 3.4090997725552e-05 0.0182798094312202 2.1048212619795
"DHRSX" 0.123929150684521 6.61039951239697 4.14667568752246 4.73448921093327e-05 0.0249899656303964 1.81080569435106
"FAM224A" 0.110716876350046 4.48458165518634 4.08713764927316 6.02201717205615e-05 0.031296886475266 1.59575975665243
"TAB3P1" 0.117670218221582 2.82947580943709 4.07185488605842 6.40279890361207e-05 0.0327716590549878 1.54098951558895
"NOTCH1" 0.151879684247954 6.16579141754761 4.02260760290972 7.79203566552744e-05 0.0387542175116328 1.36569723029322
"LINC01212" 0.19050182487515 3.34443569456474 4.02231491170797 7.8010917106984e-05 0.0387542175116328 1.36466090331031
"RBMY2FP" 0.0932382831628198 3.06083594149763 3.98349088527336 9.09528942231953e-05 0.0445286915906342 1.22777385357187
"LOC101930515" -0.295187201189017 8.34984829850656 -3.9225445216027 0.000115465049805486 0.0557217835354159 1.01520397540119
"UNC5B-AS1" 0.166040487190563 3.77644748561189 3.88927129785757 0.000131372800514611 0.0623691028332918 0.900353209766206
"CCNA2" -0.130930452168446 4.51805546481254 -3.88461237865193 0.000133759516581268 0.0623691028332918 0.884339692880191
"ASIC1" 0.125953021386096 5.82550261864099 3.8826477273277 0.000134778263131059 0.0623691028332918 0.877591850601595
"AQP7P3" -0.238392779126245 4.64701593262781 -3.87511910227289 0.000138750668075613 0.0626585430513561 0.851761351419907
"RNU2-11P" -0.243896157748979 2.5442203731791 -3.87444180491856 0.000139113428520521 0.0626585430513561 0.84943970352746
"LINC01014" -0.144619006745136 3.8789298981895 -3.8578906707158 0.000148262766057565 0.0659008486867183 0.79281542665044
"PAX8-AS1" 0.15443685158621 4.64381782245035 3.79360053067956 0.000189500659351 0.0831366464095601 0.574876558980685
"LOC101929666" -0.140856277777953 2.60988246424015 -3.76374518162202 0.000212143741728525 0.0918772787093759 0.47475964884367
"RCC2P4" 0.123754798199243 5.01190001606556 3.74585458472541 0.000226913502449213 0.0970299370409731 0.415098032426792
"CERCAM" 0.362909299248089 7.66618735935409 3.73615668716732 0.000235320466250074 0.0993670083799217 0.382861866232394
"CAPN8" 0.204350467564737 5.1197058768849 3.71744697456637 0.000252377462787622 0.10525386506702 0.320877841308846
"PRKCQ" 0.0976861350360168 4.70100768890686 3.70829660204676 0.000261138309954554 0.107343605379048 0.290663039928153
"MIR135A2" -0.127797495638171 1.9797400033372 -3.70241559703062 0.000266919620272058 0.107343605379048 0.271278422646025
"SNRPGP14" -0.28850735128119 2.90731266140266 -3.70241407227766 0.000266921134715966 0.107343605379048 0.271273400362499
"KDM6A" -0.214583020799104 5.08443338732095 -3.69919884952373 0.000270132714820369 0.107357096933493 0.260687045117096
"TECTB" 0.116773120889251 3.0033559044063 3.65801985148402 0.000314623517347005 0.119020726017817 0.125820109927503
