"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPS4Y1" 2.83466445538465 6.27885712554109 23.0188258099784 6.91477014207734e-62 1.20386148173567e-57 117.315678493148
"DDX3Y" 2.61695761774025 6.17569356451441 22.6273644866551 1.09529214353017e-60 9.53451810943012e-57 115.032444522296
"USP9Y" 2.65291940285227 5.50350342533789 22.4822636655567 3.06371021533742e-60 1.77797316163415e-56 114.179922917501
"UTY" 2.31371051957298 5.707862112012 21.4580660521282 4.67405134818751e-57 2.03438084929861e-53 108.068055473835
"EIF1AY" 2.33463533465409 4.19848106522258 20.8418104691134 4.07312775109287e-55 1.41826308293054e-51 104.312407642897
"NLGN4Y" 2.3513185212851 6.12742780645501 20.5816162386938 2.71952005868539e-54 7.89114070361878e-51 102.709507306696
"TXLNGY" 1.36936637873049 4.14499071790414 18.2055376320095 1.25022149773698e-46 3.10947946794298e-43 87.6295981747146
"ZFY" 0.886396614432789 5.13081329795444 16.6996969610157 1.1290657856483e-41 2.45712941601712e-38 77.7115801550669
"TTTY10" 0.967823357127923 4.11948558452034 16.447555476843 7.72124208097114e-41 1.49363138477453e-37 76.0287348819058
"PCDH11X" 1.23419110186796 4.60105264197948 12.146842591319 1.29182834410332e-26 2.24907314708388e-23 46.9041770079545
"KDM5C" -0.327090365249103 7.0520379376068 -11.3788042648959 3.87171911078829e-24 6.12787542898402e-21 41.7564768537312
"ZFX" -0.484152017487414 6.79538969347182 -10.3023432210087 9.56855692041842e-21 1.38823813320404e-17 34.6755088620604
"TMSB4Y" 0.542257782708802 5.09266256805012 9.24076614525971 1.60444954035624e-17 2.14872819212325e-14 27.920435096471
"HDHD1" -0.473689693358177 7.20916128286646 -8.62467607674998 1.01392824800745e-15 1.26089219984355e-12 24.1399412859932
"TTTY14" 0.427256349181678 6.36387104041403 7.70283545606584 3.81757229445374e-13 4.43092890976264e-10 18.7263054455733
