"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"USP9Y" 2.64933603240648 7.29576767276259 9.28641904607689 1.02976262251858e-08 0.000132399488893198 5.32365254177785
"KDM5D" 3.39780048831639 8.17343416162989 8.84274522536164 2.29045683478783e-08 0.000132399488893198 4.97644373136167
"XIST" -4.62881576944182 7.31280577068805 -8.71796114172011 2.88075988362921e-08 0.000132399488893198 4.87398161508218
"DDX3Y" 1.7853269047334 6.3011056110319 8.68949830469159 3.03628793688632e-08 0.000132399488893198 4.85030512744223
"RPS4Y1" 4.08696137150271 10.1626804716027 8.61984632748188 3.45474086455479e-08 0.000132399488893198 4.79188215227051
"TXLNGY" 1.54385541600134 6.82157510591604 8.48427970506875 4.44969879057865e-08 0.00014210854704178 4.67617784152058
"EIF1AY" 2.90088329576963 6.33041018172389 8.14737109518224 8.43323620388654e-08 0.000230853817341248 4.37691299354533
"NLGN4Y" 0.803903837959944 5.83750923446416 8.00645674363043 1.10676324589195e-07 0.000265097466472269 4.246638471587
"TTTY14" 1.05684953354118 6.90364319059201 7.8139377702047 1.61140462388278e-07 0.000343085948920466 4.06363754193088
"ZFY" 0.906591316334764 5.34019880178185 7.59442755461201 2.48803693928439e-07 0.000476757638305674 3.84773969512394
"UTY" 0.681558376000399 6.22459030332542 7.36626812538689 3.93482269221482e-07 0.000685446112983822 3.61494719834587
"TSIX" -1.14066877189467 6.77427953757747 -6.96937399381066 8.88113143373723e-07 0.00141816867111061 3.18900430150927
"CD99" 0.646555449524477 10.1866829503478 5.53832017653994 1.9812605604791e-05 0.0292037806614619 1.42217848425217
"JPX" -0.529489766153693 6.69043375222813 -5.16373264277215 4.6440573780149e-05 0.0635638767696582 0.900269117961722
"PNPLA4" -0.50386058814328 8.73351344178469 -5.12331501588016 5.09516984396395e-05 0.0650890963666915 0.842573113592994
"GTPBP6" 0.341699283599024 8.74979100649206 4.73086207876105 0.000126185969470571 0.151123471687193 0.269293911663311
"SMIM24" -0.264225069677604 7.26063029137569 -4.39206026577549 0.000278166096196369 0.311245517698087 -0.242798703927852
"ENDOU" 0.290441696111666 6.7158831252981 4.34859838303234 0.000307954154959419 0.311245517698087 -0.309488991180014
"PUDP" -0.383036810145746 9.0238576544313 -4.34768397405618 0.000308614175778293 0.311245517698087 -0.310894326403029
"PRORSD1P" -0.287934828164933 5.82454773013193 -4.14446451237171 0.000496856406750087 0.465336261222214 -0.625316378067556
"RMI2" -0.454406283486949 7.95441751683829 -4.13335266087394 0.000509970853025076 0.465336261222214 -0.642620350679565
"C9" 0.14947716549342 4.10663054953026 4.09316894485417 0.000560354281614477 0.488068579286209 -0.705283739324871
"IRX2" 0.310687059279399 5.2918408730628 3.85973956089608 0.000968328521820982 0.78122221468958 -1.0716362615023
"REXO1L1P" 0.183046554312256 5.4136569086707 3.85529113926753 0.000978464312313428 0.78122221468958 -1.0786502998749
"PLCXD1" 0.385286925212716 8.33611396789434 3.77444934065027 0.00118215860350024 0.906100926410861 -1.20627984173797
"TBL1Y" 0.228514767872839 5.33016083077668 3.68359831433404 0.00146159532506309 0.998653752805328 -1.35001241766478
"CENPL" -0.144969761660134 5.72254850564575 -3.45214555367495 0.00250355632371804 0.998653752805328 -1.71684436386236
"CCM2L" 0.202486640697505 7.9615801722741 3.39833398665402 0.0028354287157058 0.998653752805328 -1.80210463229381
"API5" -0.156592757423529 8.09685997585466 -3.36197851660865 0.00308368792590996 0.998653752805328 -1.8596699906746
"C1QL1" 0.266204934225703 8.16598151293955 3.36165919997202 0.00308596012072932 0.998653752805328 -1.86017543194819
"ZNF790-AS1" -0.155232437543646 7.09625536224196 -3.35803055376779 0.00311189633181563 0.998653752805328 -1.86591893791555
"KDM6A" -0.425290229444559 7.11260514713313 -3.27342160248867 0.00378086894603464 0.998653752805328 -1.99970344816338
"ZFX" -0.272886053643479 6.88717596296451 -3.27009177418154 0.00380988728227591 0.998653752805328 -2.00496237304422
"SNX18P12" -0.371196505322942 6.00658633920609 -3.24706482643617 0.00401659300262259 0.998653752805328 -2.04131455063198
"CEP192" -0.404916980333565 7.72161122614526 -3.21943195074441 0.00427911074823809 0.998653752805328 -2.08490048349125
"GPAT3" -0.19474526841612 4.68380434138444 -3.16496920877621 0.00484632747385831 0.998653752805328 -2.17066969087253
"USP9X" -0.159507041909887 10.3117981186245 -3.16343850372805 0.00486328218437874 0.998653752805328 -2.17307742275145
"BAZ1B" 0.160505474113149 8.65189983412802 3.15315905294802 0.00497864417060326 0.998653752805328 -2.18924221444972
"SYAP1" -0.18567444454722 9.08719751843165 -3.15212903172788 0.00499034915848482 0.998653752805328 -2.1908615372854
"LINC02487" 0.126630285341339 5.55823576139696 3.14199857144724 0.00510690350054949 0.998653752805328 -2.20678372011226
"LINC00487" -0.283269438759152 5.17738945805693 -3.11555016876369 0.00542379673224685 0.998653752805328 -2.24831600765269
"C3orf70" 0.167575896303026 9.6415871948326 3.07055096273572 0.00600728523972023 0.998653752805328 -2.31884627486052
"NLGN4X" -0.390394615636293 8.87992600015584 -3.06248418505579 0.00611812077132991 0.998653752805328 -2.33147096744975
"EIF2S3" -0.276630103688169 10.3220567891431 -3.05062594224549 0.00628464980241409 0.998653752805328 -2.3500183826636
"FAM155B" 0.220118164238907 7.64563091227016 2.98225479835771 0.00733367120372205 0.998653752805328 -2.45668344618312
"IGSF21" 0.280932956239481 7.73274181569451 2.95135921102419 0.00786132605104736 0.998653752805328 -2.50471709244291
"FGF9" -0.181370469656019 6.83775370552926 -2.94801809897708 0.00792053068474145 0.998653752805328 -2.50990489284799
"ZNF493" -0.193682602811496 8.55735149280713 -2.9330187729449 0.00819164694151911 0.998653752805328 -2.53317805398148
"C6orf141" -0.382999822837784 8.36842934840054 -2.92141021817213 0.0084075783050905 0.998653752805328 -2.55117110582291
"STPG3" 0.195541232175947 7.80994130667102 2.90334314157237 0.00875456365644717 0.998653752805328 -2.57914091438636
"GTSF1" 0.240878125474383 5.9033967842822 2.88677355486444 0.00908484495767829 0.998653752805328 -2.60475515749471
"STS" -0.26797603846742 8.13297534315029 -2.88401547920338 0.00914096967959258 0.998653752805328 -2.60901520927258
"TBC1D10B" 0.192409443451553 9.51758550637511 2.88319632291951 0.00915770284057572 0.998653752805328 -2.61028025950231
"CENPB" 0.411029037261279 8.20541511328042 2.88100496991234 0.00920261084020045 0.998653752805328 -2.61366399311682
"LINC01224" -0.201772558134419 5.5288478723866 -2.87017689520482 0.00942763106305321 0.998653752805328 -2.63037434598674
"TEX12" -0.110657837169778 4.18226488444331 -2.86607824011901 0.00951417437244441 0.998653752805328 -2.63669535842543
"ZNF415" -0.173753404557592 8.50488534955862 -2.84992990061809 0.00986261281062919 0.998653752805328 -2.66157667801021
"VAC14" 0.208148788002901 8.23877943263692 2.84584251518833 0.00995272699980804 0.998653752805328 -2.66786863186239
"SH3BP5-AS1" 0.182311354135534 7.6455778266403 2.8385801693955 0.0101147868460093 0.998653752805328 -2.67904203737097
"TMEM132C" 0.188706230798153 8.39835422462413 2.82670056439353 0.0103853373705906 0.998653752805328 -2.69730263742509
"PRKD2" 0.136471026921219 7.85494099972027 2.82284578003436 0.0104746051229274 0.998653752805328 -2.70322347888602
"BTNL9" 0.171631654823203 7.72933511314936 2.81931730137587 0.0105569590775844 0.998653752805328 -2.70864117154367
"SLCO5A1" 0.179585357974107 5.3682950028009 2.81740795895152 0.0106017804295346 0.998653752805328 -2.71157202978026
"TMEM17" -0.284874444141915 9.48501595664062 -2.77971082871169 0.0115248358456738 0.998653752805328 -2.76932229422363
"PAN3-AS1" -0.239421607448709 7.30250876312548 -2.76459345032232 0.0119161305858339 0.998653752805328 -2.79241798025554
"ZYX" 0.210315340882376 8.13708325085315 2.75382602487799 0.0122025173887775 0.998653752805328 -2.80884509326162
"EIF1AX" -0.169999013541837 11.2690452181683 -2.75111120527184 0.012275752910725 0.998653752805328 -2.81298385267567
"RHOQ" -0.204414491416707 7.99476560199026 -2.75079788820415 0.0122842319015801 0.998653752805328 -2.81346142681728
"DDX3X" -0.309295600895835 8.91545192475953 -2.74768669720404 0.0123687301166937 0.998653752805328 -2.8182027680604
"SPATC1L" 0.352455875927238 8.58390215677951 2.74736163132932 0.012377590581263 0.998653752805328 -2.81869806227217
"GAS2L3" 0.175400350160208 5.3309347657895 2.74031668245025 0.012571108670439 0.998653752805328 -2.82942785699969
"MTRF1L" 0.166152674145236 9.28615187585437 2.73885044192087 0.0126117452722456 0.998653752805328 -2.83165994778966
"CARS1-AS1" -0.194322220198337 5.62796398404811 -2.72409183233374 0.0130277964140873 0.998653752805328 -2.85410665624176
"ZSCAN21" 0.13121308916246 8.55400859054675 2.71871671605327 0.0131825394867431 0.998653752805328 -2.86227235841728
"LINC00685" 0.24278845230327 9.11923934266014 2.71572007192435 0.0132695659332801 0.998653752805328 -2.8668225503278
"GRHL2" 0.155882624069054 6.38093492081052 2.70761058191012 0.013507821448747 0.998653752805328 -2.87912822852975
"HDAC5" 0.131738829679171 9.32275947278968 2.68859774811633 0.0140824394671589 0.998653752805328 -2.90793256385453
"PRR14" 0.144819915255694 8.33705820819402 2.68843490515565 0.0140874597391244 0.998653752805328 -2.9081789845061
"ZBED1" 0.162889207125291 7.51848116695765 2.68669788931441 0.0141411157829113 0.998653752805328 -2.91080720339271
"COG8" 0.16586178681436 8.40158315945648 2.68643858208715 0.0141491423346367 0.998653752805328 -2.91119950437638
"TBC1D32" -0.295392559805802 7.07517290691834 -2.6822655989543 0.0142789078489975 0.998653752805328 -2.91751101640692
"SLC9A3R2" 0.178310171165156 5.86521336522019 2.68021117523365 0.0143432071549754 0.998653752805328 -2.9206170808422
"LPAR3" 0.193801736358969 6.21405225797266 2.67747607543702 0.0144292363005022 0.998653752805328 -2.92475102962566
"ADA2" 0.211798040213998 8.99287904365503 2.67442151426455 0.0145258917409149 0.998653752805328 -2.92936616823105
"C6orf163" 0.179885676135958 5.70330748148462 2.67221380284911 0.0145961319720536 0.998653752805328 -2.93270070765651
"TMEM134" -0.108585111105562 7.8452780416135 -2.67217570279894 0.0145973469781184 0.998653752805328 -2.93275824610878
"CPXM1" 0.169974766090855 5.64875850298066 2.67025645469923 0.0146586757189893 0.998653752805328 -2.93565632721983
"DNAJC17" -0.198290169457524 7.22608396710968 -2.66724664275007 0.0147553447705853 0.998653752805328 -2.9401997634803
"ANKRD36BP2" -0.272799696721824 4.99308615023296 -2.6494236379697 0.0153402706149261 0.998653752805328 -2.96706877408457
"WDR83" -0.137432543144221 8.00584442907155 -2.6461311809201 0.0154506981533057 0.998653752805328 -2.972025574331
"HPD" 0.186852160488983 5.14196436813617 2.64032269378701 0.0156473478162516 0.998653752805328 -2.98076507984788
"WDR87" 0.209312188584606 6.06079427615634 2.63506826608801 0.0158272761592085 0.998653752805328 -2.98866520570638
"FBXW8" 0.105411475295573 5.10799625837479 2.62852370121115 0.0160541183527382 0.998653752805328 -2.99849739430082
"PHOSPHO2" -0.265811376803859 7.71403556112831 -2.6164718373496 0.0164799082281732 0.998653752805328 -3.01658090524213
"ZNF574" 0.169992362613534 8.123649911985 2.61465191680147 0.0165451249405258 0.998653752805328 -3.01930908731021
"TET3" 0.153565230487497 7.94582115143154 2.61390878826378 0.0165718248821858 0.998653752805328 -3.02042289192773
"CPS1" 0.446991709822717 6.68545306431715 2.61223570584807 0.0166320861666309 0.998653752805328 -3.02293010221491
"LEMD2" 0.129639872822052 8.08511032680984 2.60931557609501 0.0167377595422994 0.998653752805328 -3.02730470895237
"TCF7L1" 0.180100191663097 7.61117946473239 2.60830300779413 0.0167745499740006 0.998653752805328 -3.02882121431537
"CPLX2" 0.19783852062437 8.66700597926477 2.60715643731953 0.0168163013263955 0.998653752805328 -3.03053815720328
"LINC00663" 0.186963662234722 7.02644756488055 2.60696458279603 0.0168232971082397 0.998653752805328 -3.03082542509821
"FKBP14" -0.147445411830374 6.48105378313703 -2.6056728186806 0.016870471515958 0.998653752805328 -3.03275941328936
"ILF3-DT" -0.281304686534679 8.6698611090719 -2.59925203893833 0.017106811698985 0.998653752805328 -3.04236726833932
"RPS15AP30" -0.135567066501458 7.28997700890892 -2.59888598827371 0.0171203791727008 0.998653752805328 -3.04291475677346
"CRNDE" -0.303065589473323 6.98188578672078 -2.59728058046549 0.0171800026842103 0.998653752805328 -3.04531557542926
"ADAM11" 0.157199812750945 7.67691487749858 2.59543520349612 0.0172487803052066 0.998653752805328 -3.04807459182084
"PIR" 0.236514512533883 8.8630346120872 2.59422642682206 0.017293972304035 0.998653752805328 -3.04988144260918
"ZNF440" -0.13086063610216 6.58048160191862 -2.59383271734109 0.0173087158281692 0.998653752805328 -3.05046988402609
"ACYP1" -0.204284943533804 8.8752279341322 -2.58859135655915 0.0175061249912501 0.998653752805328 -3.05830055626366
"TMEM100" 0.363640091639601 8.29833990818574 2.58655841121456 0.0175832628167267 0.998653752805328 -3.06133624572188
"GPLD1" -0.155309459293843 6.84601262539979 -2.58113727107705 0.017790530358184 0.998653752805328 -3.0694270560918
"G6PC3" 0.135755068994115 9.72862317995006 2.57708173170477 0.0179470889467794 0.998653752805328 -3.07547566703666
"PTPN1" 0.158597030689843 8.79082884926574 2.57658341497502 0.0179664150360141 0.998653752805328 -3.07621863548237
"RPS4X" -0.0936081322016114 13.3903518536623 -2.57390313835758 0.0180707000685638 0.998653752805328 -3.08021389485615
"HIC1" 0.161877754500638 6.35906317262082 2.5686442019418 0.0182769743108354 0.998653752805328 -3.08804843772737
"ATP2B1" -0.224523020560939 11.6882186008416 -2.56854923645504 0.0182807194847502 0.998653752805328 -3.08818985828579
"NAP1L3" -0.280640326181549 11.6024383173707 -2.56807369645908 0.0182994843203989 0.998653752805328 -3.08889799276822
