"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -8.4801593310811 -0.788045859236307 -99.6877227158118 0 0 1058.20994067757
"TSIX" -3.3149339895644 -4.53620319092123 -39.6240919583159 3.08446197068991e-194 3.22887087204494e-191 432.879826489304
"RP11-575H3.1" -1.19207826072132 -1.36709648408757 -10.9946970755277 2.32568439203226e-26 1.16435894670658e-23 48.6009803516536
"SAGE1" -1.03756704046955 -4.780190655928 -6.00787720835438 2.80104503447463e-09 6.79032285725797e-07 10.2743126409042
"RP11-706O15.3" -1.01860388298405 -3.7278885221131 -5.24257826109048 2.00610698840693e-07 2.71985549903693e-05 6.01702897615903
"GSTT2" -0.89980304079625 -4.26865641679962 -5.94849042533671 3.97301877739185e-09 9.53110650451399e-07 9.88535858222279
"RHOXF1-AS1" -0.852823120343949 -3.13685533583387 -5.83056586061594 7.88244658564572e-09 1.76245383366428e-06 9.08306515594089
"BMS1P10" -0.78705834547134 -2.42309756106084 -6.22327692756094 7.68719468688414e-10 2.15897675169441e-07 11.2562445906907
"TSPEAR-AS1" -0.76958364051321 -2.34129687935095 -9.07456936936263 7.99803561881282e-19 3.34899564184108e-16 31.563951903322
"EIF2S3L" -0.75875232552464 -3.44024194453672 -6.31395938803484 4.40797358056853e-10 1.34435476008369e-07 11.9319891013221
"TSPEAR-AS2" -0.753745915826979 -2.43719988054141 -8.7774788136685 9.27818180829973e-18 3.74871100079198e-15 29.158864375138
"PNMA6B" -0.748613276900527 -3.5898321827038 -3.69610949121594 0.000233167209237402 0.00480737764434858 -0.715550369258661
"RP11-706O15.5" -0.736286092561953 -5.3450041466715 -4.09531811778877 4.62477406168789e-05 0.00159682978471772 1.0167060169094
"IGFBP3" -0.735830890041054 2.19170061901344 -6.17304772718694 1.04291502609064e-09 2.82568624127853e-07 10.2918622011614
"ANKRD22" -0.705274235002287 -2.43538009712776 -4.06650999361072 5.22238696240918e-05 0.00172556057021927 0.532647276304129
"RP13-33H18.1" -0.691942931477928 -2.60702497089121 -8.82412871589753 6.34164089748352e-18 2.6079998190901e-15 29.5562262576835
"CD177" -0.672224509742694 -2.31901499849921 -4.41021780914478 1.16720197884957e-05 0.000601180252696161 1.94129737721433
"CYP51A1P2" -0.666476583764614 -3.30755830611478 -4.96422736106684 8.35802772067377e-07 8.4054750396121e-05 4.6053476355771
"RGPD2" -0.666366045042061 -2.49020585118188 -6.19139490837313 9.33180101757758e-10 2.55846877898585e-07 11.0858442715779
"JPX" -0.66278072426039 0.56147613879916 -18.7625575582029 7.73327154183437e-66 5.39688616995289e-63 138.868455180915
"TMEM92" -0.647639919657805 -3.68714759093583 -4.85370217230554 1.44534410029387e-06 0.000128287844101942 4.13050247743315
"PRSS30P" -0.645076242006523 -2.09555575663691 -7.69125512938328 4.08775238961322e-14 1.44832211588911e-11 20.8589899700816
"ZFX" -0.643397594671151 3.9752126900334 -27.5687498105085 1.42175521826794e-119 1.16939366702538e-116 262.042424383871
"RP13-216E22.4" -0.640318664196761 -2.75372410392741 -9.47140765503565 2.73672802252515e-20 1.18918578035385e-17 34.9528787221145
"SFTPA1" -0.615491045249525 -3.26164911908693 -3.37136162858164 0.00078223385566061 0.0109913640609297 -1.88592225800844
"S100A12" -0.612119133137027 -1.20145808439631 -3.63145725474286 0.000298952757921557 0.0056291305626301 -1.28161961718361
"FFAR2" -0.611566066715719 -3.01132079962223 -4.19518749973218 3.0173374198972e-05 0.00119809104793504 1.13954835303043
"RP11-492E3.2" -0.602524043472537 -1.76566546428063 -4.50766202821707 7.48731006315909e-06 0.0004365386095052 2.29041983179782
"CP" -0.590538904398794 3.19302167885492 -3.98750127983443 7.26040582422428e-05 0.00209532764576297 -0.619513044778096
"LIF" -0.588173521924851 -1.49544950865104 -3.53084916658325 0.000436837177501263 0.00734348664037092 -1.59183832905733
"LINC00473" -0.586373301267024 -2.92910794957436 -3.5967889493152 0.000341042317071152 0.00616016044090089 -1.15890781290443
"KDM6A" -0.583878806895521 3.41077001552095 -20.4577403318707 9.37114740672092e-76 6.74429764927447e-73 161.307879156586
"SLC52A3" -0.575984771069008 2.06022189576192 -5.25593865621063 1.87009859302594e-07 2.57894434714895e-05 5.27855927866776
"SELE" -0.57203987497154 -0.887087432521517 -3.09639731567964 0.00202411956464356 0.02082907666387 -3.09932791439874
"MYPN" -0.56682128969604 -3.52160016503692 -4.60072884975774 4.8611606439774e-06 0.000322629768388472 2.94950150973985
"SLC34A2" -0.559402958547316 -3.19467486285438 -4.49860828701602 7.80541384419425e-06 0.000449046020302422 2.45397300625886
"SLCO4A1-AS1" -0.558952882396577 -2.40734846960411 -4.17706677839169 3.26259857682593e-05 0.00127046631052365 0.983637453947772
"PUDP" -0.552998668025524 2.92224910146041 -26.6774138964942 5.62250192837953e-114 4.46504204864071e-111 249.254301658946
"OTX2" -0.551584033507459 -1.99387485282 -2.75796941931848 0.00594285297395364 0.0424252647210639 -3.91902190076166
"MATN3" -0.53471081815695 1.54808590510087 -5.46641151304453 6.06193930596521e-08 9.97189015831277e-06 6.45904922978599
"LHX9" -0.533420032426173 -4.36786562511972 -2.77218658506518 0.00569168009308575 0.0410135771413532 -3.54884902851
"RP3-331H24.6" -0.530961873599166 -3.7490506754337 -4.72631851667865 2.68103692354347e-06 0.000208595541720291 3.54974716133697
