"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.27331730769231 6.07117185185185 25.0721095737079 1.6474572096188e-20 1.51113171419224e-16 19.1312215878446
"RPS4Y1" 5.62465989010989 6.77993185185185 25.0155601470318 1.74879263301961e-20 1.51113171419224e-16 19.1186302656401
"NLGN4Y" 3.62301120879121 6.46564148148148 22.9996191543572 1.59885477373047e-19 9.21046939987001e-16 18.6203247313094
"EIF1AY" 3.31828774725275 5.29429518518519 22.2952333112947 3.61170679336838e-19 1.56043792007481e-15 18.4207145856013
"UTY" 3.41631302197802 5.55301925925926 20.9032455846181 1.93910693659102e-18 6.70232921563321e-15 17.9799745305552
"USP9Y" 3.84130961538462 5.73407555555556 17.4748936515412 1.92987581204189e-16 5.558685630618e-13 16.5568439572567
"ZFY" 1.63953142857143 4.57301740740741 11.0783495063923 1.17020625649073e-11 2.88907207495326e-08 11.6812860253906
"PCDH11Y" 4.52444565934066 5.79464962962963 9.30601603268055 5.34843197447918e-10 1.15539501728686e-06 9.4777259060091
"TTTY14" 0.732201043956044 6.18312518518518 6.52291618603864 4.89587296730289e-07 0.000940116406899207 4.94289159620065
"TMSB4Y" 0.905740769230769 4.77854259259259 4.95277284188392 3.28439510383325e-05 0.0567609161844462 1.82630277934475
"TTTY10" 0.636663406593407 4.11516407407407 4.8527713062152 4.30847088974465e-05 0.0676899944696064 1.61880099422693
"PRKY" 0.700317637362638 5.04163074074074 4.31059035996215 0.00018693079542825 0.269211500549252 0.486591162526096
"TBL1Y" 0.464657307692308 4.00906111111111 3.96715219804606 0.000469132857505557 0.62365800333931 -0.230327224532247
"ZFX" -0.916561483516484 7.80428666666667 -3.77791877063844 0.000774511690488779 0.956079359644792 -0.622496702324827
"RXRB" 0.349428681318681 8.5110837037037 3.32674794494607 0.00249896037965463 0.999878920629005 -1.54067542979096
"KATNAL1" -0.41437467032967 8.23774444444444 -3.32303967840274 0.00252270298203143 0.999878920629005 -1.5480871940683
"CD68" 0.680822857142858 7.09866925925926 3.30979283488712 0.00260930642798923 0.999878920629005 -1.57454210430783
"GRIA4" -0.51549532967033 6.56871074074074 -3.28311570338972 0.00279248907836601 0.999878920629005 -1.62771343753772
"FAM18B2" -0.299287142857143 4.06893407407407 -3.25684650846999 0.00298493436420548 0.999878920629005 -1.67993131479542
"OR1A2" 0.340431648351648 4.00788703703704 3.23717250246962 0.00313735368286516 0.999878920629005 -1.71894556081006
"TOR3A" 0.375285054945055 5.93896148148148 3.12682661593804 0.00414073776745404 0.999878920629005 -1.93619133349461
"YAP1" -0.621192747252748 7.10462851851852 -3.12298225890195 0.00418072081275412 0.999878920629005 -1.94370953910583
"IMPACT" -0.377690769230769 8.00007111111111 -3.10078119049466 0.00441894259523806 0.999878920629005 -1.98705742457968
"INTS2" -0.343308186813187 6.73516296296296 -3.08235198717766 0.00462649091964095 0.999878920629005 -2.02294927510867
"KDM5C" -0.510124725274724 8.26280703703704 -3.01958276176455 0.00540543180334022 0.999878920629005 -2.14455221731575
"ZNF497" 0.419271153846153 5.2773937037037 3.00639577452691 0.00558424847498583 0.999878920629005 -2.16996910594994
"JPX" -0.731054285714286 5.89228481481481 -3.00221121581933 0.00564215806882582 0.999878920629005 -2.17802482297385
"HDHD1" -0.456053516483517 8.82819703703704 -2.99237558558032 0.00578052933113255 0.999878920629005 -2.19694090667706
"LAPTM5" 1.17281197802198 7.58546703703704 2.95814076153303 0.006287734970836 0.999878920629005 -2.26257614069742
"MAPRE3" 0.52162153846154 10.8216988888889 2.9518469822144 0.00638546436823818 0.999878920629005 -2.27460727845121
"CYP2A6" -0.387661483516484 3.60676111111111 -2.951786756088 0.00638640648039319 0.999878920629005 -2.27472235256804
"SSSCA1" 0.751773461538462 8.30594 2.9199898564164 0.00690264185011678 0.999878920629005 -2.33533306653356
"DCUN1D2" -0.249060384615384 6.60775296296296 -2.91124304528397 0.00705143919967659 0.999878920629005 -2.35195519659678
"THRA" 0.239419780219781 10.7029666666667 2.89872576291306 0.00726966915712463 0.999878920629005 -2.37570380526111
"DDX3X" -0.636013296703297 8.91334148148148 -2.88903318748356 0.00744302616340993 0.999878920629005 -2.39406154049926
"SLC25A51" -0.66372554945055 6.0772237037037 -2.88827156431368 0.00745681262133139 0.999878920629005 -2.39550287607044
"GET4" 0.495290824175824 6.61737592592593 2.88756150749008 0.00746968740332259 0.999878920629005 -2.39684646962397
"RGS2" 0.600374175824176 10.6863666666667 2.88354942862553 0.00754283041574206 0.999878920629005 -2.40443544350692
"THEM6" 0.336546593406594 6.40331333333333 2.87810734136026 0.00764312612757939 0.999878920629005 -2.41472164974891
"NPAS4" 0.916766483516484 6.00457962962963 2.87542860296777 0.0076929559802395 0.999878920629005 -2.41978153515665
"TIMM13" 0.34649554945055 6.00518666666667 2.87116637469044 0.00777287521744659 0.999878920629005 -2.42782804122469
"SSNA1" 0.705644725274726 8.2744837037037 2.84380482104818 0.00830489592389983 0.999878920629005 -2.47935171124347
"GRINA" 0.456762362637362 10.1633366666667 2.83841072013904 0.00841375560891808 0.999878920629005 -2.48948209864482
"TRIM11" 0.298830714285715 5.91718925925926 2.83665981201623 0.00844937947026996 0.999878920629005 -2.4927684551485
"HCST" 0.226645879120879 4.14848777777778 2.81879975086475 0.00882097368899419 0.999878920629005 -2.52623623290267
"PRAM1" 0.227608516483517 4.26191 2.7849183461624 0.00956857740442631 0.999878920629005 -2.58944914118537
"KIF21A" -0.545371428571429 8.99734481481481 -2.78317329265733 0.00960865237556429 0.999878920629005 -2.59269493668883
"AIF1" 0.791189285714286 5.9816062962963 2.77725829649696 0.00974566657613968 0.999878920629005 -2.603689468557
"POMGNT1" 0.459720219780219 8.26131037037037 2.77455603387991 0.0098088705998794 0.999878920629005 -2.60870852761364
"GRAP" 0.536920989010989 5.38208962962963 2.76315768549099 0.0100797322879216 0.999878920629005 -2.62985302412703
"ATP6V0B" 0.473658626373627 9.53666 2.74930442968796 0.0104183858291616 0.999878920629005 -2.65549388255275
"MMP28" 0.228613846153846 4.89960666666667 2.74338650983481 0.0105662839676702 0.999878920629005 -2.66642787537929
"TREM2" 0.748815054945055 5.2397637037037 2.74069459260807 0.0106342088158647 0.999878920629005 -2.67139761052892
"HM13" 0.319152142857142 7.9741562962963 2.73926071371276 0.0106705566583323 0.999878920629005 -2.67404380312911
"OPTN" -0.361886318681319 7.4275637037037 -2.72204422843885 0.0111161748822646 0.999878920629005 -2.70576238418852
"COPE" 0.633205054945055 8.16902777777778 2.72077374288997 0.0111497406069648 0.999878920629005 -2.70809907200143
"PPM1M" 0.344411538461539 6.15945222222222 2.71998896006564 0.0111705216630552 0.999878920629005 -2.7095421768559
"GUCA1A" 0.741422912087913 6.39114074074074 2.70889480163008 0.0114682026507488 0.999878920629005 -2.72992027381665
"CLPP" 0.420363846153846 8.51259259259259 2.68964737492808 0.0120023347916634 0.999878920629005 -2.76517406822875
"SS18" -0.346737527472527 7.60713555555556 -2.68437819470577 0.0121525637532792 0.999878920629005 -2.77480272654394
"DENR" -0.50141631868132 7.72654481481481 -2.67744939387557 0.01235278523708 0.999878920629005 -2.78744930816297
"FOLR2" 0.855091703296704 5.37200703703704 2.67250848325177 0.0124974402421388 0.999878920629005 -2.79645724588203
"DRP2" 0.420030879120878 8.93917148148148 2.66162317759355 0.0128217280281186 0.999878920629005 -2.81627215400636
"KLHL14" 0.261129285714286 4.05082037037037 2.65858032272715 0.0129137733239791 0.999878920629005 -2.8218036434875
"DAGLB" 0.288956813186814 7.78018407407407 2.63576752225334 0.0136237363271499 0.999878920629005 -2.86316844091105
"FAM98C" 0.41392532967033 7.09965333333333 2.62550509056746 0.013954832220093 0.999878920629005 -2.88171518159227
"FGFR1OP" -0.434855054945055 6.44457037037037 -2.61300867644027 0.014368114712658 0.999878920629005 -2.90424727017328
"GSTM2" 0.491988681318681 10.9651237037037 2.60405959038061 0.0146710448015017 0.999878920629005 -2.92034786001741
"GALM" -0.347683791208791 4.72340259259259 -2.58258158313638 0.0154224680400541 0.999878920629005 -2.95886795163477
"RPGR" -0.371089615384616 5.80237777777778 -2.57643013159754 0.015644173240539 0.999878920629005 -2.96986844988076
"MSI2" -0.37370543956044 7.60226296296296 -2.57097021363301 0.0158434281676976 0.999878920629005 -2.97962029204807
"MGRN1" 0.345484999999999 9.10035037037037 2.5661474119258 0.0160213872269855 0.999878920629005 -2.98822476906667
"CCDC116" 0.219685109890109 4.53741925925926 2.56396210424288 0.0161026326199124 0.999878920629005 -2.99212070992045
"VSIG4" 0.605853626373626 5.76361555555556 2.56348243280647 0.0161205168904903 0.999878920629005 -2.99297561841311
"SNAP47" 0.365394670329671 7.59637851851852 2.56339248686865 0.0161238725217674 0.999878920629005 -2.99313591740995
"OLFML3" 0.866654505494505 5.52476333333333 2.56084667454654 0.0162191185806045 0.999878920629005 -2.99767170588455
"SLC7A7" 0.243032747252748 4.21763851851852 2.5583052037406 0.0163147220827184 0.999878920629005 -3.00219728384293
"RNF212" 0.435310494505495 5.63371962962963 2.55504518297188 0.0164381200716999 0.999878920629005 -3.00799875018755
"RNF167" 0.354812692307692 8.21705925925926 2.54989561112362 0.0166348038842443 0.999878920629005 -3.01715449418693
"CYFIP1" 0.251276703296703 7.50396777777778 2.5481819751939 0.0167007366454941 0.999878920629005 -3.02019900674368
"DEDD2" 0.394874285714285 7.98318962962963 2.54086733520122 0.0169848996988848 0.999878920629005 -3.0331817087027
"DPYS" 0.297624395604396 4.24608222222222 2.53014233832491 0.0174096475098053 0.999878920629005 -3.05217983386316
"RAD54L" -0.306149395604395 5.17600740740741 -2.52785711051894 0.0175014109301092 0.999878920629005 -3.05622205330489
"CDK5" 0.582931758241758 9.6445562962963 2.52321235144183 0.0176893010690229 0.999878920629005 -3.06443161387909
"TSSC1" 0.541587472527472 8.08431851851852 2.52016041991509 0.0178137711544249 0.999878920629005 -3.06982125399619
"PTAFR" 0.522720494505494 5.77872333333333 2.51725582678102 0.0179329833589132 0.999878920629005 -3.07494729027208
"FLAD1" -0.204314010989011 5.33408555555556 -2.51719775807935 0.0179353741499207 0.999878920629005 -3.07504973619148
"CXCL14" 0.643313901098901 9.32490555555555 2.51707863091339 0.0179402797474487 0.999878920629005 -3.07525989846064
"CD37" 0.554588516483516 5.20909518518518 2.5140966969475 0.0180634788760142 0.999878920629005 -3.08051875292434
"INSIG2" -0.380910384615385 6.3280662962963 -2.51321553014837 0.0181000337369855 0.999878920629005 -3.08207208082403
"RPSAP58" -0.328658516483516 4.1681337037037 -2.51188748546924 0.0181552562499325 0.999878920629005 -3.08441258791901
"SLCO4C1" -0.296806538461539 4.55612185185185 -2.50371468231677 0.0184985350995624 0.999878920629005 -3.09880069155763
"AURKC" 0.241043791208791 4.96976259259259 2.50132010299677 0.0186002425989131 0.999878920629005 -3.10301128029378
"ACTG2" 0.689234395604396 5.09962925925926 2.50001600214003 0.018655849846691 0.999878920629005 -3.10530342752906
"GUCY1B3" 0.423234615384615 10.6957703703704 2.49734715230168 0.0187701288497905 0.999878920629005 -3.10999220173285
"OR51B6" 0.255326868131868 3.78203555555556 2.49431820673546 0.0189006091380045 0.999878920629005 -3.1153101576971
"EXOSC5" 0.568490879120879 7.34388074074074 2.49324867652804 0.0189468816280474 0.999878920629005 -3.11718706626488
"TMEM175" 0.575573736263736 8.00934333333333 2.49042420768299 0.0190695830196377 0.999878920629005 -3.12214149277361
"GTDC2" 0.380068681318681 8.45402111111111 2.47570202157719 0.0197210919517495 0.999878920629005 -3.14791374708761
"TEKT4" -0.247145604395604 5.49716888888889 -2.47300198379704 0.0198427803696211 0.999878920629005 -3.15263083448499
"GSTO2" 0.42342956043956 6.63837222222222 2.47025410645933 0.0199673344165028 0.999878920629005 -3.15742845491929
"LILRA2" 0.433088901098901 4.16534 2.46879720385651 0.0200336635590727 0.999878920629005 -3.15997086703298
"MAPK8IP1" 0.472138186813187 9.85806777777778 2.46823739544444 0.0200592041337895 0.999878920629005 -3.16094754747243
"MPPE1" 0.601901813186813 6.40229185185185 2.46625671445585 0.0201498110794916 0.999878920629005 -3.16440215335484
"FUNDC2" 0.465667307692307 5.91528481481481 2.46579371780844 0.0201710452655088 0.999878920629005 -3.16520945814011
"VAMP2" 0.420684065934065 11.5673555555556 2.45554235703148 0.0206465051911159 0.999878920629005 -3.18306176155801
"PANK4" 0.288917197802199 7.14992814814815 2.45401973907355 0.020717997142622 0.999878920629005 -3.18570965328953
"SMOC2" 0.601573351648352 6.6626 2.44683266855095 0.0210585363503897 0.999878920629005 -3.19819533761753
"ANKRD36BP1" 0.248301263736264 4.88776111111111 2.44211410242396 0.0212849014035984 0.999878920629005 -3.20638101049198
"SUMF2" 0.325154340659341 9.96727777777778 2.43045548415652 0.0218538191133368 0.999878920629005 -3.22656644330136
