"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 5.04796114390151 7.32780920363821 139.396826475038 0 0 835.603866747444
"TTTY15" 5.18084567502901 5.79405848854657 129.436711659507 0 0 805.109928264885
"RPS4Y2" 7.90124063825708 7.92686186812036 129.060959931507 0 0 803.909677687121
"TTTY14" 3.65489320430146 6.00490613519859 116.704360588479 0 0 762.200177750331
"XIST" -6.72722833307317 3.34980161731834 -111.312158834445 0 0 742.513098414215
"NLGN4Y" 3.51275893137379 6.87304287100508 108.991330535916 0 0 733.733207253351
"USP9Y" 3.55981788866825 4.28869158846751 78.2159219036606 2.86545618166138e-266 8.48870926273029e-263 595.654106963153
"RPS4Y1" 4.747378155809 8.96673799061556 73.847947656177 1.00304039316928e-255 2.60000607914392e-252 571.988295010986
"TMSB4Y" 3.60592219979469 4.1775589772695 73.2477062891167 3.10091188433199e-254 7.14484552726583e-251 568.638298350093
"CYorf15B" 2.78536261534104 4.86051431973603 56.3892708502281 1.22917861805466e-207 2.54894770025995e-204 463.325592690548
"KDM5D" 2.79448868687516 6.68185121412541 52.4645293745323 2.925009445613e-195 5.5141746248797e-192 435.205811570252
"UTY" 2.74915373142852 3.61288712471994 39.0821952520329 1.25059260308256e-147 2.16112823417692e-144 326.585341926746
"HSFY1" 2.76723020026215 3.53977057203765 34.9490566634206 4.94409032746639e-131 7.88658470159003e-128 288.62439426462
"AC034199.2" 2.28138113619811 4.68280602738879 34.6878108771513 5.94753976921662e-130 8.80958087101751e-127 286.152110534225
"EIF1AY" 2.07087968440125 6.88968208344898 34.000761469324 4.29389660043338e-127 5.93616892021247e-124 279.609252317507
"LOC100132317" -2.10735496108085 4.82624210708419 -32.0939611222616 4.98846758900903e-119 6.46536577458001e-116 261.14306817868
"GYG2" 1.45748810961369 3.52457622542559 31.8358587775059 6.37224674835477e-118 7.77301651886076e-115 258.60934592703
"C12orf28" -1.38708153680553 2.3562781266069 -27.3389748340693 3.99407054851361e-98 4.60139116469593e-95 213.247934153857
"BCORP1" 1.98733305951476 3.58612528201573 27.1339106228093 3.35565013805661e-97 3.66242720594105e-94 211.129079997402
