"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 5.32632078733333 5.1017269045 48.1733183628621 2.48725631960138e-21 3.64258688005622e-17 25.785707248121
"UTY" 3.05953325791667 3.9345050008125 31.3218862258842 8.04363343956779e-18 5.88995058612352e-14 23.4703749211081
"EIF1AY" 3.49340331566667 3.38591250775 26.5575937233258 1.73067219801704e-16 8.4485647799865e-13 22.1826106563303
"TXLNGY" 1.90149247658333 3.1797156035625 19.9532893644843 3.30615313547139e-14 1.21046531672446e-10 19.3858485280515
"TMSB4Y" 2.12085171516667 4.177661269875 14.106998615967 1.60614446434738e-11 4.70439713607346e-08 15.1626733926355
"SSTR1" -1.8358676435 8.036840617625 -10.8505268562066 1.3874553535536e-09 3.38654727546542e-06 11.5932868861349
"MET" -2.55065254375 6.7191944420625 -8.51336925602723 6.56106663669813e-08 0.000137266886992063 8.24012946956812
"ZFPM2" 1.23826257383333 7.230225622625 8.31131702742496 9.44505009204324e-08 0.000172903448247467 7.91331146600886
"STPG1" -1.200844129 4.42222058775 -7.54374346788051 3.95800349120798e-07 0.000644055123652677 6.61427239570798
"PTCHD1" -0.845425049583334 5.7933712601875 -6.8978812177536 1.40488604534508e-06 0.00205745561340787 5.44967292613694
"EZH2" 0.835256695583334 7.3129350245625 6.50497098787301 3.12095526311039e-06 0.00415512634802288 4.70935282907125
"PPFIBP1" -1.02113763475 7.6532056928125 -6.4453770376143 3.52895395506478e-06 0.00430679422266031 4.59500250996022
"PARP11" 0.691954056499999 6.270599424875 6.35329890610904 4.27060873195461e-06 0.00475411585425787 4.41726956045845
"SYNE2" 1.23991489433333 6.87336623675 6.31317364371513 4.6423952325601e-06 0.00475411585425787 4.33942177804084
"MARCHF3" 0.881471713166666 6.451983749875 6.29027481618505 4.86935731060895e-06 0.00475411585425787 4.29488818378574
"H2BC7" 0.852590720416666 9.6441317796875 6.24167273458305 5.38973777092447e-06 0.00488170657436065 4.20011023531822
"GABRA4" -1.8819275695 7.134098112625 -6.21773904522279 5.66671299174674e-06 0.00488170657436065 4.15330995050886
"PIK3R3" 1.06942005966667 7.169727415 6.1731997464376 6.22182150519319e-06 0.00498928039731918 4.06599415864665
"PSMB7" 0.556403556916666 10.2533475773125 6.15437799404081 6.47294827921232e-06 0.00498928039731918 4.02900878537714
"JPX" -0.783353328666666 3.41440749175 -6.06123224706753 7.87834885128191e-06 0.00576892094635117 3.8452216272319
"VSIG4" 1.00583068541667 4.5055443644375 6.01344569702468 8.71764350284075e-06 0.00597307125719124 3.75045187105807
"PLP2" -1.125651757 6.15796631575 -5.99950481362278 8.97942064487705e-06 0.00597307125719124 3.72274354170337
"LRRTM1" -0.856292446416666 7.5139293968125 -5.97892473964764 9.38071962549666e-06 0.00597307125719124 3.68178940542661
"NEBL" -1.07884426908333 8.2088706790625 -5.94595470816441 1.00624384510566e-05 0.00614018379648848 3.61605564342608
"CXXC4" -1.37444078925 8.3118356169375 -5.8086104955006 1.34973321764104e-05 0.00774091887135015 3.34061014280254
"AHNAK2" -0.783369183583334 7.1520318686875 -5.80021538305042 1.37428399218234e-05 0.00774091887135015 3.32369027745292
"TTTY10" 0.674003323249999 3.0137974918125 5.77884737660299 1.43886185296991e-05 0.0078044932728683 3.28058156581575
