"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -4.93428624363199 4.78532598501068 -24.6034949773941 6.02082736549323e-49 2.03389569233727e-44 87.1701707859861
"TTTY15" 2.86507077638815 5.16494992620741 22.6330079134547 2.46950788207414e-45 4.17112228821733e-41 81.0284010280711
"RPS4Y1" 1.53738355176927 4.14252821498828 22.5322394630964 3.82533085873942e-45 4.30745005796921e-41 80.6992296778982
"NCRNA00185" 1.59765078976202 4.75756082409984 21.8672683327533 7.08164149764552e-44 5.98062328579908e-40 78.4889983836113
"NLGN4Y" 2.10670779318926 5.71573175324261 21.7284746068871 1.31102482870457e-43 8.85754594769382e-40 78.0192605637778
"DDX3Y" 1.28919940317439 4.66587891022487 21.1516602700367 1.73853779237153e-42 9.78825752735045e-39 76.0354823606119
"KDM5D" 1.83693544892919 4.88036006677347 21.1166644378976 2.03640181375706e-42 9.82738423864677e-39 75.9134740221727
"AGKP1" 1.41225013355782 4.77128433317712 20.6413266875129 1.77109223723063e-41 7.47865835823598e-38 74.237378330599
"UTY" 1.40170240072002 4.98598296829675 20.5975191845287 2.16485600046469e-41 8.1256667279664e-38 74.081128078398
"TXLNGY" 1.22375595726508 3.79487530608937 20.474024838432 3.81745060571021e-41 1.28957298911496e-37 73.6390292568097
"USP9Y" 1.45858435827927 3.80067133737693 20.0351860240484 2.90984782924216e-40 8.93614268360267e-37 72.048513763
"EIF1AY" 1.10073491298068 3.07933369535934 19.5347892029632 3.03766356633925e-39 8.55127607787551e-36 70.1974433982258
"TTTY14" 1.03424964957081 5.62690330723193 19.2966282772423 9.37978506216367e-39 2.43737322449962e-35 69.3023176633445
"HSFY1" 0.548840909291221 2.97973436290306 17.9287496947911 6.99701654001863e-36 1.68833011241692e-32 63.9831270613364
"LOC102723889" 1.89613823828608 6.1975441125669 17.0315361110262 6.0919133851873e-34 1.37193950710008e-30 60.328740836396
"RPS4Y2" 0.555019794664859 3.64943245030322 16.4141700737226 1.39523063915584e-32 2.94576788883272e-29 57.7384232777908
"RNU1-48P" 1.41218357242942 3.30915689450064 15.2453834648392 5.93121544792816e-30 1.1786022885086e-26 52.6687189567684
"TTTY3B" 1.09723869851973 4.48920188676408 14.9472041483886 2.84791602359674e-29 5.34474728850676e-26 51.3415660944365
"TTTY10" 0.675724737799461 4.14513598796024 14.450597403873 3.96751125474147e-28 7.05402619454851e-25 49.1019348330016
"PCDH11Y" 1.12589023726631 6.20356597753193 13.5776267654361 4.31815616281357e-26 7.29358166680027e-23 45.0804083792068
"GYG2P1" 0.417895264377615 6.56067339581406 12.7222463500196 4.55774135374031e-24 7.33166955574768e-21 41.0445159487275
"ZFY" 0.4448760978999 4.27715714091906 12.4433013539143 2.10638185179514e-23 3.23434933343144e-20 39.7102084070869
"KALP" 0.624669764348447 4.68244135082633 11.8390959842763 5.88826508467292e-22 8.64832534023199e-19 36.7935044131939
"FAM224A" 0.497457769746798 4.6815231768517 11.5484992869254 2.93856502057228e-21 4.13615270666468e-18 35.3793573931261
"TSIX" -0.268647909902486 2.8771747522588 -11.1531784231422 2.62756929153317e-20 3.55047672949127e-17 33.4458311756679
"TMSB4Y" 0.393843373696296 5.32916282891582 9.5865779253652 1.53836176467685e-16 1.99874610663649e-13 25.7237277705111
"PRKY" 0.452721759211408 4.21179974659387 8.74728819728784 1.51956419795942e-14 1.90119993226915e-11 21.5987233202307
"CD24" 0.498704986557838 4.87830204513689 8.08476794315894 5.37084070119319e-13 6.47972749025026e-10 18.3828087820458
"LINC00278" 0.259335603316111 3.06761367103188 7.25123440257505 4.24751897351188e-11 4.94777373945533e-08 14.4278890255787
"LOC101929069" 0.289639326156467 3.87447617320156 7.02209938989591 1.37216935674498e-10 1.5451084346734e-07 13.3651204077727
"JPX" -0.367686211377174 4.62026724387872 -6.95689351081809 1.91070847565531e-10 2.08211751664878e-07 13.0649787315261
"RNU6-255P" 0.455955814791367 2.40681024369748 6.35805015788572 3.76218526073422e-09 3.97157438415196e-06 10.362544996686
"DDX3X" -0.204867457487129 5.93375331100353 -6.25823809693813 6.11134209100823e-09 6.2559771871621e-06 9.92260054077087
"LOC102724689" -0.811985523007281 6.39188560844557 -6.20007466031263 8.09466005196386e-09 8.04252091809974e-06 9.66774830255246
"PLCXD1" 0.247132039660847 5.2811593097369 6.17407833282727 9.17446220776342e-09 8.8549287954416e-06 9.554210384982
"ARSDP1" 0.217676106596951 5.74481197948538 5.55719209187898 1.65658707560154e-07 0.000155447688891377 6.932538802057
"RBMY1A3P" 0.165210516489892 2.95588550679086 5.50419403990657 2.10832803729825e-07 0.00019249034980533 6.71431197443705
"KDM5C" -0.159115773502692 5.143787142278 -5.21732039969106 7.60532955953668e-07 0.000676093783817654 5.55428515001695
"HDHD1" -0.192532886137278 4.8640966566647 -4.93050693171617 2.63605893435435e-06 0.00228330017593396 4.43253215054593
"NLGN4X" 0.168886786727615 5.17113365770533 4.82802346169817 4.06854006391029e-06 0.00343598379747384 4.04151977747698
"ASMTL" 0.16552919567412 5.36917804810135 4.64429953352286 8.73502597541646e-06 0.00719702225550106 3.35413639433197
"CDY4P" 0.174029203842171 3.03224479445744 4.49472905420514 1.60495063879782e-05 0.0129087708402926 2.80789928201706
"TPT1P13" -0.117125402156826 2.47816731607088 -4.4576773425867 1.86235562573465e-05 0.0146307524169633 2.67449540616268
"DDX3YP1" 0.225274704583279 3.66399327111164 4.38013403330657 2.53603104221897e-05 0.0194703783266361 2.39780936865299
"LINC00279" 0.190695244021266 2.78653087439824 4.33462321521567 3.03493020383977e-05 0.0227828838257581 2.23701978589756
"LINC00685" 0.162203984459328 4.33150558118674 4.28782981924365 3.64578069607361e-05 0.0267735038465354 2.07294888124338
