"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"USP9Y" 3.37812778202857 5.72411896911598 24.0660225188519 3.70768934959554e-48 6.45508715764583e-44 86.1002551883229
"DDX3Y" 3.12236357459925 6.2974991167585 23.8139710464996 1.0711698572901e-47 9.32453360771032e-44 85.3178214167023
"RPS4Y1" 3.15072889099563 6.15203787977314 23.6429517701705 2.20949354628779e-47 1.28224275469568e-43 84.7818018332994
"UTY" 2.52363606982791 5.52985947113247 23.2022823146014 1.44977287981527e-46 6.31013645939596e-43 83.3813016823295
"EIF1AY" 2.43490529095207 4.03348380980223 21.5729056166561 1.85833103007701e-43 6.47070864672815e-40 77.9545410128626
"NLGN4Y" 2.72792010731382 6.20270502357474 21.3637999978112 4.76515496846671e-43 1.38268913335009e-39 77.2290584311911
"ZFY" 1.16973076184803 5.10663277829665 20.4376314414101 3.29346859659615e-41 8.19132689524842e-38 73.9341275543598
"TXLNGY" 1.42088142100422 3.93040997304865 18.1887181455265 1.5112551321263e-36 3.28886898128986e-33 65.3650110362393
"PCDH11X" 2.19451758722069 5.30347688212811 17.3642774421251 9.07324372860804e-35 1.75516859238962e-31 62.0182939443823
"TTTY10" 1.14951056074372 4.07021521051206 16.9716287221099 6.57200416865395e-34 1.14418592576265e-30 60.3855869275072
"KDM5C" -0.335714953254365 7.27670279777937 -11.1024579537435 3.18884595509298e-20 5.0470734616517e-17 33.3178122364492
"ZFX" -0.499941588916218 6.83913558813733 -10.9964767025494 5.75246391049541e-20 8.34586639014376e-17 32.7946888646599
"PRKY" 0.491204364740036 5.43594502491841 10.8103553938933 1.62133787293459e-19 2.14408487808547e-16 31.8747080997569
"TTTY14" 0.677132087042091 6.2454069482906 10.799313607204 1.7241348818608e-19 2.14408487808547e-16 31.8200830527278
"TMSB4Y" 0.575202896096663 4.95856334652017 10.2546163841582 3.5711176450203e-18 4.14487721332023e-15 29.1207421227181
"HDHD1" -0.398900141308922 7.16012900340657 -7.18711879292453 5.75681997146539e-11 6.26413973145077e-08 14.165266699927
"DDX3X" -0.235256944602338 7.2341410394509 -6.12234066774159 1.15837255573805e-08 1.18630977619997e-05 9.35015188994265
"CD24" 0.70763605070421 4.98932715215907 6.00693503157804 2.01074592525572e-08 1.94483814215011e-05 8.84966845674667
"JPX" -0.584442315286759 3.89324130056956 -5.67095227540583 9.71525343345639e-08 8.90224011981452e-05 7.42099738880551
"EIF2S3" -0.219842808789748 8.34307273362777 -5.63512677334347 1.14600329290555e-07 9.9759586647428e-05 7.27128793884785
"KDM6A" -0.349894609660787 5.83731460910573 -5.55904275377419 1.62449309409147e-07 0.000134678213181583 6.95510404798442
"PNPLA4" -0.241581255029126 6.56188412631216 -4.76590250710851 5.24381353575728e-06 0.00414976334806974 3.81489269874984
"ESYT3" -0.146358417884374 5.99219410240871 -4.27097064607343 3.87594313521865e-05 0.0293392043409377 2.01840274954575
"GABARAPL3" 0.171572036901647 5.18621720713284 3.82479480999457 0.000207665265258148 0.147301232369794 0.522269708040136
"GADD45A" -0.253593387429665 5.32777113020587 -3.81971655451477 0.000211518139531582 0.147301232369794 0.505961863846532
"FAM118A" -0.322812159539707 6.41782139361211 -3.79859493253189 0.000228284345359873 0.152862709719823 0.438313526443699
"PCDHB6" -0.254300500824367 3.96545475158185 -3.70921592725528 0.000314244312061842 0.202629387888766 0.155282117908711
"TMEM43" -0.1000721251925 6.80430589810802 -3.66765395114479 0.000363940725091654 0.226293143708775 0.0254686035799416
"IMMP2L" -0.101347025618742 3.46033573790733 -3.4197783103711 0.000852867819467306 0.512014784031924 -0.724454670233008
"ANGPTL4" -0.450310719415946 5.86976297056857 -3.40157217321711 0.000906424013342657 0.517975645388336 -0.777864533152492
"HILPDA" -0.516554536010616 6.04367322129307 -3.37969622434035 0.000974947512035366 0.517975645388336 -0.841732516699405
"VWA5A" -0.184613656899042 5.50662475784468 -3.3787278437168 0.000978090310301324 0.517975645388336 -0.844551972863813
"SLCO4A1" -0.27972571270331 5.97869707243244 -3.37758750830313 0.000981803348524702 0.517975645388336 -0.847871231151259
"POLA2" -0.103828343225147 4.67863582423011 -3.3134213410473 0.00121335434785313 0.58743250392711 -1.03316253636964
"RPL5" -0.143306476782547 4.09822169041013 -3.30707488464263 0.00123884155387907 0.58743250392711 -1.05133015698658
