"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"KDM5D" 2.34304071471795 5.47232446679466 7.30428633990197 9.10606394579858e-08 0.00176612110228763 -0.226770261171378
"XIST" -3.24747435640018 4.40194700206379 -6.42288089600236 8.19605115030095e-07 0.00794812060300434 -0.705936655725225
"DDX3Y" 1.13924706035795 4.09382157406384 5.84333453721009 3.63742381812001e-06 0.0235159449841459 -1.0659178438633
"URB2" -0.681693638285166 4.90023830780147 -4.97443512051628 3.55916196322048e-05 0.172574865691653 -1.67427199201172
"RPS4Y1" 2.84915453937957 7.30898989132176 4.84419523089047 5.02278507076427e-05 0.194833832894946 -1.77228659882809
"TTTY14" 0.932346377013209 4.60215894069516 4.53711118583895 0.00011316728014263 0.365813233061052 -2.00980740566234
"YBEY" 0.710385555208128 5.60602348872656 4.25813006556316 0.000236240682027905 0.61968548992915 -2.23269093518473
"TXLNGY" 0.75384191779124 3.77789269416826 4.18068957551134 0.000289584337012441 0.61968548992915 -2.29561850688254
"NLRP2" -0.601424160110989 3.66777299788277 -4.1677699443558 0.000299577735831244 0.61968548992915 -2.30615779359995
"HLA-DRB1" -0.699664796986132 6.25900955723234 -4.14323059073883 0.000319507857658752 0.61968548992915 -2.32620710692096
"C1QA" -0.906977014740545 4.76290060167254 -4.08139219103631 0.000375734422616246 0.652759858403064 -2.37690628755571
"CELF3" 0.750093953626786 6.41531165302216 3.93506239990287 0.000550663965729857 0.652759858403064 -2.49780094294255
"SPP1" -2.12959377493146 6.15754576227457 -3.93093044481614 0.000556622691814228 0.652759858403064 -2.50123202278215
"DND1" 0.718603366411885 5.90998122106807 3.92860716615636 0.00056000094019593 0.652759858403064 -2.50316161051992
"RPS4XP2" -0.789217614971626 8.29738797001232 -3.89164435957759 0.000616542472231331 0.652759858403064 -2.53389795557908
"BFAR" -0.573949048487173 4.81705796897289 -3.85118367162352 0.000684878977763988 0.652759858403064 -2.56761975516683
"PRKAB2" -0.626783418095372 4.99286302805091 -3.8214309831068 0.000739825754072208 0.652759858403064 -2.59246533185843
"WDFY2" 0.36207701877243 4.39282047411566 3.81463340361495 0.000752974270061273 0.652759858403064 -2.59814727954546
"MFSD4B" 0.331464753003216 3.4693034750591 3.73519821866289 0.000924683871843761 0.652759858403064 -2.66468602270462
"SFT2D3" -0.518358610454525 5.29629423073066 -3.73219148426234 0.000931886328401609 0.652759858403064 -2.66720938840183
"CD14" -1.17488561772717 5.68568805595027 -3.70969876415041 0.000987536727345857 0.652759858403064 -2.68609633611362
"PPARD" 0.477846683372702 5.0969154818272 3.68181771750507 0.00106104726109623 0.652759858403064 -2.70953170616668
"UBE2T" -0.72109282774456 3.76380846711814 -3.64105855278897 0.00117822756278476 0.652759858403064 -2.74383556296389
"YPEL1" -0.398192210760853 4.48787495594918 -3.63615825537031 0.00119314001009278 0.652759858403064 -2.74796302155882
"SRGN" -0.773047786516524 4.43980614500831 -3.63066679785309 0.00121007050429036 0.652759858403064 -2.75258919228401
"CLUL1" -0.587249029415946 3.47127569375287 -3.62308669506917 0.00123382629171657 0.652759858403064 -2.75897623750148
"RPL10P2" -0.534634283622495 4.40980349595232 -3.6056636079361 0.00129016841135464 0.652759858403064 -2.77366271520663
"CCDC84" 1.09365934736156 8.88270960060894 3.5745693038666 0.00139701990364146 0.652759858403064 -2.79989139699604
"SRL" 0.718284594146346 4.55315189965971 3.53815163801617 0.00153315604981987 0.652759858403064 -2.83063692661336
"ECD" -0.566266562140822 5.32343601706529 -3.50992307702806 0.0016474842375097 0.652759858403064 -2.85448563421939
"LRRC74B" 0.317487898523442 2.75751246013042 3.5090350687912 0.00165121211004386 0.652759858403064 -2.8552360720685
"TAMM41" -0.451929064893071 3.59870396075479 -3.50877965815696 0.00165228584633828 0.652759858403064 -2.85545191667358
"LINC02139" 0.362316273489552 3.3720715058221 3.50682785367875 0.00166051361003794 0.652759858403064 -2.85710139698008
"SERPINA10" 0.620893466150199 3.9657434604734 3.49791560199276 0.0016985920167533 0.652759858403064 -2.86463390423061
"MLXIPL" 0.643836012925259 6.24329390120707 3.4886250423351 0.00173919031857527 0.652759858403064 -2.87248734512872
"MRPL43" -0.667224654936754 5.13958150525707 -3.48851741615594 0.00173966611097273 0.652759858403064 -2.87257832987577
"MFAP3" 0.289383515370771 3.77262960114744 3.48613477317637 0.00175023172934068 0.652759858403064 -2.87459260139997
"ARHGEF2" 0.427385426809169 6.51015254211681 3.48285470198978 0.00176487899543357 0.652759858403064 -2.8773656728626
"DNAAF1" 0.681480027595251 5.38187470812585 3.47989919476908 0.00177817888715066 0.652759858403064 -2.87986446420306
"IGHV3-21" 0.419724321416447 3.15307187177124 3.47723527756776 0.00179025002901591 0.652759858403064 -2.88211681707032
"RPS25" -0.705219719315234 8.40090607118217 -3.46755200333192 0.0018348026564977 0.652759858403064 -2.89030476840187
"CCRL2" 0.521211586022401 3.38488342656678 3.43460617438487 0.0019945957990064 0.652759858403064 -2.91817015708377
"EML1" -0.95954984618878 3.82388463724547 -3.42568886691871 0.00204011849964987 0.652759858403064 -2.9257139313671
"NPC2" -0.773055578258827 6.28185747752523 -3.40488285879376 0.00215028548944411 0.652759858403064 -2.94331710275475
"HTRA3" 0.552290214178092 4.3467243494601 3.394407413981 0.00220791367475334 0.652759858403064 -2.95218075649797
"NAA40" 0.372949865476638 4.01451317551128 3.38586913653519 0.00225598927252901 0.652759858403064 -2.95940557217075
"HILPDA" -0.520289200176149 4.70746700024661 -3.38509019550729 0.00226042530534565 0.652759858403064 -2.96006469645486
