"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.23618304651163 6.19608172043011 48.7630885708013 1.76602643994542e-68 3.05204689351367e-64 122.86380845047
"PCDH11Y" 6.71258651627907 7.1224123655914 47.9665671854321 7.81358289349665e-68 6.75171697827046e-64 122.013143261431
"USP9Y" 4.01338006976744 5.97206215053763 44.8073854670695 3.59413992612406e-65 2.07046420677587e-61 118.383632086073
"NLGN4Y" 3.56842862325581 6.48601698924731 43.4585433506557 5.56023960703415e-64 2.40230152221911e-60 116.699445976358
"UTY" 3.24238135813954 5.60776322580645 36.8183378672821 1.35960807640784e-57 4.69934935529607e-54 107.01696995074
"EIF1AY" 3.3083191255814 5.39740387096774 35.0089393676271 1.12190574355056e-55 3.2314625100068e-52 103.912464123947
"RPS4Y1" 5.27606812558139 6.78647344086021 34.4957117074992 4.06553348667537e-55 1.00372213881034e-51 102.990248441126
"ZFY" 1.53192210232558 4.6191847311828 21.158864164543 1.69458664664305e-37 3.66073080341066e-34 70.6797012868212
"TTTY14" 0.712923055813954 6.28076870967742 11.2099555081788 5.17437905675929e-19 9.93595765099044e-16 32.1425551814259
"TTTY10" 0.751787325581395 4.24272440860215 9.69222247879858 8.38831445065997e-16 1.44966850336306e-12 25.1839130218079
"PRKY" 0.938681651162791 5.25537290322581 7.7504721262546 1.06905310190678e-11 1.67957960974118e-08 16.2303679260734
"TMSB4Y" 0.570546827906977 4.62100397849462 7.61198291641481 2.07614822328041e-11 2.98999946622766e-08 15.6005081210009
"ZFX" -0.884290181395348 7.47086075268817 -7.49523922356874 3.625965479506e-11 4.82030272437097e-08 15.071333161053
"KDM5C" -0.519524013953488 8.38384182795699 -6.32564762846033 8.49441648463399e-09 1.0485750406246e-05 9.8952826178764
"DDX3X" -0.534662311627907 8.76004365591398 -5.3264175658545 6.83559451039968e-07 0.000787551628858182 5.74668666632651
"HDHD1" -0.568405283720931 8.45783064516129 -5.07701467333587 1.93632075551906e-06 0.00209146845605502 4.76631627610963
"PALLD" 0.654321093023257 6.36422344086021 4.58612718119425 1.39265552457945e-05 0.0141575722210483 2.91569300676644
"SAMD8" -0.282330139534884 9.64369774193548 -4.45077382557912 2.35321747369935e-05 0.0216842910897437 2.42565178184069
"SHMT1" 0.306443269767442 4.82824537634409 4.44739183156587 2.38399219248426e-05 0.0216842910897437 2.41352673929442
"ZDHHC17" -0.352625372093023 8.74301483870968 -4.41815462435174 2.66676011455246e-05 0.0230434741498478 2.30895276549934
"ARL17A" -0.930946818604651 7.46304537634409 -4.24378292945814 5.15735086561881e-05 0.0424425417426782 1.69463293518416
"APLNR" 0.652028190697674 5.75793 4.20602215426209 5.9369383913797e-05 0.0466373496726473 1.5637610034786
"PDPN" 0.513933772093023 6.05132010752688 4.151292082133 7.27099976694459e-05 0.0506528991312824 1.37547633621167
"DMXL1" -0.254026637209302 8.46013537634409 -4.14988672769092 7.30879058654422e-05 0.0506528991312824 1.37066357906334
"ZFP36L1" 0.817708116279069 9.09458290322581 4.14919699054957 7.32740700313656e-05 0.0506528991312824 1.36830191999099
"CELA3B" -0.303943818604651 5.60298376344086 -4.12725436047006 7.94400856505658e-05 0.0509532703654129 1.29330989774811
"NAGA" 0.253415181395349 5.46755913978495 4.12668930759871 7.96052713728821e-05 0.0509532703654129 1.29138233049906
"SLC40A1" 0.526400762790698 6.04823 4.08621084855608 9.23364119881008e-05 0.0552554595927884 1.15376834512325
"MORC4" 0.436556809302325 5.57257075268817 4.08507263175997 9.27212318129189e-05 0.0552554595927884 1.14991222835679
"C14orf45" -0.537551344186047 6.81015064516129 -4.02343958100248 0.000116018106199373 0.0668341637112523 0.942217730431015
