"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -5.95226349880555 3.65435063170856 -68.6901644035139 1.53270630892117e-189 3.17837307280984e-185 408.325851305752
"DDX3Y" 4.71765334385868 7.41018593381592 57.7642777249927 6.37982954587308e-168 6.6149262646385e-164 363.389288900274
"RPS4Y2" 7.15400165311054 7.6553711800598 57.4837257460999 2.5360750046059e-167 1.75301957901709e-163 362.123951558167
"TTTY15" 4.41202572010576 5.79820429893151 42.7359417574652 6.2407314105796e-132 3.23535118152973e-128 285.931608283241
"TTTY14" 3.29178289454069 5.8210575118822 39.7753318776324 9.3295496073339e-124 3.86933740414566e-120 267.992045616183
"CYorf15B" 3.04285281064092 5.31406568453934 34.3721675252433 9.77103354800431e-108 3.37703204474942e-104 232.554550127347
"RPS4Y1" 4.39566018295579 8.66552030059951 34.0994148049708 6.89439761735651e-107 2.0424160484446e-103 230.668298148035
"NLGN4Y" 2.87883159544602 6.862699651867 31.836648449917 1.07574224065078e-99 2.7884583555469e-96 214.645583273609
"USP9Y" 3.09013858540698 4.19502704888807 31.5771928966185 7.48480609907732e-99 1.72458248973963e-95 212.765308783017
"TMSB4Y" 3.33504521222563 4.31798161896408 31.5288076649961 1.07571231618755e-98 2.23070463007812e-95 212.41367490152
"KDM5D" 3.13211901993987 6.63358201535527 29.4403794335387 8.95591532596065e-92 1.68835287376769e-88 196.940171054044
"BCORP1" 3.09464619413323 4.53191520720877 22.8861556258182 1.47662038946561e-68 2.5517230846957e-65 144.730272197573
"KRTAP19-8" 2.73490476013891 4.35228113925807 21.5607227350295 1.28816211226205e-63 2.05481674784448e-60 133.571894282423
"UTY" 2.33600088639031 3.72971441938869 20.7731152934145 1.19181271718505e-60 1.76533002259046e-57 126.866328733473
"ZNF718" 1.82012093797703 6.23005761596302 19.6326738834386 2.53520346552869e-56 3.50483428431123e-53 117.074979897773
"AC034199.2" 2.7670681878065 5.61308279461576 19.2610952637952 6.62023187024011e-55 8.58023426832307e-52 113.867593833045
"PNLIPRP2" -3.28357137666179 2.56826045131669 -18.7357026726244 6.73853506006809e-53 8.21982362003718e-50 109.321299332536
"EIF1AY" 2.15264944867838 7.07266078842408 18.3630055955862 1.79953690257263e-51 2.07316648603603e-48 106.089906584583
"NLRP2" -2.22774162514955 2.67407155906892 -17.6692390809538 8.2036059380257e-49 8.95358822825468e-46 100.065389106017
"KRTAP10-10" 1.90035550183113 10.6430121096491 17.6171911680392 1.29887738370831e-48 1.34674101529796e-45 99.6131145971102
"HSFY1" 2.34873504927938 3.43247941508348 15.7255254999199 2.263157369505e-41 2.23481401768692e-38 83.1949176029604
"NOL6" 1.69521053215048 6.76252412690194 15.2722199636442 1.20325919050886e-39 1.13418117425373e-36 79.2806071590759
"LOC100132317" -1.95686829517489 4.92269266448144 -14.8959334758402 3.21899385973726e-38 2.90227285519007e-35 76.0425815598514
"TDRD12" -1.4486010640672 2.61436536063285 -14.168770045511 1.77492986470275e-35 1.5336133585142e-32 69.8229496107587
"GLI3" 1.68493786615104 5.29142051957198 13.8999226455633 1.80273814787317e-34 1.469184264173e-31 67.5388246241741
"SLC22A18AS" 1.98739471720713 6.81238574225621 13.8974149139769 1.84205964548864e-34 1.469184264173e-31 67.5175635256816
"ARSF" 1.34345800121459 3.40378475970847 13.6021709950435 2.32205989788175e-33 1.78342800379163e-30 65.020593277042
"AC010982.1" 1.44345385253498 3.11752127740168 13.3811261082897 1.53501962208409e-32 1.13684649654135e-29 63.1596668778073
"PHF12" 0.947332749978712 5.14667084363847 13.1541802394592 1.05837073732502e-31 7.5680806827272e-29 61.2573131102254
"GBP7" -2.1354613371698 2.21776697475247 -12.8698154762861 1.17418542687398e-30 8.11636106569527e-28 58.8864144962853
"HDGF" 0.927010170588316 7.09916788737602 12.8137761544717 1.8832948425229e-30 1.25980274675475e-27 58.4209600864082
"OR5L2" 1.42262770550506 5.08950342769787 12.6449721329508 7.78675660117091e-30 5.04606161370253e-27 57.0226130557643
"ZFY" 1.16957071912305 4.70508770455546 12.2961369454741 1.43583583284045e-28 9.02270535321588e-26 54.1515930994526
"PRY" 1.22166325791388 2.37202281789254 12.1603897010171 4.4312046038648e-28 2.70264381971601e-25 53.0415822088164
"CEACAM22P" 0.656232394086084 3.74769526813542 11.9654665481189 2.21830811536963e-27 1.31431586824057e-24 51.4552165901116
"AMH" 1.51118370790496 3.08442440431108 11.8391441933071 6.26906766756678e-27 3.61115711728701e-24 50.4320854305245
"HDHD1A" -1.2533268762778 5.77114568552551 -11.6256722856918 3.59465098646593e-26 2.01465614882011e-23 48.7123245479367
"LOC728470" -0.854017447763781 2.54696112411087 -11.4826300190904 1.1506842976866e-25 6.27940533713867e-23 47.5667063862818
"KLRK1" 1.92133000083041 3.90072219791975 11.4440038648137 1.57394288710832e-25 8.3689368333244e-23 47.2583106608875
"LDHC" -1.80862496910368 5.24498413284194 -11.1537064510603 1.63491928482027e-24 8.4758303023295e-22 44.9540928729435
"FAM182B" 1.37320598844986 7.45699481515742 11.0881126676305 2.76505988728655e-24 1.39851333860149e-21 44.4368624031726
"LOC283788" -1.15273232373541 8.86454698851269 -11.0724286614875 3.13464341268357e-24 1.54769286782903e-21 44.313380307053
"LOC732272" -2.24493490567102 2.80093689385417 -10.7152376135184 5.34651216023067e-23 2.57838657364427e-20 41.5218945384766
"GYG2" 1.0501694046043 3.89826164622204 10.5757870772435 1.60023965857092e-22 7.54185677267847e-20 40.4432634468385
"MS4A6A" -1.33734184819754 2.81380361369052 -10.3239576749099 1.13960345607745e-21 5.25154597081735e-19 38.512191096461
"SEPT12" 0.896242665522433 3.21973316332328 10.283870011802 1.55448336454843e-21 7.00767859361754e-19 38.2068471109349
"AC130416.2" 1.03029775982749 2.26014895961185 10.1695361624436 3.75637920023798e-21 1.65736245692202e-18 37.3391650795517
"ACTR6" -0.848674634017638 7.81156492873441 -10.1648781257983 3.89347206777008e-21 1.68206104727809e-18 37.3039163105315
"PSMG4" -0.794146970464668 5.34577287936673 -10.053544288718 9.14949331729308e-21 3.87210291674911e-18 36.4638134130757
"SURF1" -1.37138488911475 8.39441879231004 -10.045875066858 9.70251133688747e-21 4.02401955186071e-18 36.4061135754736
"IER3IP1" -0.990894868363838 5.54636918254918 -9.95512079124724 1.93981496084031e-20 7.88743977312656e-18 35.7250112727649
"ALKBH3" -1.36586470529368 5.34282311785297 -9.94028467241416 2.17178953770055e-20 8.6608460852493e-18 35.6139666900923
"ABCA17P" -1.19603455183438 7.16531148114042 -9.88469684135696 3.31360858305801e-20 1.29649624880894e-17 35.1986612053439
"SIRT4" -1.25726479409391 3.58148234197231 -9.84523838256838 4.46922348185559e-20 1.71626458043036e-17 34.9045896020873
"AC002511.1" 0.846276732036674 2.19006232752021 9.81436672511812 5.64553633653208e-20 2.12857249110301e-17 34.6749381154276
"PIN4" -1.05966774310281 7.672101279682 -9.81147341179337 5.77041546718547e-20 2.13680545612545e-17 34.653434246742
"ARMET" -1.0152244412499 8.66433386096377 -9.80095029641349 6.24818506037903e-20 2.27313357187859e-17 34.5752515429184
"LOC339240" 1.22797279151277 3.466488758418 9.70816739340279 1.25758449968094e-19 4.49629823618684e-17 33.8878151478825
"COX7A2L" -0.922566261562572 9.9742810189369 -9.69875049334915 1.34985350592079e-19 4.74439189021686e-17 33.8182371818039
"PPP1R3C" 0.969344836878036 9.24532464580998 9.66823420702962 1.69756880107018e-19 5.86708070463205e-17 33.5930096990615
"TYR" 0.749906782897748 1.76226775451746 9.6528871485516 1.90470009361987e-19 6.4750435805566e-17 33.4798822902532
