"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.722451965 4.88164630525 33.5982615407961 1.76025053613219e-11 2.57788691016559e-07 3.96770581402297
"EIF1AY" 3.65558505033333 3.31891626125 29.6631690340217 5.92973829231235e-11 4.34205086454572e-07 3.90561367060147
"UTY" 2.6705117625 3.705016225625 16.6787449594295 1.53767340036643e-08 7.50640898278879e-05 3.34559624451983
"TXLNGY" 1.69567668433333 3.03373250375 12.2965756268871 2.71571590675661e-07 0.000994291486361265 2.75831087279381
"TMSB4Y" 2.29258008816667 3.961249977375 8.95347215060435 4.85597714462392e-06 0.0142231570566034 1.84353613323072
"CHIT1" 2.12371838116667 3.920936256625 5.73472041450971 0.000201190598842202 0.491072720007342 0.0604467792304257
"GJB6" -1.30467168483333 4.122193753625 -5.60243892283602 0.000240903806459234 0.504005177942211 -0.0437695341817843
"CD5L" 1.712141633 4.50926378375 5.49434820298322 0.000279614427177488 0.511869160751789 -0.131183870559989
"PLP2" -0.975473483500004 6.590654909625 -5.25483643866168 0.000391301815297714 0.621641647849621 -0.332285229936955
"FGF1" -1.00887354233333 5.71823495625 -5.19770393257144 0.000424473641413193 0.621641647849621 -0.381790742841347
"C1QL2" -0.617251555166667 5.001953720875 -5.03704146354116 0.00053495361810876 0.712217794291163 -0.524233653335838
"NUDT14" 0.667619705499999 7.955454826375 4.77707460806096 0.000783958780165133 0.79631425155447 -0.764964441373563
"TTTY10" 0.700743317333333 2.8821424545 4.76718347510316 0.000795594302086417 0.79631425155447 -0.774376570334882
"HLA-DPA1" 1.35256171166667 4.09552377475 4.69434888034891 0.000887146218554906 0.79631425155447 -0.844258506135112
"SERPINB9P1" 0.6606684525 4.802908837625 4.68832281256722 0.000895207535135124 0.79631425155447 -0.850085650806657
"DNAAF1" -0.862711668500001 5.069603741375 -4.68787897979983 0.00089580434077257 0.79631425155447 -0.850515106868349
"PSMC3IP" 0.601106643999997 6.100810051 4.60417651337196 0.00101628679038847 0.79631425155447 -0.932179877702104
"MRPS34" 0.609129826499999 7.846887409625 4.58693265978843 0.00104318289220377 0.79631425155447 -0.949170538253142
"PPP1R27" 0.997846683 3.64203995475 4.53060508088874 0.00113643511797351 0.79631425155447 -1.00506794353592
"VAMP8" 1.33834989883333 5.682927429875 4.50684127744677 0.00117839478662223 0.79631425155447 -1.02883255587872
"SENP5" 0.662414629999999 7.912678659 4.48810476730353 0.00121263563057397 0.79631425155447 -1.04764596038128
"PAX8-AS1" 0.892155051166667 4.361628741125 4.46175874367349 0.00126257847697126 0.79631425155447 -1.07421381572189
"RIOX1" 0.631294886333332 6.51218366625 4.44152951459492 0.00130240416580464 0.79631425155447 -1.09470353584553
"COLGALT2" -0.706948359666667 5.76137119525 -4.40769973851567 0.00137200876724652 0.79631425155447 -1.12914382557489
"DYNLT1" 0.675308704333333 8.14712870125 4.40482755199657 0.00137809706577004 0.79631425155447 -1.13207792029023
"TP53I11" 0.700415134 7.5144587755 4.38193527961135 0.0014276575890258 0.79631425155447 -1.1555199502987
"CNIH4" 0.574643453 6.81185746175 4.3638647153205 0.001468110945167 0.79631425155447 -1.17409512932651
"HTR2A" -0.724049886333334 5.01784253125 -4.30073151122566 0.00161923259042211 0.798570532648151 -1.23947976733319
"LAMA1" -0.533834854666667 4.8414562345 -4.25704100218204 0.00173338820210029 0.798570532648151 -1.28517189163943
"HYI" 0.684528270999998 4.75830370175 4.24944286754369 0.0017540938364007 0.798570532648151 -1.29315505572372
"ADCYAP1R1" -0.708886702500002 8.471929967375 -4.24280177966569 0.00177240537754976 0.798570532648151 -1.30014162316352
"IGFBP5" -1.21337684016667 8.380997538625 -4.23665351804994 0.00178953804010723 0.798570532648151 -1.30661716255309
"UCP1" 0.979353109833333 3.444584965625 4.18981009276825 0.00192595255411258 0.798570532648151 -1.35618840745612
"PNPLA4" -0.852583328833334 6.307787478125 -4.17564140314447 0.00196934252551045 0.798570532648151 -1.3712635893516
"GFRA2" 1.405453364 5.36501503 4.17024732292781 0.00198613118060424 0.798570532648151 -1.37701268913269
"CMTM7" 0.665203253666666 5.20208251475 4.15773707408639 0.00202565194523455 0.798570532648151 -1.39036733726007
"TMEM258" 0.668193658166666 9.152464985875 4.12350731475766 0.00213808220731662 0.798570532648151 -1.42705730299513
"CMC1" 1.0104100705 5.379537522625 4.0874749566798 0.00226356464989289 0.798570532648151 -1.46591564664086
"HTR1A" -1.970528444 5.495926261 -4.0766898017591 0.00230261403467885 0.798570532648151 -1.47759360708911
"TLCD3A" 0.520971616166666 7.370336294375 4.07328841189114 0.00231507588854253 0.798570532648151 -1.48128104154624
"C1QC" 1.05571341516667 6.009329974625 4.06800030865435 0.0023345913529064 0.798570532648151 -1.48701811158865
"CDCA4" 0.597714821666665 5.91887873425 4.05923837191958 0.00236730882202683 0.798570532648151 -1.49653534094181
"ADAMTS3" -0.959231615000002 5.76416867975 -4.05658535988178 0.00237731017411171 0.798570532648151 -1.49941984691183
"SSU72" 0.522493362333334 8.63536500925 4.05068868583751 0.0023996990621494 0.798570532648151 -1.50583570432339
"KCTD13" 0.494853098833331 7.890239894375 4.03667942324264 0.00245378449772392 0.798570532648151 -1.52110416665835
"PCSK2" -0.831726710166668 7.425339937125 -4.01575591090417 0.00253696336045981 0.800099789864815 -1.54397563400613
"TMSB15A" 1.70363203683333 7.000821351875 3.98868414335546 0.00264900574764724 0.800099789864815 -1.57368691084589
"HLA-DMB" 0.991996606333332 3.20641744125 3.98653406261861 0.00265812442894322 0.800099789864815 -1.57605236949837
"CALB2" -0.719966411666668 11.39952480875 -3.96906133610506 0.00273346181765074 0.800099789864815 -1.59530662540572
"H3C3" 1.0486981095 8.722746134375 3.9469175959302 0.00283217426170669 0.800099789864815 -1.6197878884965
"GPNMB" 1.90300997083333 4.744257509875 3.92461573391269 0.00293538054931936 0.800099789864815 -1.64453366558347
"RPH3A" -0.963958342666668 6.2854337095 -3.92125536334571 0.00295127021014247 0.800099789864815 -1.64827005369572
"PSMB6" 0.837140321666663 8.50151497125 3.91540088376896 0.0029791692824904 0.800099789864815 -1.65478448912962
"GEMIN7" 0.664270003500001 5.115782558875 3.89769457652397 0.00306524326642222 0.800099789864815 -1.67452422116472
"MAD2L2" 0.570724884833332 8.155026137875 3.89706771437288 0.00306833795189434 0.800099789864815 -1.67522410307682
"C1QB" 0.926100015833333 5.057709992125 3.87880283294978 0.00315996094532177 0.800099789864815 -1.69564738783436
"KBTBD4" 0.483169635166663 8.073792398125 3.87242730405435 0.00319261419086913 0.800099789864815 -1.70279033294955
"ARRB2" 0.633509874333331 7.96314245475 3.86784976560892 0.0032162766897202 0.800099789864815 -1.70792332406302
"SLC4A4" -1.13266491916667 6.784283816875 -3.86321688984277 0.00324041240676768 0.800099789864815 -1.71312215693328
"ALKBH7" 0.641343275833332 6.345697522125 3.85330696609031 0.00329267897150619 0.800099789864815 -1.72425546555813
"GYG2" -0.867449998833336 6.915007531625 -3.84025380151814 0.00336287448450345 0.800099789864815 -1.7389465601617
"TYROBP" 1.308961789 6.01139885175 3.83559580008619 0.0033883014946077 0.800099789864815 -1.74419633268492
"RAB24" 0.538791656499998 7.134501218625 3.81973466852906 0.00347640396557689 0.800099789864815 -1.76210114909673
"ARL6IP4" 0.555924971999997 7.290421307 3.80496143934134 0.00356062116768046 0.800099789864815 -1.77881755717102
"TMEM216" 0.563084761166665 5.628271222125 3.77618677173179 0.00373084043394013 0.800099789864815 -1.81148625754507
"DTD1" 0.564953168166663 9.480944871875 3.75689775348334 0.0038496927769867 0.800099789864815 -1.83346589361858
"PXMP2" 0.522935390833333 8.167678713875 3.70942383531217 0.00415936835233287 0.800099789864815 -1.88783347178708
"INKA1" 0.747733195500001 5.794645011375 3.69175358218749 0.00428117809098032 0.800099789864815 -1.90816726671621
"CNTNAP1" -0.835835059000002 7.46128624675 -3.67897195769589 0.00437160363018292 0.800099789864815 -1.92290824670516
"EIF2B2" 0.485223134499996 8.400567531625 3.65981045217257 0.00451091277284786 0.800099789864815 -1.945058213375
"AQP4" -0.985113462166669 9.326524973125 -3.65157513266313 0.00457220005069468 0.800099789864815 -1.95459666466755
"MAGEE2" 0.759306749166667 4.155470013625 3.63860031018995 0.00467052491581218 0.800099789864815 -1.96964731215973
"KANK2" -0.573578516833334 5.092783689625 -3.62945707265765 0.00474113461275386 0.800099789864815 -1.98026999590733
"FUT1" -0.780478398000002 6.8999537825 -3.62783992919784 0.00475373844217129 0.800099789864815 -1.98215023186546
"RSPH9" 0.596223354333333 6.05106747175 3.62497653043405 0.00477614109404199 0.800099789864815 -1.98548052544205
"COX8A" 0.621728261166666 8.880168914625 3.596789456812 0.00500262700045708 0.800099789864815 -2.01833492577508
"PAFAH1B3" 0.607989786666663 9.623007655 3.59376135668805 0.0050276142274258 0.800099789864815 -2.02187208631901
"EPHX2" -0.714461644166669 4.950471162625 -3.5921651364854 0.00504083811657781 0.800099789864815 -2.02373724537787
"HES6" 0.591950178333332 6.43225759275 3.59118779831211 0.00504895273056578 0.800099789864815 -2.02487945270537
"CAPG" 1.1683499015 4.921052455875 3.56458765428779 0.00527510440855418 0.800099789864815 -2.05602562130495
"MRPL53" 0.479403495666664 7.38213253025 3.55307201916863 0.00537625167449485 0.800099789864815 -2.06954426137341
"PLEKHB1" -0.855846722666669 7.717149973 -3.54289612272546 0.00546730846263831 0.800099789864815 -2.08150757067173
"ADHFE1" -0.594448248500002 5.424661278875 -3.53642554889101 0.00552604090116401 0.800099789864815 -2.08912318061502
"NUDT1" 0.740243275833331 5.201647520125 3.53593495686261 0.0055305205733499 0.800099789864815 -2.08970085579201
"MRPL43" 0.425664902166663 6.333571195375 3.50848241199501 0.00578729991588956 0.800099789864815 -2.12208617228833
"GPR83" 0.743845025666666 4.31486126775 3.50772306875547 0.0057945758787893 0.800099789864815 -2.12298361768574
"BMPR1B" -0.642918507500001 4.786513745625 -3.50726823072169 0.00579893864340862 0.800099789864815 -2.12352121994018
"BHLHA15" -0.781326691333335 5.837580025 -3.50067984241364 0.0058625174901893 0.800099789864815 -2.13131203191795
"SAT2" 0.530448278 7.358598709 3.49253673626754 0.00594210014986243 0.800099789864815 -2.14095051864585
"MACROH2A2" 0.507778644833334 8.994601368875 3.49186176875305 0.00594874670590755 0.800099789864815 -2.14174989125525
"GSTP1" 0.535349846666667 10.463237525 3.48905697064894 0.00597644887891689 0.800099789864815 -2.14507239487219
"GATC" 0.566573301666667 8.60711014275 3.4863091715016 0.00600371783943085 0.800099789864815 -2.14832854285381
"TMEM91" 0.499998251833332 7.025266289625 3.4838931526367 0.00602780082544978 0.800099789864815 -2.15119248089341
"ATP1A2" -0.747679948833335 8.463174998625 -3.47687751461652 0.00609830237683539 0.800099789864815 -2.15951381591239
"SYT17" -0.558788378833335 8.544941246625 -3.47584311379262 0.00610876936551126 0.800099789864815 -2.16074136307445
"NAA10" 0.498784939666666 7.53179126975 3.47368679130422 0.00613064887475439 0.800099789864815 -2.16330084116163
"SPP1" 1.67052507633333 9.44846642075 3.47345399738481 0.00613301581284159 0.800099789864815 -2.16357720133182
