"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"XIST" -4.80429435027941 4.66296529756625 -33.7398891688361 6.05576784228414e-65 2.04569893480201e-60 113.520621371431
"NCRNA00185" 1.36682954550901 4.61836924968068 24.7261982896018 3.56481152050076e-50 6.0211448987018e-46 90.3398725554781
"DDX3Y" 1.16172620354427 4.60536257660552 24.465652291694 1.07775557076949e-49 1.21358869787214e-45 89.520977984048
"RPS4Y1" 1.3955483392829 4.03258800347219 23.913743553329 1.15204334134615e-48 7.82722525904358e-45 87.7547450860858
"TTTY15" 2.71840278715696 5.02971060528762 23.9124463059151 1.15852480078203e-48 7.82722525904358e-45 87.7505425311379
"NLGN4Y" 1.88877553394767 5.54597230437049 22.7070428815127 2.31766566877119e-46 1.30488439927933e-42 83.7398074251188
"KDM5D" 1.58348321448638 4.68118545819686 21.273424504696 1.58769019384926e-43 7.66196606263169e-40 78.6866242875443
"TTTY14" 0.835064071698522 5.57450309506965 21.1067240100812 3.44850322939485e-43 1.45617359490234e-39 78.078513151464
"UTY" 1.36875545502756 4.97769624313575 20.9479167639115 7.24339776885606e-43 2.71876911144141e-39 77.4951562218254
"EIF1AY" 1.16252787259502 3.1519070333254 20.1587510000307 3.03356530856387e-41 1.02476869688596e-37 74.5373044726006
"LOC102723889" 1.61821798077241 6.06432711342921 19.893564949838 1.08303586858257e-40 3.0791153458148e-37 73.5211510461444
"TXLNGY" 1.34783477782157 3.92411919687401 19.8915128850689 1.09379189928592e-40 3.0791153458148e-37 73.5132439882193
"USP9Y" 1.31218942141423 3.70152952105448 18.8082673000468 2.1718506833238e-38 5.64363753333549e-35 69.2446716308672
"AGKP1" 1.05138825045874 4.45535248554128 17.3812131157043 2.89846618188388e-35 6.99379186358709e-32 63.3314842831605
"HSFY1" 0.456087247064869 2.93230403017492 17.1583979027023 9.12198173477244e-35 2.05433109988232e-31 62.3785221820048
"RPS4Y2" 0.579035597502976 3.66461030903076 16.9225994616967 3.08956951666426e-34 6.52304674015221e-31 61.3613629561099
"TTTY3B" 0.926519249592783 4.33069044034691 15.1188530371645 4.33324617771146e-30 8.61066994878063e-27 53.2922959446627
"TTTY10" 0.640989560505369 4.18229805090432 14.9236978862732 1.24435843198944e-29 2.33531512172418e-26 52.3897288673623
"RNU1-48P" 1.01727905363309 2.9999086097038 12.566783167922 5.59645256386022e-24 9.95019810840852e-21 41.0891541690507
"LINC00278" 0.479620097475143 3.33433743375661 12.2003541973702 4.38875802356536e-23 7.41283173970307e-20 39.2755955847585
"GYG2P1" 0.424145810345661 6.67539928372883 12.0623869299045 9.5458862557541e-23 1.53556944574109e-19 38.589668917133
"ZFY" 0.425306855008282 4.28767531609902 10.7513053343453 1.57444850253793e-19 2.417565675647e-16 32.0077114714842
"OFD1P10Y" 0.763790130179471 3.91096855291968 10.6265388319431 3.18741191981905e-19 4.68147661145249e-16 31.3772856011198
"TMSB4Y" 0.421760609249443 5.40148176328878 10.2122173007766 3.30676545601296e-18 4.65441016123224e-15 29.2819736658564
"PCDH11Y" 0.641009606698834 5.43443267159303 9.80893671606302 3.20099314944468e-17 4.32530998325563e-14 27.2426650208582
"KALP" 0.674583802353653 4.76582163867331 9.50619487334995 1.74754554768691e-16 2.27053215947736e-13 25.7142328702112
"HDHD1" -0.304304748994774 4.88454115443892 -7.89192143876504 1.2445868638636e-12 1.55716254993245e-09 17.6835425224745
"TSIX" -0.188394946148401 2.89790091139756 -7.41887937705892 1.53368422805687e-11 1.85033524671389e-08 15.4001182725619
"DDX3YP1" 0.310333405240777 3.49511933724245 6.73425947628244 5.23964219753238e-10 5.93071111136096e-07 12.1857631906806
"LOC101929069" 0.387788864495604 3.91815707612615 6.73323281181895 5.26690545989842e-10 5.93071111136096e-07 12.1810374487094
"JPX" -0.386477291705408 4.58076012994588 -6.54940851136803 1.32640922002145e-09 1.44540096327563e-06 11.3399997013594
"RBMY2BP" 0.220587054518904 3.47490802522423 6.51679096979325 1.56075152343295e-09 1.64761710040901e-06 11.1918570572572
"PPP1R12BP1" 0.320403691341608 4.60327921901335 6.43439719759393 2.35016058440583e-09 2.4057810515701e-06 10.8191574211888
"RBMY1F" 0.458691410432222 2.40924411568099 6.42094004695285 2.51207257485266e-09 2.4958918720911e-06 10.7584951075254
"RBMY1A3P" 0.276614272543196 3.07205834055316 6.3515777812668 3.53770500657682e-09 3.41449179506205e-06 10.4467753364774
"CD24" 0.474167489600819 4.48841988887837 6.3090422761781 4.36040733238567e-09 4.09163666931446e-06 10.2564179354634
"KDM5C" -0.188095253294575 5.10535039066021 -5.93629755864488 2.64497457396067e-08 2.41486178602609e-05 8.61581179838217
"DAZ1" 0.274616125396173 3.3340573259014 5.79146812362341 5.24867894613765e-08 4.66593745998621e-05 7.99252816192477
"RBMY1D" 0.269972577079699 3.33975264311139 5.51071587225481 1.93085840260478e-07 0.000167246994098441 6.80883309196629
"PRKY" 0.307349189000707 4.39118093516117 5.44253143885571 2.63511143744394e-07 0.000222541748670735 6.52648862322309
"LINC00279" 0.293709499151652 2.9510025721607 5.32597371512343 4.46124013587211e-07 0.000367573543975356 6.04869103038925
"DAZ2" 0.374782648228975 3.83789060000851 5.02740866196693 1.66718124101605e-06 0.00134092975006579 4.85402516571657
"DDX43" 0.15327913962791 3.678633214949 4.84384547039927 3.66539261415365e-06 0.00287954948601685 4.14152595471976
"DAZ4" 0.229569034427582 3.36355406037524 4.76948311488107 5.01757893741046e-06 0.00385224622919688 3.8578877111133
"CDY4P" 0.175489700488406 3.00281875131653 4.75756464910429 5.27508889291148e-06 0.00395995061980984 3.8127014539038
"XKRYP3" 0.275120997273675 2.59708134432325 4.74360128487008 5.59308601230118e-06 0.00410739214307709 3.7598594948335
"MT1X" -0.570285103326721 7.16346163376836 -4.40566484798562 2.23022994714662e-05 0.0160296591158638 2.51388082583262
"LOC102724689" -0.537132679750388 6.1864240449816 -4.3726687394531 2.54369506191661e-05 0.0179017839347094 2.39571003549034
"KDM6A" -0.309351652442471 5.03418958311107 -4.34745894350738 2.81134076032116e-05 0.0189724436284052 2.3058553832919
"TAB3P1" 0.162213233201301 2.82196600930633 4.34333347037147 2.85764306852165e-05 0.0189724436284052 2.29118673749363
"PLCXD1" 0.144241550263988 5.18530262520283 4.34274421944556 2.86431610979149e-05 0.0189724436284052 2.28909240145756
"RBMY2FP" 0.147652292986404 3.07828065171052 4.33285769488773 2.97853787999917e-05 0.0193496131008177 2.25398400447158
"ZBED1" 0.134667322994122 6.21172668661551 4.3158944482096 3.18479792577773e-05 0.0202991808925845 2.19388017531772
"DDX3X" -0.187198155963024 5.90492346020129 -4.14464286376009 6.20018324821382e-05 0.0382968336360097 1.59679461434241
"DHRSX" 0.170480739151769 6.67544712035654 4.14317357293262 6.23523829957827e-05 0.0382968336360097 1.59174911346329
"RNU6-255P" 0.265415219100939 2.36560880035031 4.12389113490873 6.71324976000237e-05 0.0404964803826143 1.52565737274219
"HILPDA" -0.708607810771995 5.80327061401397 -4.10794451426495 7.13488578983929e-05 0.0422848380467651 1.47117328887948
"ERICH6-AS1" 0.184946842704211 4.74786905561025 4.10155999542105 7.31070343702509e-05 0.0425798056562318 1.44940386792495
"PIWIL2" 0.198759425369325 4.26995291801407 4.07125476188218 8.20334184114122e-05 0.0469689984297613 1.34641801565056
"LINC00535" 0.135529150264156 3.53612600561459 4.0652451527608 8.39232959325797e-05 0.0472502143316413 1.32606385512416
"LOC440910" 0.18223542169052 3.56979036942579 4.00148666570567 0.000106713502018924 0.0590965378967419 1.11151778352812
"VSIG4" -0.530832904273311 5.23202130402688 -3.95314724110312 0.000127813702600316 0.0696399143151819 0.950575429550183
"PNRC1" -0.170638462635046 5.61304192180113 -3.9189254546914 0.000145096978752434 0.0774910077274694 0.837541690317918
"ARSDP1" 0.168191139845443 5.84753575630461 3.91574625928749 0.000146811062270449 0.0774910077274694 0.827079188641011
"FAM224A" 0.144363306873451 4.5021005848616 3.90669882123748 0.000151795252118064 0.0788891601815433 0.797340470017677
"TSPY2" 0.146428303765262 4.00591353224865 3.87097941662347 0.000173092277837175 0.088594397539661 0.680449936708961
"RBMXP4" 0.195215006687805 3.6203846153582 3.83518230751957 0.000197269741403611 0.0994622258859013 0.5641393129141
"UGT2B4" 0.151318133940663 2.9551361601365 3.7784026466338 0.000242315228705129 0.120377216777764 0.381379997657707
"NUDT13" -0.119525529955514 3.07637591553048 -3.75141491324833 0.000267000661187736 0.130621680735716 0.295261774403228
"C9orf116" 0.161658334972282 4.85384160202847 3.74760660923122 0.000270670425727484 0.130621680735716 0.283148467812367
"LOC102724660" -0.726932133623996 5.29156662272784 -3.71691625953753 0.000302040197988807 0.143707322933238 0.185883619456439
"ZNF333" -0.108703662945776 4.44117202963065 -3.7087485540711 0.00031095192636565 0.145892597563306 0.160104611939945
"ANGPTL4" -0.290314288957896 5.75140055334868 -3.67460735455609 0.000350971254801267 0.162413150115638 0.0528339762815353
"FBXL17" 0.102081197568017 5.76646947371597 3.64232574640021 0.000393255109486469 0.179520957480573 -0.0478687908240785
"ASMTL" 0.188599866343663 5.45754004720742 3.62168962481102 0.000422761928060828 0.190417609224305 -0.111872110935773
"RNU6-716P" -0.229074300386147 2.3914470652357 -3.61742829090778 0.000429110199556353 0.190733837515963 -0.125052523683613
"SPESP1" 0.161409329778662 4.55378046145556 3.58562215536054 0.000479417567073116 0.209792039892796 -0.223036999791868
"PAX8-AS1" 0.234713128434316 4.75521115197821 3.58264111355927 0.000484407776905305 0.209792039892796 -0.232185048001055
"CYP4Z2P" 0.122754786749836 3.99264953207739 3.57753786477839 0.000493064488592156 0.210577122737049 -0.247831411877899
"APOLD1" -0.224472598332874 5.37733805841181 -3.57426799772546 0.000498687718509337 0.210577122737049 -0.257847274712888
"TPTE2P2" 0.111746500286959 3.12110637758883 3.55359305372781 0.000535667584882684 0.22339983561632 -0.321005585770875
"PTPN20B" 0.232570044767652 4.23874772206079 3.51907498299367 0.000603227234401988 0.248507551284556 -0.425793059186321
"JADE2" -0.108996235100011 4.93199272816229 -3.51060982718913 0.000620980054183281 0.248770198763131 -0.451364605522429
"LOC645177" 0.108258544680416 2.58792788486015 3.51028748326706 0.000621665688754177 0.248770198763131 -0.452337355944737
"GAPDHP62" -0.188874160472688 5.02271629576931 -3.50826286219845 0.000625988437880849 0.248770198763131 -0.458445482179765
"CDY1" 0.13263812972991 2.47354039733223 3.5048581819787 0.00063332160367157 0.248770198763131 -0.468710698585571
"TSC22D3" -0.144412437544302 6.52140111844199 -3.49768406540398 0.00064903908851942 0.249920490760378 -0.490314413037649
"RNU6-1261P" 0.101406908754506 1.90184236834215 3.49677958293807 0.000651046540567576 0.249920490760378 -0.493035568396501
"PDK4" -0.562244089503155 5.60064714889502 -3.48869762901268 0.000669245189462377 0.254019907249759 -0.517324932769108
"TBX18" 0.127863295973681 4.08359509480779 3.45700649368381 0.000745326258934807 0.278272993615851 -0.612127556594574
"LOC102724245" 0.279020563997092 3.07994482027649 3.45531082201816 0.000749617904118956 0.278272993615851 -0.617180211436046
"CNKSR1" -0.0947932649082144 4.82742463000969 -3.44391498617548 0.000779068092167486 0.283853422288535 -0.651084297829574
"CCND3" -0.104373515187079 6.0237174512071 -3.44300876562172 0.000781456092857931 0.283853422288535 -0.653776494769701
"CD99" 0.237446892462277 5.09608174234515 3.4285808267139 0.000820413734894735 0.289414840895129 -0.696560925354723
"GBGT1" -0.129332415707323 4.95447242758928 -3.42712902239388 0.000824433215312154 0.289414840895129 -0.700857947719988
"RERGL" 0.216878662412422 3.85713456465001 3.42537575709152 0.000829311966807661 0.289414840895129 -0.706045242366758
"NPY6R" 0.222548828698967 3.31976622268541 3.4247583780974 0.000831036368574865 0.289414840895129 -0.707871332005391
"INE1" -0.157978720927817 3.92852283007808 -3.41294475470573 0.000864688416525802 0.297578416915342 -0.742761824814958
"LIPG" 0.205702953965048 4.53821920098706 3.4104024464483 0.000872095653610577 0.297578416915342 -0.75025738363561
"MSI1" 0.137039447414968 6.48106600943603 3.40384867941451 0.000891466088012153 0.301146159191385 -0.76955890414389
"CYP2C56P" -0.202567937458503 3.76645554016987 -3.39834754176029 0.000908036140170729 0.303706622288192 -0.785736791940955
"XKRYP4" 0.137742664268182 2.9712626641503 3.38723948283805 0.000942379077822831 0.312103015960128 -0.818338108596679
"CA5BP1" -0.159222638082376 5.61667768483148 -3.37874910695554 0.000969445868916141 0.313958537591525 -0.843197518357639
"RAB9AP3" 0.122818646744687 2.51138772308769 3.37825246384273 0.000971051476421381 0.313958537591525 -0.844650075503184
"RBM47" -0.108505357808542 3.88503660476946 -3.37676860040238 0.000975863545990649 0.313958537591525 -0.848988958271526
"ARL2BPP7" 0.142764435841171 2.43913054184087 3.36895067714712 0.00100158767079611 0.319194651954373 -0.871822980958934
"C10orf10" -0.319454989756206 4.79870194872058 -3.36133243870183 0.00102726470163831 0.324318026972372 -0.894031802575329
"HMGB3P4" -0.214570988121616 4.89104023608923 -3.35139616948741 0.00106168148642779 0.332080206416827 -0.922935837356846
"LOC283682" 0.124701980001474 4.23131881110675 3.33046122493461 0.00113775781929895 0.352017973393492 -0.983602864054858
"C1S" -0.244131218390546 4.38970813615959 -3.32820221431041 0.00114626497360304 0.352017973393492 -0.990130408779338
"ELFN2" 0.122337592481261 5.20306613355427 3.32415808102588 0.00116164344731171 0.353526822465197 -1.00180700853387
"CENPVP2" 0.120610822283577 5.24834097170914 3.31670014143691 0.00119051065766925 0.353934586592161 -1.02330941202063
"DGCR6L" 0.148411046846588 6.72843052748768 3.31580253035822 0.00119402987679104 0.353934586592161 -1.0258946650782
"FKBP5" -0.367323899270661 5.34878253235418 -3.31570437758104 0.00119441528881639 0.353934586592161 -1.02617732443818
"SNCAIP" 0.185630751447 4.36417173340139 3.30227155890713 0.00124827225264964 0.365955770829685 -1.06479550823122
"RNF8" 0.122982750235271 4.18688653022875 3.29802978227465 0.00126574499284433 0.365955770829685 -1.07696319881674
"RNA5SP260" -0.524201123965434 5.92465278501379 -3.29496816617303 0.00127849809696972 0.365955770829685 -1.08573747978711
"LOC100996662" -0.117476513055023 4.60708384428926 -3.29225510992412 0.00128989948886752 0.365955770829685 -1.09350716176483
"RNU1-133P" 0.260339586908204 2.27741489069731 3.29021967436751 0.00129851550846928 0.365955770829685 -1.09933277135266
"FAM86EP" 0.100409865029559 5.08250531790514 3.28987448543485 0.0012999820165052 0.365955770829685 -1.10032043762775
"SLCO4A1" -0.267103086211761 4.57330692235543 -3.27748992518191 0.00135363159157899 0.37790932888537 -1.13569850118648
"MAPT-AS1" 0.131888460678137 5.39162914163182 3.26730161047887 0.00139930914630614 0.382482730174662 -1.16471936891776
"RPS4X" -0.129379336838861 6.24114193603191 -3.26673244294496 0.00140190285453138 0.382482730174662 -1.16633839043575
"HOMER2" 0.193630207708326 6.02751229978949 3.26470713880955 0.00141116863134688 0.382482730174662 -1.17209754715375
"MLLT4" -0.141666752224406 5.6788570430084 -3.26380751312223 0.00141530272259059 0.382482730174662 -1.1746547679616
"THBS3" 0.12093980333338 4.92989925181622 3.25728983667271 0.00144559284700073 0.387568031464537 -1.19316394923439
"RN7SL251P" -0.244855342615459 2.33492702664454 -3.25031322149503 0.00147868513956413 0.393182524922234 -1.21294220957699
"HOPX" -0.131582596034001 4.29938545202677 -3.24799995585168 0.00148981271099275 0.393182524922234 -1.21949234913937
"SLC25A37" -0.186902161720714 5.47136542113702 -3.24271727554473 0.00151551751659595 0.396865869985487 -1.23443593445022
"CD163" -0.331990255625288 3.42926489447407 -3.23664599568052 0.00154556988851493 0.401622280030176 -1.25158517399219
"RNU6-839P" -0.187260580096546 2.99996368620576 -3.23258898609001 0.0015659603236088 0.402243954442297 -1.2630298147594
"LOC101927859" 0.132399209012068 3.55765160211354 3.23144066795724 0.00157177709322943 0.402243954442297 -1.26626698634482
"RNA5SP94" 0.185281067220172 2.15666443540721 3.22590926938704 0.00160007931053693 0.406408114204873 -1.2818468058371
"LOC100129869" 0.203427731466832 3.83048728758773 3.21965602616766 0.00163264629183961 0.409830638772086 -1.29943284862091
"HIST4H4" -0.17834514240777 4.26851604300178 -3.21782972805879 0.00164227350926905 0.409830638772086 -1.30456356322412
"NPC1L1" -0.158112930571616 4.10527511379795 -3.21638058252306 0.00164995017533536 0.409830638772086 -1.3086329863385
"LOC101930421" -0.241829171871891 5.09225416819678 -3.20853533439515 0.00169209265285941 0.412402280821967 -1.33063694653925
"LINC00277" 0.0839261550879855 3.53413371787364 3.20818763338768 0.00169398339283522 0.412402280821967 -1.33161111728168
"ZBTB16" -0.227863375746757 6.38185543499008 -3.20764689028161 0.00169692777106224 0.412402280821967 -1.333125967321
"CDY2A" 0.0872001839895667 2.90987154586117 3.20400134498239 0.00171690262387496 0.414276339550858 -1.34333308557583
"COL4A5" -0.22957602381179 4.61103341207431 -3.19952281283897 0.00174174112351128 0.417289055981096 -1.35585912792757
"NLGN4X" 0.16516816511509 5.19396311604151 3.19557107856781 0.00176393518861961 0.419630243709571 -1.36689953749571
"CFL1P1" 0.115189649508255 3.74824671379736 3.18800347861971 0.00180717306141874 0.426909882432073 -1.38800997882964
"RN7SL845P" -0.273447342928545 4.78486716311289 -3.18402743365603 0.00183028341578876 0.429055398880288 -1.39908460796876
"STARD8" -0.1378884721607 5.30540530894129 -3.1808240812175 0.00184910213683071 0.429055398880288 -1.40799856520128
"FCGR2B" -0.177486851499081 4.64584268348501 -3.17993473138637 0.00185435861095059 0.429055398880288 -1.41047201591918
"KCNK13" 0.155901961596574 5.72148362251065 3.17291558221406 0.00189633514832949 0.435782977181758 -1.42997315651122
"CSN1S1" 0.157735775976515 3.0879435166701 3.16913011961505 0.00191933821250761 0.438088947004861 -1.44047514631359
"C1QL3" 0.199600593638561 6.54216333518239 3.16369213383788 0.00195283719661529 0.442743579455443 -1.45554322163587
