"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 2.94338700354401 6.13629228750673 32.0297184390893 1.61927766539575e-62 2.819162415454e-58 111.708571800755
"RPS4Y1" 2.98739201151116 6.09278742688774 30.3354877100352 7.11364641495351e-60 6.19242920421703e-56 107.603460072174
"USP9Y" 3.25555736036988 5.62291521864685 28.7082725366453 3.1491134382331e-57 1.82753549865461e-53 103.365368604843
"UTY" 2.46647671087075 5.54627479401677 28.2409291828679 1.89972141543654e-56 8.26853746068754e-53 102.091544396016
"EIF1AY" 2.60930529623666 4.16855876319235 25.7993607139173 3.26747015491286e-52 1.13773310794066e-48 94.9976363177502
"NLGN4Y" 2.66618327342993 6.05412489264649 22.1569355930074 2.32139816578153e-45 6.73592367770941e-42 82.9172196113493
"TXLNGY" 1.55536952977626 4.0749140012946 21.2268744279204 1.67935829521955e-43 4.1768039885389e-40 79.5202265569862
"ZFY" 1.03623288381559 5.10603927322902 21.072553615073 3.45270096859694e-43 7.5139404829091e-40 78.9437021805318
"TTTY10" 0.924014526263348 4.04095333710044 15.9149377232874 5.56664301615333e-32 1.07683616568033e-28 57.5045297238858
"PCDH11X" 1.43959752963085 4.23636753014145 13.4546611963106 3.68759343487507e-26 6.4201001701175e-23 45.8450869050909
"ZFX" -0.565898722416546 6.74798159932223 -11.2404137870057 9.49202873214749e-21 1.50232927478807e-17 34.7563447578273
"KDM5C" -0.322937493582641 7.11904875351267 -11.0121092725725 3.4601292326959e-20 5.0200708284363e-17 33.5933114716027
"TMSB4Y" 0.659263437393082 5.07591170999191 9.62890373519011 8.5469006801486e-17 1.14462723724144e-13 26.5290770105649
"HDHD1" -0.553938054984298 7.15401735782909 -7.66419404356968 4.13667281088564e-12 5.14424811696564e-09 16.6858365239063
"KDM6A" -0.46469445271829 5.76403248240876 -6.72487328451481 5.4418176540476e-10 6.31613635713125e-07 12.2143532884049
"EIF2S3" -0.252498007516996 8.24793866607677 -5.91177611756228 2.95356858753391e-08 3.21385181931033e-05 8.55484917629213
"PRKY" 0.311166037009794 5.40867286223369 5.83545024036657 4.24083812152743e-08 4.34311715857603e-05 8.22376316861242
"DDX3X" -0.25564761762147 7.25900250485414 -5.8046686499548 4.903519625818e-08 4.74279314919396e-05 8.09090389692405
