"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"DDX3Y" 4.19773764102564 6.05229571428571 31.4026903333958 1.0321057113004e-23 1.37761964522191e-19 23.6071970568492
"USP9Y" 4.253924 6.02977785714286 30.9154033837606 1.59428265851396e-23 1.37761964522191e-19 23.524838011286
"NLGN4Y" 3.37112476923077 6.50583892857143 23.8301566980471 2.0757444030526e-20 1.1957671591185e-16 21.8398180032812
"RPS4Y1" 5.23198266666667 6.58224785714286 23.370389719158 3.52926952666065e-20 1.52482089899373e-16 21.6880002684487
"UTY" 3.1326041025641 5.49484 20.6709589741755 9.75841315976421e-19 3.3728979245409e-15 20.6431423681493
"EIF1AY" 3.69382574358974 5.54210214285714 19.3129691719663 6.0070997444693e-18 1.73024496306531e-14 19.9979672105199
"PCDH11Y" 4.73531030769231 5.97084107142857 14.141855061294 1.94859211127434e-14 4.81079555243473e-11 16.4483767450236
"ZFY" 1.48729138461538 4.52468785714286 10.1190748888186 5.88333120664847e-11 1.27094662391624e-07 11.8021959380715
"TTTY10" 0.66559841025641 4.1339975 6.4660013056751 4.77714303453053e-07 0.000917317621363963 5.38283447983471
"TMSB4Y" 0.823663794871795 4.65854 5.62361322144659 4.71251483338829e-06 0.00814416813506164 3.59146198504895
"TTTY14" 0.548042615384615 6.17747964285714 4.97493973237754 2.81691983927156e-05 0.0442563715111738 2.15980961190533
"ZFX" -0.938256307692309 7.365315 -4.92024378792218 3.27617807979399e-05 0.0471824246458332 2.03780159739856
"RBMS1" -0.711555743589744 6.3948325 -4.65675432381593 6.77710210957648e-05 0.090093752813616 1.44864061355679
"TEFM" -0.801686512820514 5.70033892857143 -4.48547793936421 0.000108561896829905 0.134011907215316 1.06516189331071
"PRKY" 0.603906564102563 4.82042214285714 4.45074379400276 0.000119424395886153 0.137592827313633 0.987418851208623
"SHMT1" 0.451356871794872 4.85726678571429 4.146414450906 0.000274328061992897 0.296308597960077 0.307889233972698
"WDR45" 0.562385282051282 7.46901321428571 4.03018248714316 0.000376000345348246 0.364206043485733 0.0497095302447566
"MAP3K4" -0.563196717948719 7.28849285714286 -4.02691641396023 0.000379337390507071 0.364206043485733 0.0424701187341494
"MRPS5" -0.520669846153846 6.65186357142857 -3.96822364274235 0.000444514394331828 0.404320934886455 -0.0874635861151027
"PHLDA1" 0.561141230769231 7.68803214285714 3.68463229445922 0.000949627481803181 0.81615863235371 -0.70993822191306
"DDX3X" -0.433936769230769 8.82554464285714 -3.66826897715911 0.000991744663778955 0.81615863235371 -0.745529632148283
"FZD2" 0.633681435897436 5.47211142857143 3.63058796421455 0.00109576659196551 0.860774465561272 -0.82733088933648
"ARGLU1" -0.835399743589744 8.3243075 -3.6116693170962 0.00115192247373914 0.865544530050424 -0.868315575225036
"ESF1" -0.499418615384616 5.87177892857143 -3.4911409404517 0.00158117326124565 0.999946578107121 -1.12797765526761
"KIF13A" -0.579564923076924 7.13376571428571 -3.46654726357975 0.00168611037123298 0.999946578107121 -1.1806336335196
"APOBEC3C" 0.427018974358974 4.71108785714286 3.4003714793567 0.00200302726693167 0.999946578107121 -1.32172116632902
"NAGA" 0.416731435897435 5.87989821428571 3.37241264265445 0.00215356919398846 0.999946578107121 -1.38105655474267
"ART4" 0.336464564102564 4.02828964285714 3.3676135347103 0.00218048413377124 0.999946578107121 -1.39122452435852
"RLBP1" 0.222169692307692 4.42073178571429 3.34920225390413 0.00228678166416966 0.999946578107121 -1.43018614718191
"C9orf78" -0.493050820512822 7.23834178571429 -3.33946228688173 0.00234501802810089 0.999946578107121 -1.45076736120255
"MTHFS" -0.435460153846155 6.76696392857143 -3.28762121296902 0.00267981910042561 0.999946578107121 -1.55994828461885
"BNC2" 0.334339589743589 4.12094357142857 3.28592071749422 0.00269154548058556 0.999946578107121 -1.56351908047777
"LYPD1" 0.745134615384615 9.00141464285714 3.26348307872266 0.00285096738404401 0.999946578107121 -1.6105704606826
"C1orf51" 0.541680358974359 6.50155821428571 3.25844104954218 0.00288802015231135 0.999946578107121 -1.62112687824626
"PLA2R1" -0.687642 5.56001035714286 -3.25303924919241 0.00292822990333871 0.999946578107121 -1.63242969618413
"NSUN2" -0.485276615384616 6.994295 -3.23898545079585 0.00303537751419951 0.999946578107121 -1.66180265605428
"VPS13C" -0.523580564102564 8.38025964285714 -3.22614814520478 0.0031365309638766 0.999946578107121 -1.68859044221525
"FAM5B" 0.703304615384614 9.24240571428571 3.19298438256886 0.003413034062797 0.999946578107121 -1.75760162991436
"GAA" 0.33784358974359 6.27065071428571 3.19048313762614 0.00343480962575665 0.999946578107121 -1.76279512130616
"ZNF498" -0.282840051282052 5.12666392857143 -3.15876624547495 0.0037227340797707 0.999946578107121 -1.82850927022316
"ANKRD27" -0.515946666666669 7.75666 -3.15728924792108 0.00373668992862844 0.999946578107121 -1.83156299073033
"MOP-1" -0.73683958974359 4.60045142857143 -3.11379767107095 0.00417079039471973 0.999946578107121 -1.9212186899457
"DMXL1" -0.420047230769231 8.61227392857143 -3.11016313420666 0.00420917133514229 0.999946578107121 -1.92868765351193
"RNF167" 0.486940615384614 8.51406642857143 3.10135773073174 0.00430355962223941 0.999946578107121 -1.94676748958394
"NR0B1" 0.281310102564102 3.90951107142857 3.10104725897467 0.00430692426942896 0.999946578107121 -1.94740457536076
"OFD1" -0.617805641025641 5.116955 -3.07749936536539 0.00456956056650693 0.999946578107121 -1.99564545933666
"NRG1" 0.391262205128205 6.47353321428571 3.06098534979346 0.0047627788668291 0.999946578107121 -2.02938216476319
"JPX" -0.645390256410256 5.42816214285714 -3.04058181502728 0.00501226143954992 0.999946578107121 -2.0709555099108
"ZNF234" -0.408961230769232 6.51533285714286 -3.0380654933962 0.00504387739080414 0.999946578107121 -2.07607419337591
"CHRNB1" 0.42126158974359 5.81967892857143 3.03214296671226 0.00511904056550392 0.999946578107121 -2.08811436177563
"BMPER" -0.622021641025642 5.69822642857143 -3.02515671950866 0.00520907310401913 0.999946578107121 -2.10230361756785
"ZNF665" -0.295737282051282 4.11892392857143 -3.02336184685134 0.00523244578486879 0.999946578107121 -2.1059467012016
"KLHDC8B" 0.633934769230769 7.37954714285714 3.0201827347682 0.00527408880882679 0.999946578107121 -2.11239703269349
"SOX9" 0.538155948717948 7.28955321428571 3.01060928480655 0.00540140197405097 0.999946578107121 -2.13180295646741
"DKFZP686I15217" -0.407769487179488 5.62756821428571 -2.99470718181181 0.00561935315763631 0.999946578107121 -2.16397606482025
"NEK1" -0.541040512820513 6.66915071428571 -2.98720634560348 0.00572503265365012 0.999946578107121 -2.17912491907783
"ALOX12" 0.402810615384615 4.89795678571429 2.98058013168567 0.00581995622613547 0.999946578107121 -2.19249294526053
"MTERFD2" -0.273203487179487 5.28575714285714 -2.96601332198395 0.00603390810548459 0.999946578107121 -2.22183276078595
"FOXS1" 0.361467743589743 5.04447035714286 2.95183731553263 0.00624926389906216 0.999946578107121 -2.2503215737775
"TLE4" 0.820955743589743 7.73106464285714 2.94004747458935 0.00643389673286918 0.999946578107121 -2.2739665261397
"ANKRD32" -1.04071271794872 6.20488071428571 -2.91498145886498 0.00684374111255098 0.999946578107121 -2.3240889745468
"LEPREL1" 0.343004923076923 4.65252571428571 2.90305020322984 0.00704738540538347 0.999946578107121 -2.34787512920974
"ANKDD1A" -0.513190461538462 5.898895 -2.87836313699507 0.00748706732621526 0.999946578107121 -2.39694187708717
"WDSUB1" -0.517050512820513 5.5298925 -2.87806427112505 0.00749254552595064 0.999946578107121 -2.39753464178403
"FAR1" -0.434039230769231 8.78026821428571 -2.86088057065228 0.00781395992540602 0.999946578107121 -2.43156579718593
"GPR52" -0.694926307692308 5.91743035714286 -2.84116521459107 0.00819873239591165 0.999946578107121 -2.47048689335551
"NOL8" -0.396635179487179 6.43413071428571 -2.83568861760655 0.00830874237177419 0.999946578107121 -2.48127478909963
"ALG11" -0.262899076923078 7.86606428571429 -2.83299410136301 0.00836337664128388 0.999946578107121 -2.48657867975394
"MDGA1" -0.763745282051282 6.60912535714286 -2.83015952027893 0.00842121581445608 0.999946578107121 -2.49215555178734
"CD79A" 0.345119743589743 4.6347225 2.82503729890637 0.00852669000076546 0.999946578107121 -2.50222612338506
"NTNG2" 0.567076153846154 5.88603464285714 2.81045568242745 0.00883379384016519 0.999946578107121 -2.53084407034919
"RBAK" -0.438279230769231 5.78673678571429 -2.81018111305194 0.00883967511229832 0.999946578107121 -2.53138222352598
"CCND2" 0.975099999999999 8.328635 2.79938966604882 0.00907376483839252 0.999946578107121 -2.55251219903064
"BDP1" -0.558558 7.9708825 -2.79059218744358 0.00926889826708802 0.999946578107121 -2.56970725403978
"PDE9A" -0.378275230769231 7.03274178571429 -2.78532005423121 0.00938771895932921 0.999946578107121 -2.57999858643519
"ASB13" -0.450093128205129 6.13223714285714 -2.7641571412112 0.00987921738275942 0.999946578107121 -2.62120808176334
"GRPR" 0.28076241025641 3.83792535714286 2.76331437791182 0.00989928121943166 0.999946578107121 -2.62284578206294
