"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "AMY" "GO:0032451" "demethylase activity" "3/25" "40/18410" 2.11416637549924e-05 0.0024947163230891 0.00151329803719945 "UTY/KDM5D/MMACHC" 3
"2" "AMY" "GO:0032452" "histone demethylase activity" "2/25" "30/18410" 0.000752370735031427 0.0228912857918828 0.0138858825499378 "UTY/KDM5D" 2
"3" "AMY" "GO:0140457" "protein demethylase activity" "2/25" "30/18410" 0.000752370735031427 0.0228912857918828 0.0138858825499378 "UTY/KDM5D" 2
"4" "AMY" "GO:0042056" "chemoattractant activity" "2/25" "36/18410" 0.00108421645257668 0.0228912857918828 0.0138858825499378 "VEGFA/HGF" 2
"5" "AMY" "GO:0071855" "neuropeptide receptor binding" "2/25" "36/18410" 0.00108421645257668 0.0228912857918828 0.0138858825499378 "TAC1/NTS" 2
"6" "AMY" "GO:0008083" "growth factor activity" "3/25" "162/18410" 0.00133431099826481 0.0228912857918828 0.0138858825499378 "IGF2/VEGFA/HGF" 3
"7" "AMY" "GO:0033787" "cyanocobalamin reductase (cyanide-eliminating) activity" "1/25" "1/18410" 0.00135795763172186 0.0228912857918828 0.0138858825499378 "MMACHC" 1
"8" "AMY" "GO:0001691" "pseudophosphatase activity" "1/25" "2/18410" 0.00271414488030719 0.0309895324878764 0.0187982891095058 "STYXL1" 1
"9" "AMY" "GO:0031834" "neurokinin receptor binding" "1/25" "2/18410" 0.00271414488030719 0.0309895324878764 0.0187982891095058 "TAC1" 1
"10" "AMY" "GO:0031835" "substance P receptor binding" "1/25" "2/18410" 0.00271414488030719 0.0309895324878764 0.0187982891095058 "TAC1" 1
"11" "AMY" "GO:0016706" "2-oxoglutarate-dependent dioxygenase activity" "2/25" "59/18410" 0.00288885472344611 0.0309895324878764 0.0187982891095058 "UTY/KDM5D" 2
"12" "AMY" "GO:0048018" "receptor ligand activity" "4/25" "489/18410" 0.00399327407185991 0.0354053081430974 0.0214769041367585 "IGF2/VEGFA/NTS/HGF" 4
"13" "AMY" "GO:0043183" "vascular endothelial growth factor receptor 1 binding" "1/25" "3/18410" 0.00406856395777344 0.0354053081430974 0.0214769041367585 "VEGFA" 1
"14" "AMY" "GO:0030546" "signaling receptor activator activity" "4/25" "496/18410" 0.00420062977968952 0.0354053081430974 0.0214769041367585 "IGF2/VEGFA/NTS/HGF" 4
"15" "AMY" "GO:0070326" "very-low-density lipoprotein particle receptor binding" "1/25" "4/18410" 0.00542121707349263 0.0394578099545348 0.0239351567966848 "RELN" 1
"16" "AMY" "GO:0016361" "activin receptor activity, type I" "1/25" "5/18410" 0.00677210643419923 0.0394578099545348 0.0239351567966848 "ACVR1C" 1
"17" "AMY" "GO:0016723" "oxidoreductase activity, acting on metal ions, NAD or NADP as acceptor" "1/25" "5/18410" 0.00677210643419923 0.0394578099545348 0.0239351567966848 "MMACHC" 1
"18" "AMY" "GO:0034647" "histone H3-tri/di/monomethyl-lysine-4 demethylase activity" "1/25" "5/18410" 0.00677210643419923 0.0394578099545348 0.0239351567966848 "KDM5D" 1
"19" "AMY" "GO:0038100" "nodal binding" "1/25" "5/18410" 0.00677210643419923 0.0394578099545348 0.0239351567966848 "ACVR1C" 1
"20" "AMY" "GO:0071558" "histone H3-tri/di-methyl-lysine-27 demethylase activity" "1/25" "5/18410" 0.00677210643419923 0.0394578099545348 0.0239351567966848 "UTY" 1
"21" "AMY" "GO:0051213" "dioxygenase activity" "2/25" "93/18410" 0.00702215261902738 0.0394578099545348 0.0239351567966848 "UTY/KDM5D" 2
"22" "CBC" "GO:0042277" "peptide binding" "8/86" "322/18410" 0.000130382095097321 0.0353486676256238 0.0256850382250008 "HLA-DPA1/CD14/APOE/MGST2/CD74/CST3/LDLRAP1/CEMIP" 8
"23" "CBC" "GO:0005540" "hyaluronic acid binding" "3/86" "24/18410" 0.000185557310370728 0.0353486676256238 0.0256850382250008 "LYVE1/ITIH2/CEMIP" 3
"24" "CBC" "GO:0001540" "amyloid-beta binding" "4/86" "81/18410" 0.000561536161582916 0.0376558710629416 0.0273614976918183 "APOE/CD74/CST3/LDLRAP1" 4
"25" "CBC" "GO:0033218" "amide binding" "8/86" "402/18410" 0.000579310219324125 0.0376558710629416 0.0273614976918183 "HLA-DPA1/CD14/APOE/MGST2/CD74/CST3/LDLRAP1/CEMIP" 8
"26" "CBC" "GO:0001758" "retinal dehydrogenase activity" "2/86" "8/18410" 0.000593005843510891 0.0376558710629416 0.0273614976918183 "ALDH1A1/ALDH1A2" 2
"27" "CBC" "GO:0042609" "CD4 receptor binding" "2/86" "8/18410" 0.000593005843510891 0.0376558710629416 0.0273614976918183 "IL16/CD74" 2
"28" "CC" "GO:0046332" "SMAD binding" "4/59" "78/18410" 0.000113699435501448 0.0278563616978549 0.0185509605291837 "USP9Y/PAX6/COL1A2/BMPR1B" 4
"29" "CC" "GO:0052740" "1-acyl-2-lysophosphatidylserine acylhydrolase activity" "2/59" "10/18410" 0.00044692477078622 0.0333883390640786 0.0222349841243058 "PLAAT3/ABHD3" 2
"30" "CC" "GO:0052739" "phosphatidylserine 1-acylhydrolase activity" "2/59" "11/18410" 0.000545115739821691 0.0333883390640786 0.0222349841243058 "PLAAT3/ABHD3" 2
"31" "CC" "GO:0070410" "co-SMAD binding" "2/59" "11/18410" 0.000545115739821691 0.0333883390640786 0.0222349841243058 "USP9Y/PAX6" 2
"32" "CC" "GO:0071837" "HMG box domain binding" "2/59" "14/18410" 0.000896356903325599 0.0436206168145392 0.0290491755370723 "PAX6/OLIG2" 2
"33" "CC" "GO:0008970" "phospholipase A1 activity" "2/59" "17/18410" 0.00133135477860164 0.0436206168145392 0.0290491755370723 "PLAAT3/ABHD3" 2
"34" "CC" "GO:0120020" "cholesterol transfer activity" "2/59" "22/18410" 0.00223818694187222 0.0436206168145392 0.0290491755370723 "PLTP/APOE" 2
"35" "CC" "GO:0120015" "sterol transfer activity" "2/59" "23/18410" 0.00244630943512122 0.0436206168145392 0.0290491755370723 "PLTP/APOE" 2
"36" "CC" "GO:0050750" "low-density lipoprotein particle receptor binding" "2/59" "24/18410" 0.00266321753206926 0.0436206168145392 0.0290491755370723 "SYT1/APOE" 2
"37" "CC" "GO:0008465" "glycerate dehydrogenase activity" "1/59" "1/18410" 0.00320478001086411 0.0436206168145392 0.0290491755370723 "GRHPR" 1
"38" "CC" "GO:0016618" "hydroxypyruvate reductase activity" "1/59" "1/18410" 0.00320478001086411 0.0436206168145392 0.0290491755370723 "GRHPR" 1
"39" "CC" "GO:0030267" "glyoxylate reductase (NADP+) activity" "1/59" "1/18410" 0.00320478001086411 0.0436206168145392 0.0290491755370723 "GRHPR" 1
"40" "CC" "GO:0046911" "metal chelating activity" "1/59" "1/18410" 0.00320478001086411 0.0436206168145392 0.0290491755370723 "APOE" 1
"41" "CC" "GO:0047394" "glycerophosphoinositol inositolphosphodiesterase activity" "1/59" "1/18410" 0.00320478001086411 0.0436206168145392 0.0290491755370723 "GDPD2" 1
"42" "CC" "GO:0106345" "glyoxylate reductase activity" "1/59" "1/18410" 0.00320478001086411 0.0436206168145392 0.0290491755370723 "GRHPR" 1
"43" "CC" "GO:0140337" "diacylglyceride transfer activity" "1/59" "1/18410" 0.00320478001086411 0.0436206168145392 0.0290491755370723 "PLTP" 1
"44" "CC" "GO:0140339" "phosphatidylglycerol transfer activity" "1/59" "1/18410" 0.00320478001086411 0.0436206168145392 0.0290491755370723 "PLTP" 1
"45" "CC" "GO:0140340" "cerebroside transfer activity" "1/59" "1/18410" 0.00320478001086411 0.0436206168145392 0.0290491755370723 "PLTP" 1
"46" "CC" "GO:0070325" "lipoprotein particle receptor binding" "2/59" "29/18410" 0.00387757337090043 0.0471130432986217 0.0313749590173421 "SYT1/APOE" 2
"47" "CC" "GO:0032452" "histone demethylase activity" "2/59" "30/18410" 0.00414601750380718 0.0471130432986217 0.0313749590173421 "KDM5D/UTY" 2
"48" "CC" "GO:0140457" "protein demethylase activity" "2/59" "30/18410" 0.00414601750380718 0.0471130432986217 0.0313749590173421 "KDM5D/UTY" 2
"49" "CC" "GO:0071813" "lipoprotein particle binding" "2/59" "31/18410" 0.00442285712599306 0.0471130432986217 0.0313749590173421 "PLTP/APOE" 2
"50" "CC" "GO:0071814" "protein-lipid complex binding" "2/59" "31/18410" 0.00442285712599306 0.0471130432986217 0.0313749590173421 "PLTP/APOE" 2
"51" "CC" "GO:0004623" "phospholipase A2 activity" "2/59" "34/18410" 0.00530320317592685 0.0489958881081286 0.0326288406305475 "PLAAT3/ABHD3" 2
"52" "CC" "GO:0015248" "sterol transporter activity" "2/59" "36/18410" 0.00593108187071481 0.0489958881081286 0.0326288406305475 "PLTP/APOE" 2
"53" "CC" "GO:0030348" "syntaxin-3 binding" "1/59" "2/18410" 0.0063994629365719 0.0489958881081286 0.0326288406305475 "SYT1" 1
"54" "CC" "GO:0031686" "A1 adenosine receptor binding" "1/59" "2/18410" 0.0063994629365719 0.0489958881081286 0.0326288406305475 "P2RY1" 1
"55" "CC" "GO:0031834" "neurokinin receptor binding" "1/59" "2/18410" 0.0063994629365719 0.0489958881081286 0.0326288406305475 "TAC1" 1
"56" "CC" "GO:0031835" "substance P receptor binding" "1/59" "2/18410" 0.0063994629365719 0.0489958881081286 0.0326288406305475 "TAC1" 1
"57" "CC" "GO:0045031" "G protein-coupled ATP receptor activity" "1/59" "2/18410" 0.0063994629365719 0.0489958881081286 0.0326288406305475 "P2RY1" 1
"58" "CC" "GO:0140338" "sphingomyelin transfer activity" "1/59" "2/18410" 0.0063994629365719 0.0489958881081286 0.0326288406305475 "PLTP" 1
